1325	He's kicking me!	1767703	Hy skop my!
1434	I love you.	450281	Ek is lief vir jou.
1463	I don't speak French well enough!	1422323	Ek praat nie goed genoeg Frans nie!
1482	I don't speak Japanese.	1345790	Ek praat geen Japannees nie.
1564	Thank you very much!	401103	Baie dankie!
1664	Open your mouth!	2036708	Maak oop jou mond!
1690	Nobody came.	1767691	Niemand het gekom nie.
1860	I don't want to go to school.	3633395	Ek wil nie skool toe gaan nie.
1862	It is raining.	1840680	Dit reën.
2077	"Thank you." "You're welcome."	1765236	"Dankie." "Jy is welkom."
2299	Japan is full of beautiful cities. Kyoto and Nara, for instance.	1857682	Japan is vol mooi stede. Kyoto en Nara, by voorbeeld.
2319	I don't know him.	753002	Ek ken hom nie.
2350	All cats are grey in the dark.	1259062	Snags is alle katte grou.
2463	Who said that? It's totally wrong!	1974323	Wie het dit gesê? Dis heeltemal verkeerd.
13035	You are expecting too much of her.	1994649	Jy verwag te veel van haar.
15971	Do you believe in God?	753055	Glo jy in God?
16082	You may use my new car.	1819027	Jy mag my nuwe motor gebruik.
16240	You should have attended the meeting.	1776903	Jy moes die vergadering bygewoon het.
16342	How dare you say that?	1758787	Hoe durf jy dit sê?
16457	Why do you want to buy this book?	758101	Waarom wil jy hierdie boek koop?
16492	What are you doing?	2364220	Wat maak julle?
16700	You'll soon get accustomed to this cold weather.	1754068	Jy sal gou gewoond raak aan hierdie koue weer.
16866	I think your theory does not hold water.	1853900	Ek dink jou teorie hou nie steek nie.
16996	Mind your own business!	1813583	Bemoei jou met jou eie sake!
17012	Your explanation sounds plausible, but it just doesn't hold water.	1853902	Jou verduideliking klink aanneemlik, maar dit hou net nie steek nie.
17074	Your letter made me happy.	1790352	Jou brief het my gelukkig gemaak.
17199	What you are saying does not make sense.	1747826	Wat jy sê maak nie sin nie.
17741	It is cruel of you to find fault with her.	1737637	Dit is wreed van jou om met haar fout te vind.
17888	He will be studying when you get up.	1731974	As jy opstaan sal hy besig wees om te studeer.
17922	I wish you were close to me.	1732025	Ek wens jy was naby aan my.
17932	It is risky for you to go into that area alone.	1731930	Dit is gevaarlik om op jou eie in daardie gebied in te gaan.
18189	How far is it to the airport?	1847933	Hoe ver is dit na die lughawe toe?
18531	I wish I were rich.	1948691	Ek wens ek was ryk.
18625	Money can't buy happiness.	1767042	Geld kan nie geluk koop nie.
19578	Ask, and it shall be given you.	384920	Vra, en jy sal ontvang.
19757	We are looking forward to the holidays.	1752681	Ons sien uit na die vakansies.
19943	Smoking affects our health.	2364328	Rook benadeel ons gesondheid.
20065	When the cat is away, the mice will play.	1259129	As die kat weg is, is die muis baas.
20203	Did she hurt that kitten?	1833703	Het sy daardie katjie seergemaak?
20719	Look out!	2010066	Pas op!
21106	The bill must be paid today.	1759564	Die rekening moet vandag betaal word.
21264	Easy come, easy go.	1259084	So gewonne, so geronne.
21366	Students should make use of the books in the library.	1920042	Studente moet gebruik maak van die boeke in die biblioteek.
22435	His meeting began at five in the afternoon.	2783261	Sy vergadering het teen vyf in die middag begin.
22849	We are entering a new phase in the war.	1752699	Ons tree 'n nuwe fase van die oorlog in.
22961	We can count on him for financial help.	1752679	Vir finansieële hulp kan ons op hom staatmaak.
23141	We are getting on first-rate.	1752644	One kom baie goed oor die weg.
23259	We went up and down by elevator.	1857693	Ons het op en af met die hysbak gery.
23328	Our interests conflict with theirs.	2783385	Ons belangstelle is in konflik met hulle s'n.
23634	Have you ever had any serious illness?	1795683	Het jy ooit van enige ernstige siekte gely?
23740	Flowers and trees need clean air and fresh water.	1766473	Blomme en bome het skoon lug en vars water nodig.
23827	The cause of the fire was known.	758082	Die oorsaak van die brand was bekend.
24585	What time and where could we meet?	1730368	Wanneer en waar kan ons ontmoet?
24877	What a beautiful rainbow!	1754863	Wat 'n mooi reënboog!
25095	Can I help you?	1765245	Kan ek jou help?
25504	I'm a free man.	653445	Ek is 'n vry man.
25577	We have to clear the snow off the roof.	1752709	Ons moet die sneeu van die dak afvee.
25773	Write with a pen, not with a pencil.	1810727	Skryf met 'n pen, nie met 'n potlood nie.
26710	It is raining all the time.	3189678	Dit reën altyd.
27246	The boy who writes best wins the prize.	1825181	Die seun wat die beste skryf, wen die prys.
27299	I wonder whether man could live with only two hours' sleep a night.	2779406	Ek wonder of mens kan leef met slegs twee uur slaap per nag.
28444	We are likely to get there before dark.	1752685	Ons sal vermoedelik voor donker daar aankom.
28971	I have a cat and a dog.	755344	Ek het 'n kat en 'n hond.
29021	I am not the Christ but I am sent ahead of him.	1737639	Ek is nie die Christus nie, maar ek is voor Hom uitgestuur.
29061	My uncle has a store along the street.	1752650	My oom het 'n winkel hier in die straat af.
