1401	Thanks for having explained to me at last why people take me for an idiot.	1723475	Faleminderit qe me keni shpjeguar me ne fund pse njerzit me marrin mua per nje idiot.
1434	I love you.	380263	Të dashuroj.
1434	I love you.	380264	Të dua.
1564	Thank you very much!	380268	Shumë të falemnderit!
1583	Poor is not the one who has too little, but the one who wants too much.	1723397	I varfer nuk eshte ai qe ka shum pak , por ai i cili kerkon shum.
1626	Do you need me to give you some money?	1728235	A keni nevoje te jap para?
1693	Better to be hated for who you are than loved for who you're not.	1723049	Me mire te jesh i urryer per ate qe je se sa i dashur per ate qe nuk je.
1721	My shoes are too small. I need new ones.	1728236	Këpucet e mija jane shum te vogla. Kam nevojë për nje parë të reja.
1817	When you can't do what you want, you do what you can.	1723437	Kur nuk mund te beni cfare doni,ju beni cfare mundeni.
1824	Could you call again later, please?	1723504	Mund te me telefononi perseri me vone ju lutem?
1828	At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.	1727606	Ne moshen 6 vjece ai kishte mesuar to perdorte makinen e shkrimit dhe i tregoi mesuesit qe nuk kishte nevoje te mesonte te shkruante me duar.
1860	I don't want to go to school.	3633419	Nuk dua të shkoj në shkollë.
1988	People are often quite skeptical about things unless given believable proof.	1728248	Njerzit shpesh jane shum skeptik ndaj gjerave derisa kane prova te besueshme.
2023	I have to get a new computer.	1978821	Kam nevojë për një kompjutër të ri.
2048	It's all dark outside.	1723528	Eshte errsire jashte.
2077	"Thank you." "You're welcome."	382148	"Faleminderit." "S'ka gjë."
2088	He's rich. He doesn't need money!	1728238	Ai eshte i pasur. Ai nuk ka nevoje per para!
2100	The best way to make your dreams come true is to wake up.	1934590	Menyra me e mire te realizoni enderrat tuaja eshte te zgjoheni.
2140	How many hours of sleep do you need?	1728240	Sa ore gjume keni nevoje?
2344	Better late than never.	1723052	Me mire vone se kurr.
15850	Have you ever seen him swimming?	3476553	A keni parë ndonjëherë atë duke notuar?
16006	You should give up drinking and smoking.	1962757	Ti duhet të ndalosh pijen dhe cigaren.
16020	Can you drive a car?	3520625	A mund të ngasësh një makinë?
16249	You continue making the same mistakes time after time.	1723488	Vazhdoni te beni te njejtin gabim here pas here.
16372	You need to study harder.	1728243	Ju dueht te studioni shum.
16421	You have made the very same mistake again.	1723508	Ke bere shum gabime te njejta.
16634	You aren't a spy, are you?	3100547	Ti nuk je spiun, apo jo?
16857	I can hardly hear you.	1962584	Të dëgjoj me vështirsi.
16878	I see no analogy between your problem and mine.	1723356	Nuk shoh analogji midis problemit tend dhe te timit.
16886	Write your name in capitals.	1723098	Shkruaje emrin tend me shkronja kapitale.
16894	Your dream will come true some day.	1723521	Nje dite endrra jote do behet realitet.
17026	Your success is the result of your hard work.	1962588	Suksesi jot është rezultat i punës tënde të vështirë.
17234	What you say is quite different from what I heard from him.	1934378	Ajo cfare ju thate eshte shum e ndryshme nga ajo qe degjova nga ai.
17287	Your house needs repairing.	1728244	Shtëpia juaj ka nevojë për riparim.
17348	It was very hard for me to find your flat.	1962590	Ishte e vështirë për mua te gjeja apartamentin tënd.
17425	Your idea cannot be brand new. I heard about it from another source last year.	1978822	Ideja jote nuk mund te jetë krej e re. Unë kisha dëgjuar përrreth sajë nga një burim tjetër vitin e kaluar.
17466	I was going to write to you, but I was too busy.	1727613	Une isha duket te shkruajtur, por isha shum i zene.
17619	I often think about the place where I met you.	1728251	Shpesh mendoj për vendin ku të kam takuar ty.
17793	You speak first; I will speak after.	1723252	Ju flisini i pari; Une do te flas pastaj.
17829	I love you more than you love me.	1962581	Unë te dua me shumë seç më do ti mua.
18451	You'll find the shop between a bank and a school.	1723362	Do ta gjesh dyqanin midis nje banke dhe nje shkolle.
18594	I have no money, but I have dreams.	1723059	Nuk kam para, por kam ëndërra.
18821	What method did you use to give up smoking?	1962759	Çfarë metode ke përdorur per të ndalur duhanin?
20040	It was not what he said, but the way he said it that made me suspicious.	2365591	Nuk më bëri dyshues ajo çfarë tha ai, por mënyra se si e tha.
20453	I will see him after I get back.	1723492	Do ta shoh ate pasi te kthehem.
20624	It may sound strange, but it is true.	1723522	Mund te tingelloj cuditshem , por eshte e vertete.
21405	Some of the students were from Asia and the others were from Europe.	1934390	Disa nga studentat ishin nga Azia dhe te tjeret ishin nga Europa.
21408	I often wrote to her when I was a student.	1728254	Asaj i shkruaja shpesh kur isha student.
22122	Good morning, everybody.	399030	Mirëmëngjes, të gjithë.
23846	The volcano has become active again.	1723516	Vullkani eshte bere aktiv perseri.
23957	What do you do in your free time?	2156624	Çfarë bëni ju në kohën e lirë?
23979	According to scientists, the atmosphere is getting warmer year after year.	1723497	Sipas shkencatarve, atmosfera ngrohet vit pas viti.
27962	The doctor advised my father to give up smoking.	1962762	Doktori këshilloi babanë tim të ndalte duhanin.
28817	We wanted to speak to the president of the company, but he refused to speak to us.	1723257	Ne donim te flisnim me presidentin e kompanise, por ai refuzoi te fliste me ne.
28910	Give me liberty or give me death.	1723477	Me jep mua lirine ose me jep vdekjen.
29442	Holding on to the rope firmly, I came safely to land.	2947356	Duke u mbajtur ne menyre te vendosur ne litare, erdha i sigurte ne toke.
29846	The lion is the king of the jungle.	2788640	Luani është mbreti i xhunglës.
30085	Have a nice day.	778566	Ditën e mirë!
30351	He is said to have been a man of respectable position.	2942682	Thuhet se ai ka qenë një burrë me pozicion të respektueshëm.
30443	If I had had more time, I would have written to you.	1727593	Nqs do kisha me shum kohe, une do te shkruaja ju.
30718	If you ever come to town, come to see me.	1934579	Nqs do te vini ndonjehere ne qytet, ejani te me vizitoni.
30751	If it were not for water, we could not live.	1727590	Ne qofte se nuk do kishte uje, ne nuk mund te jetojme.
32865	Mother Teresa was born in Yugoslavia in 1910.	1456326	Nënë Tereza u lind në Jugosllavi në vitin 1910.
34260	Mr Brown is her father.	2365565	Z(oti). Brown është babai i saj.
34260	Mr Brown is her father.	2365567	Z. Brown është babai i saj.
35809	Cats usually hate dogs.	1962576	Zakonisht macet urrejnë qentë.
36806	On no account must you touch that switch.	2941352	Në asnjë rast nuk duhet ta prekësh atë çelës.
39462	So you've got to be a believer.	2941376	Pra, duhet të jesh një besimtar.
41178	Most people like to see in pictures what they would like to see in reality.	1723370	Shum njerez pelqejne te shohin ne pikture cfare ata do pelqenin te shihnin ne realitet .
41582	You ought not to say such things in public.	2365571	Nuk duhet të thuash gjëra të tilla në mes të njerëzve.
45993	They are both working at the pet store.	2942681	Ata të dy po punojnë tek dyqani i kafshëve shtëpiake.
46463	The girl is smelling the flowers.	3100546	Vajza po nuhat lulet.
49517	I missed seeing the film. Did you see it?	1723375	Une e humba filmin pa e pare. E keni pare u ?
49864	Keep straight on!	2942656	Vazhdo drejtë!
52953	George is the captain of our team.	2942680	Xhorxhi është kapiteni i ekipit tonë.
53596	But his friends got together to help him.	2941353	Por miqtë e tij u bashkuan për ta ndihmuar.
57527	I want a tie to go with this suit.	2941374	Dua një kollar që i shkon këtij kostumi.
57659	We had less snow this winter than we had expected.	1727597	Ky dimire kishte me pak debore sec kishim pritur.
60674	Does this bus go to the museum?	2365596	A shkon te muzeu ky autobusi?
4402239	Sleep well, Timmy.	380280	Gjumë të ëmbël, Timi.
63119	Today is Sunday.	2420299	Sot është e diel.
64396	Let me help you.	3180083	Më ler të të ndihmoj.
64646	I'm very happy to make your acquaintance.	2941358	Jam shumë i kënaqur të njihem me ju.
64750	Pass me the salt.	1962838	Ma kalo mua kripen.
64918	Good morning, Mike.	380273	Mirëmëngjes, Mike.
65341	Well, time is up. Let's finish the lesson now.	2365580	Mirë, koha mbaroi. / Mirë, boll me kaq. Le të mbarojmë mësimin tani.
66762	Happy Easter!	1529053	Gëzuar Pashkët!
70083	Do you want this watch mended?	2365561	A do të ta rregulloj këtë orën?
73252	I am 19 years old.	2148674	Jam nëntëmbëdhjetë vjeç.
73574	"Where's his book?" "It's on the table."	2760530	"Ku është libri i tij?" "Ai është mbi tryezë."
239122	A dog runs after a cat, and the cat after a mouse.	1723485	Nje qen vrapon pas nje mace, dhe nje mace pas nje mini.
250866	To my thinking, business is improving.	2942670	Për mendimin tim, biznesi po përmirësohet.
256929	I'm a teacher.	2760525	Unë jam mësues.
257299	I have an old bicycle.	2365562	Kam një biçikletë të vjetër.
259941	I don't like him much, in fact I hate him.	1962765	Nuk e pëlqej shumë atë , në fakt unë e urrej atë.
260462	I haven't met him in person, but I know of him.	1962767	Nuk e kam takuar atë si person , por unë di për të.
262759	We went to the stadium, where we enjoyed the exciting game.	2177271	Ne shkuam në stadium, ku shijuam lojën emocionuese.
269094	The new building cut the view from my window.	2365576	Ndërtesa e re më zuri pamjen e dritares.
272590	The snow lasted four days.	3518797	Bora zgjati katër ditë.
275025	The Pacific Ocean is one of the five oceans.	2941363	Oqeani Paqësor është një nga pesë oqeanet.
275794	It's not what you say, but what you do that counts.	2941372	Nuk llogaritet ajo që thua, por ajo që bën.
277312	Ikeda is my last name, and Kazuko is my first name.	1728273	Ikeda është mbiemri im, dhe Kazuko është emri.
293214	He will make a good doctor.	1996102	Ai do të bëhet një doktor i mirë.
307151	They continued the experiment day and night.	2365569	Ata e vazhduan eksperimentin ditë e natë.
308707	She badly needed the money.	2941361	Ajo kishte shumë nevojë për paratë.
308765	She needed someone who would understand her.	3519494	Ajo kishte nevojë për dikë që do të kuptojnë atë.
310313	She has gone to America.	2365590	Ajo iku në Amerikë.
312980	She is married to a foreigner.	3100542	Ajo është e martuar me një të huaj.
315115	She tried hard to clear her mind of doubts.	2941369	Ajo u mundua shumë të hiqte dyshimet nga mendja.
315558	She hid behind the door and held her breath.	2365575	Ajo u fsheh pas derës dhe mbajti frymën.
322585	If he should be busy, help him.	2942678	Po të jetë i zënë, ndihmoje atë.
324645	You must not go out after dinner.	2942665	Nuk duhet të dalësh pas darkës.
325819	I had a good idea.	3520620	Unë kisha një ide e mirë.
330427	There's new energy to harness, new jobs to be created, new schools to build, and threats to meet, alliances to repair.	1978820	Egzistojn energji te reja per tu shfryteyuar, vende te reja pune te krijuara, shkolla te reja per te ndërtuar, dhe kërcenime për te takuar, aleanca për tu riparuar.
342814	You cannot kill yourself by holding your breath.	3102197	Ti nuk mund të vras veten duke mbajtur frymën.
355041	Happy birthday, Muiriel!	380581	Gëzuar ditëlindjen Muriel!
367935	I am a vegetarian.	1435103	Unë jam vegjetarian.
370585	Thank God.	380271	Shyqyr Zoti.
374827	Thank you!	380437	Faleminderit!
378270	Do you speak English?	871308	A flisni anglisht?
402716	Have love for your classmates! Have love for your parents! Have love for your country!	1727574	Duaj shoket e klases! Duaj prinderit e tu! Duaj vendin tend!
404046	I'm at home.	3100451	Unë jam në shtëpi.
408293	What's your name?	2424247	Si të quajnë?
408293	What's your name?	2424248	Si ju quajnë?
409841	Do you want to know my secret? It's very simple...	3519145	A ti do të di sekretin tim? Ai është shumë i thjeshtë...
435498	Long live the Soviet Union!	737324	Rroftë Bashkimi Sovjetik!
436345	I am from Russia.	3100680	Jam nga Rusia.
436627	I have a Facebook account.	1978816	Unë kam një llogari Facebook-u.
437047	I want to kiss you.	1727575	Une dua te te puthe.
437499	One for all, all for one.	1723525	Nje per gjith, gjith per nje.
448645	Thanks!	380437	Faleminderit!
486223	We must know. We will know.	1728262	Ne duhet te dime. Ne do te dime.
499689	Good afternoon.	778571	Mirëdita.
510249	You may not be able to find sentences that have been added recently because they have not been indexed yet. Indexation of sentences is not yet executed on-the-fly, only every week.	1723340	Ju nuk mund te gjeni fjalite qe keni shtuar tani sepse ato nuk jane indeksuar akoma. Indeksimi i fjalive nuk eshte akoma i egekutueshem , kjo behet cdo jave.
519676	Your kiss is sweeter than honey.	1727577	Puthja juaj eshte me e embel se mjalta.
526353	Ivy Bean, the oldest user of both Facebook and Twitter, died at 104.	1978817	Ivy Bean, perodoruesi me i vjeter i Facebook dhe Twitter , vdekur 104 vjec.
528236	There is no god but God, and Muhammad is the messenger of God.	1797624	Nuk ka zot tjetër përveç Allahut dhe se Muhammedi është i Dërguari i Allahut.
555191	We're learning Chinese.	3521458	Ne po mësojmë gjuhën kineze.
565931	Kiss me.	1727578	Me puth.
614312	One language is never enough.	2864470	Një gjuhë asnjëherë nuk është mjaft.
646852	They had had that problem before.	1727600	Ata e kishin kete problem me perpara.
690971	An intellectual is a person who has discovered something more interesting than sex.	1978819	Një intelektual është një person i cili ka zbuluar dicka me interesante se seksin.
702472	Colorless green ideas sleep furiously.	719060	Ide jeshile pa ngjyrë flenë shpejt.
706874	Happy Mother's Day!	2036732	Gëzuar Ditën e Nënës!
707471	Jazz isn't dead, it just smells funny.	2365585	Xhazi nuk ka vdekur, thjesht duket qesharak.
750825	I know that I do not know.	1728264	Une e di qe nuk e di.
767806	In some rural areas, the Internet is important for agricultural information, as well as being particularly useful for the purposes of agricultural production technologies and pricing.	2365563	Do ta mbaroj në dy ose tre minuta.
772310	I see the girl is beautiful.	3100444	Unë shoh se vajza është e bukur.
786767	It is because you do not do it, not because you are not able to do it.	1723386	Eshte se ju nuk doni ta bene ate , jo sepse ju nuk jeni i lejuar ta bene ate.
801731	The cat is under the table.	2760526	Macja është nën tryezë.
807027	Sixty delegates were elected.	2941359	U zgjodhën gjashtëdhjetë deputete.
814531	Keep in mind that you must die.	2947355	Mbaje ne mend qe ju mund te vdisni.
