1323	No I'm not; you are!	2451013	لالا ماشي انا، نتا!
1635	But the universe is infinite.	2581533	بالصّح الكون ما يخلاصش.
2302	Whose is this?	2691353	تاع منُّه هاذا؟
3075828	I go shopping every morning.	2691232	كل صبحة نروح نقضي.
16029	Do you know how to use a dictionary?	2691281	تعرف تستعمل قاموس؟
16029	Do you know how to use a dictionary?	2691282	تعرف كيفاش تستعمل قاموس؟
16031	You are free to go home.	2581639	تقدر تروح للدّار.
16031	You are free to go home.	2581640	تقدري تروحي للدّار.
16031	You are free to go home.	2581641	تقّدرو تروحو للدّار.
16154	You had better go.	2444957	روح خيرلك.
17298	Can I use your pencil?	3673553	نقدر نستعمل لقلم ديالك.
17354	Can I use your pen?	3673556	نقدر نستعمل ستيلو ديالك.
17440	I want you to read this book.	2447264	راني حابّك تقرى هاد لكتاب.
19350	Fish live in the sea.	2691057	الحوت يعيشو ف البحر.
22364	Call me at the office.	2950938	عيّطلي فلبيرو.
22859	We eat to live, not live to eat.	2691000	ناكلو باش نعيشو، ماشي نعيشو باش ناكلو.
23574	There is a small garden in front of my house.	2691054	كاين جنان سغير قُدّام داري.
23574	There is a small garden in front of my house.	2691055	كاين جنينة قُدّام داري.
24547	What make of computer do you use?	2581601	واش هو الميكرو اللي راك تستعمل فيه؟
24589	Do you know what time the shop is closed?	2691233	تعرف عليمن يغلق الحانوت؟
27544	If he studied hard, he would pass the test.	2445143	لُواكن يقرا مليح، يقدر ايجيب ليختيبار ديالو.
28296	Great people are not always wise.	2581552	الناس المشهورين ماشي دايمن رزان.
29032	I always walk to school.	2950969	دايما نروح لّمسيد نمشي.
33134	There she comes.	2446510	هايليك راي جايا.
35390	Are you going by bus or car?	2442498	تروح فلكار ولا فطونوبيل.
35390	Are you going by bus or car?	2442499	تروحي فلكار ولا فطونوبيل.
35390	Are you going by bus or car?	2442500	تروحو فلكار ولا فطونوبيل.
35798	A rat ran across the road.	2691231	واحد الطُپة قطعت الطريق تجري.
36464	Why do you work here?	2447172	علاش تخدم هنا.
36986	I count on Tom.	2581599	راني تاكل على طوم.
36986	I count on Tom.	2581600	راني تاكلة على طوم.
37121	Tom gave me a pen.	2445124	طوم أطالي كريُّون.
39139	Can I turn off the TV?	3063291	نقدر نطفي تلفزيون؟
40914	The octopus is in the sea.	2691015	القرنيط في البحر.
41002	A lot of insects are chirping in the field.	2581537	كاين بزّاف بعاعش راهوم يصفّرو في الخلا.
42391	It was a nervous moment for me.	2581565	كنت مقلّق بزّاف.
42391	It was a nervous moment for me.	2581566	كنت مقلّقة بزّاف.
42542	It was found at the bottom of the river.	2449115	لقاوه فقاع لواد.
42542	It was found at the bottom of the river.	2449117	لقاوها فقاع لواد.
43043	Do you have enough information to go on?	2582074	عندك المعلومات اللّي تكفيك باش تكمّل؟
43043	Do you have enough information to go on?	2582075	عندكم المعلومات اللّي تكفي باش تكملو؟
43043	Do you have enough information to go on?	2582077	عندك المعلومات اللّي تكفي باش تكملي؟
43340	The old man is blind in one eye.	2581592	هاداك الشيخ عندو عين عمية.
45250	The price is reasonable.	2442767	سوما معقولا.
45317	The man was imprisoned for murder.	2581626	هاداك الراجل حبسوه على جال القتيلة.
47627	The job pays well, but on the other hand I have to work twelve hours a day.	2442181	إيخلصوني مليح، بصَّح من جيها خرا لازم نخدم طناش نساعا فنهار.
49028	The ghost story was terrifying.	2950930	لحكايا تع لغول تخوف.
49028	The ghost story was terrifying.	2950931	لحكايا تع لغول تخلع.
49726	The apple has begun to decay.	2446498	هاد التّفاحا بدات ترشا.
50681	Keep an eye on the naughty kid.	2446508	دير بالك على لطفل لقبيح.
51443	Excuse me, but can you help me?	2691046	اسمحلي، تقدر تعاونني؟
51478	I'm sorry, I'm busy right now.	2581554	اسمح لي، راني مشغول درك.
51478	I'm sorry, I'm busy right now.	2581555	اسمح لي، راني مشغولة درك.
51623	Apart from sports, I like listening to jazz music.	2581615	من غير الرياضة، نحبّ نسمع للموسيقة تاع الجاز.
51935	Steve, I heard you were the baby of the family.	2950958	ستيف، سمعت بلّي كنت نتا لمازوزي تع ادّار.
52452	Have you bought a watermelon?	2691226	شريت دلاّعة؟
53134	Jack can speak French.	2442663	جاك يقدر يهدر بالفرنسي.
53233	Jim accompanied her on the piano.	2788600	جيم ضرب لها البيانو.
55537	This is a house to let, not to be sold.	2581730	هاد الدّر للكرا، ماشي للبيع.
56038	Above and beyond this, he can read Hebrew.	2442165	زيادا على هادا، يقدر يقرا العبريا.
57127	This hat is too tight for me.	2444922	تشابونا هادي مزيرا بزاف على راسي.
58035	She is responsible for this broken window.	2581766	هي اللّي كسّرت التاقة.
58417	This castle overlooks the city.	2581534	الشاطو هادا راه فوق المدينة.
58898	I will tell him about it when he comes next time.	2447274	نقولّو عليها كيجي لمرّا لجايا.
62434	Ken calls me every day.	2445166	كان ايتيليفونيلي كل يوم.
62764	I'm calling because my credit card has been stolen.	2446505	عيّطت علاخاطرش سرقولي لكارت كريدي.
63076	Lovely sunset, isn't it?	2581558	شباب هاد الغروب تاع السميشة، ولاّ لالا؟
63133	I'm going to go to the doctor this afternoon.	2449104	راني رايح نروح لطبيب هاد لعشيّا.
63457	The poor little girl did nothing but weep.	2950961	مسكينا اطّفلا صغيرا ما كانت ادّير والو، غير تبكي.
63917	May I have your name?	2445131	تقدر تقولِّي وسمك؟
63985	You mustn't answer your mother back when she scolds you.	2581585	ما لازمش ترجّع الكلام ليمّاك كي تعيّط عليك.
64305	Your behavior brought disgrace on our family.	2581470	المشية تاعك بهدلت العايلة تاعنا.
64774	I'll peel an orange for you.	2691219	نقشّرلك تْشينة.
66773	In other words, he is lazy.	2445109	بمعنى واحد آخر، فنيان.
70354	Come and write your name.	2581594	ارواح و اكتب آسمك.
70354	Come and write your name.	2581595	ارواحي و اكتبي آسمك.
70623	What is your name?	2445132	وسمك؟
70807	Could I use your pencil?	3673553	نقدر نستعمل لقلم ديالك.
72110	Yes. She used to be a very shy girl.	2442170	صح، كانت طفلة تحشم بزَّاف.
73173	Let's meet at one o'clock.	2691066	ايّا نتلاقاو عالوحدة.
239139	Have you fed the dog yet?	2581568	عطيت لو للكلب ياكل ولاّ مازال؟
242719	It is nice and warm today.	2453041	لحال راو شباب اودافي ليوم.
242917	It's fairly warm today.	2442682	الحال شوية سخون اليوم.
243538	Mr. Sato asked me many questions about the election.	2450754	سّي ساتو سقساني بزّاف أسئِلا عل إنتخابات.
245336	The failure in business left me penniless.	2444915	لخسارة لي خسرتها في تيجارا خلاتني بلا دراهم.
245569	My sister always keeps her room clean.	2442162	ختي دايمن تخلِّي لبِيت ديالها نقِيا.
249252	We gave way to their demands.	2581632	قبلنا واش طلبو منّا.
249421	We have no school tomorrow.	2950975	غدوا ما نقراوش.
249463	We're old friends.	2950951	حنا صحاب قدم.
249463	We're old friends.	2950952	حنا حباب قدم.
250962	My sister is shorter than you.	2442738	ختي قصيرا عليك.
251956	My daughter likes summer fruits, such as cherries, watermelons and peaches.	2691225	بنتي تحبّ الفاكية تاع الصيف: حبّ الملوك، الدلاّع، الخوخ.
252257	I am thinking of going to the mountains.	2691321	راني نخمّم نطلع للجبال.
253283	I watched TV after I washed the dishes.	2581472	شفت التيليفيزيون مور ما غسلت المواعن.
253848	I have a computer.	3063277	عندي ميكرو.
254315	I am not satisfied with the result at all.	2450737	ماهوش عاجبني لحال كامل بالنتيجا.
7316656	I teach.	2440285	.نقرِّي
258284	I am tired of my work.	2450762	عييت ملخدما ديالي.
261078	I wait here until she comes.	2450736	نستنّا هنا حتى اجّي.
262339	I think so, too.	2950973	حتانا بانتلي هاكدا.
262339	I think so, too.	2950974	حتانا نشك هاكدا.
262418	Don't treat me like a child.	2581656	ما تعاملنيش كي الطفل الصغير.
262418	Don't treat me like a child.	2581657	ما تعاملينيش كي الطفل الصغير.
262418	Don't treat me like a child.	2581658	ما تعاملونيش كي الطفل الصغير.
262424	Please help me.	2581679	عاونني من فضلك.
264366	Come on, Jiro.	2950950	أيا، جيرو.
264425	Don't be overconfident.	2450766	ما تكونش واتق بزّاف منفسك.
265501	Do you know how to drive a car?	2581580	تعرف كيفاش تصوق طونوبيل؟
266258	The prisoner is being quiet in the cell today.	2449073	لمحابسي راو عاقل فسِّيلولا ليوم.
267348	Pus has formed in the wound.	2581577	هاداك الجرح قّيح.
268728	Do you eat at home or eat out?	2691003	تاكُل ف الدار ولاّ برّا؟
268885	Don't wake up the sleeping child.	2446753	ما تنودش صغير لّي راو راقد.
270736	If it were not for water, no living things could live.	2442167	لوكان ماكانش كاين الما، حتى حاجا ما تقدر تعيش.
274291	Don't run, walk slowly.	2690991	ماتجريش، امشي بالعقل.
277619	After lunch we have two more classes.	2449089	مور لفطور عندنا زوج دروس.
282871	When he said "water," she gave him water.	2691062	كي قال "ما"، عطاتلُه الما.
287258	His arrival was greeted with cheers.	2581513	كي وصل، سفّقو عليه.
287258	His arrival was greeted with cheers.	2581514	كي وصل، قابلوه بالتسفاق.
287392	He is slowly recovering from his illness.	2445178	راو يبرا بلعقل ملمرض ديالو.
287469	His clothes always smell bad.	2581733	حوايجو دايمن فايحين.
287920	His story is true.	2447269	حكايتو كاين منها.
290062	He is older than Jane by two years.	2445107	كبير على جاين بعامين.
290287	He was good and drunk.	2581649	كان خابطها للطّرف.
290827	He applied for the job and got it.	2581540	طلب هاديك الخدمة و عطاوها لو.
290868	He crushed the sheet of paper up into a ball.	2444963	كرفس الورقا أو دار بيها بولا.
293622	He is no good as a doctor.	2449230	ماشي طبيب مليح.
294481	He eats nothing more than fruit.	2581544	ياكل غير الفاكية.
295952	He was killed with a sword.	2581629	قتلوه بالسّيف.
297809	He seems to be aware of my feelings.	2449229	ايبان راو واعي بواش راني نحّس.
301357	He seems to be very sleepy.	2450738	ايبان راو نعسان بزّاف.
302067	He crossed the street.	2447173	قطع طريق.
302689	He went up to her and they shook hands.	2445127	دنّا ليها وخمس معاها.
303302	He cared for his mother after his father died.	2451006	كان لاتي بيمّاه مور ما مات باباه.
306536	They did not abide by the school regulations.	2581567	ما قادرش القانون تاع المسيد.
307967	She is able to speak ten languages.	2445159	تقدر تهدر عشرا لوغات.
308159	I have not heard from her for a month.	2450739	عندي شهر ما سمعتش عليها.
310147	She left school two years ago.	2442495	خرجت ملمسيد عندها عامين.
313622	She was born with a silver spoon in her mouth.	2950941	زادت بمغرفا تع لفضا في فمها.
314227	She was kind to me.	2581618	كانت ضريفة معايا.
314227	She was kind to me.	2581619	كانت مليحة معايا.
318502	You must not despise someone because they are poor.	2442153	مالازمش تحقر حتى بنادم علاخطرش فقير.
319039	My father cut wood with a saw.	2451692	بابا قطّع لحطب بالمنشار
319259	My father converted a garage into a study.	2581541	بابا رجّع القاراج بيرو.
319296	My father has gone to China.	2444945	بابا راح لشِّين.
319489	There was hardly anyone in the room.	2581638	قريب ما كان حتّى واحد في هاديك الصالة.
322601	If we should miss the train, we'll go by bus.	2950971	إدا راح علينا تران، نروحو فلكار.
322601	If we should miss the train, we'll go by bus.	2950972	إدا راحت علينا لماشينا، نروحو فلكار.
322630	Fill it up, please.	2581743	عمّرو من فضلك.
