428402	What time is it?	4546221	এতিয়া কেইটা বাজিছে?
1577672	Burj Khalifa is currently the tallest building in the world.	4959553	বৰ্তমান বুৰ্জ খালিফা পৃথিৱীৰ সৰ্বোচ্চ অট্টালিকা।
5308161	Turtles don't have teeth.	5324329	কাছৰ দাঁত নাই।
3861611	Water is life.	5978168	পানী জীৱন।
61916	May I smoke here?	6406027	মই চিগাৰেট খাব পাৰোঁ নে?
252884	I was asked to give you a message.	6406028	তোমাক মেছেজ এটা দিবলৈ মোক কোৱা হৈছে।
813182	How's it going, pumpkin?	6406029	কেনেকুৱা চলি আছে, ৰঙালাও?
1951597	I can't fight any longer.	6406030	মই আৰু কাজিয়া লাগিব নোৱাৰোঁ।
2163190	They called for an end to the fighting.	6406031	সিহঁতে কাজিয়াটো শেষ হোৱা বিচাৰিছে।
2361197	I don't have any real choice.	6406032	মোৰ কোনো সঁচা পছন্দ নাই।
3625124	In 1957, the Soviet Union sent a female dog named Laika into space.	6406034	১৯৫৭চনত ছোভিয়েট ইউনিয়নে লাইকা নামৰ এজনী কুকুৰক মহাকাশলৈ পঠাইছিলে।
6220760	You must study every day.	6406035	তুমি সদায় পঢ়িব লাগিব।
1434	I love you.	6442943	মই তোমাক ভাল পাওঁ।
1789234	I loved you.	6442946	মই তোমাক ভাল পাইছিলোঁ।
1434	I love you.	6442948	মই তোমাক মৰম কৰো।
827295	I hate you.	6442951	মই তোমাক বেয়া পাওঁ।
827295	I hate you.	6442953	মই আপোনাক বেয়া পাওঁ।
827295	I hate you.	6442954	মই তোক বেয়া পাওঁ।
1496819	I hate you!	6442958	মই তোমাক বেয়া পাওঁ!
1887691	I still hate you.	6442960	মই এতিয়াও তোমাক বেয়া পাওঁ।
373320	How are you?	6442963	আপুনি কেনে আছে?
373320	How are you?	6442965	তুমি কেনে আছা?
373320	How are you?	6442966	তই কেনে আছ?
373320	How are you?	6442967	আপোনাৰ ভাল নে?
373320	How are you?	6442968	আপুনি ভালে আছে নে?
373320	How are you?	6442970	তুমি ভালে আছা নে?
373320	How are you?	6442971	কি খবৰ?
17283	Where is your school?	6443024	তোমাৰ বিদ্যালয়খন ক’ত আছে?
17283	Where is your school?	6443025	তোমাৰ স্কুলখন ক’ত?
17283	Where is your school?	6443028	তোমাৰ স্কুলখন ক’ত আছে?
2739029	I'm talking to my friend.	6926179	মই মোৰ বন্ধুৰ লগত কথা পাতি আছোঁ।
64158	How is the weather?	6969768	বতৰটো কেনেকুৱা?
1862	It is raining.	6969770	বৰষুণ দি আছে।
7697543	Bedouins live in the desert.	8059240	বেদুইন মানুহ মৰুভূমিত থাকে।
1437	Congratulations!	8338250	অভিনন্দন!
28129	Wrong.	8338251	ভুল।
36088	What?	8338255	কি?
36419	Why?	8338257	কিয়?
39996	Sorry...	8338259	বেয়া নাপাব...
39996	Sorry...	8338260	ক্ষমা কৰিব...
138919	Welcome.	8338261	আদৰিছোঁ।
138919	Welcome.	8338262	স্বাগতম।
138919	Welcome.	8338263	আদৰণি জনাইছোঁ।
52027	Wow!	8338264	বাঃ!
31567	Almost.	8338265	প্রায়।
31567	Almost.	8338266	প্ৰায়েই।
16492	What are you doing?	6406026	কি কৰি আছা?
70623	What is your name?	6443040	তোমাৰ নাম কি?
70623	What is your name?	6443041	তোৰ নাম কি?
70623	What is your name?	6443042	আপোনাৰ নামটো কি?
70623	What is your name?	6443043	তোমাৰ নামটো কি?
70623	What is your name?	6443038	আপোনাৰ নাম কি?
39575	Texas is nearly twice as large as Japan.	8338491	টেক্সাছ জাপানতকৈ প্ৰায় দুগুণ ডাঙৰ।
2829863	There's nothing you can do to help her.	8338493	তাইক সহায় কৰিবলৈ তুমি কৰিবলগীয়া একো নাই।
2829863	There's nothing you can do to help her.	8338496	তাইক সহায় কৰিবলৈ তুমি একো কৰিব নোৱাৰা।
2829863	There's nothing you can do to help her.	8338500	তেওঁক সহায় কৰিবলৈ আপুনি একো কৰিব নোৱাৰে।
6360674	I see your father's garden.	8338505	মই তোমাৰ দেউতাৰ বাগিচা দেখিছোঁ।
6360674	I see your father's garden.	8338507	মই আপোনাৰ দেউতাৰ বাগিচা দেখিছোঁ।
1357269	Don't look!	8338509	নাচাবাঁ!
564159	I'm back.	8338511	মই ঘূৰি আহিলোঁ।
564159	I'm back.	8338512	মই উভতি আহিছোঁ।
934437	You can't run in school.	8338513	তুমি স্কুলত দৌৰিব নোৱাৰা।
934437	You can't run in school.	8338514	আপুনি স্কুলত দৌৰিব নোৱাৰে।
6435535	Tom waited outside for thirty minutes.	8338517	টমে বাহিতৰ আধাঘণ্টা অপেক্ষা কৰিছে।
6435535	Tom waited outside for thirty minutes.	8338518	টমে বাহিতৰ ত্ৰিশ মিনিট অপেক্ষা কৰিছে।
6435535	Tom waited outside for thirty minutes.	8338520	টমে বাহিতৰ আধাঘণ্টা বাট চাইছে।
6528116	Tom didn't need to tell anybody anything.	8338524	টমে কাকো একো ক'বলগীয়া হোৱা নাই।
7518753	I've never told anybody about Tom.	8338527	মই টমৰ বিষয়ে কেতিয়াও কাকো কোৱা নাই।
1886348	Are you following me?	8338529	তুমি মোক ফ'ল' কৰি আছানে?
1886348	Are you following me?	8338530	আপুনি মোক ফ'ল' কৰি আছেনে?
1886348	Are you following me?	8338531	তুমি মোৰ পিছে পিছে আহি আছানে?
1886348	Are you following me?	8338532	আপুনি মোৰ পিছে পিছে আহি আছেনে?
1886348	Are you following me?	8338534	আপুনি মোক অনুসৰণ কৰি আছেনে?
1886348	Are you following me?	8338536	তুমি মোক মানি চলি আছানে?
1886348	Are you following me?	8338537	আপুনি মোক মানি চলি আছেনে?
1585572	I don't like very long holidays.	8338538	মোৰ বেছি দিঘলীয়া বন্ধ ভাল নালাগে।
1585572	I don't like very long holidays.	8338541	মোৰ বেছি দিঘলীয়া ছুটী ভাল নালাগে।
1095818	Tom baked a cake for Mary's birthday.	8338542	টমে মেৰীৰ জন্মদিনৰ বাবে এটা কেক বনালে।
569746	Uncle Vasya gave me a painting as a gift.	8338546	ভাছ্যা খুৰাই উপহাৰ হিচাপে মোক এখন ছবি দিলে।
569746	Uncle Vasya gave me a painting as a gift.	8338547	ভাছ্যা মামাই উপহাৰ হিচাপে মোক এটা পেইণ্টিং দিছে।
3921560	Tom doesn't like cops.	8338553	টমে পুলিচ ভাল নাপায়।
2956060	Tom asked us to be silent.	8338557	টমে আমাক চুপ থাকিবলৈ ক'লে।
609291	I can't talk.	8338566	মই কথা পাতিব নোৱাৰোঁ।
8338633	We've lived here for three years.	8338655	আমি ইয়াত তিনি বছৰ থাকিলোঁ।
8338642	Where does Tom really work?	8338657	টমে আচলতে ক'ত কাম কৰে?
8338612	That's the reason I accepted the offer.	8338660	সেই কাৰণেই মই অফাৰটো ল'লোঁ।
8338612	That's the reason I accepted the offer.	8338661	সেই কাৰণেই মই অফাৰটো গ্ৰহণ কৰিলোঁ।
8338613	That's the reason that I accepted the offer.	8338664	এইটোৱেই কাৰণ যে মই অফাৰটো ল'লোঁ।
8338611	That's why I accepted the offer.	8338666	সেই কাৰণে মই অফাৰটো ল'লোঁ।
2752881	I have another man in my life.	8365650	মোৰ জীৱনত আন এজন মানুহ আছে।
3356272	You know a lot about dogs, don't you?	8365652	আপুনি কুকুৰৰ বিষয়ে বহুত কিছু জানে, নহয়নে?
