1434	I love you.	859425	Maite zaitut.
1482	I don't speak Japanese.	412582	Ez dut japoniera hitz egiten.
1564	Thank you very much!	1333091	Eskerrik asko.
1564	Thank you very much!	1333094	Esker mila!
1564	Thank you very much!	1333125	Milesker!
1564	Thank you very much!	1333127	Esker aunitz!
1567	It's a surprise.	412583	Sorpresa bat da.
1613	Do you have a condom?	412612	Kondoirik ba al duzu?
1723	Merry Christmas!	3375451	Eguberri on!
1770	Creationism is a pseudo-science.	3372649	Kreazionismoa sasizientzia bat da.
1813	It's cold.	412584	Hotza dago.
1860	I don't want to go to school.	880252	Ez dut eskolara joan nahi.
1862	It is raining.	412585	Euria ari du.
2077	"Thank you." "You're welcome."	1333105	"Eskerrik asko." "Zuri."
2077	"Thank you." "You're welcome."	1333107	"Esker aunitz." "Deusetaz."
2099	Everyone would like to believe that dreams can come true.	967798	Denori ametsa gauza lezakela sinesteko gogoa heltzen zaio.
2216	Don't forget about us!	412586	Ez ahaztu gurekin gero!
2317	That's the snag.	922367	Hortxe dago gakoa.
2322	It's not important.	412587	Ez du garrantzirik.
2424	Don't forget the ticket.	412589	Ez ahaztu txartelik.
2441	I'm glad to see you back.	412592	Pozik nago bueltatu zarelako.
16274	What do you like?	750948	Zer gustatzen zaizu?
16492	What are you doing?	412637	Zer ari zara egiten?
17262	There is a big hole in your stocking.	3372193	Zulo handi bat daukazu galtzerdian.
18036	Where was it that you found this key?	3375435	Non aurkitu zenuen giltza hau?
18185	I'll drive you to the airport.	412640	Nik gidatuko zaitut aireporturaino.
18823	Thank you for not smoking.	1333134	Milesker ez erretzeagatik.
18823	Thank you for not smoking.	1333135	Eskerrik asko ez erretzeagatik.
18924	A mirror reflects light.	3372318	Ispiluak argia islatzen du.
18929	Thank you for your interest.	1333136	Eskerrik asko zuen arretagatik.
18929	Thank you for your interest.	1333137	Milesker zure arretagatik.
19142	Oh! Show it to me please.	412645	Oh! Erakuts iezadazu faborez.
20384	It's just your imagination.	412648	Haren imajinazioa besterik ez da.
20566	There is an apple on the desk.	412650	Sagar bat dago idazmahai gainean.
20913	Observation is a passive science, experimentation an active science.	3372636	Behaketa zientzia pasiboa da, esperimentazioa, ordea, zientzia aktiboa.
21307	It's our pleasure.	412655	Pozten gara.
21347	It was an advantage having learned Chinese while I was in school.	858631	Abantaila bat izan zen txineraz ikastea ikastolan nenbilela.
21678	Do you remember?	412658	Gogoratzen al zara?
22222	Oceans do not so much divide the world as unite it.	917100	Ozeanoek ez dute mundua zatitzen, elkartu baizik.
22976	We are in the era of atomic energy.	3372159	Energia nuklearraren aroan gaude.
24007	I do not like science.	3372657	Ez dut zientzia gustuko.
24007	I do not like science.	3372658	Ez dut zientzia atsegin.
24292	The summer grass covers the ground.	915514	Udako belarrak lurra estaltzen du.
24692	What should I bring?	412673	Zer eraman behar dut?
25400	I cheered myself up by listening to music.	413150	Musika entzunez igo nuen nire animoa.
25506	Was I wrong?	1326859	Oker nengoen?
26197	Let's speak English.	3387005	Egin dezagun ingelesez.
26197	Let's speak English.	3387007	Hitz egin dezagun ingelesez.
26425	I will love you always.	858089	Beti maiteko zaitut.
26825	We had hoped that the rain would stop before noon.	917089	Euria botatzeari utziko siola espero genuen.
29194	There is a church near my house.	858654	Eliza bat dago nire etxetik gertu.
29197	I am beginning to understand.	858656	Ulertzen hasia nago.
29198	I don't know. It all happened in an instant.	858659	Ez dakit. Bapatean gertatu zen dena.
29203	Don't hesitate to ask questions if you don't understand.	858667	Ez zalantzarik izan galdetzerakoan ulertzen ez baduzu.
29313	I ordered a book from London.	927710	Londresetik liburua eskatuko dut.
29404	If you have ever visited Rome, you must have seen the Coliseum.	658301	Roma inoiz bisitatu baldin baduzu, Koliseoa ikusia izan behar duzu.
29406	Rome is a city worth visiting.	658302	Roma bisitatzea merezi duen hiria da.
29408	Rome has a lot of charm for me.	658304	Romak niretzat xarma asko du.
29514	Smoking in the restaurant was forbidden.	3382641	Jatetxean erretzea debekatuta zegoen.
