1326	Are you sure?	869805	Sur out?
1482	I don't speak Japanese.	428392	Ne gomzan ket japaneg.
1813	It's cold.	428098	Yen eo.
1862	It is raining.	428502	Glav a ra.
2322	It's not important.	428503	N'eo ket strik.
16492	What are you doing?	428394	Petra emaout oc'h ober?
29617	Do you like apples?	427882	Avaloù a blij dit?
31195	It's late.	428541	Diwezhat eo.
38244	I had my money stolen somewhere.	2571691	Laeret eo bet ma arc'hant diganin un tu bennak.
42106	It was too difficult for me.	429935	Re ziaes e oa evidon.
51142	I hope so.	693536	Emichañs.
54845	There were many people at the concert.	429259	Kalz a dud a oa er sonadeg.
55814	This wasn't cheap, was it?	428285	Ne oa ket marc'had-mad an dra-se, keta?
56506	This food is too salty.	1080078	Re sall eo ar boued-mañ.
62196	Will you have some coffee?	1006029	Kafe az po?
64288	You've taken everything.	693534	Kemeret ho peus pep tra.
65989	When were you born?	429298	Pegoulz out bet ganet?
69058	Do you speak Japanese?	2766379	Komz a rit japaneg?
69436	Do you like black cats?	429275	Ar c'hizhier du a blij dit?
73747	"What time is it?" "It is ten-thirty."	1068065	"Pet eur eo?" "Dek eur hanter."
73848	"Is it possible to catch AIDS from toilet seats?" "No, it isn't."	2570585	Ha gallout a reer tapout ar SIDA abalamour da azezennoù ar privezioù ?
242881	It's hot today.	509017	Tomm eo hiziv.
250053	Don't talk to me!	1054879	Na gomzit ket din!
251882	My book is on your desk.	3117177	War da vurev emañ ma levr.
259288	I'm healthy.	427775	Yac'h on.
261221	I love her.	2123890	Karout a ran anezhi.
272174	She used to be a very shy girl.	645774	Ur plac'h lent e oa.
280576	Are you single?	1006036	Dizimez out?
280576	Are you single?	1006037	Dizimez oc’h?
282567	Is it white?	2123891	Gwenn eo?
290445	Did he go there?	1079465	Aet eo eno?
321500	Where is my watch?	938245	Pelec’h emañ va montr?
322503	She was late once again.	902957	Diwezhat e oa adarre.
349064	I don't know.	2760206	Ne ouian ket.
349064	I don't know.	428504	N'ouzon ket.
349064	I don't know.	2760208	Ne oaran ket.
373320	How are you?	1080919	Mat ar jeu?
375828	Watch out!	428309	Diwall!
375828	Watch out!	923892	Diwallit!
379143	Do you want to go?	944998	C’hoant az peus da zont?
392339	The house is pretty.	869804	Koant eo an ti.
397441	Do you have two computers?	962685	Daou urzhiater az peus?
423405	It's hot.	2331230	Tomm eo.
426950	Good night!	923758	Noz vat!
427988	Do you eat meat?	428391	Debriñ a rez kig?
428082	Please reply.	428172	Respontit mar plij.
428084	He's in Tokyo.	428387	E Tokyo emañ.
433459	It's impossible.	1033635	Ne c’hall ket bezañ.
433468	I understand.	869802	Kompren a ran.
433692	It's lunch time.	2123892	Poent eo debriñ.
434532	Do you agree?	1033454	A-du emaout?
434532	Do you agree?	1033456	A-du emaoc’h?
436427	I am sick.	1066421	Klañv on.
436433	I am sure.	2766371	Sur on.
444986	I live here.	2123887	Emaon o chom amañ.
444986	I live here.	2123888	Amañ emaon o chom.
448645	Thanks!	428108	Trugarez!
450137	Who is that person?	740927	Piv eo an den-se?
462430	Shut up!	1408681	Serr da veg.
477086	Yes.	1641629	Ya.
488778	Who is this person?	1056739	Piv eo an den-mañ?
495580	She's teaching us French.	1079114	Kelenn a ra Galleg dimp.
508463	I'm in a hurry.	923976	Pres zo warnon.
625545	I own this car.	2331154	Din eo ar c'harr-se.
681022	Friends do things together.	2331461	Ar vignoned a ra traoù asambles.
681022	Friends do things together.	2331462	Ar vignoned a ra traoù a-gevret.
692207	I like to travel.	1042505	Beajiñ a blij din.
706879	How much does a room cost?	1068056	Pegement e koust ur gambr?
879079	Yep.	1641629	Ya.
891930	I want to die with Getter Jaani.	921486	Fellout a ra din mervel gant Getter Jaani.
891930	I want to die with Getter Jaani.	923034	C’hoant am eus da vervel gant Getter Jaani.
908422	I won't do that. I'd rather die.	1757006	Ne rin ket se. Kentoc’h mervel.
918992	Magdalena is interested in geography.	923849	Douaroniezh a blij da Vagdalena.
924165	Studying a foreign language is hard.	924176	Diaes eo studial ur yezh estren.
943665	Hooray!	943668	You!
954736	You can't eat here.	954879	Ne c’hallit ket debriñ amañ.
960034	I don't speak Spanish.	960079	Ne gomzan ket spagnoleg.
1067015	Are you awake?	1067004	Dihun out?
1073708	This house is not very big.	1073821	N’eo ket gwall vras an ti-se.
1079060	She is teaching us French.	1079114	Kelenn a ra Galleg dimp.
1079082	He still has not written the letter.	1079111	N’en deus ket skrivet al lizher c’hoazh.
1079091	My father isn't at home.	1079099	N’emañ ket va zad er gêr.
1096007	Tom and Mary both enjoyed that movie.	2571689	Plijet eo bet ar film-se da Dom ha da Vari o-daou.
1129621	Have you got the money?	1129686	An arc’hant az peus?
1233508	I go to school every day.	1234295	Mont a ran d’ar skol bemdez.
1233508	I go to school every day.	1234297	Bemdez ez an d’ar skol.
1361325	This sentence is not French.	792283	Ar frazenn-se n'eo ket galleg.
1394266	The car is blue.	1796949	Glas eo ar c’harr-tan.
1394266	The car is blue.	1796950	Ar c’harr-tan a zo glas.
1399479	Burj Khalifa is currently the tallest skyscraper in the world.	1499828	Burj Khalifa eo ar skraber-oabl uhelañ ar bed hiziv an deiz.
1399479	Burj Khalifa is currently the tallest skyscraper in the world.	2331238	Burj Khalifa eo ar skraber-oabl uhelañ er bed.
1701518	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday are the seven days of the week.	865574	Lun, Meurzh, Merc'her, Yaou, Gwener, Sadorn, Sul a zo seizh deiz ar sizhun.
1739743	I've been attacked.	2314091	Taget on bet.
1754768	He's tall and gorgeous.	1754876	Bras ha brav eo.
1877520	Tom pretended he couldn't understand French.	2571651	Tom a rae van nompas kompren galleg.
614312	One language is never enough.	1959750	Ur yezh hepken n'eo ket a-walc'h.
2163151	The book is on the table.	2345992	Al leor ema war an daol.
2243267	They need friends.	2571655	Ezhomm o deus mignoned.
2412739	I have two cats.	3081380	Daou gazh am eus.
2445198	I'm eating an apple.	2676218	Me a zebr un aval.
3090983	There are people going home.	3090986	Tud zo o vont d’ar gêr.
3090990	There are two hundred pages.	3090992	Daou c’hant pajenn zo.
3116496	She's reading.	3117162	Emañ hi o lenn.
3138037	The horse is black.	3138038	Du eo ar c’hezeg.
5257037	The horse is white.	3138561	Gwenn eo ar c’hezeg.
3143476	The horse is not white.	3154155	N’eo ket gwenn ar c’hezeg.
3179083	It's midday.	3179109	Kreisteiz eo.
3663249	There are islands in the sea.	3663260	Enesennoù so er mor.
3677845	I'm trying to learn English.	3677858	Me so o h-essae diskiñ Saosneg.
281873	Sunday is the last day of the week.	3923691	Ar Sul 'zo deiz diwezhañ ar sizhun.
3932822	There are a lot of big cities in Brazil.	3933211	Bez 'zo ur bern kerioù bras e-barzh ar Brazil.
1431	Where is the problem?	3957975	Pelec'h eman ar gudenn?
2136	Where is the bathroom?	3957983	Pelec'h emañ ar sal-gibellañ?
348790	My hovercraft is full of eels.	4419025	Leun gant sili eo ma dourruzer
35020	Have you ever been to Paris?	4635626	Bet out e Paris ur wezh bennak?
2271887	I don't need anything.	4635737	N'em eus ket ezhomm seurt ebet.
2764252	He dressed up as a woman.	4635775	’N em wisket e oa 'vel ur plac'h.
701897	More coffee, please.	4636647	Ur bane kafe c'hoazh, mar-plij.
1064331	It wasn't my fault.	4639494	Ne oa ket dre ma faot.
2376663	I know you're going to say no.	4639668	Me 'zo sur ec'h ez da lavaret nann.
2892382	Tom was very scared.	4639939	Tom en doa aon da vat.
387384	A cat came out from under the desk.	4641832	Deuet e oa ur c'hazh eus dindan an daol.
3030776	There's no reason to be afraid.	4642317	N'eus ket ezhomm da gaout aon e mod ebet.
547389	This is not a sentence.	4642393	Homañ n'eo ket ur frasenn.
35020	Have you ever been to Paris?	4645517	Bet out bet e Pariz dija?
2271887	I don't need anything.	4645519	Me, n'em eus ezhomm eus netra.
2764252	He dressed up as a woman.	4645520	Gwisket e oa evel ur vaouez.
701897	More coffee, please.	4645523	Muioc'h kafe, mar plij.
1064331	It wasn't my fault.	4645524	Ne oa ket dre va fazi.
2376663	I know you're going to say no.	4645527	Gouzout a ran ervat e vo lavaret ket ganeoc'h.
2892382	Tom was very scared.	4645528	Aonik e oa Tom.
387384	A cat came out from under the desk.	4645531	Dont a reas ur c'hazh eus dindan an daol-skrivañ.
3030776	There's no reason to be afraid.	4645533	N'eus abeg ebet da vezañ spontet.
547389	This is not a sentence.	4645534	Se n'eo ket ur frazenn.
34843	A beer, please.	924953	Ur bier, mar plij!
1205289	Welcome to Tatoeba!	1016208	Donemat deoc’h e Tatoeba.
1205289	Welcome to Tatoeba!	893959	Donemat deoc’h e Tatoeba!
448645	Thanks!	5239698	Trugarez !
448645	Thanks!	5239699	Mersi !
2057650	Thanks.	5239703	Trugarez.
2057650	Thanks.	5239705	Mersi.
2057650	Thanks.	5239708	Bennozh.
448645	Thanks!	5239710	Bennozh !
67369	Thanks, Yukina.	5239714	Trugarez, Yukina.
67369	Thanks, Yukina.	5239716	Mersi, Yukina.
67369	Thanks, Yukina.	5239718	Bennozh, Yukina.
322178	Many thanks.	5239721	Mil drugarez.
322178	Many thanks.	924172	Trugarez vras.
322178	Many thanks.	5239725	Mil bennozh.
322178	Many thanks.	924173	Mersi bras.
370585	Thank God.	5239728	Bennozh doue.
374827	Thank you!	5239731	Trugarez dit !
374827	Thank you!	5239732	Mersi dit !
374827	Thank you!	5239733	Bennozh dit !
432878	No, thanks.	5239736	Ket, trugarez.
1102676	Thanks, brothers.	5239739	Trugarez, ma breudeur.
3823878	Are you here?	5240628	Amañ emaout ?
1052358	Winter is coming.	5240711	Goañv 'zo tont.
288121	He has a dog.	2256780	Ur c'hi en deus.
2582690	I translate what I want!	5265873	Treiñ a ran ar pezh a fell din !
4711434	Pray for Paris.	5287008	Pediñ evit Pariz.
5323801	The sound of money is a language known in every country.	5323799	Son an argant 'zo ur yezh anavezet e pep bro.
2770644	Lol!	5323818	NAF !
2871142	Lol, what?	5323820	NAF, petra ?
3089551	Lol, this is so funny.	5323826	NAF, ken farsus ez eo.
3089551	Lol, this is so funny.	5323827	NAF, ken fentus ez eo.
3089551	Lol, this is so funny.	5323828	NAF, na farsus eo.
3089551	Lol, this is so funny.	5323829	NAn, pegen farsus eo.
25729	Pass me the salt, please.	5515857	Ro din an holen, mar plij.
25730	Will you pass me the salt?	5515859	Reiñ a ri an holen din ?
25732	If you are done with the salt, please pass it to me.	5515865	M'az peus echuet gant an holen, ro anezhañ din mar plij.
1499507	There's a lot of fruit.	5515867	Bezañ 'zo kalz frouezh.
558501	Being bald has at least one advantage - you save a lot on shampoo.	5669433	Bezañ moal a ginnig ur perzh mat da vihanañ - espern a rit ur bern a champoiñ.
4781173	Who ate all the cookies?	5669446	Piv en deus debret an holl gookies?
4781173	Who ate all the cookies?	5669448	Gant piv eo bet debret an holl gookies?
3130003	It's raining in my heart.	5669449	Glav a ra em c'halon.
3130003	It's raining in my heart.	5669450	Emaén oc'h ober glav e-barzh va c'halon.
3130003	It's raining in my heart.	5669451	E-barzh va c'halon e ra glav.
3130003	It's raining in my heart.	5669452	E-barzh va c'halon e ra glav ennañ.
2245998	I need advice.	5669453	Ezhomm em eus eus un ali.
2245998	I need advice.	5669454	Un ali em eus ezhomm.
3667098	Kissing a smoker is like licking an ashtray.	5669456	Pokat d'unan a vutun a zo evel lipat ul luduer.
3667098	Kissing a smoker is like licking an ashtray.	5669457	Pokat d'unan a vutun a zo evel lipat ur pod-ludu.
5756997	I have seen an ostrich at the zoo.	5756991	Ur struskañval em eus gwelet er zoo.
5757002	I have caught an eel.	5756998	Ur silienn em eus pesketaet.
5757009	Take the watering-can with you.	5757005	Kas an douraer ganit.
5757013	Have you seen an eagle?	5757011	Un erer bras 'zo bet gwelet ganit?
5757022	There are several kinds of anchors.	5757016	Meur a zoare eor a zo.
5757031	Look! An abelia!	5757028	Sell, ur wezenn abelia.
5757041	Look, an apricot tree!	5757033	Sell, ur wezenn abrikez.
5757046	Look, a Japanese apricot tree!	5757043	Sell, ur wezenn abrikez japanat!
5757052	Look, an acacia!	5757049	Sell, ur wezenn akasia.
5757060	Look, a rose acacia!	5757055	Sell, ur wezenn akasia roz.
5757073	Look, a mahogany!	5757064	Sell, ur wezenn akajoù.
5757078	Look, an acerola!	5757075	Sell, ur wezenn aserola.
5757081	Look, an acokanthera!	5757079	Sell, ur wezenn akokantera.
5757086	Look, an adenium!	5757083	Sell, ur wezennig adenia.
5757086	Look, an adenium!	5757088	Sell, ur wezennig adenium.
5757094	Look, an agave!	5757093	Sell, un agavezenn.
5757099	Look, an ailanthus!	5757096	Sell, ur wezenn ailant.
5757112	Look, a lowbush cranberry!	5757102	Sell ur wezennig lusenn-ruz.
2243242	They lost again.	5845388	Kollet o deus adarre.
2243242	They lost again.	5845389	Kollet o deus c'hoazh.
2248181	I'm not special.	5845390	N'on ket ispisial.
2243100	They didn't run.	5845391	N'o deus ket redet.
16491	How about you?	5845392	Ha ganit?
2248215	I'm pretty sure.	5845393	Kazi sur on.
2248191	I'm not waiting.	5845398	Ne c'hortozan ket.
2248191	I'm not waiting.	5845399	Gortozan ket.
2248191	I'm not waiting.	5845400	'C'hortozan ket.
2248192	I'm not working.	925670	Ne labouran ket.
2248192	I'm not working.	5845401	Labouran ket.
1885879	How much is that?	5845402	Pegement eo se?
283456	He sang a song.	5845403	Kanet en deus ur ganaouenn.
283456	He sang a song.	5845404	Ur ganaouenn en deus kanet.
2245904	I haven't slept.	5845405	N'em eus ket kousket.
2245883	I have finished.	5845409	Echuet em eus.
2247403	I see something.	5845414	Gwelout a ran un dra bennak.
2247403	I see something.	5845415	Un dra bennak a welan.
2247403	I see something.	5845416	Me a wel un dra bennak.
2247654	I'd rather stay.	5845417	Gwelloc'h eo din chom.
2247703	I'll come alone.	5845418	Deuet on ma unan.
2247703	I'll come alone.	5845419	Deuet on va unan.
2247870	I'll try harder.	5845420	Klask a rin diaesoc'h.
2247879	I'll work alone.	5845421	Labourat a rin ma unan.
2247879	I'll work alone.	5845422	Labourat a rin va unan.
2247879	I'll work alone.	5845424	Ma unan e labourin.
2247879	I'll work alone.	5845426	Va unan e labourin.
2247911	I'm almost sure.	5845393	Kazi sur on.
2248114	I'm never wrong.	5845428	Ne fazian gwech ebet.
2248114	I'm never wrong.	5845429	Ne fazian morse.
2244703	Tom plays rugby.	5845430	Tom a c'hoari rugby.
2244703	Tom plays rugby.	5845431	Rugby a c'hoari Tom.
2244703	Tom plays rugby.	5845432	C'hoari a ra Tom rugby.
2244718	Tom wanted that.	5845433	C'hoant en doa an dra-mañ Tom.
2244718	Tom wanted that.	5845435	Tom a c'hoantae an dra-mañ.
2245030	Call the police.	5845440	Galv ar polis.
2243360	They went crazy.	5845441	Troet int da foll.
2243374	They were dying.	5845443	O vervel e oant.
2243374	They were dying.	5845444	Mervel a raent.
2244965	Are you sisters?	5845446	C'hoarezed oc'h?
2244965	Are you sisters?	5845448	C'hoarezed emaoc'h?
2244953	Are you jealous?	5845449	Ha gwarizius out?
2244953	Are you jealous?	5845450	Ha jalous out?
2244953	Are you jealous?	5845452	Gwarizius out?
2244953	Are you jealous?	5845453	Jalous out?
2243559	They'll go away.	5845457	Mont a raint kuit.
2243559	They'll go away.	5845458	Mont a raint diwar-wel.
