1294	Education in this world disappoints me.	856566	L'educació d'aquest món em decep.
1437	Congratulations!	466595	Enhorabona!
1560	You're lucky because he didn't bite you.	1405562	Has tingut sort perquè no t'ha mossegat.
1564	Thank you very much!	465490	Moltes gràcies.
1564	Thank you very much!	2491578	Moltes gràcies!
1571	They were left speechless.	1405564	Es van quedar sense paraules.
1579	Oh, I'm sorry.	1405565	Vaja, em sap greu.
1581	The only useful answers are those that raise new questions.	2125636	Les úniques respostes útils són les que creen noves preguntes.
1621	"Ah!" is an interjection.	1405566	"Ah!" és una interjecció.
1759	He plays the piano very well.	877606	Ell toca el piano molt bé.
1813	It's cold.	639332	Fa fred.
1860	I don't want to go to school.	3633405	No vull anar a l'escola.
2125	I don't have the strength to keep trying.	878065	No tinc la força per continuar triant.
2156	What... you still don't know how to drive?	507945	Què? Encara no saps conduir?
2159	Freedom is not free.	507949	La llibertat no és gratuïta.
2235	I am four months pregnant.	507937	Estic embarassada de quatre mesos.
2433	Who is coming with me?	1519309	Qui ve amb mi?
14530	You told her that you had finished the work three days before.	467312	Li vas dir que havies enllestit la feina feia tres dies.
16427	Are you planning on staying long in Berlin?	1518853	Penses quedar-te molt de temps a Berlin?
16427	Are you planning on staying long in Berlin?	1518855	Penseu quedar-vos molt de temps a Berlin?
16551	Did you buy it on the black market?	1448193	Ho vas comprar al mercat negre?
16793	You are a good boy.	879432	Ets un bon noi.
16906	What's your real purpose?	854009	Quin és el teu propòsit real?
17190	Make your choice.	865227	Fes la teua elecció.
17400	Here is your bag.	876137	Aquí és la teva bossa.
17773	I am going to do it whether you agree or not.	877281	Ho faré, estigueu o no d'acord amb mi.
18086	Take off your socks, please.	878188	Sisplau, lleva't els mitjons.
18368	I'm sick. Will you send for a doctor?	1532319	Estic malalt. Oi que avisaràs un metge?
18565	We must cut our expenses to save money.	2491621	Hem de reduir la despesa per tal d'estalviar diners.
19047	Get out of the classroom.	1976657	Surt de la classe.
19635	Suddenly, it started to look almost nice and warm.	859361	De sobte, va començar a semblar gairebé agradable i càlid.
19960	Most people killed by smoking were not heavy smokers.	507012	La major part de la gent que ha mort a causa del tabac no eren grans fumadors.
20212	It is still fresh in my memory.	1405571	Encara ho tinc fresc a la memòria.
21259	It's a piece of cake.	467310	Això és bufar i fer ampolles.
21287	Enjoy your trip.	465517	Bon viatge.
21472	My time in school will be one of my happiest memories.	1527515	Els meus dies d'escola seran un dels records més feliços.
21858	It was careless of her to leave the door unlocked when she went out.	780960	Va ser negligent per la seva part deixar la porta sense tancar amb clau quan ella va sortir.
23004	We knocked at the door for five minutes, but in vain.	853688	Vam trucar a la porta durant cinc minuts, però va ser en va.
23021	We must control our passions.	877338	Hem de controlar les nostres passions.
23457	Our team competed with a powerful rival.	855177	El nostre equip va competir amb una forta competència
23524	It takes us thirty minutes to walk from here to the station.	822961	D'aquí a l'estació triguem mitja hora a peu.
24654	The reason is because I can speak Chinese.	875369	Perquè sé parlar xinès.
25095	Can I help you?	1772209	Puc ajudar?
25158	What is going on?	2788312	Què hi ha?
25158	What is going on?	2788313	Què passa?
26041	Where is the railroad station?	507924	On és l'estació de ferrocarrils?
26203	I'm studying English.	856644	Estic estudiant anglès.
26359	Answer in English.	1523396	Contesta en anglès!
26747	Rain prevented us from taking a walk.	859508	La pluja ens ha impedit fer una passejada.
26753	The baseball game was called off due to rain.	854753	El partit de beisbol va ser cancel·lat a causa de la pluja
27244	The youngest boy dropped behind the other hikers.	780968	El noi més jove és va quedar enrere dels altres excursionistes.
27253	Where's the nearest travel agency?	795059	On és l'agència de viatges més propera?
27259	Where is the nearest bank?	779099	On està el banc més proper?
27650	Instead of going myself, I sent a messenger.	859482	En comptes d'anar jo mateix, he enviat un missatger.
27834	I paid in a lump sum when I bought a television set.	467530	Em vaig comprar la tele d'una tacada.
27892	Do you have medical insurance?	1527505	Teniu assegurança mèdica?
28774	We took pride in our strength.	859310	Prenem orgull en la nostra força.
28915	Stop yelling, I beg you.	1527470	Et prego que paris de cridar.
29846	The lion is the king of the jungle.	2788650	El lleó és el rei de la selva.
30190	Show me how to do it, please.	1017978	Mostra'm com es fa, per favor.
31282	We would have bought the plane tickets if the price had been a little lower.	1527467	Hauríem comprat els bitllets d'avió si el preu fos un pèl més baix.
31390	No, thank you.	465491	No, gràcies.
31873	Mary left her sister to clean the windows.	1955147	Mary va deixar que sa germana netegés els vidres.
32086	Everyone hoped that she would win.	1758381	Tothom esperava que guanyés.
32188	Everyone was listening very carefully.	877195	Tots estaven escoltant atentament.
32327	She looks as if she's laughing to herself.	507051	Sembla que rigui tota sola.
32578	I'll call him later.	877118	Li cridaré més tard.
32672	See you soon!	465535	Fins ara!
32975	How are you, Mike?	859546	Com estàs, Mike?
33141	Here is my bicycle.	780967	Aquí està la meva bicicleta.
33574	You can come with me.	877127	Pots venir amb mi.
33856	Helen Keller was deaf and blind.	877222	Hellen Keller era sorda i cega.
34124	Do you remember what day of the week Blue Sky Sports is closed?	856528	Recordes quin dia de la setmana tanca Blue Sky Sports?
34175	France is in western Europe.	467491	França és a l'Europa Occidental.
35457	I got lost when I visited you for the first time.	1532314	Em vaig perdre quan et vaig visitar per primer cop.
35602	What was the score at halftime?	780992	Quin era el resultat en la mitja part?
35835	Will you marry me?	856408	Vols casar-te amb mi?
36154	What do you want to talk to me about?	1519288	De què vols parlar amb mi?
36176	Does Nancy have to do her homework now?	875316	Ha de fer els seus deures ara la Nancy?
36185	Nancy is from London.	1583124	Nancy és de Londres.
36351	Why are you angry with him?	2339648	Perquè estas enfadat amb ell?
36352	Why didn't you dance with him?	855778	Perque ballares amb ell?
37092	Tom is accustomed to calling up girls on the telephone.	1518851	En Tom acostuma a trucar noies.
37243	Tom doesn't like cheese.	855357	A Tom no li agrada el formatge.
38125	Where will you be staying?	1519031	On t'estaràs?
38268	Please write to me from time to time.	467430	Escriu-me de tant en tant, sí?
38376	I'm afraid I caught a cold.	467605	Em sembla que he agafat un constipat.
38973	When did you come back from Germany?	875477	Quan vas tornar d'Alemanya?
38994	He painted the door blue.	856632	Va pintar la porta de blau.
39039	The door is locked at nine o'clock.	877374	La porta es tanca amb clau a les nou.
39175	I'll do my homework after I watch television.	507955	Faré els deures després de veure la televisió.
39401	Dennis lay flat on the floor.	859561	Dennis estava estirat en el sòl.
39406	Tennis is very popular among students.	856623	El tenis és molt popular entre els estudiants.
39631	There were four chairs by the table.	856443	Hi havia quatre cadires a prop de la taula.
40340	No one ran ahead of him.	859572	Ningú va córrer davant d'ell.
40987	I've had enough, so my stomach is full.	857590	Ja he tingut suficient, el meu estómac està ple.
41302	I didn't know you were that kind of a person.	467581	No sabia que eres així.
42097	It is a book.	2223274	És un llibre.
42388	It's a wholly new experience for me.	1976652	És una nova experiència per a mi.
42742	That's a bright idea.	1519299	És una idea brillant.
43091	That's the cause of his failure.	877159	Aquella és la causa del seu fracàs.
43212	Let me try it.	877432	Deixa'm intentar-ho.
43450	You will miss the train.	878129	Perdràs el tren.
43852	I wanted to buy the book, but I found I had no more than 200 yen with me.	1758370	Volia comprar el llibre, però vaig adonar-me que no duia més de 200 iens.
44859	The store can supply us with anything we need.	865211	La tenda pot proporcionar-nos qualsevol cosa que necessitem.
45018	The bird's wing was broken.	1764566	L'ala de l'ocell estava trencada.
46055	The decay of the shrine is due, in part, to acid rain.	586206	La decadència del santuari és deguda, en part, a la pluja àcida.
46181	The information is useful to a great many people.	1976686	La informació és útil a un gran nombre de persones.
46381	The boy talks as if he were a girl.	856448	El nen parla com si fos una nena.
46792	The youngster resented being treated as a coward.	855376	El jove es va ressentir per ser tractat com un covard.
47616	Will the work be finished by tomorrow?	467377	Estarà enllestida la feina per a demà?
49341	You'll find the house empty.	507116	Et trobaràs la casa buida.
50010	The butter smells good.	854329	La mantega fa bona olor.
