1421916	I have to go to the toilet.	3626659	Kinahanglan ko moadto sa kasilyas.
1399479	Burj Khalifa is currently the tallest skyscraper in the world.	4272791	Ang Burj Khalifa ang pinaka tag-as nga edipisyo sa kalibutan.
4625630	I don't like his language.	4625763	Dili ko gusto ning lengwahea.
4625635	That way of thinking influenced a lot of people.	4625768	Daghang nagalgal anang matanga sa panghunahuna.
4625684	Some people think Mary was poisoned.	4625769	May mga nagtuong gihiloan si Mary.
4625687	How?	4625770	Unsaon?
4625694	When?	4625771	Kanus-a?
4625700	How many?	4625772	Pila?
4625703	How did you fall into the swamp? Somebody pushed us.	4625774	Giunsa ninyo pagkahulog sa lim-aw? May mituklod namo.
329713	Good morning!	4625794	Maayong buntag!
4625622	Generally, Americans prefer big cars.	4625889	Sagad sa Kano, dagkong sakyanay ganahan.
4625621	She is teaching us English.	4625895	Iya ming gitudloag Iningles.
4625615	We have a dog.	4625898	Duna miy iro.
4625607	Return to the sender.	4625899	Iuli kuyog sa nagpadala.
4625607	Return to the sender.	4625900	Iuli nadtos nagpadala.
4625614	She met a new friend in school today.	4625903	Karong adlawa, nakakita siyag bag-ong higala sa tunghaan.
4625326	What is the hope for humankind if the smart people are a very small minority?	4625915	Unsa na man lay paglaom sa katawhan kon pipila lang ug minoriya pa jud niini ray but-an.
4625321	Many people are older, but not wiser.	4625922	Daghang mitigulang apan wala manigulang.
64049	Dad is a hard worker.	4626184	Kugihan si tatay.
1434	I love you.	4629740	Gihigugma ta ka.
1435	I don't like you anymore.	4629742	Wala na koy gusto nimo.
1436	I am curious.	4629744	Buot ko masayod.
1437	Congratulations!	4629748	Pahalipay!
1437	Congratulations!	4629749	Pasidungog!
1438	I don't want to wait that long.	4629755	Dili ko gustog ing ana kadugayg pinaabot.
1439	Why don't you come visit us?	4629758	Nganong dili mo man nuon mi duawon?
1440	But the possibility seems unlikely.	4629759	Kuli ra nang mahitabo.
1442	I shouldn't have logged off.	4629771	Wala lang usa ko mobiya.
1443	I don't know what to do anymore.	4629775	Wala na ko masayod unsa pay buhaton.
1444	It is inevitable that I go to France someday, I just don't know when.	4629783	Moabot ra man jung maadto kog Pransya, wala lang kabalo kanus-a.
1445	I hate chemistry.	4629795	Dili ko ganahan og Kemistri.
4629786	Tom was arrested later that morning.	4629813	Gisikop si Tom pag talimudto.
4629790	Tom got to do something.	4629823	Kinahanglan may buhaton si Tom.
4497148	Tom decided to wait.	4629826	Nakahukom si Tom nga magpaabot.
4629794	Tom did as promised.	4629840	Gibuhat ni Tom suma sa gibahad.
4629796	Tom tried and failed.	4629846	Gisulayan og buhat ni Tom apan pakyas.
4629801	Tom was taken into custody.	4629859	Gibilanggo si Tom.
4629802	Tom was a self-made millionaire.	4629866	Nadato si Tom nga iya rang paningkamot.
4629803	Tom masterminded his father's death.	4629875	Si Tom ang mipasiugdang patyon ang iyang amahan.
4629807	Tom didn't act alone.	4629884	Dili to inusarang gibuhat ni Tom.
4629810	Tom offered Mary a third of his inheritance.	4629892	Gitanyag ni Tom kang Mary ang ikatulong bahin sa iyang mapanunod.
4629811	Tom talked to Mary about the robbery.	4629896	Gisuginlan ni Tom si Mary bahin sa kawat.
4629811	Tom talked to Mary about the robbery.	4629898	Gisuginlan ni Tom si Mary bahin sa tulis.
4629812	Tom considered Mary a piece of garbage.	4629903	Gipakabasura ni Tom si Mary.
4629817	Tom served 30 years for second degree murder.	4629920	Mialagad og 30 ka tuig si Tom alang sa ikaduhang degri sa pagpatay.
70623	What is your name?	4630040	Unsay imong ngalan?
16492	What are you doing?	4630046	Nag-unsa ka?
373320	How are you?	4630055	Unsa na man?
408293	What's your name?	4630040	Unsay imong ngalan?
378270	Do you speak English?	4630065	Makainingles ka?
3663249	There are islands in the sea.	4630071	May kaislahan sa dagat.
373330	Hello!	4630074	Oy!
349064	I don't know.	4630077	Ambot.
416367	Where are you going?	4630086	Asa ka moadto?
2412739	I have two cats.	4630087	Duhay akong iring.
370708	Where do you live?	4630091	Diiy inyo?
1860	I don't want to go to school.	4630095	Dili ko moeskuyla.
356200	Who are you?	4630102	Kinsa diay ka?
1194034	I'm not a doctor.	4630106	Dili ko doktor.
370703	Where are you from?	4630118	Dis-a ka?
1564	Thank you very much!	4630125	Salamat yamo.
138919	Welcome.	4630129	Maayong pag-abot!
1284	I will be back soon.	4630137	Mobalik ra ko dayon.
1622	What do you want?	4630167	Unsay imong gusto?
2077	"Thank you." "You're welcome."	4630182	"Salamat." "Walay sapayan."
506446	Don't worry.	4630196	Ayawg kaguol.
433491	Go away.	4630202	Layas.
436243	How old are you?	4630214	Pilay imong edad?
376611	I don't understand.	4630222	Wala ko kasabot.
1326	Are you sure?	4630226	Segurado ka?
361350	Happy New Year!	4630231	Bulahang Bag-ong Tuig!
