1290	I was in the mountains.	3616152	Tallá yo na monte.
1343	I'm just saying!	3297491	Ta hablá lang yo!
1434	I love you.	3320827	Ta amá yo contigo.
1564	Thank you very much!	3567295	Muchas gracias!
1653	Thanks, that's all.	3251904	Gracias, amó lang aquel.
1718	Call the police!	3675160	Llamá cunel policía!
1817	When you can't do what you want, you do what you can.	3240258	Si no puede tu hace el cosa tu quiere, ta hace tu el cosa tu puede.
1820	You didn't tell him anything?	3490673	Nuáy tu ablá cunele nada?
2225	How much do you leave for a tip in Spain?	3668006	Cuanto el tip ta dale na España?
2241	I feed my cat every morning and every evening.	3668008	Ta dale yo comé de mio gato todo'l ága y todo'l noche.
2322	It's not important.	3565493	Hindê se importante.
2401	I thought it was true.	3244651	Pensaba yo deverasan aquel.
15917	You may take either the big box or the small one.	3504313	Puede tu escují cunel grande o diútay cajón.
15923	You mustn't depend on others for help.	3576137	Hindé tu debe dependé na ayuda del otro.
16889	Your daughter is not a child anymore.	3462220	Hindé ya batâ diútay de tuyo hija.
17151	Do you eat rice in your country?	3312465	Ta comé ustedes canon alí na de ustedes país?
18328	Many stars were shining in the heavens.	3504294	Manada estrella ta brillá na cielo.
19213	A burglar broke into the bank last night.	3520794	Un ladrón ya entrá na banco anoche.
19591	Do you need an ambulance?	3625264	Necesita tu un ambulancia?
20203	Did she hurt that kitten?	3625444	Ya asé le sintí duele cunaquel gato diútay?
21126	Don't you feel cold?	3455667	Hindé tu ta sintí frio?
21155	The cold weather continued for three weeks.	2775474	Por tres semanas frio el tiempo.
21678	Do you remember?	3312320	Ta acordá tu?
22034	I couldn't sleep well because it was noisy outside.	3335957	No hay yo puede durmí enbuenamente kay alboroto afuera.
23684	Where should I put my baggage?	3311926	Donde yo poné de mio mga bagaje?
23760	I've finished watering the flowers.	3440589	Ya acabá ya yo regá cunel mga flores.
24163	Let's take a rest in the garden instead of indoors.	3313252	Descansá kitá na jardín embés allá adentro.
24178	There is a garden at the back of my house.	3625498	Tiene jardín na atrás de mio casa.
24210	When I got home, I was very hungry.	3312549	Bien con hambre yo cuando ya llegá yo na casa.
24572	What time does it start?	3507268	Que hora kel ta principiá?
24674	What did you buy?	3437647	Cosa tu ya comprá?
25098	Do you have any questions?	3585883	Tiene tu mga pregunta?
25234	Don't you have anything to do?	3309422	No hay ba tu cosa hacé?
25249	Something stinks here.	3693695	Tiene yede aquí.
