1326	Are you sure?	3661906	Чӑнах и?
1434	I love you.	3665471	Эпӗ сана саватӑп.
1564	Thank you very much!	3156084	Пысӑк тав!
1839	Hey, look, a three-headed monkey!	3670443	Пӑх ха, виҫ пуҫлӑ упӑте!
17389	We are worried about you.	3662007	Эпир саншӑн куллянатпӑр.
17717	What would you do if you were in my place?	3668010	Манӑн вырӑнта пулсассӑн мӗн тӑвӑтӑр ха?
18844	Some boys are diligent, others are idle.	3665493	Пӗр темиҫе ача ӗҫчен, ыттисем вара кахал.
25513	I play in a band.	3670451	Ушкӑнра вылятӑп.
31494	Read it once more.	3698336	Вула куна тата тепӗр хут.
35210	Dr. Patterson: She made the sign for cat.	3687535	Тх. Паттерссон: вӑл кушак валли паллашка тӑвать.
36405	Why are you crying?	3683282	Ма эсир макӑратӑр?
37683	Tony studies after dinner.	3672621	Тони каҫхи апат хыҫҫӑн вӗренет.
38763	I can't understand why James always finds fault with his wife.	3690541	Мӗншӗн Джеймс хӑйӗн арӑмӗнче пӗрмай япӑххине шырать ӑнланмастӑп.
39738	Inhaling diesel exhaust is bad for our health.	3673164	Дисӗл каяшӗсемпе сывлама сывлӑхшӑн сиенлӗ.
44360	The plane took off at exactly nine o'clock.	3666841	Вӗҫмек шӑп тӑхӑр сехетре тухса вӗҫсе кайрӗ.
48623	Where is the bank?	3294052	Банк ӑҫта вырнаҫнӑ?
51001	Did you see anybody there?	3676357	Кама та пулин унта куртӑн и?
51122	Yes, you need to practice every day.	3698335	Ҫапла, санӑн кунсерен ӗҫлемелле.
51449	Excuse me, but could you show me the way to the station?	3666105	Каҫарсам, станцие ҫул кӑтартаймастӑр и?
53727	Jane was boiling.	3693772	Джейн хаярччӗ.
54581	Computers can do the job with ease.	3662009	Компьютер ҫак ӗҫе ҫӑмӑллӑн тӑвать.
58396	This information is confidential.	3700278	Ҫак пӗлӳ конфитенциаллӑ.
58396	This information is confidential.	3700286	Ҫак информаци конфиденциаллӑ.
60945	I think this sweater will look good on you.	3670400	Ман шутпа ку сӑхман санӑн ҫинче чипер курӑнӗ.
66853	Anne accepted Henry's proposal.	3663852	Анюк Хенрин сӗневе килӗшрӗ.
69521	Are you a student?	3682029	Эсӗ вӗренетӗн и?
245179	Acids act on many things including metals.	3672619	Йӳҫлӗк тем тепӗр ҫине те витӗм кӳрет, метал ҫине те.
247688	We have two tall players in our baseball team.	3683924	Прӗн бейсбол комантинче икӗ ҫӳллӗ вылякан пур.
251175	My uncle is a veteran of the Vietnam War.	3690743	Кукка Вйетнам вӑрҫи ветеранӗ.
254250	I have no idea of letting the house.	3668115	Квартира тара пама эп шухӑшлӑ мар.
255034	I like chocolate.	3676390	Шоколад юрататӑп.
256043	I bought a book.	2920710	Эпӗ кӗнеке илтӗм.
258778	I love this job from the bottom of my heart.	3662014	Ҫак ӗҫе чӗрем тӗппипех юрататӑп.
260000	I learned a lot from him.	3676450	Унран нуммай мӗн вӗрентӗм.
260501	I told him to come.	3668012	Уна кил тесе каларӑм.
261646	Do I have to study?	3700186	Вӗренмелле ши?
263129	We are all foreigners in other countries.	3686982	Урӑх ҫӗршывсенче эпир пурте ют ҫӗршыв ҫыннисем.
263913	If you have a chance, please check your mailbox.	3673635	Шанс пулсассӑн хӑвӑр пуштӑ ещӗккине тӗрӗслӗр.
267226	Girls use makeup in their low teens.	3667216	Хӗр ача хӑйӗн ҫамрӑк ҫулӗсенчех косметикӑпа усӑ курать.
276644	Everyone is afraid of doing new things.	3666977	Ҫӗнӗ япала тунӑран пурте хӑраҫҫӗ.
283273	He has good reason to get very angry.	3687091	Хытӑ ҫилленмешкӗн унӑн лайӑх сӑлтав пур.
283489	Did you see him go out?	3693757	Вӑл тула тухса кайнине куртӑн и?
284391	May I go with him?	3668976	Манӑн унпа кайма юрать и?
295608	He stopped to put on his shoes.	3700166	Пушмак тӑхӑнмашкӑн чарӑнчӗ.
299992	He gave me a ring at midnight.	3670457	Вӑл мана ҫурҫӗрте шӑнкӑравларӗ.
305361	They went fishing.	3700000	Вӗсем пулла кайрӗҫ.
307873	You're the only person that can persuade him.	3662015	Уна ӳкетлеме пултаракан ҫын эс кӑна.
309943	She is a good English speaker.	3692286	Вӑл лайӑх акӑлчанла калаҫаканӗ.
311923	She was happy to be introduced to him at the party.	3676404	Паттинче унпа паллашнӑран вӑл питӗ савӑннӑчӗ.
312644	She is good at speaking English.	3692289	Вӑл акӑлчанла лайӑх калаҫать.
312693	She speaks good English.	3692291	Унӑн акӑлчанла калаҫӑвӗ лайӑх.
318383	I'll accompany you to the hospital.	3676395	Сыватӑша сана леҫсе яратӑп.
324971	The next morning, the snowman had completely melted.	3688999	Тепӗр кунне юр кӗлетки ирӗлсех кайрӗ.
325380	Go jump in the lake.	3690004	Кӳлӗ кайса сик.
329713	Good morning!	3156118	Ырӑ кун пултӑр!
333156	Good evening.	3418452	Ырă каç пултăр.
392144	Why did you come here?	3661933	Мӗн тума кунта килтӗн?
393357	Please.	3156080	Тархасшӑн.
396711	That is the absolute truth!	3686977	Ку чӑн тӗрӗс!
408293	What's your name?	3418446	Яту мĕнле?
410244	She is beautiful.	3662772	Вӑл чипер.
410534	Does she like oranges?	3662005	Вӑл апельсин юратать и?
414905	Let's have a try.	3664027	Айта ҫӑрӑлса пӑхар!
426950	Good night!	3294055	Ырӑ каҫ пултӑр!
436175	How much does a kilo of onions cost?	3661956	Пӗр кило сухан мӗн хак?
448645	Thanks!	3418455	Рехмет!
477061	No.	3156064	Тӗрӗс мар.
477086	Yes.	3156061	Тӗрӗс.
483359	Doctor, my name is Mutaz.	3665474	Тухтӑр, эпӗ Мутас ятлӑ.
489252	I was alone in the class.	3670399	Эпӗ классра пӗчченччӗ.
495240	He is suffering from toothache.	3670454	Шӑл ыратнипе аптӑрать.
574214	What is needed to win a lawsuit?	3687060	Судра ҫӗнтермешкӗн мӗн кирлӗ?
