3812934	The bird is in the sky.	3840249	I tombohog nopo iho nga id tavan.
3476762	I want to visit you.	4551692	Titombuhui zou diau.
2915249	I like the Harry Potter books.	4553236	Aanangan zou do buuk Harry Potter.
16774	What time do you usually get up?	4555625	Jaam pio o oubas ko mosik dii?
1392718	I hate Tom.	4555683	Bazatan ku di Tom.
1282	Muiriel is 20 now.	4555689	Kiumul zi Muriel 20 toun baino.
56406	Put the garbage outside.	4558116	Gompizo no do pataam sizamut id habus.
70050	Do you play soccer?	4558124	Mamain ko naku mimbuul?
2144565	Do you know the rules of football?	4558153	Koiho ko naku do polinta i mimbuul?
2144566	I prefer salad for supper; I'm usually not hungry at this time of the day.	4558177	Pihion ku salad montok makan dongotuvong, au oubas o houson ku doid timpu diti do sangadau.
2144571	"What would you like for lunch?" "It doesn't matter, whatever you've got."	4558200	"Onu ih pokionuan nu montok makan pitangadau?" "Au i monguo, onu nopo bo."
2144572	The next few years won't be easy for us.	4558218	Piipio toun mikot au nodi kouhan do tongoguvang.
2144573	The next few years won't be a walk in the park.	4558225	Piipio toun mikot au nodi mamanau id do taman kolooloizan dii.
3151554	Give me a day or two.	4558266	Onuai zou do sangadau toi duvo tadau.
293348	He was a big man called Little John.	4558296	Agazo iziaha' do kusai pinungaan 'Little John'.
293349	He came to take a walk every morning after rehabilitation.	4558320	Inikot ziaha' mamanau do tikid kosuvabon kahapas pohingoson.
1355921	He knows nothing about Lincoln, or for that matter, about the United States.	4558357	Au iziaha' nokoiho nuununu di Lincoln kokomoi toiko do pogun Amerika kokomoi.
4554552	I was too small.	4558395	Noniini zou kozo.
2481262	Just go for it.	4558405	Hombuso noo.
3732931	Tom told me that he would like to buy a new bicycle.	4558459	Pinoboos dogo zi Tom do titibohi zisido do bosikal kavagu.
2510748	Eternity is a long time.	4560092	Kasalajulan nopo nga sohiihinaid.
65577	Who is the best singer in our company?	4560103	Isai huhumozou ih tangavasi id kaambatan tokou?
65500	We are a family of five.	4560136	Himo no tuhun do paganakan dotokou.
1710521	Fuck, we're old!	4560151	Ish, tongotuo tokou!
16289	Do you study English?	4563374	Minsingiho ko naku boos Onggilis?
3953793	Don't hurry.	4571828	Kada magaab-agaab.
36419	Why?	4571628	Nokuo?
3467635	"Hey, what's up?" "Oh, not much."	4573816	"Oi, onu ahal?" "Oh, au ii ahal bo."
3936241	Sorry, could you repeat that, please?	4573825	Siou, mai gia suguto po ino vagu?
4579228	You should keep in store that pastries because that food looks so wasted.	4579231	Poopio' kama iho tindalam tu kahasa' dati do kabang.
2713189	You seem to know everything.	4582228	Miaga ko oihaan nu do sontob konunu.
73914	"How are you?" "I am fine, thank you."	4567905	"Onu abal nu?" "Avasi ii bo, kotohuadan."
2063852	Please tell me the bank's number.	4582249	Sunudai zou gia do numbul biing.
38937	Where is the toilet?	4582253	Idnombo o jamban?
3821540	I should've asked Tom for permission.	4587794	Apatut zou no mokianu kasagaan di Tom.
2763638	You lost time.	4589948	Naavi no timpu ku dii.
4590799	I love the sound this grasshopper makes!	4593699	Aanangan zou diti tuni o butu!
259803	I live in Japan.	4593688	Kinoizonon ku id Jipun.
257113	I need your help.	4593691	Mokituhung zou mantad diau.
1437	Congratulations!	4607369	Kounsikaan!
4609640	I have come back.	4609641	Nokoguhi zou no.
881871	My back hurts.	4609643	Oluo hikud ku.
257272	I'm fine.	4609646	Noikot vinasi.
4609645	Tips to bake a cake.	4609647	Tutuduk ngaavi do momompoh tindalam.
4609648	You're hard-headed!	4609649	Okodou tuhu nu!
4609651	We should heed him.	4609654	Mositi mokinongou tokou disido.
4609655	He is a good person.	4609656	Avasi isido kotutuhun.
4609657	Her voice is better.	4609658	Hobi vinasi ohou dosido.
3133062	Find out what happened.	4609662	Iumo nunu naantakan.
4609663	He knew that you have a new car.	4609664	Nokoiho isido do kivaa kulita vagu nu.
3760611	Just kidding!	4609670	Nazakan no!
398513	I'm just kidding.	4609673	Nazakan zou no.
4494847	Tom is just kidding.	4609674	Nazakan i Tom no.
292841	He is just a kid.	4609676	Dazanak zisido no.
4512643	She was just kidding.	4609678	Dazanak zosido no.
1024978	Tom is just a kid.	4609680	Dazanak zi Tom no.
1486051	They're just rich kids.	4609682	Tanak topuavang noopo izioho.
2549640	I'm just a kid.	4609683	Dazanak zou no.
3331036	You're just a kid.	4609686	Dazanak ko iziau no.
2245932	I like beer.	4609995	Aanangan zou biir.
4611820	There is no absolute success in the world, only constant progress.	4611817	Aiso no kahantazon di pointopot id pomogunan nga ii kikobuuon nopo da nga di potihombuson.
4611829	Family, like branches on a tree, we all grow in different directions, yet our roots remain as one.	4611827	Paganakan, miaga do laan ngaavi doid songguvas kazu, gumazo toinsanan tokou doid mogisuusuvai intutukon, nga miopung-opung dii gamut ngaavi dotokou sabaagi do iso.
4611832	We're all in the same game just different levels dealing with the same hell just different devils.	4611831	Isoi' ngaavi o pomoinan tokou nga misuvai nopo nangangazan, monoguvang isoi' naraka nga mogisusuvai nopo o tombivo.
4611836	Have a proper funeral for the body so that the soul can reach to heaven.	4611834	Poiikoo zou tana do hinantazan, pakabazo zou hivantai do hibabou,
3330071	I broke up with Tom.	4613904	Tumongkizad zou waya Tom.
4614215	Not all the things that we wish for may be good for us.	4614219	Okonko saviavi konunu ii hizabon tokou do avasi dati montok do tokou.
4614255	Rise when called.	4614259	Mingkakat songian oho'ou.
4614264	We have no more rice.	4614267	Aiso no vagas tokou.
4614291	Let us not be proud of the things that we should be ashamed of.	4614294	Kada' tokou kakakat ginavo sabap konunu ii apatut do amaamalu tokou.
1907226	Good friends, good books, and a sleepy conscience: this is the ideal life.	4614408	Tambahut tavasi, buuk tavasi, ula-ula di titiodop: iti no kopooposizon di tavasi.
4614551	Please make coffee.	4614552	Pono'odo gia do kupi.
4614560	She is too meek.	4614561	Oindamaan ohuud zosido.
4614566	Happy the man who finds wisdom and gains insight.	4614567	Asanang no ii tuhun ii ko-ium do kabaahan om kaanu toihaan taahom.
3657628	What should be done if we want to find our soul mate?	4617317	Onu di apatut kinaantakan nung titiumon tokou do timbang tinan nu?
2643710	Thank you for understanding.	4622811	Kotohuadan tu horotian.
4623236	We have a long walk.	4623237	Osodu pamanaan tokou.
4623239	Use a wok.	4623241	Momoguno do poizuk.
4623242	She walks to work.	4623243	Mamanau zosido mo'oi kalaja.
4468677	Sad.	4623292	Ohunggui.
356200	Who are you?	4611710	Isai ko?
4625620	She teaches us English.	4626474	Mangajar zosido dagai do boos Onggilis.
4350821	Is that even a word?	4626503	Kivaa naku dino boboos pointopot?
4631045	We would like to live in this village and study the Kadazan language.	4631041	Aanangan zikoi do mizon doid kampung diti om minsingiho do boos do Kadazan.
4631053	How long have you been studying the Kadazan language?	4631052	Songkuo no hinaid nu do minsingiho do boos do Kadazan?
4631064	Do you think it difficult to speak Kadazan?	4631057	Osusa' naku do topiumanan nu do moboos do Kadazan?
4631066	I understand, but I don't know how to answer in Kadazan language.	4631071	Kalati' zou, nga' au' zou koiho do sumimba id boos Kadazan.
4500179	I met Tom once.	4631984	Nosoomo zou i Tom do insan.
1773656	Why do you want to do this?	4632823	Nokuo tu maan nu miaga diti?
1164329	Tom passed away three years ago.	4632846	Minidu pogun zi Tom di tohu toun nakatahib.
4642888	I can not do all of this.	4642898	Au zou koimat do ahal ngaavi diti.
275576	Can you take us to the British Museum?	4645669	Kavasa ko do manganu dagai id Muzium British?
2346051	She dried her eyes.	4645672	Notuu o mato dau.
4647515	When you go somewhere now, don't you linger, or you might be late when you get home.	4647512	Mugad ko do id nombo nopo do baino, kada ko maid-haid, toi ahambat ko i dati dii pouhian nu.
