1277	I have to go to sleep.	1100671	Moram ići spavati.
1283	The password is "Muiriel".	1100710	Zaporka je "Muiriel".
1283	The password is "Muiriel".	1100716	Lozinka je "Muiriel".
1283	The password is "Muiriel".	1100719	Pasvord je "Muiriel".
1284	I will be back soon.	1100753	Uskoro se vraćam.
1326	Are you sure?	548794	Jesi li ti siguran?
1395	I have to go to bed.	1100672	Moram ići u krevet.
1434	I love you.	567186	Volim te.
1484	Nobody understands me.	655428	Nitko me ne razumije.
1564	Thank you very much!	1048096	Mnogo hvala!
1622	What do you want?	936655	Što voliš?
1646	My name is Jack.	466255	Zovem se Jack.
1649	How do you say that in Italian?	478232	Kako se kaže to na talijanskom?
1658	Italy is a very beautiful country.	2197387	Italija je jako lijepa država.
1715	Tonight we're going to church.	2197497	Idemo u crkvu večeras.
1723	Merry Christmas!	960474	Sretan Božić!
1764	Why do people go to the movies?	958051	Zašto ljudi idu u kino?
1829	Life is beautiful.	942714	Život je lijep.
1864	She's really smart, isn't she?	936643	Vrlo je pametna, zar ne?
2061	It is never too late to learn.	937043	Nikada nije kasno za učenje.
2089	He's sleeping like a baby.	1101190	On spava ko beba.
2089	He's sleeping like a baby.	1101191	Spava ko beba.
2096	He disappeared without a trace.	1101192	On je nestao bez traga.
2096	He disappeared without a trace.	1101193	Nestao je bez traga.
2104	Do you have any idea what my life is like?	1477728	Imaš li ti ikakvu predstavu o mom životu?
2344	Better late than never.	658936	Bolje ikad nego nikad.
2345	Like father, like son.	938194	Kakav otac, takav sin.
2348	The early bird catches the worm.	658906	Tko rano rani, dvije sreće grabi.
2357	I don't expect anything from you.	1477740	Ne očekujem ništa od tebe.
2377	I've got a frog in my throat.	2197454	Imam žabu u grlu.
2435	Florence is the most beautiful city in Italy.	2197390	Firenca je najljepši grad u Italiji.
6133	I can't believe my eyes.	1101197	Ja ne mogu vjerovati mojim očima.
6133	I can't believe my eyes.	1101199	Ne mogu vjerovati mojim očima.
9601	You are tired, aren't you?	936644	Umoran si, zar ne?
15877	You work too hard.	936645	Radiš previše.
15882	Do you live here?	936647	Živiš li ovdje?
15912	You look very pale.	936648	Izgledaš vrlo blijedo.
15936	You should have locked, or at least closed, all the doors.	1477425	Trebao si zaključati ili barem zatvoriti sva vrata.
16061	You must control yourself.	936649	Moraš se kontrolirati.
16127	You look happy today.	936650	Izgledaš sretno danas.
16159	You have to go.	936651	Moraš ići.
16196	I suppose you're hungry.	936653	Predpostavljam da si gladan.
16268	What woke you up?	936654	Što te je probudilo.
16274	What do you like?	936655	Što voliš?
16289	Do you study English?	936656	Učiš li engleski?
16299	You can swim, can't you?	936658	Znaš plivati, zar ne?
16314	You'll never be alone.	936659	Nikada nećeš biti sam.
16354	You should know better.	936660	Trebao bi znati bolje.
16428	Can you speak French?	936661	Govoriš li francuski?
16450	Why can't you come?	936662	Zašto ne možeš doći?
16474	You are very brave.	936663	Vrlo si hrabar.
16492	What are you doing?	936665	Što radiš?
16522	You are to start at once.	1053840	Odmah počnite.
16522	You are to start at once.	1053842	Odmah počni.
16546	Have you finished it?	936668	Jesi li završio?
16625	You may go there.	936669	Možeš ići tamo.
16715	You can study here.	936671	Možeš učiti ovdje.
16765	You are always complaining.	936673	Uvijek se žališ.
16874	I admire your courage.	936675	Volim tvoju hrabrost.
16887	I know your name.	936677	Znam tvoje ime.
16939	Without your consent, nothing can be done about it.	1050200	Bez tvoje suglasnosti, ništa se ne može učiniti u vezi toga.
16948	Your answer is right.	936680	Tvoj odgovor je točan.
16950	Your answer is wrong.	936681	Tvoj odgovor je netočan.
16996	Mind your own business!	936683	Gledaj svoje poslove!
17065	Write your address here.	936686	Napiši svoju adresu ovdje.
17076	Are your hands clean?	936687	Jesu li ti ruke čiste?
17103	Is your watch correct?	936688	Je li tvoj sat točan?
17110	Where are your things?	936689	Gdje su tvoje stvari?
17116	Just follow your heart.	936690	Jednostavno slijedi svoje srce.
17212	I think you're right.	936691	Mislim da si u pravu.
17224	You may be right.	936692	Mogao bi imati pravo.
17316	Every little thing you say gets on my nerves.	1048117	Ide mi na živce svaka riječ koju izgovoriš.
17317	I want your opinion.	936693	Želim tvoje mišljenje.
17347	Your time is up.	936694	Tvoje vrijeme je isteklo.
17351	I'll give you anything that you want.	2795001	Dat ću ti sve što želiš.
17357	Your plan sounds great.	936696	Tvoj plan zvuči odlično.
17359	If I find your passport, I'll call you at once.	655496	Ukoliko pronađem tvoju putovnicu, smjesta ću te nazvati.
17395	Your cake is delicious.	936698	Tvoja torta je ukusna.
17400	Here is your bag.	670187	Evo tvoje torbe.
17473	I want you to go.	742809	Hoću da odeš.
17534	You deserve the prize.	936701	Zaslužuješ nagradu.
17660	Who is your teacher?	1051169	Tko je tvoj učitelj?
17747	It is no use your trying to persuade him.	655499	Nema koristi da ga se pokuša nagovoriti.
17753	Either you or he is wrong.	1477771	Jedno od vas dvoje je u krivu.
18247	Without air and water, nothing could live.	2197479	Bez zraka i vode, ništa ne bi moglo živjeti.
18354	Do you have any vacancies?	655346	Imate li slobodnih soba?
18370	No pain, no gain.	658931	Bez muke nema nauke.
18372	No gains without pains.	658931	Bez muke nema nauke.
18374	No gain without pains.	658931	Bez muke nema nauke.
18390	No pain, no gains.	658931	Bez muke nema nauke.
18575	I will give you the money tomorrow.	2841445	Dat ću ti novac sutra.
18583	Gold is far heavier than water.	2197482	Zlato je puno teže od vode.
19085	The church is at the foot of the hill.	2197499	Crkva je na podnožju brda.
19087	The church is just across the street.	2197500	Crkva je samo preko puta.
19096	Whoever goes to church believes in God.	2197503	Tko god ide u crkvu vjeruje u Bogu.
19302	Kyoto is visited by many tourists.	945204	Mnogi turisti posjećuju Kyoto.
19346	Fish live in the water.	2197484	Ribe žive u vodi.
19347	Fish cannot live out of water.	2197487	Ribe ne mogu živjeti izvan vode.
19866	That church on the hill is very old.	2197504	Ta crkva na brdu je jako stara.
20057	The ceremony began with his speech.	1051018	Ceremonija je započela njegovim govorom.
20113	You have a telephone.	1115945	Imaš telefon.
20663	I'll be glad to come.	933891	Biti će mi drago doći.
20754	Wash your face.	2506581	Operi lice.
20858	Don't be afraid of making mistakes.	670233	Nemoj se bojati grešaka.
20954	That which is easily acquired is easily lost.	658946	Kako došlo, tako prošlo.
21001	Sugar replaced honey as a sweetener.	2763030	Šećer je zamijenio med kao zaslađivač.
21264	Easy come, easy go.	658946	Kako došlo, tako prošlo.
21342	It is absurd to idle away the student life.	1050149	Besmisleno je dokoličariti za vrijeme studentskog života.
21647	You're never too old to learn.	937043	Nikada nije kasno za učenje.
21833	Some medicine does us harm.	658960	Neki lijekovi nam škode.
22010	It's like summer outside.	655504	Vani je poput ljeta.
22235	A variety of creatures can be seen under the water.	658911	Pod vodom se može vidjeti cijeli niz stvorenja.
23130	We won hands down, because the other players were weak.	933896	Pobijedili smo bez problema, jer su ostali igrači bili slabi.
23870	The fire had spread to the next building before the firemen came.	655491	Vatra se proširila na susjednu zgradu prije nego što su vatrogasci pristigli.
24565	What time can you come?	2441667	Kad možeš doći?
24565	What time can you come?	2441668	U koje vrijeme možeš doći?
24643	Where's your head at?	949190	Gdje ti je glava?
24698	What are you thinking about?	936627	O čemu misliš?
24716	It's no use trying anything.	1040911	Nema smisla pokušavati bilo što drugo.
25283	What do you suggest?	960510	Što ti predlažeš?
25642	The king was shorn of his power.	1050327	Kralj je izgubio svoju moć.
