1277	I have to go to sleep.	3401542	Ma pean magama minema.
1462	My mom doesn't speak English very well.	2700118	Minu ema ei räägi inglise keelt väga hästi.
1463	I don't speak French well enough!	2700120	Ma ei räägi prantsuse keelt piisavalt hästi!
1468	Everyone wants to meet you. You're famous!	2700123	Kõik tahavad sinuga kohtuda. Sa oled kuulus!
1469	Why are you sorry for something you haven't done?	2700125	Miks sa palud vabandust millegi pärast, mida sa teinud ei ole?
1475	I don't have anyone who'd travel with me.	2700127	Mul pole kedagi, kes minuga reisile tuleks.
1476	You're not fast enough.	2700128	Sa pole piisavalt kiire.
1565	Where are the eggs, please?	2786840	Kus on munad, palun?
1662	Is there a youth hostel near here?	2719221	Kas siin lähedal on noorte hosteli?
1758	I am married and have two children.	3103663	Ma olen abielus ja mul on kaks last.
1829	Life is beautiful.	1800935	Elu on ilus.
1860	I don't want to go to school.	3633444	Ma ei taha kooli minna.
1878	Hello? Are you still here?	2710678	Hallo? Oled sa veel siin?
1984	Tim is a huge fan of satirical comedy.	2719407	Tim on suur satiirilise komöödia fänn.
2137	If you lend someone $20 and never see that person again, it was probably worth it.	2694616	Kui sa laenad kellelegi $20 ja ei näe seda inimest enam kunagi, siis tõenäoliselt see oli väärt seda.
15859	Can you ride a horse?	2719657	Kas sa oskad hobusega sõita?
16449	Do you want anything?	2786462	Kas sa tahad midagi?
17014	You may have good reason to think that your youth is over.	2719243	Sul võib olla hea põhjus arvamaks, et su noorus on läbi.
17116	Just follow your heart.	2710727	Lihtsalt järgne oma südamele.
17640	You didn't need to hurry.	1403737	Sul poleks olnud tarvis kiirustada.
17829	I love you more than you love me.	2710758	Ma armastan sind rohkem kui sina mind.
18064	If only you had told me the whole story at that time!	2709588	Kui sa vaid oleksid mulle kogu loo ära rääkinud tol hetkel!
18346	Seen from the sky, the river looked like a huge snake.	2719417	Taevast vaadelduna tundus jõgi hiiglasuure maona.
18484	Is there a table available for two on Friday?	2710741	Kas teil on kahele vaba lauda reedeks?
18550	The gold coin was much more valuable than was supposed.	957382	Kuldraha osutus palju väärtuslikumaks kui arvati.
18737	There is a flower shop near by.	2710751	Lillepood on siin läheduses.
19078	The church bells are ringing.	2709528	Kirikukellad helisevad.
19943	Smoking affects our health.	3467245	Suitsetamine mõjutab meie tervist.
20100	You are human.	466828	Sina oled inimene.
20860	You won't make mistakes.	957380	Ega sa ometigi ei eksi ju.
21294	Have a nice weekend.	3038557	Head nädalalõppu.
24159	Every door in the house is locked.	1567163	Maja kõik uksed on lukus.
24960	Ask me anything!	1567150	Küsi mult ükskõik mida!
25691	Please say hello to your wife for me.	2710679	Palun tervita oma naist minu poolt.
26324	Do you have an English dictionary?	957607	Kas teil on inglise sõnastik?
27816	An apparently small event may lead to a great result.	3402675	Pisikesena paistev sündmus võib viia suurepärase tulemuseni.
27819	At first glance, the question seemed easy.	3402672	Esimese silmapilgul paistis küsimus kerge olevat.
27821	January is the first month of the year.	3402670	Jaanuar on aasta esimene kuu.
27822	At first sight, he seemed kind and gentle.	3402669	Esimesel silmapilgul paistis ta lahke ja õrn.
27823	Women who, at first glance, appear to be completely ordinary also don't seem to be in that much of a rush to get married.	3402667	Naised, kes esimesel silmapilgul paistavad olevat täiesti tavalised, ei paista ka olevat abiellumisega nii suures rutus.
27824	We have snow in January.	3402182	Meil on jaanuaris lumi.
27825	I'm taking an exam in January.	3402174	Ma sooritan jaanuaris eksami.
27827	Will you listen to a piece of music?	3402184	Kas sa kuulaksid ühte muusikapala?
27828	Please sing a song.	3402186	Palun laula laulu.
27829	I want to sing a song.	3402188	Ma tahan laulu laulda.
27830	Let's take a rest.	3402190	Puhkame.
27841	He is the black sheep of the family.	3402661	Ta on pere must lammas.
27842	The whole family is out for a walk.	3402660	Terve pere on väljas jalutamas.
27845	The sky looks threatening.	3402659	Taevas näeb ähvardav välja.
27850	I'll give you a piece of good advice.	3402665	Ma annan sulle ühe hea nõuande.
27855	One is new, and the other is old.	3402664	Üks on uus ja teine on vana.
27872	May I ask you to do me a favor?	3402701	Tohin ma sult ühte teenet paluda?
27874	I have a favor to ask of you.	3402699	Mul on sulle üks palve.
27875	Not a drop of rain fell for a month, so they had to dig a well.	3402697	Kuu aega ei sadanud tilkagi vihma, seetõttu pidid nad kaevama kaevu.
28022	The doctor used X-rays to examine my stomach.	1567156	Arst kasutas minu kõhu uurimiseks röntgenit.
28300	On your marks, get set, go!	815530	Tähelepanu, valmis olla, start!
29038	I haven't a very good dictionary.	957572	Mul ei ole kuigi head sõnaraamatut.
29845	The lion opened its huge mouth and roared.	2719432	Lõvi avas oma hiiglasliku suu ja möirgas.
29846	The lion is the king of the jungle.	2787100	Lõvi on džungli kuningas.
30305	Hello, Meg, how have you been?	2710681	Tere, Meg. Kuidas sul on läinud?
30307	Hello, John! How are you?	2710683	Tere, John! Kuidas sul läheb?
30802	If I had worked hard in my youth, I would be successful now.	2719246	Kui ma oleksin noorena rohkem töötanud, oleksin praegu edukas.
30967	Hello. May I speak to Mr Johnson, please?	2710684	Tere. Kas ma saaksin rääkida härra Johnsoniga, palun?
30968	Hello. This is Joe Carlton. May I speak to Michael?	2710685	Tere. Siin on Joe Carlton. Kas ma saaksin rääkida Michaleiga?
30972	Hello, it's me. Could you come pick me up at the station?	2710687	Tsau, mina siin. Kas sa saaksid mu jaamast peale võtta?
30973	Hello, I'm Tomoko Sato from Japan.	2710689	Tere. Ma olen Tomoka Sato Jaapanist.
30980	Hello, this is Mike.	2710690	Tere, Mike siin.
31789	There was a great variety of dishes on the menu.	746724	Menüüs oli suur valik roogi.
31875	Mary is a bookworm.	2633401	Maria on raamatukoi.
32288	Misako married a Canadian last June.	1403761	Misako abiellus eelmisel juunikuul kanadalasega.
33291	Almost everything that is great has been done by youth.	2719250	Peaaegu kõik, mis on suurepärane, on noored teinud.
34762	Try on this new suit to see if it fits well.	1567160	Proovi seda uut ülikonda selga, siis näeme, kas see istub.
35704	Please say hello to her if you see her at the party.	2710693	Palun ütle talle tere, kui sa näed teda peol.
35900	New York is a huge city.	2719454	New York on tohutult suur linn.
36419	Why?	3325945	Miks?
37090	"Hello," said Tom, smiling.	2710696	"Tere, " ütles Tom naeratades.
