1335	That's the stupidest thing I've ever said.	1449457	É a cousa máis estúpida que dixen nunca.
1538	If you don't eat, you die.	1444916	Se non comes, morres.
1703	I was trying to kill time.	1425026	Estaba a tratar de matar o tempo.
2226	Who painted this painting?	962882	Quen pintou ese cadro?
2399	I knew he would accept.	965832	Sabía que el aceptaría.
15809	You should have accepted his advice.	965835	Debiches acepta-lo seu consello.
15881	You know the answer?	1578779	¿Sabes a resposta?
16359	You should be more careful.	1449546	Deberías ter máis coidado.
16359	You should be more careful.	1449548	Deberiades ter máis coidado.
16410	Have you finished the work yet?	1439386	¿Remataches xa o traballo?
16583	Are you sure about the cost of that car?	1425572	¿Estás seguro do prezo dese coche?
16849	When did you begin learning German?	1427646	¿Cando empezaches a aprender alemán?
16872	I admire you for your courage.	1423213	Admírote pola túa coraxe.
17011	Your explanation won't wash; it's too improbable to be true.	1424927	A túa explicación non pega nin con cola; é demasiado improbable para ser certa.
17258	Your plan seems better than mine.	1431994	O teu plan parece mellor que o meu.
17371	Choose such friends as will benefit you.	1427676	Escolle aqueles amigos que te beneficien.
17619	I often think about the place where I met you.	1427699	Adoito pensar no lugar onde te coñecín.
18270	Look up to the skies.	1448341	Mira ao ceo.
19385	You shouldn't read people's private letters without permission.	1437442	Non deberías ler as cartas privadas da xente sen o seu permiso.
19455	Do you have some milk?	625370	Ten vostede algo de leite?.
19702	You'll miss the train if you don't hurry.	1424997	Perderás o tren se non te dás présa.
19839	Too long a holiday makes one reluctant to start work again.	1439351	Unhas vacacións demasiado longas fan que un sexa remiso a voltar ao traballo.
21191	Kamakura is a place noted in connection with the Genji family.	1445731	Kamakura é un célebre lugar en conexión coa familia Genji.
21294	Have a nice weekend.	1340136	Ten unha boa fin de semana.
21421	His students adored him.	1435282	Os seus alumnos o adoraban.
21478	On leaving school, he went to Africa.	1439324	Ao deixar a escola, foi para África.
22184	Traveling abroad is one of my favorite things.	1427687	Viaxar ao estranxeiro é unha das miñas cousas favoritas.
22408	We used to meet at a coffee shop in Shinjuku after work.	1429024	Adoitabamos quedar nunha cafetería en Shinjuku despois do traballo.
22646	We discussed the problem far into the night.	1428168	Debatemos este problema ata ben entrada a noite.
22933	We've fixed on starting next Sunday.	1439310	Decidimos comezar o próximo domingo.
23268	We are always exposed to some kind of danger.	861010	Sempre estamos expostos a algún tipo de perigo.
25439	In music or speaking, a pause is frequently used for dramatic effect.	1439384	En música ou falando, adóitase usar unha pausa para dar efecto dramático.
25539	Keep away from me.	1862401	Arrédate de min.
25879	Smoke was rising from the chimney.	1427713	Había fume saíndo da cheminea.
25922	The speaker banged the table with his fist.	1425123	O relator golpeou a mesa co seu puño.
25922	The speaker banged the table with his fist.	1425124	O conferenciante golpeou a mesa co seu puño.
25922	The speaker banged the table with his fist.	1425125	O orador golpeou a mesa co seu puño.
26403	I find swimming fun.	1423223	Nadar écheme divertido.
26403	I find swimming fun.	1428156	Nadar éme divertido.
26485	If you go to the movies, take your sister with you.	1342710	Se vas ao cine, leva a túa irmá.
26655	His lie weighed on his conscience.	1448325	A súa mentira pesou na súa conciencia.
26782	They say we're going to get rain!	1439300	¡Din que nos vai chover!
26966	The rain was dripping through a leak in the roof.	1445761	A choiva estaba a gotear a través dunha gotera no teito.
27145	I will continue with my efforts.	1425108	Continuarei cos meus esforzos.
27375	Can I buy you a drink?	1424693	¿Podo comprarche unha bebida?
27825	I'm taking an exam in January.	1423139	Irei a un exame en xaneiro.
28155	An ulcer forms in the stomach.	1424721	Unha úlcera formase no estómago.
