1482	I don't speak Japanese.	348199	მე არ ვიცი იაპონურად ლაპარაკი.
1484	Nobody understands me.	486687	არავის არ ესმის ჩემი.
1485	I learned to live without her.	486688	მის გარეშე ცხოვრებას შევეჩვიე.
1486	It's useless to keep on thinking any more.	486691	აზრი აღარ აქვს ამაზე ფიქრს.
1565	Where are the eggs, please?	2750865	კვერცხები სად არიან, გეთაყვა?
1590	Do you speak Italian?	3634155	იტალიურად ლაპარაკობ?
1590	Do you speak Italian?	3634157	იტალიურად ლაპარაკობთ?
1646	My name is Jack.	2229211	ჩემი სახელია ჯეკი.
1813	It's cold.	3662958	ცივა.
1860	I don't want to go to school.	3633486	არ მინდა სკოლაში წასვლა.
15882	Do you live here?	2922513	თქვენ აქ ცხოვრობთ?
16161	You'd better not go.	348066	უკეთესი იქნებოდა, რომ არ წასულიყავი.
16464	How long have you been in Japan?	348243	რამდენი ხანია ხართ იაპონიაში?
16996	Mind your own business!	348245	შენ საქმეს მიხედე!
17400	Here is your bag.	2923189	აი შენი ჩანთა.
18079	A bear can climb a tree.	486694	დათვს შეუძლია ხეზე ცოცვა.
18080	The bear left no stone unturned in his search for fat bugs under the rocks.	486699	დათვმა არცერთი ქვა არ დატოვა ამოუტრიალებელი მსუქალი ხოჭოების ძებნისას.
18361	His parents' view was that he was wasting his earnings on a silly girl.	486619	მისი მშობლების აზრით, ის საკუთარ ფულს სულელ გოგოს ახარჯავდა.
18748	I would like to repay your kindness in the near future.	348276	მინდა რომ სამაგიერო გადაგიხადოთ თქვენი გულკეთილობისთვის უახლოეს მომავალში.
19736	Are you in a hurry?	3092439	გეჩქარებათ?
19904	The customer did not come.	2797491	კლიენტი არ მოვიდა.
19948	Smoking will do you a lot of harm.	348237	მოწევა ბევრ ზიანს აყენებს.
21175	I'm cold. May I close the window?	502686	მცივა. შეიძლება ფანჯარა დავხურო?
22543	After the meeting she headed straight to her desk.	487391	შეხვედრის შემდეგ ის პირდაპირ მის მაგიდისკენ წავიდა.
22924	We agreed to refrain from smoking while we are at work.	487399	ჩვენ შევთანხმდით, რომ სამსახურში თავს შევიკავებდით მოწევისაგან.
24318	I worked in a post office during the summer vacation.	2923831	მე საზაფხულო არდადეგების დროს ფოსტაში ვმუშაობდი.
25328	If I should be late getting home, please don't wait up for me.	348240	სახლში თუ დამაგვიანდება წასვლა, ნუ დამელოდები.
26004	It will take me 20 minutes to get to the station by taxi.	348244	ტაქსით სადგურამდე 20 წუთში მიხვალთ.
26197	Let's speak English.	2790029	ინგლისურად ვილაპარაკოთ.
27438	I've spent $500 a day.	487374	დღეში $500 ვხარჯავ.
29846	The lion is the king of the jungle.	2788642	ლომი ჯუნგლის მეფეა.
30530	Yes, of course.	2506513	დიახ, რასაკვირველია.
30849	You can go if you want to.	487387	შეგიძლია წახვიდე თუ გინდა.
30902	If you hurry, you will overtake him.	348239	თუ იჩქარებ, დაეწევი.
31707	One more step, and you'll be a dead man.	486606	ერთი ნაბიჯი და მკვდარი კაცი ხარ.
31987	Mary has already started.	348069	მერიმ(Mary) უკვე დაიწყო.
32118	Read after me all together.	348077	ყველამ გაიმეორეთ ჩემს შემდეგ.
32263	Bees make honey.	3471120	ფუტკარები თაფლს აკეთებენ.
32635	See you again.	3662946	შეხვედრამდე.
33572	I only have toast and coffee in the morning.	503207	დილაობით მხოლოდ ტოსტს და ყავას მივირთმევ.
34797	Please extend this visa.	487400	გთხოვთ გააგრძელოთ ეს ვიზა.
35569	Yes, I am from Sapporo.	2229212	დიახ, მე საპოროდან ვარ.
37619	How much will it cost?	3208085	ეს რა ეღირება?
38298	I had to fix the toaster.	348242	ტოსტერის შეკეთება მომიხდა.
40830	No more than 50 people came.	487413	50 კაცამდე მოვიდა.
42238	Anybody knows it.	348248	ეს ყველამ იცის.
43419	The train arrived on schedule.	487406	მატარებელი დროზე მოვიდა.
43908	I found the book very interesting.	487380	ამ წიგნმა ძალიან დამაინტერესა.
44126	It is impossible to resolve the conflict.	348246	შეუძლებელია კონფლიქტის გადაჭრა.
