1283	The password is "Muiriel".	903625	La pas-vorto esas "Muiriel".
1287	This is never going to end.	907360	Ta nultempe finos.
1288	I just don't know what to say.	940313	Me simple ne savas quon dicar.
1329	Hurry up.	910648	Hastez!
1418	I don't know how to demonstrate it, since it's too obvious!	996014	Me ne savas quale olun demonstrar, nam ol esas tre evidenta!
1434	I love you.	884081	Me amoras tu.
1436	I am curious.	961405	Me volas savar.
1443	I don't know what to do anymore.	2884203	Me ne plus savas quon facar.
1445	I hate chemistry.	2884209	Me odias kemio.
1446	I didn't want this to happen.	2884212	Me ne volis to eventar.
1450	I am not much of a traveller.	2884216	Me ne esas granda voyajero.
1451	I have nothing better to do.	2884223	Me havas nulo plubona facenda.
1453	Everyone has strengths and weaknesses.	2884240	Omnu havas forta e febla traiti.
1455	It only shows you're not a robot.	2884245	To nur montras ke tu ne esas roboto.
1456	How could I be a robot? Robots don't dream.	2884254	Quale me povus esar roboto? Roboti ne revas.
1459	I don't know if I still have it.	2884256	Me ne savas ka me ankore havas to.
1460	What do you think I've been doing?	2884257	Quon tu pensas me facabis?
1462	My mom doesn't speak English very well.	2884264	Mea matro ne parolas la Angla tre bone.
1482	I don't speak Japanese.	882193	Me ne parolas la Japoniana linguo.
1484	Nobody understands me.	882194	Nulu komprenas me.
1485	I learned to live without her.	882195	Me lernis vivar sen el.
1486	It's useless to keep on thinking any more.	882197	Ne utilesas pensar pluse.
1488	I just wanted to check my email.	882199	Me nur volis lektar mea elektronik-postala mesaji.
1494	You never have time for important things!	882202	Vu nultempe havas tempo por grava aferi!
1498	Stop seeing me as a "normal" person!	882205	Cesez vidar me kom "normala" persono.
1557	You're an angel!	884227	Tu esas anjelo!
1559	Well, the night is quite long, isn't it?	1067291	Nu, la nokto esas tre longa, ka ne?
1564	Thank you very much!	964449	Me dankas vu multe!
1579	Oh, I'm sorry.	1307260	Ho, me regretas.
1581	The only useful answers are those that raise new questions.	2582837	La nura utila respondaji esas ti qui genitas nova questioni.
1606	I couldn't have done it without you. Thank you.	2291468	Me ne povis facar to sen vua helpo. Danko.
1619	May I talk to Ms. Brown?	901252	Ka me darfas parolar kun siorino Brown?
1621	"Ah!" is an interjection.	965028	"Ah!" esas interjeciono.
1622	What do you want?	1506072	Quon tu volas?
1644	You look stupid.	966278	Vu aspektas stupida.
1658	Italy is a very beautiful country.	940271	Italia esas belega lando.
1690	Nobody came.	943997	Nulu venis.
1755	Do you have friends in Antigua?	1097521	Ka tu havas amiki en Antigo?
1848	This baby penguin is too cute!	963392	Ica pinguinyuno esas tre beleta!
1973	The witnesses were able to refute the false testimony of the suspect.	1106062	La testi povis refutar la nevera atesto dil suspektito.
2311	I love trips.	923277	Me prizas voyaji.
2466	"Can somebody help me?" "I will."	2372491	"Kad ulu povas helpar me?" "Me helpos."
7029	You have to come with me.	1426058	Tu devas venar kun me.
9601	You are tired, aren't you?	1075340	Tu esas fatigata, ka ne?
15877	You work too hard.	1036717	Vu laboras tro intense.
15878	You are working too hard. Take it easy for a while.	1036720	Vu laboras tro multe. Voluntez repozar kelke.
15880	You are too clever not to solve the hard problem.	1036724	Vu es tro inteligenta por ne solvar la desfacila problemo.
15993	You work hard.	1101158	Tu laboras multe.
16159	You have to go.	1075344	Tu mustas irar.
16164	Are you happy?	928502	Ka vu esas felica?
16214	You must go up the hill.	965097	Tu mustas acensar la kolino.
16255	What are you looking for?	1429162	Quon tu serchas?
16256	What are you looking at?	1105886	Quon tu regardas?
16315	You should follow the doctor's advice.	928499	Vu devas sequar la konsilo di la mediko.
16321	You've done it!	1091963	Tu sucesis!
16343	You're really a hard worker.	1425268	Vu esas vere tre laborema.
16343	You're really a hard worker.	1425274	Vu esas vere forta laborero.
16492	What are you doing?	1075348	Quon tu facas?
16747	Aren't you happy?	832482	Ka tu ne esas felica?
16765	You are always complaining.	1075349	Tu sempre plendas.
16828	Can you do it in one day?	1427783	Ka tu pov agar lo en un dio?
16887	I know your name.	1075351	Me savas tua nomo.
16998	I will give you a bicycle for your birthday.	963366	Me donacos biciklo a tu pro tua naskodio.
17170	We have decided to adopt your idea.	1097518	Ni decidis adoptar vua ideo.
