1296	You are in my way.	830943	Tu me obstrue le passage.
1296	You are in my way.	830944	Tu es in mi cammino.
1308	I miss you.	824713	Tu me manca.
1335	That's the stupidest thing I've ever said.	2344511	Isto es le cosa le plus stupide que io ha jammais dicite.
1380	You are saying you intentionally hide your good looks?	822863	Vole tu dicer que tu cela intentionalmente tu beltate?
1432	I can only wait.	895915	Io pote solmente attender.
1434	I love you.	745608	Io te ama.
1499	Are you referring to me?	3179052	Esque tu te refere a me?
1500	There will always be things I will never learn, I don't have eternity before me!	3586257	Il habera sempre cosas que io nunquam apprendera, io non habe le eternitate a mi disposition.
1564	Thank you very much!	2888851	Multissime gratias!
1569	Round trip? Only one-way.	1324860	Ir e retorno? Solmente viage singule.
1609	Life without love is just totally pointless.	2856494	Sin amor le vita non ha ulle senso.
1631	This is my friend Rachel. We went to high school together.	821117	Iste es mi amica Rachel. Nos vadeva al schola secundari insimul.
1646	My name is Jack.	1353677	Mi nomine es Jack.
1695	Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.	3450519	Le mathematica es le parte del scientia que uno poterea continuar a facer si uno se eveliava deman e discoperiva que le universo ha disparite.
1707	Speak more slowly, please!	3090524	Parla plus lentemente, per favor!
1713	Where can one make a phone call?	1303757	Ubi pote on telephonar?
1715	Tonight we're going to church.	3426007	Iste vespere nos vade al ecclesia.
1723	Merry Christmas!	886395	Felice Natal!
1724	It would be so cool if I could speak ten languages!	1303849	Il esserea si genial si io poteva parlar dece linguas!
1784	I don't understand German.	3153140	Io non comprende germano.
1791	The whole is greater than the sum of the parts.	829371	Le toto es plus que le summa de su partes.
1815	When I ask people what they regret most about high school, they nearly all say the same thing: that they wasted so much time.	821120	Quando io demanda al gente lo que illes regretta le plus concernente le schola secundari, quasi totes dice le mesme cosa: que illes perdeva tante tempore.
1828	At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.	812355	Al etate de sex annos ille habeva apprendite a usar le machina a scriber, e diceva al maestro que ille non habeva besonio de apprender a scriber a mano.
1862	It is raining.	3061850	Il pluve.
1869	The slowest one to make a promise is the most faithful one in keeping it.	3088698	Qui le plus in retardo promitte alique, le plus fidelmente lo compli.
1877	We won the battle.	1200813	Nos ganiava le battalia.
1967	When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with.	1245996	Quando le duo pueras diceva a John, que illas ha sentimentos pro ille, ille non sapeva con qual puera ille debe esser.
1989	From the doctor's grim expression, it was clear he had somber news for the patient.	813204	Del expression sever del medico, il esseva clar que ille habeva sombre novas pro le patiente.
2008	Ray was willing to corroborate Gary's story, but the police were still unconvinced that either of them were telling the truth.	812313	Ray esseva disposite a corroborar le historia de Gary, ma le policia restava non convincite que alcuno de illes diceva le veritate.
2027	I think I'm gonna sneeze. Give me a tissue.	3627659	Io pensa que io va sternutar. Da me un pannello de naso.
2054	Never try to die.	1300590	Nunquam essaya morir.
2066	What are you talking about?	820740	De que parla tu?
2101	The world doesn't revolve around you.	3462611	Le mundo non te orbita.
2114	I spent the whole afternoon chatting with friends.	1305631	Io passava tote le postmeridie conversante con mi amicos.
2274	A known mistake is better than an unknown truth.	3086807	Un error cognoscite es melior que un veritate incognite.
2282	Only those who risk going too far will know how far one can go.	814461	Solmente qui risca exceder su limites cognoscera su limites.
2322	It's not important.	3488471	Il non importa.
2344	Better late than never.	3045280	Il vale melio tarde que nunquam.
2352	No news is good news.	3088650	Manco de notitia es bon notitia.
2376	The walls have ears.	3088661	Le parietes habe aures.
2380	In general, little is known about nonlinear second order differential equations.	840090	In general, on sape pauco a proposito del equationes differential non linear del secunde ordine.
2406	We tried so hard to make things better for our kids that we made them worse.	812772	Nos tentava tanto de meliorar le cosas pro nostre infantes que nos los rendeva pejor.
2409	I went to drink a beer with friends.	820868	Io vadeva biber un bira con mi amicos.
2443	Those who know him like him.	2696778	Qui le cognosce le apprecia.
6043	Could you turn on the light, please?	813305	Pote tu accender le lumine, per favor?
15880	You are too clever not to solve the hard problem.	826512	Tu es troppo intelligente pro non solver le problema difficile.
15961	Are you concerned with politics?	1435410	An vos es interessate re politica?
16090	You lied to me, didn't you?	830926	Tu me mentiva, nonne?
16154	You had better go.	879310	Tu deberea partir.
16198	Do you ever dream about flying through the sky?	1252805	Esque tu unquam sonia de volar trans le celo?
16242	You don't have proper dignity as chief of the section.	1203334	Tu non ha le dignitate proprie como le chef del section.
16272	Please let me know what you want.	1204110	Dice me lo que tu vole, si il vos place.
16281	You are not a coward.	827681	Tu non es un coardo.
16350	You should act more calmly.	1203207	Tu debe ager plus calmemente.
16376	You belong in a better place than this.	2438440	Tu pertine a un loco melior que iste.
16492	What are you doing?	840042	Que face tu?
16514	You must give up smoking.	2344442	Tu debe cessar de fumar.
16543	Who did you give it to?	1671128	A qui tu lo donava?
16567	Do you know the reason?	1232115	Sape tu le ration?
16567	Do you know the reason?	1275821	Cognosce tu le ration?
16578	Are you in favor of or against that policy?	826980	Es tu pro o contra iste politica?
16614	You'll have some difficulty in carrying out the plan.	888840	Vos habera alcun difficultate in realisar le plano.
16774	What time do you usually get up?	812323	A que hora te leva tu normalmente?
16774	What time do you usually get up?	834714	A que hora sole tu levar te?
