1277	I have to go to sleep.	3025810	Yo deve dormir.
1326	Are you sure?	3109601	Esque tu es cert?
1434	I love you.	984766	Yo ama te.
1434	I love you.	984768	Me ama te!
1537	The Germans are very crafty.	3615805	Li germanes es tre astut.
1540	Why don't we go home?	3615816	Pro quo noi ne ea a hem?
1647	I like it very much.	2774925	Yo ama it tre mult.
1663	Where are the showers?	2562445	U es li duches?
1664	Open your mouth!	2562441	Aperte tui bocca!
1690	Nobody came.	1010360	Nequí venit!
1723	Merry Christmas!	2963400	Felici crist-festa!
1758	I am married and have two children.	3110527	Yo es maritat e have du infantes.
16486	Where were you?	3153259	U esset tu?
16789	You are naughty.	3661797	Tu es malin.
17928	It's evident that you told a lie.	3098220	It es evident que tu ha mentit.
18275	The sky is blue.	2384283	Li ciel es blu.
19318	Kyoto has many universities.	2475970	Kyoto have mult universitás.
19353	A fish can swim.	2853611	Un pisc posse svimmar.
19719	I hurried home.	3274379	Yo hastat a hem.
21388	All the students come from the US.	3288780	Omni studiantes veni del Unit States.
22658	We believe in democracy.	3267981	Noi crede in li democratie.
22760	We expect much of him.	3153262	Noi expectet mult de il.
22771	We went to the museum.	2778758	Noi eat al múseo.
23532	My name is Hopkins.	3253066	Mi nómine es Hopkins.
25125	What's going on?	2771974	Quo eveni?
25479	I'm looking for a warm, woolen skirt.	952820	Yo sercha un long e calid lanin jup.
25580	I saw the moon above the roof.	2562450	Yo videt li lune súper li tegment.
25616	The prince was changed into a frog.	2562403	Li prince esset transformat in un ran.
26940	It was raining.	2169832	It pluviat.
28526	I had a nightmare.	2770289	Yo havet un cochemare.
28776	We foresaw the war.	2950897	Noi previdet li guerre.
29049	I am at home.	3656434	Yo es in hem.
29272	Was it rainy in London?	2555408	Esque it esset pluviosi in London?
29304	What was your first impression of London?	3325903	Quo esset tui prim impression de London?
29920	I didn't hear you.	3098214	Yo ne audit te.
31907	Mary ran.	2950913	Mary curret.
31920	Mary showed the letter to me.	3143401	Mary monstrat li lettre a me.
31942	How is Mary?	2950915	Qualmen standa Mary?
31973	Mary is a very pretty girl.	937093	Mary es un tre pretti puella.
31987	Mary has already started.	2950904	Mary ha ja comensat.
32041	Mary. That's my name.	3613474	Mary. To es mi nómine.
33204	Bob has been engaged to Mary for over a year.	2950914	Bob ha esset spondet con Mary desde plu quam un annu.
33513	I'm Tom Hunter.	3029770	Yo es Tom Hunter.
34116	The girl in a blue coat is my daughter.	2472610	Li puella in li blu jaque es mi filia.
34395	Phoenix is the capital of Arizona.	952850	Phoenix es li cité capital de Arizona.
34442	Who is the girl in the pink dress?	984748	Qui es li puella in li rosi robe?
34449	Hiromi wears a new dress.	2493153	Hiromi porta un nov robe.
34684	I have an idea.	2920696	Yo have un idé.
35027	Paris is the capital of France.	3661786	Paris es li cité capital de Francia.
35564	Yes, my name is Karen Smith.	1010377	Yes, mi nómine es Karen Smith.
35589	Yes, two.	2806948	Yes, du.
36344	Why is he here?	2365980	Pro quo il es ci?
37590	Which skirt do you like?	3659551	Quel jup tu ama?
38104	Where do you want to go?	3005142	Ad u tu vole ear?
38820	Please forgive me.	3140050	Ples pardonar me.
40286	Where are the tampons?	1790668	Ú es li tampons?
40370	Not everybody can be a poet.	2810239	Ne chascun posse esser un poete.
42494	Is it near your house?	2920689	Esque it es proxim del dom?
42588	It was a nightmare.	2770290	It esset un cochemare.
42863	Its color is red.	3147281	Su color es rubi.
43455	The apple is not yet ripe.	1010367	Li pom ancor ne es matur.
43672	The question doesn't concern me.	2377062	Ti question ne concerne me.
44240	The room has two windows.	3615592	Li chambre have du fenestres.
44494	The museum is open from Monday to Friday.	2562386	Li muséo es apert de lunedí til venerdí.
45041	The town was destroyed during the war.	2121562	Li cité esset destructet durant li guerre.
45353	The man finally confessed.	3613857	Finalmen li mann confesset.
45853	The baby fell asleep.	3615643	Li bebé indormit.
46630	The girl entered the room.	3615813	Li puella intrat in li chambre.
46650	That girl has a lovely doll.	3613849	Ti puella have un graciosi pupé.
47126	When did the accident happen?	3613845	Quande evenit li accidente?
48230	The dog is brown, small and thin.	2384317	Li cane es brun, litt e tenui.
50158	How much did you pay for the dress?	3613792	Quant tu ha payat por li robe?
50904	It is cold there even in summer.	2169872	It esset frigid ta mem in li estive.
51340	I have a cough.	1503373	Yo hava un tusse.
52667	John lives in New York.	3288547	John habita in New York.
52764	John has two sons.	1790661	John have du filios.
