3812934	The bird is in the sky.	3840325	Atyú king banwá ing áyup.
3916180	I tried to get them to stop.	4549693	Sibuknan ku lang patuknangan.
19037	The children ran toward the classroom.	4549804	Memulayi la reng ának papunta king clasi.
35673	Thank you for inviting me to the party.	4549848	Salamat king pamanagkat kaku king party.
44890	The store might be closed already.	4549695	Pota makasara ne ing tindahan.
4550056	My parents still haven't met my girlfriend.	4550060	E re pa ikít deng péngári ku ing táu ku.
1434	I love you.	4552611	Kalugurán daká.
3825522	Tom went into a corner and cried.	4552615	Mintá ya king súluk i Tom at kínyak ya.
57487	This discovery will be recorded in history.	4549696	Misulat king kasalesayan ing metuklas a ini.
1029468	Tom carried Mary on his shoulders.	4549697	Binwat neng Tom i Maria kareng pago na.
52675	John sent me a letter written in German.	4549795	Peparlan nakung Juan sulat king Aleman.
314273	She is cold to me.	4549812	Marimla ya kaku.
3592874	Tom might not make it in time.	4549821	Pota e miratang king ustung oras i Tom.
1182499	He refused to shake hands with me.	4549826	E ya mekigalame kaku.
1104848	Now we don't know what to do.	4549833	E tana balu nung nanung gawan tamu.
1098230	Do you like tea?	4549836	Bisa kang tsa?
291858	He plays very well.	4549840	Masalese yang mamyalung.
465230	He's not the same man he used to be.	4549844	Aliwa neng tau ketang kakilala ku.
3408841	Take a look at that.	4549849	Lon me yan.
2855136	We corrected it.	4549852	Semasan mi ya.
1500151	The time bomb exploded with a loud noise.	4549854	Masikan yang memakbung ing "time bomb".
302286	He failed the entrance exam.	4549860	Mibagsak ya king pamagsulit bang matanggap.
29701	Lisa speaks not only English but also French.	4549869	E ya mu magsalitang Inglis, nune Frances.
2117564	My mom bought me this toy when I was eight years old.	4549870	Penyali nakung ima ku kaniting pyalungan anyang walu kung banwa.
2835147	He kissed me and then I slapped him.	4549873	Inuma naku, at timpaling ke.
2331717	I had some calls to make.	4549876	Atin kung kaylangang ausan.
279967	The public is requested not to litter in these woods.	4549888	Pákisabi king maldang ela magdinat kening kakewan.
2870898	Nobody called him.	4552636	Aláng mináus kayá.
1115731	Let's do it!	4549980	Gáwan táya!
413788	Let's do it.	4549979	Gáwan táya.
863671	Where do you think all the money goes?	4549990	King palagé mu, nukarín ngan mirarás ing péra?
3824683	Did I say I was finished?	4550002	Sinábi kung yarí náko?
1166670	My little sister is scared of all doctors.	4550012	Tátákut ya karéng anggáng dóctor ing kapatád kung babái.
3621377	Eternal love doesn't exist.	4550017	Aláng lugúd king aláng anggá.
256901	I have a friend who lives in Kyoto.	4550022	Atín kung kálugúran a makátuknáng king Kyoto.
1690583	He's young and healthy.	4550025	Anák ya pâ ampóng masantíng ya katáwan ya.
35772	I'll call you back later.	4550028	Awsán daká king teléponú kaybát.
33354	Take a taxi to the hotel.	4550030	Mag-táxi ka papuntá king hotél.
850643	I love you more than him.	4550032	Mas kalugurán daká késâ kayá.
257220	I exercise because I want to stay healthy.	4550042	Mág-exercise ku úling bísa kung manátíling masánting katáwan.
4015303	Are your parents going to be home?	4550045	Atyú la king kékayú deng péngári mo?
23389	Our victory is secure.	4550055	Sigúrádu ing pámanyambút támu.
288749	He was asking about your health.	4550066	Kokómustán na ing kékang pamikákatán.
2007926	Let's not go.	4550075	E támu púpuntá.
2875426	She cut down a tree.	4550081	Mémútut yang dútung.
753775	We reported his disappearance.	4552641	Pépabálû mi ing kayáng pángawalâ.
371443	Where are you going to?	4550101	Núkarín ka muntá?
416367	Where are you going?	4550101	Núkarín ka muntá?
681022	Friends do things together.	4552616	Agnán-agnán la karéng gagáwan da deng mikálugúran.
2764282	I have to get home before it gets dark.	4552618	Kaylángan kung múlî báyu dálumdúm.
2376059	I know it's important to you.	4552644	Bálu kung maúlagá kéka.
538435	She has a flower in her hand.	4552637	Atín yang tatalnán a sampága.
2376060	I know it's important work.	4552645	Bálu kung maúlagáng óbra itá.
2870893	Nobody called you.	4552629	Aláng mináus kéka.
659981	Please write down what I'm about to say.	4552627	Pakísúlat mu ing sabián ku.
659895	Sue and John decided to get married.	4552626	Migpasyá lang mikasál di Sue ampóng John.
