1431	Where is the problem?	2851656	បញ្ហា​នៅ​ណា​?
1618	It is already eleven.	2849466	ម៉ោង​ដប់មួយ​ហើយ​។
2322	It's not important.	2846271	អត់​សំខាន់​ទេ​។
2322	It's not important.	2846272	មិន​សំខាន់​ទេ​។
20642	He won't be able to escape from there without a miracle, will he?	2879157	គាត់​មិន​អាច​គេច​ពី​ទីនោះ​បាន​ទេ លុះត្រាតែ​មាន​អព្ភូតហេតុ មែន​ទេ​?
20871	Don't worry about making mistakes.	2895543	កុំ​ព្រួយ​បារម្ភ​ពី​ការ​ធ្វេី​កំហុស​។
23718	Hanako grew taller than her mother.	2847715	ហាណាកូ លូតខ្ពស់ជាងម្តាយរបស់នាង ។
25632	The king crushed his enemies.	2846673	ស្តេចផ្ចាញ់នឹងសត្រូវ ។
25640	The king abused his power.	2846684	ស្តេចលោភនឹងអំណាច​ ។
25652	The king governed the country.	2846662	ស្តេច​បាន​គ្រប់គ្រង​ប្រទេស​។
28009	The doctor thought the patient's pulse was rather rapid.	2870770	វេជ្ជបណ្ឌិត​បាន​គិត​ថា​ជីពចរ​របស់​អ្នកជំងឺ​លោត​ញាប់​បន្តិច​។
28852	We were certain of winning the game.	2849542	យើង​បាន​ប្រាកដ​ថា យើង​នឹង​ឈ្នះ​ល្បែង​នេះ​។
28946	I have not yet learned whether he reached there or not.	2849472	ខ្ញុំ​មិន​ទាន់​ដឹង​ថា តើ​គាត់​បាន​ទៅ​ដល់​ទីនោះ​ឬ​ទេ​។
28972	I want to go with you.	2844431	ខ្ញុំ​ចង់​ទៅ​ជាមួយ​អ្នក​។
30128	Drive slowly. You might have an accident.	3160362	បើក​យឺត​ៗ​។ អ្នក​អាច​មាន​គ្រោះថ្នាក់​បាន​។
30427	Eat more, or you won't gain strength.	2870737	ញ៉ាំឱ្យច្រើន បើមិនអញ្ចឹង អ្នកអត់មានកំលាំងទេ ។
33560	What have you done with my pen? It was here a minute ago.	2852277	តើ​អ្នក​មាន​យក​ប៊ិច​ខ្ញុំ​ទេ​? ព្រោះអី​ម៉ិញ​វា​នៅ​ទីនេះ​តើ​!
33560	What have you done with my pen? It was here a minute ago.	2852322	តើ​អ្នក​មាន​យក​ប៊ិច​ខ្ញុំ​ទេ​? ព្រោះអី​ម៉ិញ​វា​នៅ​ទីនេះ​តើ​។
38937	Where is the toilet?	3189053	បង្គន់​នៅ​ណា​?
43710	The matter is all settled.	2846652	រឿងនេះត្រូវបានផ្សះផ្សារួចហើយ ។
47174	It's a miracle that he wasn't killed in the accident.	2879138	វា​ជា​អព្ភូតហេតុ​ដ៏​អស្ចារ្យ​មួយ​ដែល​គាត់​មិន​បាន​ស្លាប់​នៅ​ក្នុង​ឧប្បត្តិហេតុ​នោះ​។
52480	English is spoken in Singapore.	2909084	ភាសាអង់គ្លេស​ត្រូវ​បាន​និយាយ​នៅ​ប្រទេស​សិង្ហបុរី​។
53890	Is it OK if I go in jeans?	2870735	តើ​វា​មិន​អី​ទេ​បើ​ខ្ញុំ​ទៅ​ដោយ​ស្លៀក​ខោ​កាប៊ូយ​?
55481	This is a difficult math problem.	3551577	មួយ​នេះ​គឺជា​ចំណោត​នៃ​គណិតវិទ្យា​ដ៏​ពិបាក ។
56858	This book makes pleasant reading.	2852279	សៀវភៅ​នេះ​អាន​ទៅ​មាន​អារម្មណ៍​ថា​រីករាយ​!
61366	I think it's somewhere around here.	2861112	ខ្ញុំ​គិត​ថា​វា​នៅ​កន្លែង​ណា​មួយ​ក្បែរ​ៗ​នេះ​។
63098	Christ is believed to have worked many miracles.	2879135	គ្រិស្ត​ត្រូវ​បាន​គេ​ជឿ​ថា​បាន​ធ្វើ​នូវ​រឿង​អស្ចារ្យ​ជា​ច្រើន​។
70676	You may choose any book you like.	2846614	អ្នក​អាច​ជ្រើសរើស​សៀវភៅ​មួយ​ណា​ដែល​អ្នក​ចូលចិត្ត​បាន​។
237713	It's up to you.	2846281	តាម​ចិត្ត​អ្នក​។
239990	The lake is about 25 meters deep.	2857458	បឹង​នេះ​មាន​ជំរៅ​ប្រហែល 25 ម៉ែត្រ​។
241200	I give up.	2847287	ខ្ញុំ​ចុះចាញ់​ហើយ​។
244519	It was hot yesterday.	2850970	ម្សិលមិញ​ក្តៅ​ណាស់​។
246447	It's a miracle that I've got over cancer.	2879133	វា​ជា​អព្ភូតហេតុ​មួយ​ដែល​ខ្ញុំ​អាច​ជា​ពី​ជំងឺ​មហារីក​។
