5308161	Turtles don't have teeth.	6599315	Ibinyamasyo ntibigira amenyo.
1230587	Where's your watch?	7286538	Isaha yawe irihe?
2251094	That's my car.	7286639	Uyu muduga ni rwanje.
773504	I have sisters.	7291305	Ndafise bashikanje.
3785273	We're finally alone.	7567002	Tuhavuye tuba twenyene.
611372	We want complete sentences.	7723694	Twipfuza amungane akwiye.
611373	Don't change sentences that are correct. You can, instead, submit natural-sounding alternative translations.	7723696	Ntimuhindure amungane ata makosa afise. Murashobora kuyahinyanyura mu bundi buryo.
611374	Don't add sentences from copyrighted sources.	7723697	Ntimutange amungane y'abarundi ata ruhusha.
611375	We want natural-sounding translations, not word-for-word direct translations.	7723700	Twipfuza insiguro zo mu rurimi rwa misi yose.
611376	Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.	7723701	Tange insiguro y'amungane ibereye mudasamajwe n'izindi ndimi.
1841543	What does it look like?	7724446	Bisa gute?
24958	Why me?	7059794	Kubera iki jewe?
1434	I love you.	7029226	Ndagukunda.
349064	I don't know.	7032772	Sinzi.
716145	I know that.	7036897	Ndabizi.
433468	I understand.	7036939	Ndategera.
1691393	I get it.	7036941	Ndabitegera.
2241138	We know that.	7036955	Turabizi.
2867270	We know it.	7036955	Turabizi.
2245201	Come off it.	7036974	Bireke.
1893706	We understand.	7036976	Turumva.
1893706	We understand.	7036977	Turategera.
1893707	We understand each other.	7036991	Turumvikana.
2255375	You'll love it.	7037020	Uzobikunda.
3439444	Do you understand it?	7037040	Urabitegera?
5175144	I don't cook.	7041840	Sinteka.
4533458	May I come again?	7041844	Ngaruke?
3738506	Do you know this?	7041865	Urabizi?
2168	Where are you?	7059816	Urihe?
538123	Hi.	7032775	Bite?
2742244	Hi!	7032775	Bite?
433504	Excuse me.	7083003	Mbabarira!
2425828	Excuse me!	7083003	Mbabarira!
374827	Thank you!	7083025	Urakoze!
374827	Thank you!	7083027	Murakoze!
3454068	She is pregnant.	7087584	Aribungenze.
4763321	She isn't pregnant.	7087608	Ntiyibungenze.
27669	Take me with you.	7187823	Njana!
438940	We are happy.	7286377	Turanezerewe.
306525	They are happy.	7286382	Baranezerewe.
2247402	I saw you.	7286453	Ndakubonye.
2255017	You know her.	7286491	Uramuzi.
2255018	You know him.	7286491	Uramuzi.
3913022	You'll like him.	7286719	Uzomukunda.
3913023	You'll like her.	7286719	Uzomukunda.
296294	He is happy.	7291261	Aranezerewe.
313573	She is happy.	7291261	Aranezerewe.
16164	Are you happy?	7291265	Uranezerewe?
1872056	I'm happy.	7291275	Ndanezerewe.
887480	She understands him.	7291295	Aramutegera.
887480	She understands him.	7291299	Aramwumva.
433680	That's enough.	7291351	Birakwiye.
2111767	I'll understand.	7291354	Nzotegera.
424848	I know her.	7349546	Ndamuzi.
71751	I know him.	7349546	Ndamuzi.
252915	I know you.	7349552	Ndakuzi.
306737	They know us.	7349557	Baratuzi.
320080	Don't ask.	7349587	Ntubaze.
519963	I saw him.	7349599	Ndamubonye.
2243301	They saw me.	7349654	Bambonye.
2250035	Take a break.	7349656	Ruhuka!
2255020	You know me.	7349662	Uranzi.
2549647	I'll go get it.	7349676	Nzobitora.
278606	Don't give up!	7349680	Ntuhebe!
307764	Don't stop him.	7349684	Ntumuhagarike.
1841646	I'll ask him.	7349710	Nzomubaza.
1860492	Don't drink that.	7349718	Ntubinywe!
2248443	Is it broken?	7349749	Capfuye?
17150	Where do you come from?	7350115	Muvahe?
31268	I'll think about it.	7409936	Nzovyiyumvira.
2713740	They aren't happy.	7452299	Ntibanezerewe.
1849376	Get on with it.	7452308	Bandanya!
38546	Go ahead.	7452307	Komeza!
2111597	Nobody listens.	7037064	Nta n'umwe yumviriza.
6683339	No one is listening.	7037064	Nta n'umwe yumviriza.
3330202	I'm not rich.	7037073	Sintunze.
3331007	You take the money.	7037068	Akira amahera.
5427238	I love coming here.	7041847	Ndakunda kuza ino.
4533458	May I come again?	7041846	Nsubire kugaruka?
4401060	I love this car.	7041858	Ndakunda uyu muduga.
3825888	This is our car.	7041855	Uyu muduga ni rwacu.
3825854	Tom is a carpenter.	7041856	Tom ni umubaji.
3172293	Do I know Tom?	7041869	Ndazi Tom?
3734051	Say it in French.	7041867	Bivuge mu gifaransa.
3823889	Is your mother here?	7041868	Nyoko niho ari?
3738907	Does Tom know why?	7041864	Tom arazi imvo?
3636409	Is Tom there, too?	7041866	Tom niho ari nawe?
3573712	Stop looking at me.	7041860	Reka kundaba.
3565058	I know your mother.	7041861	Ndazi nyoko.
3819155	I saw that, too.	7041883	Ndabibonye nanje.
3312652	We miss you, too.	7041878	Nawe turagukumbuye.
17494	I want to see you again.	7059806	Ndashaka gusubira kukubona.
868955	I don't have money.	7059800	Simfise amahera.
17748	Does he know that you love him?	7059804	Arazi ko umukunda?
20521	How long do you want it for?	7059798	Ushaka kukigumya igihe kingana iki?
20521	How long do you want it for?	7059799	Ushaka kukigumya umwanya ungana iki?
21456	A student wants to see you.	7059796	Umunyeshuri arashaka kukubona.
2548014	What're you reading?	7059795	Uriko usoma iki?
24676	What are you reading?	7059795	Uriko usoma iki?
15882	Do you live here?	7059815	Uba ngaha?
1579	Oh, I'm sorry.	7059817	Oh, mpore.
17110	Where are your things?	7059811	Ibintu vyawe birihe?
38327	How do you go to school?	7059812	Ugenda kw'ishure gute?
17440	I want you to read this book.	7059807	Ndashaka ko usoma iki gitabu.
17271	Do you know what you're asking?	7059808	Urazi ico ubaza?
17150	Where do you come from?	7059809	Uva hehe?
4498938	Give me your watch.	7082863	Mpa isaha yawe.
5158710	We're very happy.	7082858	Turanezerewe cane.
2254675	Where's your car?	7082860	Umuduga wawe urihe?
5422323	Where do you park?	7082861	Mwahagaritse umuduga hehe?
5418417	It'll be hot.	7059821	Haraza gushuha.
1540	Why don't we go home?	7059818	Kubera iki tutaja i muhira?
1886532	Why are you asking?	7059820	Kubera iki ubaza?
1368	Why do you ask?	7059820	Kubera iki ubaza?
3374724	Listen to your mother.	7082905	Umviriza nyoko!
1765792	Listen to your mother!	7082905	Umviriza nyoko!
3819892	It made me think.	7082889	Vyanteye kuzirikana.
3822323	I took the money.	7082893	Amahera narayakiriye.
3819892	It made me think.	7082883	Vyanteye kwiyumvira.
4053872	Here's your order.	7082875	Ngico ico mwasavye.
2418	How much is it?	7082920	Ni angahe?
3522075	Good. And you?	7082944	Neza, nawe?
432878	No, thanks.	7083015	Oya, urakoze.
31390	No, thank you.	7083015	Oya, urakoze.
433518	Go away!	7082999	Ja hiyo!
1564	Thank you very much!	7083007	Urakoze cane!
534970	Thanks a lot!	7083007	Urakoze cane!
502319	That's how it is.	7086029	Niko bimeze.
1437330	She is not there.	7085959	Siho ari.
1437331	He is not there.	7085959	Siho ari.
3944038	I still don't know yet.	7085948	Sindabimenya.
818277	I never lie.	7085922	Simbesha na rimwe.
2092	You're sick. You have to rest.	7100102	Urarwaye, ubwirizwa kuruhuka.
310372	How long has she been sick?	7100096	Amaze igihe kingana iki arwaye?
2595655	Why is the sky blue?	7125399	Kubera iki ijuru risa n'ubururu?
2012113	I don't want to get sick.	7100125	Sinshaka kurwara.
5033252	It is the same book as the one I have.	7125448	Nico gitabu mfise nanje.
2019117	Don't you want to know what happened?	7125433	Ntimushaka kumenya ivyabaye?
71654	What happened to you last night?	7125422	Mwashikiwe niki ejo ku mugoroba?
2876326	What do you know about what happened?	7125417	Muzi iki ku vyashitse?
38789	Why is it so hot?	7125408	Kubera iki hashushe?
276176	Someone is standing behind the wall.	7125479	Hari umuntu ahagaze inyuma y'uruhome.
