1283	The password is "Muiriel".	746763	«Muiriel» 'oH pegh mu''e'.
1284	I will be back soon.	2383086	tugh jIcheghta'.
1290	I was in the mountains.	2383089	HuDmeyDaq jIHtaH.
1291	Is it a recent picture?	2383088	qen mIlloghvam qonlu''a'?
1296	You are in my way.	1123312	chobottaH.
1308	I miss you.	695939	qaHutlh.
1309	I'll call them tomorrow when I come back.	2383090	wa'leS jIcheghDI' chaH vIrI'.
1311	You should sleep.	727061	bIQongnIS.
1322	Most people think I'm crazy.	2137722	jImaw' 'e' luHar HochHom.
1322	Most people think I'm crazy.	2383092	jImaw' 'e' Qub HochHom.
1323	No I'm not; you are!	1168815	ghobe'. jIHbe'. SoH'e'!
1329	Hurry up.	724195	tugh!
1329	Hurry up.	2310205	yImoD!
1329	Hurry up.	2310207	pemoD!
1330	It doesn't surprise me.	2383091	mumerbe'.
1341	I'm gonna shoot him.	724167	ghaHvaD jIbach.
1351	It would be something I'd have to program.	739514	vay''e' vIghunnISbogh 'oH.
1359	I'd be unhappy, but I wouldn't kill myself.	722888	vaj jIQuchHa' 'ach jIHoH'eghbe'.
1368	Why do you ask?	1160046	qatlh bIghel?
1385	This is not important.	3682587	potlhbe' 'oH.
1391	You can do it.	765018	Data'chu'laH!
1399	Even though he apologized, I'm still furious.	785487	tlhIjpu', 'ach jIQay'taH.
1421	No one will know.	758748	Sov pagh.
1432	I can only wait.	2150736	jIloSlaH neH.
1434	I love you.	660600	qamuSHa'.
1435	I don't like you anymore.	744979	qaparHa'choHpu'.
1437	Congratulations!	752974	qaHoy'.
1456	How could I be a robot? Robots don't dream.	1176651	qatlh qoq jIHbej? najbe' qoq.
1476	You're not fast enough.	2152330	yapbe' DolIj!
1482	I don't speak Japanese.	1676344	nIpon Hol vIjatlhbe'.
1503	"A rolling stone gathers no moss" is a proverb.	2137961	roltaHbogh naghDaq vI'be' tI. vIttlhegh 'oH mu'tlheghvam'e'.
1535	If you see a mistake, then please correct it.	1808606	Qagh Daleghchugh vaj 'oH yIlughmoH.
1543	"Why aren't you going?" "Because I don't want to."	2342063	«qatlh bIjeSbe'?» «jIjeS vIneHbe'.»
1568	That's a good idea!	2287896	QaQ qechvam!
1572	Damn! It's not bad!	1733029	ghuy'! qabbe'!
1588	I don't care what your names are. Once this job's over, I'm out of here.	758484	pongmeychaj vISaHHa'. Qu'vam wIta'DI' jImej.
1615	Do whatever he tells you.	2382772	ra'DI' yIlob!
1622	What do you want?	695416	nuqneH?
1627	Paris is the most beautiful city in the world.	2137723	qo'Daq veng'e' vIraS mon 'IH law' Hoch 'IH puS.
1653	Thanks, that's all.	2270639	qatlho'. pItlh.
1658	Italy is a very beautiful country.	1193081	Sep 'IHqu' 'oH 'Italya''e'.
1659	It's not my fault!	754561	pIch vIghajbe'!
1663	Where are the showers?	1750805	nuqDaq bIH bIQ ghaywI' pa'mey'e'?
1666	I have lost my wallet.	3382570	Huch buqwIj vIchIlpu'.
1695	Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.	2265466	wa'leS vemlu'pu'DI' ngabpu' 'u' 'e' tu'lu'chugh, vaj QeD 'ay' HaDqa'laHbogh 'oH mI' QeD'e'.
1705	I'm tired.	719470	jIDoy'.
1725	"If you're tired, why don't you go to sleep?" "Because if I go to sleep now I will wake up too early."	1123517	«bIDoy'chugh chay' bIQongchoHbe'?» «DaH jIQongchoHchugh vaj tlhoy 'eq jIvemDI'.»
1741	What changes the world is communication, not information.	2139145	qo' choH Qum'e', choHbe' De''e'.
1744	The past can only be known, not changed. The future can only be changed, not known.	750415	ret DaSovlaH neH, 'ach DachoHlaHbe'. pIq DachoHlaH neH, 'ach DaSovlaHbe'.
1765	I'm undressing.	1368270	jItuQHa'moHlI'.
1766	The car crashed into the wall.	1217056	reD ngeQpu' puH Duj.
1783	That was the best day of my life.	2393524	yInwIj jaj nIvqu' 'oH.
1783	That was the best day of my life.	2393526	yInwIj jaj'e' jajvetlh QaQ law' Hoch QaQ puS.
1788	You are the great love of my life.	720670	yInwIj bong'a' SoH.
1800	Don't worry, be happy!	1195904	yISaHQo', yIQuch!
1800	Don't worry, be happy!	1195905	peSaHQo', peQuch!
1813	It's cold.	695353	bIr.
1824	Could you call again later, please?	2270669	SIbI'Ha' jurI'qa'laH'a'?
1834	Have you ever eaten a banana pie?	2141399	banan naH chab DaSopta''a'?
1861	It's over between us. Give me back my ring!	2385173	QebwIj HInobHa'! bIQ'a'Daq 'oHtaH 'etlh'e'!
1862	It is raining.	748236	SIS.
1864	She's really smart, isn't she?	2341750	valqu' qar'a'?
1874	Tomorrow, I'm going to study at the library.	1099092	wa'leS paqghomDaq jIHaD.
1881	I read a book while eating.	695903	jISoptaHvIS paq vIlaD.
1881	I read a book while eating.	2995692	paq vIlaDtaH jISoptaHvIS.
1889	How many times a day do you look at yourself in the mirror?	1361875	qaStaHvIS wa' jaj 'arlogh SIla'Daq jIbej'egh?
1922	Most people only want to hear their own truth.	2270878	vItchaj Qoy neH nuvpu' HochHom.
2026	Classes are starting again soon.	2228109	tugh taghqa' paQDI'norgh.
2048	It's all dark outside.	2280765	Hueghchu'taH Hur.
2092	You're sick. You have to rest.	1193154	bIrop. bIleSnIS.
2136	Where is the bathroom?	1069529	nuqDaq 'oH puchpa''e'?
2139	His story was too ridiculous for anyone to believe.	2434581	lutDaj HarlaH pagh tlhoy Doghmo'.
2144	Do you think mankind will someday colonize the Moon?	2283977	wa' jaj tera' maSDaq mID lucher Humanpu' 'e' DaHar'a'?
2153	Why can't we tickle ourselves?	2392835	qatlh qotlh'eghlaHbe' vay'?
2166	What?! You ate my chocolate bear?!	764547	nuqjatlh? yuch mIl'oDwIj DaSopta'?!
2168	Where are you?	767601	nuqDaq SoHtaH?
2168	Where are you?	2227028	nuqDaq tlhIHtaH?
2190	I usually take a shower in the evening.	1750810	Hoch ram choS motlh bIQ ghaywI' pa'Daq jISay''eghmoH.
2194	Good night. Sweet dreams.	3012692	maj ram! bInajtaHvIS qeylIS Daghomjaj!
2194	Good night. Sweet dreams.	3319915	maj ram. bInajtaHvIS qeylIS Daghomjaj.
2223	That way I kill two birds with one stone.	1750812	vaj cha' bo'Deghmey vIHoHmeH wa' nagh neH vIlo'nIS.
2237	I would like batteries for this device.	1759460	janvamvaD 'ul 'aplo'mey vIneH.
2238	Can I pay by credit card?	1811925	jIDIlmeH Huch chaw' vIlo'laH'a'?
2249	I need your advice.	2242856	qeSlIj vIpoQ.
2256	I knew it was plastic but it tasted like wood.	2226301	mep 'oH 'e' vISov 'ach Sor Hap wejwa' rur wejwa'Daj.
2311	I love trips.	1117944	lengmey vImuSHa'.
2323	I don't care.	2304439	jISaHbe'.
2329	Fifty-two per cent of British women prefer chocolate to sex.	2107824	yuch nga'chuqghach je qelDI', yuch lumaS vaghmaH cha' vatlhvI' tuqjIjQa' be'pu'.
2338	To be quiet in class is to respect other people's sleep.	2110443	wa' nuv QongtaHghach vuv latlh nuv tamtaHghach.
2350	All cats are grey in the dark.	1733340	Hurghchugh Daq, qIj 'ej chIS Hoch vIghro'.
2361	There's no doubt.	790502	Honlu'be'.
2368	He's a good person.	2228258	nuv QaQ ghaH.
2372	No love is foul nor prison fair.	2335849	moH pagh parmaq 'ej 'IH pagh bIghHa'.
2387	You can't get lost in big cities; there are maps everywhere!	757794	veng'a'Daq lengHa'laHlu'be'. Dat pu'jInmey tu'lu'!
2396	If you eat too much, you'll become fat.	2135076	tlhoy DaSopchugh bIpI'choH.
2396	If you eat too much, you'll become fat.	2135077	tlhoy DaSopchugh bIrorchoH.
2415	This knife was very useful to me.	787736	jIHvaD lI'qu'pu' tajvam.
2418	How much is it?	2324771	Dochvetlh DIlmeH Huch 'ar DaneH?
2430	You arrived at the moment I left.	767554	jImejDI' bIpaw.
2433	Who is coming with me?	778617	mutlhej 'Iv?
4719	You need not telephone me.	741194	chorI'nISbe'.
5942	We have to take him to the hospital immediately; he is seriously injured!	1671495	SIbI' ropyaH qachDaq ghaH wIlupnIS! rIQtaH 'ej pavtaH!
5997	You don't have to come tomorrow.	2345593	wa'leS bIjeS net poQbe'.
5997	You don't have to come tomorrow.	2345596	wa'leS SujeS net poQbe'.
6024	It happened a long time ago.	747575	ben law' qaS.
6043	Could you turn on the light, please?	1123438	wovmoHwI' Dachu'laHneS'a'?
6133	I can't believe my eyes.	754958	mInDu'wIj vIHarlaHbe'.
6143	During winter I sleep with two blankets.	2170878	qaStaHvIS poH bIr, jIQongtaHvIS cha' tlhImmey vIlo'.
9594	Can you keep a secret?	1276527	bIpeghlaH'a'?
9601	You are tired, aren't you?	2342069	bIDoy' qar'a'?
15817	You must pay attention to him.	2235329	ghaH DabuSnIS.
15830	You should tell him the truth.	765038	ghaHvaD jIvItnIS.
15851	Do you think he made that mistake on purpose?	746825	chIch Qaghpu' ghaH 'e' DaQab'a'?
15854	Didn't you know that he passed away two years ago?	1073159	cha' ben Heghpu' 'e' DaSovbe''a'?
15859	Can you ride a horse?	695926	Sargh DalIghlaH'a'?
15881	You know the answer?	2235549	bIjanglaH'a'?
15889	It is necessary for you to see a doctor at once.	2369556	SIbI' Qel DaghomnIS.
15902	You ought to be ashamed.	757773	bItuHjaj!
15904	Who are you waiting for?	3674901	'Iv DaloSlI'?
15913	I'm proud of you.	738806	SoHmo' jIHem.
15913	I'm proud of you.	2153503	tlhIHmo' jIHem.
15934	You are to apologize to her for it.	754925	'oHmo' ghaHvaD bItlhIjnIS.
15960	You may be right, but I am against your opinion.	2270642	chaq bIlugh, 'ach vuDlIj vIQoch.
16023	You should apologize.	2275623	bItlhIjnIS.
16064	You should look after the children from time to time.	1169419	rut puqpu' boQorghnIS.
16117	Why were you absent yesterday?	2152401	wa'Hu' qatlh bIDach?
16140	You worked a lot this week.	746959	Hoghvam bIvumqu'.
16153	You were careless in your action.	3377654	bIvangDI' bIyepHa'.
16170	You made a wise choice.	758475	bIwIvchu'.
16194	You have cleaned your shoes, haven't you?	2432245	waqmeylIj DaSay'moHta' qar'a'?
16212	Where are you going to spend the vacation?	2136528	nuqDaq bIghIQ 'e' Danab?
16250	You may go anywhere.	1165355	vogh DajaHlaH.
16255	What are you looking for?	738756	nuq DanejtaH?
16268	What woke you up?	1289061	DuvemmoHpu' nuq?
16275	What do you want now?	1365730	DaH nuqneH?
16283	You dropped your pencil.	1770110	ghojmeH ghItlhwI'lIj Dachaghpu'.
16284	Do you have any pencils?	1770112	ghojmeH ghItlhwI'mey Daghaj'a'?
16314	You'll never be alone.	1807914	not bImob.
16314	You'll never be alone.	1807915	not Sumob.
16396	You nearly poked me in the eye with your pencil.	1770131	tlhoS mInwIj DuQpu' ghojmeH ghItlhwI' Dalo'taHbogh!
16412	If you read this book again, you will have read it three times.	2146479	paqvam DalaDqa'chugh, wejlogh DalaDnISbej.
16428	Can you speak French?	1666577	vIraS Hol DajatlhlaH'a'?
16460	Why did you use up all the money?	1807913	qatlh Hoch Huch Danatlh?
16472	How tall are you?	769550	'uj 'ar Da'ab?
16474	You are very brave.	1082117	bIyoHqu'.
16492	What are you doing?	2364824	nuq Data'taH?
16492	What are you doing?	2364825	nuq bota'taH.
16520	All you have to do is to join us.	2144616	jumuvnIS neH.
16522	You are to start at once.	2252782	SIbI' bItaghnIS. 'ut.
16559	When did you finish it?	754916	ghorgh Davanta'?
16591	Did you cut the paper?	739501	nav Dape'pu''a'?
16634	You aren't a spy, are you?	1195913	ghoqwI' SoHbe' qar'a'?
16673	You must put these mistakes right.	2151017	Qaghmeyvam DaqarmoHnIS.
16675	Have you read this book already?	2233048	paqvam DalaDta''a'?
16693	You'll have this composition written by noon tomorrow, won't you?	2345598	wa'leS DungluQ ghItlhvam Daqonta' qar'a'?
16723	You've drunk three cups of coffee.	1671839	wej qa'vIn HIvje'mey Datlhutlhta'.
16791	You have some books.	1113532	'op paq Daghaj.
16792	You've given me good advice.	738460	choqeSchu'pu'.
16825	You'll be able to drive a car in a few days.	1670002	leS puS puH Duj DachIjlaH.
16854	Assuming your story is true, what should I do?	749726	teHchugh lutlIj, chay' jIvangnIS?
16858	Omit needless words!	2390214	'utbe'bogh mu'mey tInop!
16874	I admire your courage.	2317798	toDujlIj vIHo'.
16966	I forget your phone number.	1736350	ghogh HablI'lIj mI' vIqawbe'.
16967	I forget your telephone number.	727266	ghogh HablI'lIj mI' vIlIj.
17013	Go back to your seat.	2227039	quSlIj yIchegh!
17017	I don't for a moment doubt your honesty.	3006606	bIyuDHa' 'e' vIHonbe'chu'.
17036	I read your new book with real delight.	2391446	paqlIj chu' vIlaD 'ej vItIvqu'.
17057	I don't need your help.	3693659	QaHlIj vIwuvbe'.
17073	I received your letter yesterday.	758492	wa'Hu' QInlIj vIHev.
17074	Your letter made me happy.	754645	muQuchmoHpu' QInlIj.
17076	Are your hands clean?	1116245	lamHa''a' ghopDu'lIj?
17096	May I borrow your dictionary?	786261	mu'ghomlIj vIngIplaH'a'?
17106	Your watch is more expensive than mine.	787788	tlhaqlIj wagh law' tlhaqwIj wagh puS.
17151	Do you eat rice in your country?	2228180	SeplIjDaq ray' tIr Soplu''a'?
17161	Your action has offended his dignity.	1075004	nurDaj mawpu' ta'lIj.
17171	Your ideas are different from mine.	1158374	pIm qechmeylIj qechmeywIj je.
17258	Your plan seems better than mine.	1073186	nablIj QaQ law'law' nabwIj QaQ puSlaw'.
17283	Where is your school?	1190468	nuqDaq 'oH DuSaQraj'e'?
17298	Can I use your pencil?	1770135	ghojmeH ghItlhwI'lIj vIlo' 'e' Dachaw''a'?
17299	Your pencils need sharpening.	1770143	ghojmeH ghItlhwI'meylIj jejmoH vay' net poQ.
17299	Your pencils need sharpening.	1770145	ghojmeH ghItlhwI'mey DajejnISmoH.
17350	I blush for your mistake.	1296602	QaghlIjmo' Doqqu'choH qabwIj.
17355	Your pen is better than mine.	764534	ghItlhwI'lIj QaQ law' ghItlhwI'wIj QaQ puS.
17377	I'd do any damn thing for you.	1733030	SoHvaD vay' vIta'qang jay'!
17386	I respect you for what you have done.	2110448	ta'meylIjmo' qavuv.
17394	Is this your glass or your sister's?	697931	HIvje'lIj 'oH pagh be'nI'lI' HIvje' 'oH?
17410	Is your uncle still abroad?	2230172	Sep novDaq ghaHtaH'a' tennuSnalwI''e'?
17420	Your chair is identical to mine.	2226756	nIb quSwIj quSlIj'e' je.
17428	Your T-shirt will dry soon.	746231	tugh QaD yIvbeHlIj.
17487	I'll tell you how to swim.	3682317	QalmeH mIw qaghojmoH
17520	I can't lie to you.	746770	SoHvaD jIneplaHbe'.
17521	I can't hide the fact from you.	2318967	SoHvo' ngoD vISo'Qo'.
17622	I would prefer to speak to you in private.	2107832	maja'chuqtaHvIS mamob 'e' vImaS.
17635	You are young boys.	1081112	loDHom Qup tlhIH.
17654	Are you students at this school?	2348343	DuSaQvam ghojwI'pu' tlhIH'a'?
17670	I think I might join you, but I haven't decided yet.	2144620	chaq qamuv 'ach wej jIwuqta'.
17670	I think I might join you, but I haven't decided yet.	2144621	chaq Samuv 'ach wej jIwuqta'.
17735	I need you.	762736	qaghajnIS.
17785	I sincerely hope that you will soon recover from your illness.	3684624	tigh bIropHa'choH 'e' vItulqu'!
17812	Your o's look like a's.	2248522	'atmey rur 'otmeylIj'e'.
17822	A time will come when you will regret your action.	2288705	'opleS ta'lIj Dapay.
17838	I wish you could come with us.	1215932	jutlhejlaH vIneH.
17838	I wish you could come with us.	1215933	chetlhejlaH vIneH.
17849	Nothing is so tasty as the dish you make.	1733289	nay' Davutbogh 'ey law' Hoch 'ey puS.
17952	What you've done is profitable only to the enemy.	1123491	jaghvaD lI' neH ta'lIj.
18078	A bear will not touch a dead body.	1749062	lom HotQo' mIl'oD.
18082	How long does a bear sleep?	1749064	qaStaHvIS poH 'ar QongtaH mIl'oD?
18086	Take off your socks, please.	1123522	paSloghlIj yItuQmoHHa'neS.
18147	Judging from the look of the sky, it is going to snow.	1673823	DaHjaj peDtaH 'e' vInoH chal vIleghDI'.
18203	I prefer a hotel by the airport.	2287922	muD Duj verghDaq Sum mebpa'mey vIDabbogh 'e' vImaS.
18262	Without air there can be no wind or sound on the moon.	2283994	muD Hutlhmo' tera' maS, pa' DuHbe' SuS wab je.
18275	The sky is blue.	2384419	SuD chal.
18276	The sky is clear and the sun is bright.	1069562	Huv chal 'ej wov jul.
