2306	Put your hands down!	2106404	Nubomal !
2306	Put your hands down!	2106408	Va nubeem titon !
16511	You smoke far too much. You should cut back.	2227363	Vikizarsal. Co-goraweyal.
40586	Doubtless you have heard the news.	2235180	Va warzoteem ape al gildel.
47859	Oil is abundant in that country.	2235179	Tolna koe bata patecta aultover.
52966	Jorge is able to speak four languages.	2195814	Jorge kan balemoya ava grupulvir.
252171	I will carry through the work.	2305507	Va bata kobara jupekatá.
253437	I like coffee very much.	2196028	Va fadxa sokalbapá.
271671	An honest man is the noblest work of God.	2209732	Telik tir tel lodolukaf reduks ke Lorik.
285978	His conclusion is based on these facts.	2091361	Omava ke inafa zoltera tir batyon askiks.
286231	His ideas are quite different from mine.	2225773	Bata rieta tid amidapafa gu jinafa.
295323	He was paralyzed with terror.	2129519	Eaftuca va in aliziyir.
304054	He is just a Mr Nobody.	2213529	In opelon tir Metan W-ye.
312875	She is ignorant of even the simplest facts about science.	2091364	In tir afanasaf gu lodopelafa opaca.
323156	I see him tomorrow afternoon.	2229997	Va in direkielon wití.
323787	Close your eyes, please.	2088537	Vay, itabudel !
323787	Close your eyes, please.	2088539	Vay, itabudec !
389170	At last, he became aware of his own mistakes.	2129555	In va intaf rokleem adim vofayar.
505466	She is well versed in Spanish literature.	2225772	Inya tir grupepesa va espanavaf suteroteem.
521667	It's a good question.	2225776	Bibenye.
536989	The weather is so nice!	2158692	En kiewapar !
605851	She could be right, mind you.	2140936	In rotir over, turkon.
769536	How do I delete a sentence?	2229992	Tokinde va blayak rosulá ?
1112793	You are happy about the result.	2195821	Va daneks welvel.
1471195	A good night's sleep will do you a world of good.	2213287	Kenibes mielcekap va rin tukiewapatar.
1505530	Are you an animist?	2095839	Til swavevik ?
1538170	The Earth is blue like an orange.	2482312	Tawava tir faltafa dum kramte.
1545865	I don't speak Lojban.	2095912	Me grulojbanavú.
1545869	Could you talk more slowly, please?	2095915	Vay, lovion ropulvil ?
1545871	I am thirsty.	2095909	Siputé.
1559840	What's the price of this?	2095939	Tokdroe ?
1559843	That costs 13.	2095940	Dro tir vas 13 ...
1559845	Where should I pay?	2095941	Toklize gododé ?
1559847	I'm looking for something less expensive.	2095944	Va letcazafa xa aneyá.
1580071	He doesn't know anything.	2235146	In va mecoba gruper.
1655471	Can you give me that?	2095954	Va batcoba rozilil ?
1655484	Who sells this?	2095957	Toktan va batcoba doler ?
1655498	Give me some more.	2095961	Loote zilil !
1655503	Where is a doctor?	2095962	Toklize kurmik tigir ?
1655506	Where is a hospital?	2095964	Toklize ropexe tigir ?
1655512	My head is too hot.	2095966	Jinafa taka tir idularsafa.
1488115	I have a stomach ache.	2095971	Uvoonaroté.
1766663	He's a gardener.	2829590	In tir matelik.
2015179	I don't want you to go to Boston.	2235156	Me kuraní da ko Boston lapil.
2017429	This story belongs clearly to no genre.	2235198	Bata rupa tir ke meki denafi oxi.
2088150	The sentence has been deleted.	2088403	Sulayan blayak.
2090119	Talent is like money. It's not necessary to have any to talk about it.	2090116	Fitc dum erba tir. Me govodigit inde ropulvit.
