1308	I miss you.	2525100	Man tevis pietrūkst.
1311	You should sleep.	2525101	Tev vajadzētu gulēt.
1312	I'm going to go.	2525102	Es iešu.
1326	Are you sure?	2525103	Vai tu esi pārliecināts?
1330	It doesn't surprise me.	2525105	Tas mani nepārsteidz.
1339	I'm so fat.	1050795	Es esmu tik resns.
1339	I'm so fat.	2525108	Es esmu tāds tusnis.
1373	How long did you stay?	2525109	Cik ilgi tu paliki?
1391	You can do it.	2525110	Tu to vari.
1392	My physics teacher doesn't care if I skip classes.	2525113	Man fizikas skolotāju neuztrauc ja es bastoju stundas.
1393	I wish I could go to Japan.	2525115	Es vēlo kaut es varētu doties uz Japānu.
1395	I have to go to bed.	2525118	Man vajag iet gulēt.
1396	After that, I left, but then I realized that I forgot my backpack at their house.	2525119	Pēc tam, kad es aizgāju, es sapratu, ka esmu aizmirsis savu mugursomu viņu mājā.
1397	I won't ask you anything else today.	2525120	Es tev šodien neko citu neprasīšu.
1399	Even though he apologized, I'm still furious.	2525123	Pat tad kad viņš atvainojis es joprojām esmu nikns.
1401	Thanks for having explained to me at last why people take me for an idiot.	2525126	Paldies tev, ka beidzot paskaidroji, kāpēc cilvēki uzskata mani par muļķi.
1402	That wasn't my intention.	2525129	Tas nebija mans nodoms.
1403	Thanks for your explanation.	2525135	Paldies par paskaidrojumu.
1404	Theoretically, I'm doing math.	2525136	Teorētiski es rēķinu.
1407	It almost scared me not to see you online for a whole day.	2525137	Neredzot tiešsaistē veselu dienu, tu mani gandrīz pārbiedēji.
1408	I don't know what you mean.	2525139	Es nezinu ko tu ar to domā.
1409	My computer has got to be useful for something.	2525140	Manam datoram jābūt noderīgam priekš kaut kā.
1410	You wanted to tell me about freedom?	2525141	Tu man vēlējies pastāstīt par brīvību?
1411	Uh, now it's really weird...	2525142	Hm, tagad tas ir dīvaini.
1421	No one will know.	2525143	Neviens nezinās.
1423	It seems interesting to me.	2525144	Man tas liekas intraneti!
1425	I like candlelight.	2525145	Man patīk sveču gaisma.
1426	What did you answer?	2525146	Ko tu atbildēji?
1427	No, he's not my new boyfriend.	2525147	Ne, viņš nav mans jaunais draugs.
1428	It's too bad that I don't need to lose weight.	2525148	Tas ir slikti, ka man nevajag zaudēt svaru.
1429	You never have class or what?!	2525149	Tev nekad nav bijis klasē vai ne?!
1430	I will play Sudoku then instead of continuing to bother you.	2525151	Es spēlēšu sudoki nekā turpināšu garlaikot tevi.
1431	Where is the problem?	2525152	Kur ir problēma?
1432	I can only wait.	2525153	Es varu tikai gaidīt.
1433	It's not much of a surprise, is it?	2525154	Tas nav daudz priekš pārsteiguma, vai ne?
1434	I love you.	805608	Es tevi mīlu.
1435	I don't like you anymore.	2525157	Man tu vairs nepatīc.
1436	I am curious.	2525158	Es esmu ziņkārīgs.
1437	Congratulations!	2525162	Apsveicam!
1438	I don't want to wait that long.	2525163	Es negribu gaidīt tik ilgi.
1439	Why don't you come visit us?	2525164	Kāpēc tu neapciemo mūs.
1440	But the possibility seems unlikely.	2525165	Bet iespēja izskatās mazs ticama.
1442	I shouldn't have logged off.	2525166	Man nevajadzēja izlogoties.
1484	Nobody understands me.	1811432	Neviens nesaprot mani.
1654	Would you like to dance with me?	925035	Vai jūs vēlaties dejot?
1705	I'm tired.	1636675	Es esmu noguris.
1718	Call the police!	925024	Izsauciet policiju!
1723	Merry Christmas!	2981625	Priecīgus Ziemassvētkus!
1829	Life is beautiful.	1800918	Dzīve ir skaista.
1860	I don't want to go to school.	3633422	Negribu iet uz skolu.
1864	She's really smart, isn't she?	2588197	Viņa ir ļoti gudra, vai ne?
2319	I don't know him.	3285670	Es viņu nepazīstu.
2418	How much is it?	925038	Cik tas maksā?
2453	I don't agree with him.	2562555	Es viņam nepiekrītu.
16557	You must do it at once.	2528551	Tev vajaga beidzot to izdarīt.
16650	You will soon get accustomed to your new school.	2563884	Tu drīz iejutīsies savā jaunajā skolā.
16950	Your answer is wrong.	1796177	Tava atbilde ir nepareiza.
17020	I was glad to hear of your success.	2588134	Es priecājos dzirdēt par taviem panākumiem.
17283	Where is your school?	2183620	Kur ir jūsu skola?
17829	I love you more than you love me.	805600	Es mīlu tevi vairāk kā tu mīli mani.
17829	I love you more than you love me.	2931014	Es mīlu tevi vairāk nekā tu mani mīli.
17851	Choose the color you like the best.	2588474	Izvēlies krāsu, kura tev patīk vislabāk.
18924	A mirror reflects light.	2785963	Spogulis atstaro gaismu.
