1276	Let's try something.	1666676	Pabandykime ką nors.
1277	I have to go to sleep.	527808	Turiu eiti miegoti.
1284	I will be back soon.	2217168	Aš greitai grįšiu.
1286	I'm at a loss for words.	2246358	Man trūksta žodžių.
1288	I just don't know what to say.	1594204	Aš tiesiog nežinau ką pasakyti.
1291	Is it a recent picture?	566954	Tai nauja fotografija?
1299	I make €100 a day.	566960	Aš uždirbu 100 eurų per dieną.
1302	That won't happen.	566961	Tai neatsitiks.
1303	Sometimes he can be a strange guy.	566962	Jis kartais labai keistas.
1304	I'll do my best not to disturb your studying.	566963	Aš pasistengsiu netrukdyti tau mokytis.
1308	I miss you.	566965	Aš tavęs ilgiuosi.
1310	I always liked mysterious characters more.	566967	Man visad labiau patiko paslaptingi personažai.
1311	You should sleep.	572688	Tu turėtum miegoti.
1312	I'm going to go.	1610002	Aš ketinu eiti.
1316	I once wanted to be an astrophysicist.	566969	Kadaise aš norėjau tapti astrofiziku.
1317	I never liked biology.	566971	Man niekada nepatiko biologija.
1326	Are you sure?	1607496	Ar esi tikra?
1326	Are you sure?	1607725	Ar esi tikras?
1337	When I grow up, I want to be a king.	1673263	Kai aš užaugsiu, aš noriu būti karaliumi.
1347	It would take forever for me to explain everything.	1583742	Man reikėtų visos amžinybės tam kad viską paaiškinčiau.
1360	Back in high school, I got up at 6 a.m. every morning.	2693746	Mokydamasis vidurinėje mokykloje aš kasdien keldavausi šeštą valandą ryto.
1360	Back in high school, I got up at 6 a.m. every morning.	2693756	Kai aš mokiausi vidurinėje mokykloje, kasdien keldavausi šeštą valandą ryto.
1368	Why do you ask?	568922	Kodėl klausi?
1390	There's a problem there that you don't see.	1621495	Ten yra problema kurios tu nematai.
1412	If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.	624294	Jei aš norėčiau tave išgąsdinti, tada aš tau papasakočiau ką aš sapnavau prieš kelias savaites.
1414	There are many words that I don't understand.	1604323	Yra daug žodžių kurių nesuprantu.
1416	You're really not stupid.	1572532	Tu tikrai nesi kvailas.
1421	No one will know.	568928	Niekas nežinos.
1426	What did you answer?	568846	Ką tu atsakei?
1427	No, he's not my new boyfriend.	1607541	Ne, tai nėra mano naujas vaikinas.
1427	No, he's not my new boyfriend.	1607545	Ne, jis nėra naujas mano vaikinas.
1432	I can only wait.	2229731	Aš galiu tik laukti.
1433	It's not much of a surprise, is it?	1587673	Tai visai ne staigmėna, argi ne?
1434	I love you.	624348	Aš tave myliu.
1435	I don't like you anymore.	624313	Tu man nebepatinki.
1435	I don't like you anymore.	1266416	Nebemėgstu tavęs.
1438	I don't want to wait that long.	2714717	Aš nenoriu tiek ilgai laukti.
1446	I didn't want this to happen.	1600802	Aš nenorėjau kad šitai atsitiktų.
1463	I don't speak French well enough!	1624143	Aš nepakankamai gerai kalbu pracūziškai!
1469	Why are you sorry for something you haven't done?	1595151	Kodėl tu atsiprašinėji už tai ko tu nepadarei?
