1308	I miss you.	1446130	Би чамайг санаж байна.
1312	I'm going to go.	1446128	Би явах гэж байна.
1452	I can't explain it either.	1446106	Би энийг ч бас тайлбарлаж чадахгүй нь.
1463	I don't speak French well enough!	564777	Би францаар тийм сайн ярьж чадахгүй.
1794	Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.	564785	Математикчид бол Франц хүмүүстэй адил, тэдэнд юу ч хэлсэн өөрийн хэл рүүгээ орчуулаад дараа нь тэс өөр болгодог.
2077	"Thank you." "You're welcome."	2852704	"Баярлалаа." "Зүгээрээ."
2142	I have French nationality but Vietnamese origins.	564789	Би бол Вьетнам гаралтай Францын иргэн.
2360	People who will lie for you, will lie to you.	536862	Чиний төлөө худлаа хэлдэг хүмүүс чамд бас худлаа хэлэх л болно.
2465	Wolves won't usually attack people.	561025	Чоно хүн рүү бараг дайрдаггүй.
6002	Please do not take photos here.	3685179	Энд гэрэл зураг авч болохгүй.
16090	You lied to me, didn't you?	536864	Чи надад худлаа хэлсэн биз дээ, тэгээгүй гээч?
16453	Why do you accuse my son?	562846	Хүүг минь юунд зэмлэв?
17161	Your action has offended his dignity.	562767	Чиний хийсэн хэрэг түүний нэр хүндийг гутаалаа.
17468	I'll teach you how to drive a car.	562857	Би чамд машин жолоодохыг зааж өгье.
17520	I can't lie to you.	536865	Би чамайг хуурч чадахгүй.
17829	I love you more than you love me.	540194	Намайг хайрладагаас чинь илүүгээр би чамайг хайрладаг.
17928	It's evident that you told a lie.	536867	Чиний худлаа хэлсэн чинь илт байна.
18086	Take off your socks, please.	2894056	Оймсоо тайлаарай.
20095	You will be able to play soccer.	564620	Чи хөмбөг тоглож сурна.
20549	A book is lying on the desk.	536872	Ширээн дээр ном тавиастай байна.
21053	The patient was lying in the bed with his eyes closed.	536874	Өвчтөн нүд нь аниастай орон дээр хэвтэж байв.
23468	Our soccer team beat all the other teams in the town.	564621	Манай хөмбөгийн баг хотынхоо бусад багийг бүгдийг нь хождог.
24482	He has lied to me again and again.	536876	Тэр надад олон дахин худал хэлсээр байв.
24501	Thousands of Americans have a hard time keeping the wolf from the door.	561041	Мянга мянган Америкчуудад өлсгөлөн чононоос өөрсдийгөө хамгаалахад хэцүү цаг үе байсан.
25164	What's up?	547417	Юу байна?
25798	I saw a town in the distance.	562834	Тээр тэнд нэг хот харагдлаа.
26652	If you tell too many lies, people won't ever believe your words.	536880	Хэрэв чи их худлаа хэлээд байвал хүмүүс чиний үгэнд хэзээ ч итгэхээ болино.
26654	Please forgive me for telling a lie.	536881	Худлаа хэлснийг минь уучлаарай.
26958	A heavy rain began to fall.	564646	Хүчтэй бороо орж эхлэв.
27657	You cannot lift the piano alone.	2906784	Та ганцаараа пианог өргөж чадахгүй.
32403	Mayuko always aims for perfection.	556701	Маюко төгс байхыг үргэлж хичээдэг.
34157	French is spoken in France.	558200	Франц хүмүүс франц хэлээр ярьдаг.
34225	No other sport in Brazil is so popular as soccer.	564624	Бразилд хөмбөг шиг нэр хүндтэй спорт байхгүй.
34907	A piano is expensive, but a car is more expensive.	558687	Төгөлдөр хуур үнэтэй, машин бүр ч үнэтэй.
38820	Please forgive me.	540133	Намайг уучлаарай.
39255	I enjoy watching soccer on TV.	564625	Би зурагтаар хөмбөг үзэх дуртай.
42149	What a shame!	562868	Нүдний булай!
46062	I rejected the offer.	2866086	Би сананлаас нь татгалзсан.
47036	Did you have a sheet of paper then?	562839	Тэгээд чамд хуудас цаас байв уу?
47749	The magazine is issued twice a month.	561229	Энэ сэтгүүл сард хоёр дугаар хэвлэгддэг.
47960	That aircraft company deals in freight only.	3610802	Энэ нь агаарын хөлгийн компани нь зөвхөн тээвэрлэлт хариуцдаг.
49323	The house is not ideal, but it's all right.	1446111	Байшин төгс биш ч гэсэн, яахав зүгээр.
51428	I'm sorry, but I don't understand English well.	2858102	Уучлаарай, гэвч би англи хэлийг сайн ойлгож чадахгүй.
51524	Mr Smith left Japan this morning.	562788	Ноён Смит өнөө өглөө Японоос явсан.
51877	The methods used to overcome stress are different for men and women: drinking is the major method used by men, while women deal with stress by chatting.	564723	Эмэгтэйчүүд болон эрчүүдийн стрессийг давах арга нь өөр өөр. Эмэгтэйчүүд хэн нэгэнтэй ярилцахыг чухалчилдаг бол эрчүүд хатуу дарс уухыг илүүд үздэг.
52720	John is as lean as a wolf.	561043	Жон чоно шиг туранхай.
53036	No pro golfer in Japan is as popular as Jumbo Ozaki.	558161	Ж. Озаки шиг нэр хүндтэй мэргэжлийн гольфчин японд байхгүй.
54401	A thousand thanks for your kindness.	562838	Таны сайхан сэтгэлд мянгантаа талархъя.
54406	I shall never forget your kindness.	3685177	Чиний сайхан сэтгэлийг би хэзээ ч мартахгүй.
55452	This is the village where he was born.	564617	Энэ түүний төрсөн тосгон.
60108	This song is easy to learn.	564764	Энэ бол сурахад амархан дуу.
65006	We should do more to protect the ozone layer from further damage.	1446143	Бид озоны давхаргыг нэмж цоорохоос сэргийлж илүү ихийг хийх хэрэгтэй.
65163	You cannot tame a wolf.	561045	Чоно тэжээнэ гэж бүтэшгүй зүйл.
65166	I heard a wolf crying.	561046	Би чоно улихыг сонсов.
65812	A dolphin is a mammal.	3684882	Дельфин нь сүүн тэжээлтэн амьтан.
66930	I've never heard English spoken so quickly.	564611	Англиар ийм хурдан ярьж байхыг огт сонсож байсангүй.
67224	One hot summer afternoon she decided to take her boyfriend to a farm outside the town.	564737	Халуун зуны нэг өдрийн үдээс хойш бүсгүй хүүгээ дагуулан хотоос гадагш ферм руу явахаар шийдэв.
68437	The matter has not been settled yet.	514988	Энэ хэрэг хараахан шийдэгдээгүй.
69616	Do you have any animals?	562866	Чи амьтан тэжээдэг үү?
72338	Successfully demonstrated a new product in 7 districts.	564731	Шинэ бүтээгдэхүүнийг 7 дүүрэгт амжилттай танилцуулав.
73475	Where is Room 105?	540579	105-р өрөө хаана вэ?
73887	"Sue's very angry with you," my new waitress said.	562862	"Тэр чамд маш их уурлаж байна" гэж шинэ зөөгч бүсгүй хэлэв.
239535	We give a 10% discount for cash.	545946	Бэлэн мөнгөөр бол 10% хямдралтай.
241230	As we go up higher, the air becomes cooler.	558216	Өндөрт гарах тусмаа агаар хүйтэн болно.
241252	Mr. Takahashi agreed to go with you.	564734	Такахаши гуай тантай хамт явахыг зөвшөөрсөн.
241811	It's a bearish market now.	562867	Хямдралтай худалдаа явагдаж байна.
241867	Have you ever seen a wolf?	561048	Чи чоно харж байв уу?
242547	I will be busy this afternoon.	2740627	Би үдээс хоёш завгүй байна.
244487	It was terribly cold yesterday.	2740658	Өчигдөр аймаар хүйтэн байсан.
245439	When I get through with my work, I'll call you.	564517	Ажлаа дуусгачихаад чам руу залгая.
246104	The lamb was killed by the wolf.	561049	Хурга чононд идүүлжээ.
247005	I lied to him and he lied to me in turn.	536863	Би түүнд худал хэлэхэд тэр хариуд нь бас худлаа хэлэв.
247352	We have no secrets from each other.	514985	Бидэнд нэг нэгнээсээ нуугаад байх юм байхгүй.
251209	Call me up whenever you need my help.	556772	Миний хэрэг гарвал утасдаарай.
251268	My goal in life is to be a novelist.	558149	Миний амьдралын зорилго бол зохиолч болох.
252708	I don't like your coming late every day.	564618	Чиний өдөр болгон хоцордог чинь надад таалагдахгүй байна.
253161	I used to go to that library to study.	564726	Би тэр номын санд хичээл хийх гэж очдог байлаа.
255339	I've never been to New York, and my sister hasn't, either.	535526	Би Нью-Йоркт очиж үзээгүй, миний эгч ч мөн адил.
257507	I am writing a letter now.	557704	Би захиа бичиж байна.
260458	I gave him some advice.	536607	Би түүнд зөвлөгөө өгөв.
264959	If you fail, try again!	558133	Хэрвээ алдвал дахиад оролдоод үз.
265571	Cars, buses, and trucks are all vehicles.	564587	Автомашин, автобус, ачааны тэрэгнүүд бүгд тээврийн хэрэгслүүд.
265979	I used to type my letters, but now I use a word processor.	564724	Би урьд нь захиагаа гараар бичдэг байсан бол одоо баримт боловсруулагч програм ашиглаж байна.
270147	Are you kidding?	544005	Чи тоглож байна уу?
270473	People used to think that only humans could use language.	564725	Зөвхөн хүн төрөлхтөн л хэл яриа хэрэглэдэг гэж хүмүүс боддог байв.
274606	No one else can fill that job.	564607	Өөр хэн ч тэр ажлыг хийж чадахгүй.
275784	The Atlantic Ocean separates America from Europe.	558703	Атлантын далай Америк, Европыг тусгаарладаг.
276357	Who is responsible for leaving the window open?	562821	Хэн цонх онгорхой орхисон бэ?
277503	The black and white bears living in the mountains of China and Tibet are called pandas.	558260	Панда хэмээх хар цагаан баавгай Хятад болон Төвдийн ууланд амьдардаг.
281922	You should stay in the hospital for treatment.	1446162	Та эмнэлэгт хэвтэж эмчилгээ хийлгэх хэрэгтэй.
282000	You are a wolf in sheep's clothing.	561051	Чи бол хонины арьс нөмөрсөн чоно.
282017	Setting a wolf to guard the sheep.	561054	Чоноор хонь мануулах.
282035	Cats like fish in particular.	564733	Муур загасанд илүү дуртай байдаг.
282154	Act your age.	545942	Нас намбандаа бай.
283217	I have no idea where he lives.	564761	Би түүний хаана амьдардгийг огт мэдэхгүй.
288570	He promised me that he would come at four.	562853	Тэр дөрвөн цагт ирнэ гэж надад ам алдав.
289729	He is the eldest in his class.	557697	Тэр анги дотроо хамгийн ахмад нь.
294231	I think he is planning something.	558148	Тэр ямар нэг юм сэдээд байх шиг байна.
294268	What is he up to?	3429536	Тэр юу хийж байгаа юм бэ?
294876	He sailed through the examination.	562779	Тэр шалгалтаа амжилттай давав.
296685	He likes coffee without sugar.	571178	Тэр чихэргүй кофенд дуртай.
297674	He instructed me to go to bed early.	556688	Тэр надад эрт унтаж байхыг даалгав.
303646	He was accused of stealing the jewels.	3596394	Тэр үнэт чулуу хулгайлсан хэргээр буруутгагдсан байна.
304283	He went to Africa to see wild animals.	562865	Тэр Африк руу зэрлэг амьтад харахаар явсан.
306122	They seem to have had a good time in Rome.	2866087	Тэд Ром хотод цагийг хөгжилтэй өнгөрүүлэх юм шиг байна.
306122	They seem to have had a good time in Rome.	2906783	Тэд Ромд цагийг хөгжилтэй өнгөрүүлэх юм шиг санагдаж байна.
313946	She told her children to put away their toys.	557702	Тэр хүүхдүүддээ тоглоомоо хураацгаа гэж хэлэв.
315552	She looked at him with hatred.	562775	Бүсгүй түүн рүү заналтай харав.
317158	Her face lit up.	564730	Бүсгүйн царай гэрэлтэв.
319182	Father told me always to be brave and cheerful.	558182	Аав надад үргэлж зоригтой, хийморьтой байхыг сургасан.
321307	Just because I'm a wolf, everyone thinks I'm the bad guy.	561057	Би чоно учраас л бүгд намайг муу гэж боддог.
324393	I went in the direction my friend indicated.	562817	Би найзынхаа заасан зүгт явав.
324866	Two sheep were killed by a wolf.	561058	Хоёр хонийг чоно идчихжээ.
329535	Machida is an interesting city that's a mix of the old and the new.	558174	Мачида бол хуучин шинэ хоёрыг хослуулсан гайхалтай хот.
338182	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.	2336221	Хүн бүр төрж мэндлэхдээ эрх чөлөөтэй, адилхан нэр төртэй, ижил эрхтэй байдаг. Оюун ухаан нандин чанар заяасан хүн гэгч өөр хоорондоо ахан дүүгийн үзэл санаагаар харьцах учиртай.
342153	This photo was taken in Nara.	2739230	Энэ зураг Нарад авагдсан.
353189	When in Rome, do as the Romans do.	556783	Усыг нь уувал ёсыг нь дага.
358155	Roman Emperor Caligula had a horse called Incitatus which means fast.	564744	Ромын эзэн хаан Калигулад хурдан гэсэн утга бүхий Инцитатус хэмээх хүлэг байжээ.
370703	Where are you from?	2856699	Та хаанаас ирсэн бэ?
373330	Hello!	556713	Сайн уу.
387577	He earns twice as much as me.	545931	Тэр надаас хоёр дахин их орлоготой.
390924	Don't be shy.	2864091	Битгий ичээрэй.
397665	If men are wolves then women are devils.	561032	Хэрэв эрчүүд чоно бол эмэгтэйчүүд чөтгөрүүд.
400800	He doesn't want you to lose a whole week.	556710	Тэр чамайг бүтэн долоо хоногоор алга болохыг чинь зөвшөөрөхгүй.
408592	Queen Elizabeth II is thought to be descended from Genghis Khan via her grandmother.	539673	Хатан хаан II Элизабет эмэг эх нь Чингис хааны удам гэдэгт итгэдэг.
416891	What is the problem?	2853258	Асуудал нь юу вэ?
427662	A parliamentarian is a type of expert.	562851	Их хурлын гишүүн бол нэг ёсондоо мэргэжилтэн.
429537	It's fucking hot.	536860	Лайтай халуун байна шүү.
434766	Fuck!	536861	Новш!
436515	I do not drink coffee.	539654	Би кофе уудаггүй.
436649	I have a temperature.	3090734	Би халуураад байна.
450099	There's no need to hurry.	2740661	Яарах хэрэггүй.
450115	A wolf doesn't bite a wolf.	516652	Чоно чоноо барьдаггүй.
457538	His chances of being elected are good.	514990	Түүний сонгогдох магадлал өндөр байгаа.
461945	You're an idiot.	562875	Чи тэнэг.
473875	If I wanted to scare you, I would have told you about what I dreamt about a few weeks ago.	514991	Би чамайг айлгах байсан бол, хэдэн долоо хоногийн өмнөх зүүдээ ярьж өгөх байсан.
495838	Please close the door.	2740637	хаалга хаагаарай.
522439	China shares borders with Pakistan, India, Afghanistan, Tajikistan, Kyrgyzstan, Kazakhstan, North Korea, Laos, Vietnam, Nepal, Bhutan, Myanmar, Mongolia and Russia.	539649	Хятад улс Пакистан, Энэтхэг, Афганистан, Тажикстан, Киркизстан, Казахстан, Хойд Солонгос, Лаос, Вьетнам, Балба, Бутан, Мянмар, Монгол, Орос улсуудтай хиллэдэг.
537699	Every Tibetan above 25 has the right to stand for election to the Assembly of Tibetan People's Deputies.	558283	25 нас хүрсэн Төвд хүн бүр Төвдийн Ардын Төлөөлөгчдийн Ассемблейн сонгуульд оролцох эрхтэй.
540088	Do you have a boyfriend?	540083	Чи найз залуутай юу?
540113	I like to drink natural mineral water.	540111	Би байгалийн цэвэр ус уух дуртай.
545857	Is it my turn?	545866	Миний ээлж үү?
545859	Sure I can, although I can't really speak Shanghainese.	545881	Би Шанхай аялагаар ярьж чадахгүй ч гэсэн, хятадаар ярьж чадна.
545865	Look, there's a cat in the kitchen.	545867	Хар даа, гал тогооны өрөөнд муур байна.
545886	I usually get up at 8.	545895	Би ихэвчлэн 8 цагт босдог.
545893	What are you?	545894	Чи юу гээч вэ?
545905	I have just changed my avatar photo.	545906	Би аватарынхаа зургийг сольчихлоо.
555289	Measure seven times, cut once.	1446168	Долоо хэмжиж нэг огтол.
555349	My first computer had only 128 kilobytes of memory!	556697	Миний анхны компьютер 128-хан килобайт санах ойтой байв.
556702	I've just been to the post office to send a package.	556706	Би ачаа явуулахаар шуудан дээр ирчихээд байна.
556705	May I take some time off next week?	556708	Би ирэх долоо хоногт чөлөө авч болох уу?
556730	The camel marches while the dogs bark.	556728	Жингийн цуваа явж л байдаг, замын ноход хуцаж л байдаг.
556732	A man fails seven times and rises eight times.	556731	Эр хүн долоо дордож найм сэхдэг.
556734	Do not start if afraid, once begun do not be afraid.	556733	Айвал бүү хий, хийвэл бүү ай.
556736	Each country's customs are different, just as each meadow's grass is different.	556735	Нуга болгоны өвс ондоо байдгийн адил Нутаг болгоны заншил ондоо.
556739	Don't undo your bootlaces until you have seen the river.	556738	Ус үзээгүй байж өмдөө битгий шуу.
556741	Greed keeps men forever poor; even the abundance of this world will not make them rich.	556743	Шунал хүнийг үүрдийн ядуу болгоно, Ертөнцийн баялгийг өөрийн болгосон ч баян болж чадахгүй.
556745	If mind is clean, fate is good.	556744	Санаа зөв бол Заяа зөв.
556746	If you endeavour, fate will favour you.	556744	Санаа зөв бол Заяа зөв.
