1434	I love you.	8630805	Ik haa di lef.
1453755	Why are you still here?	8632378	Hurom best dü jit jir?
8590883	Why is everyone awake?	8666605	Hurom sen ali waaken?
7136537	I think that I can work with you.	8666574	Ik teenk, dat ik me di aarberi ken.
7136536	I think I can work with you.	8666574	Ik teenk, dat ik me di aarberi ken.
6838762	I know Tom is wealthy.	8666573	Ik weet, dat Tom rik es.
6838763	I know that Tom is wealthy.	8666573	Ik weet, dat Tom rik es.
4500503	Now you know why.	8666565	Nü weest dü hurom.
7735702	Tom used to work there.	8666595	Tom heer er jer aarbert.
6232405	I know that Tom is rich.	8666573	Ik weet, dat Tom rik es.
6233880	I know Tom is rich.	8666573	Ik weet, dat Tom rik es.
7928249	Do you play baseball?	8666599	Spölest Baseball?
5858092	I don't do much.	8666584	Ik dö ek fuul.
7538186	I stink.	8677380	Ik stjunk.
6439540	How much beer should I buy?	8666602	Hurfuul Biir skel ik koopi?
8749145	I am deaf.	8690839	Ik sen doov.
671753	We are people.	9191151	Wü sen Mensken.
9494600	We're people.	9191151	Wü sen Mensken.
5828646	I'm deaf.	8690839	Ik sen doov.
270532	Life is very short.	9191159	Dit Leewent es mal kuurt.
9511322	The village is big and green.	9511320	Dit Tērp es gurt en green.
9513312	Will you visit us soon?	9513306	Bisjukst dü üüs bal?
5102506	The gate is open.	9513402	Di Poort es iipen.
9513411	So, what have you done?	9513406	Wat heest dü alsoo maaket?
9513416	Julia wants to fly to America.	9513413	Julia wel tö Ameerika flö.
9513421	Can you give me your pocket knife?	9513417	Kenst dü mi din Fekknif dö?
2044455	Tom is always happy.	9513426	Taam es langsen bliir.
9513432	The cat is catching a mouse.	9513428	Di Kat fangt en Müs.
9513444	He wants to buy a chain.	9513439	Hi wel en Keting koopi.
241947	What are you doing now?	9513448	Wat maakest dü nü?
9513456	The horse gallops over the meadow.	9513454	Di Hingst galopiaret aur Ingi.
1396171	Today is a beautiful day.	9513460	Deling es en faini Dai.
9513473	Where do these ways lead to?	9513469	Hurhen föör des Waien?
9513478	The farmer works on the field.	9513476	Di Buur aarbert üp Eeker.
9513494	The child plays with its ball.	9513491	Dit Jungen spölet me sin Baal.
9513836	He has got all tasks correct.	9513833	Hi heer ali Āpgaawen rocht.
9513840	Can you catch a fish?	9513837	Kenst dü en Fesk fang?
43167	What did you do then?	9513842	Wat heest dü da maaket?
9513849	The cat sits in the garden.	9513848	Di Kat set ön Guart.
9513855	Do you have money with you?	9513852	Heest dü Jil bi?
9513859	The nut is hard.	9513857	Di Nööt es hart.
9513863	She constantly needs to laugh.	9513862	Jü skel langsen lachi.
9513867	My uncle lives in Keitum.	9513866	Min Oom uunet ön Kairem.
9513872	The ship lies in the harbour.	9513870	Dit Skep liit ön Haawen.
9513874	She needs to search for her cat.	9513873	Jü mut höör Kat sjuk.
251025	My watch is broken.	9513876	Min Aloosji es önsteken.
9513881	He is ready soon.	9513880	Hi es bal klaar.
9513884	I was faster.	9513883	Ik wiar gauer.
3151444	Give me your hand.	9513888	Dö mi din Hun.
9513892	She has a lot of patience.	9513890	Jü heer fuul Gidüür.
9513896	He is sitting on the tree.	9513894	Hi set üp Boom.
8898987	The world is beautiful.	9513897	Di Wārel es dailk.
1395183	Do you know his name?	9513898	Keenst dü sin Noom?
9513902	We are talking about the excursion.	9513901	Wü snaki aur di Ütflocht.
9513908	The boy is big and strong.	9513906	Di Dreeng es gurt en stark.
9513910	Can you understand this?	9513909	Kenst dit forstuun?
9513915	We stay at home.	9513912	Wü bliiv itüüs.
9513917	The book costs four coins.	9513916	Dit Bok kostet fjuur Münten.
9513923	Please give me an apple.	9513922	Wiis sa gur en dö mi en Aapel.
9513928	Please switch on the light.	9513925	Wiis sa gur en maaki dit Leecht ön.
9513930	We are building a house.	9513929	Wü seet en Hüs āp.
472087	She has blue eyes.	9513935	Jü heer blö Oogen.
16472	How tall are you?	9513937	Hur gurt best dü?
462986	The window is closed.	9513938	Di Wining es techt.
9513945	She picks some apples.	9513942	Jü ploket hok Aapeler.
9513953	The rabbit eats the cabbage.	9513951	Di Haas et di Kual.
9513963	He is gifting her a ring.	9513958	Hi skeenkt höör en Ring.
9513967	Next to the oven it is warm.	9513966	Bi Aun es dit wārem.
9522648	I would like another car.	9522636	Ik her hol en üđer Wain.
9522659	The weather has changed.	9522655	Dit Weđer heer en foranert.
9522675	Yesterday Maria wore a red dress.	9522669	Jüster her Maria en ruar Rok ön.
9522697	My husband has bought a new suit.	9522686	Min Man heer höm en nii Paktji koopet.
9522706	My friend has broken his arm.	9522702	Min Frinj heer höm di Jerem breeken.
9522732	Tom now has a beard.	9522730	Tom heer nü en Biirt.
9522753	We buy our vegetables from the farmer.	9522745	Wü koopi üüs Greentji bi di Buur.
9522759	We have two trees in the garden.	9522757	Wü haa tau Bosker ön Guart.
9522768	We have two bushes in the garden.	9522757	Wü haa tau Bosker ön Guart.
9522759	We have two trees in the garden.	9522772	Wü haa tau Boomer ön Guart.
9522792	The flat also has a small balcony.	9522784	Di Uuning heer uk en litj Balkon.
9522820	Sadly you have not answered my question.	9522815	Dü heest min Fraag laider ek biswaaret.
9522846	I have nearly missed the train today.	9522843	Ik haa deling binai di Toch forpaset.
9522866	The rent was increased without a reason.	9522863	Di Hüür waar söner Forklaaring forhooget.
9522885	Watch out, that the dog doesn't bite you.	9522879	Pasi üp, dat di Hün di ek bet.
9522887	I bite the dog.	9522886	Ik bit di Hün.
9522901	The wolf has bitten Maria.	9522898	Di Ulv heer Maria beten.
9522914	Both agreed to my suggestion.	9522909	Biiring wiar mi min Fuarslach iinforstönen.
9522927	Gasoline is supposed to get more expensive again.	9522919	Bensiin skel weđer jüürer uur.
645644	Get well soon!	9522936	Gur Beetering!
9522961	Do you have sugar? The tea is very bitter.	9522957	Heest dü Soker? Di Tee es mal beter.
9522979	The boat was big.	9522975	Dit Buat wiar gurt.
9522990	I like to eat beans.	9522986	Ik iit hol Buanen.
9523027	I like the colourful dress.	9523019	Di broket Rok gifalt mi.
9523038	The meadow was colorful.	9523033	Di Ingi wiar broket.
5207762	I need a new toothbrush.	9523042	Ik brük en nii Terbösel.
9523054	I practice three hours every day.	9523052	Ik ööwi ark Dai trii Stünen.
9523069	The laundry is not dry yet.	9523065	Di Wask es jit ek drüch.
9523090	Do you have a vase for the flowers?	9523087	Heest dü en Waas fuar di Krölen?
1823690	What I say is true.	9523116	Wat ik sii, es waar.
1136869	I just woke up.	9523128	Ik sen jüst waaken uuren.
9523144	Warmth is good for my pain.	9523143	Wārmker es gur töögen min Wark.
9523164	I can not come, because I am sick.	9523161	Ik ken ek kum, omdat ik kraank sen.
9523175	The jacket is too wide.	9523170	Di Jak es mi tö wir.
9523195	The sausage is too fat.	9523193	Di Mārig es tö fat.
9523217	We must bandage the wound immediately.	9523212	Di Saar mut wü metjens forbinj.
9523229	That is a beautiful drawing.	9523225	Dit es en dailk Teekning.
9523246	I read the newspaper sometimes.	9523242	Ik lees somtirs di Bleer.
9523251	I read the paper sometimes.	9523242	Ik lees somtirs di Bleer.
9523970	I would like to have a cream for the hands.	9523963	Ik her hol en Kreem fuar di Hunen.
9523980	He is standing on the roof.	9523976	Hi staant üp Taak.
9523989	One has a nice view from the castle.	9523985	Fan di Borig heer em en dailk Ütsicht.
9524021	Our windows are not tight. There is always a draft.	9524005	Üüs Wininger sen ek techt, hat trekt langsen.
9524126	My daughter is sick, we are going to the doctor.	9524121	Min Daachter es kraank, wü gung tö di Dokter.
9524147	A thief has stolen my bag.	9524144	En Tiiv heer mi min Task steelen.
9524158	The thunder came long after the lightning.	9524154	Di Töner kām lung eeđer di Lait.
9524168	My son is too thin. He eats too little.	9524164	Min Seen es mal kliin. Hi et tö litjet.
9524171	The jacket is too tight for me.	9524169	Di Jak es mi olter naar.
9524175	The teacher was always serious.	9524174	Di Skuulmaister wiar langsen iarnst.
9524180	If it rains, we won't have a picnic.	9524178	Wan dit rintj, maaki wü niin Piknik.
