1860	I don't want to go to school.	3557681	Ez naxwazim biçim dibistanê.
21267	Have fun.	1496858	Keyfa xwe meyzê.
31907	Mary ran.	1496892	Mary reviya.
36408	The reason why we cannot support his view will be given below.	1539555	Sucê ku chima em nikarin destek bikin nerîn a wî ê li berjêr bê dan.
37838	It was so dark.	1510835	Wisa tarî bu.
57695	May I use this telephone?	3660470	Gelo ez dikarim vê telefonê bikar bînim?
67119	Ask Alex.	1496853	Ji Alex bipirse.
249354	We go to school to study.	1498042	Em dichin ekolê bo xwendinê.
250721	My brother is good at mathematics.	1546112	Brayê min bash e matematîk de.
254813	I use it.	1496877	Ez wê bikartînim.
275210	In the first place we must find a way out of this.	1500317	Di yekemîn cî de em divê bibînin rêyek der ji vê.
276161	I wasn't conscious of anyone watching me.	1498041	Ez haj ne bum ji chiyekî min dishopand.
319990	I know.	1496807	Ez zanim.
321985	Me, too.	1496844	Min, jî.
325435	Keep out.	1496891	Tevlî ne be.
387705	Some people read the newspaper and watch TV at the same time.	1532914	Hin kes dixwînin rojnamê u temasheyî TV dikin di heman demê de.
387707	This is a free newspaper.	1532915	Ev rojname azad e.
387708	Where is the newspaper?	1532921	Li ku ye rojname?
433472	I got it.	1496870	Ez têgihiştim.
433491	Go away.	1496830	Biçe dûr.
433491	Go away.	1496838	Biqeşt.
433763	I'm OK.	1496883	Ez baş im.
433763	I'm OK.	1496888	Ez OK'ê me.
436957	I should like to see the room.	1531156	Ez hez dikim meyze odê bikim.
462630	The car was carrying 4 people when it had the accident.	1498032	Automobîlê de 4 mirov hebun kengî wê qeza kir.
464330	Wash your hands.	1496850	Bişo destên xwe.
476431	What day is it today?	2899507	Îro ji rojan çi ye?
672229	He ran.	1496782	Ew reviya.
672254	He runs.	1496842	Ew direve.
696274	The English team beat the Brazilian team in the international soccer tournament.	1509864	Tîm a Englîzî têkbir tîm a Brazîlî di turnuva ya futbolê ya enternasiyonal.
1021954	I need to charge my cellphone.	1552749	Ez pêdivî bi sharj kirina fonmobîla min hey e.
1025882	Tom dressed himself quickly, then ran out the door.	1500298	Tom xwe kinc kir di lezê de, pashê bi bez derî ve derket.
1028872	Tom gave Mary some practical advice.	1552748	Tom da Mary hin pendên pratîk.
1477166	It is the same word in both languages.	1477167	Ew heman peyv e di herdu zimanan de.
1493527	"I think you're stupid," said Mary.	1497983	"Ez bawer im tu gêj î," Mary got.
1539343	Do you cry often?	1539334	Tu carina digirî?
1539387	We are going to a nice bar in the evening.	1539349	Em dichin êvarî bar a xwesh.
1596465	I always get up at 6 o'clock in the morning.	1596471	Ez herdem shiyar dibim demjimêr 6 di sibehê de.
1958243	Women and children first!	2330619	Jin û zarok pêşîn!
1977717	I want to go.	3335192	Ez dixwazim biçim.
2317690	Do you want my heart between your teeth?	2324016	Dixwazî dilê min di nav diranên tê de?
2345890	Is your mum at home?	2345924	Diya tê di mal de ye?
2488393	Do not drink the water in the dirty glass!	2489837	Venexwe ava di cama gemarîn de!
2621169	I will go there by plane.	2621170	Ez ê bi balafirê biçim wê derê.
1194034	I'm not a doctor.	2661388	Ez ne bijîşk im.
2764083	An idea just occurred to me.	1498057	Idêa hate min.
3557685	I'm from Diyarbakir.	3557683	Ez ji Amedê me.
3557844	I'm from Syria.	3557846	Ez ji Sûriyeyê me.
3557851	This woman is not from Syria.	3557853	Ev jin ne ji Sûriyeyê ye.
1389490	I'm from Turkey.	3558681	Ez ji Tirkiyeyê me.
3663249	There are islands in the sea.	3717130	Li deryayan girav hene.
3752870	I like the Kurdish language.	3752866	Ez ji zimanê Kurdî hez dikim.
1630	I have a dream.	3850586	Xewna min heye.
253848	I have a computer.	3850592	Komputera min heye.
255571	I have a pen.	3850594	Pênûsa min heye.
258209	I have a bicycle.	3850596	Duçerxeya min heye.
3982160	Do you love your mother?	3989605	To daykt xosh awet?
1399479	Burj Khalifa is currently the tallest skyscraper in the world.	4000149	Esta Burji Khalifa delrezhtrena la jihanda.
868767	He ate bread with butter.	4146821	Ew nan bi roni xwar.
1785015	I don't know what I want.	4146884	Çi dixwazim ezi nizanim.
3919194	Bring them inside.	4146996	Wana bînin hundûr
4264386	The apples look good.	4264383	Sêv baş xuya dikin
4264393	Yesterday I got up early.	4264390	Ez duh zû raketim
17707	I want you.	4814062	Ez, te dixwazim.
5809800	His brother can't sing.	5809929	Birayê wî nikare bistrê.
282714	I have to comb my hair.	5809937	Ez divê porê xwe şe bikim.
5994	Maria has long hair.	5809991	Porê Maria dirêj e.
557422	My father walks.	5809992	Bavê min dimeşe.
70957	Your father is tall.	5809994	Bavê te dirêj e.
251644	My father likes tennis.	5809996	Bavê min ji tenîsê hez dike.
251730	My father does walk.	5809992	Bavê min dimeşe.
251731	My father is busy.	5809998	Bavê min mijûl e.
257093	I know your father.	5809999	Ez bavê te ans dikim.
297979	He is my father.	5810000	Ew bavê min e.
1079091	My father isn't at home.	5810001	Bavê min ne li malê ye.
1097991	You are my father.	5810004	Tu bavê min î.
1109899	He's my father.	5810000	Ew bavê min e.
1138314	Is his father alive?	5810007	Bavê wî sax e?
1503007	My father works here.	5810008	Bavê min li vir kar dike.
1709534	My father loves us.	5810009	Bavê min ji me hez dike.
1769470	I am your father.	5810010	Ez bavê te me.
1891163	I'm your father.	5810010	Ez bavê te me.
2059438	Is her father alive?	5810011	Bavê wê sax e?
2254638	Where's my father?	5810012	Bavê min li kû ye?
2254680	Where's your father?	5810013	Bavê te li kû ye?
2273304	Tom is my father.	5810014	Tom bavê min e.
2273647	Tom is your father.	5810015	Tom bavê te ye.
2431429	My father is home.	5810016	Bavê min li malê ye.
3259362	He misses his father.	5810017	Ew bêriya bavê xwe dike.
3824741	Who's your father?	5810018	Bavê te kî ye?
1439471	We are brothers.	5810020	Em bira ne.
2107335	We're brothers.	5810020	Em bira ne.
249952	I have three brothers.	5810021	Sê birayên min hene.
250680	He is my brother.	5810022	Ew birayê min e.
256071	I have one brother.	5810023	Birayekî min heye.
284807	He has three brothers.	5810024	Sê birayên wî hene.
370716	They are my brothers.	5810026	Ew birayên min in.
451365	She has three brothers.	5810027	Sê birayên wê hene.
463308	This is my brother.	5810028	Ev birayê min e.
757405	He's my brother.	5810022	Ew birayê min e.
873552	Where is your brother?	5810030	Birayê te li kû ye?
1970168	I know Tom is your friend.	5989846	Ez dizanim ku Tom hevalê te ye.
2272820	Tom is a leader.	5989837	Tom serokek e.
