1577	Those who live in glass houses should not throw stones.	1981079	Dei som bur i glashus burde ikkje kaste stein.
1712	I have a headache.	1982530	Eg har vondt i hovudet.
1712	I have a headache.	1982531	Eg har hovudverk.
1860	I don't want to go to school.	3633401	Eg vil ikkje gå på skule.
2085	I spent twelve hours on the train.	396883	Eg var på toget i tolv timer.
15983	You really have a passion for food.	1981810	Du har sanneleg glød for mat.
17812	Your o's look like a's.	1981042	O-ane dine liknar på a-ar.
19990	Imagine, for the sake of argument, a tribal group in which mother-son incest was countenanced.	399758	Sjå føre deg, for skuld argumentet, ei stammegruppe der insest mellom mor og son var godteke.
20664	I will gladly help you.	2059670	Eg hjelper deg gjerne.
21398	Some of the students like to play the guitar.	1981113	Nokre av elevane likar å spelle gitar.
22271	There's a lot of room left for improvement.	1981253	Det er mykje betring å gå på.
22437	The meeting is held twice a month.	1980978	Møtet finn stad to gonger i månaden.
22820	Every one of us is more or less interested in art.	396852	Alle av oss er meir eller mindre kunstinteresserte.
23136	We flew to Paris, where we stayed a week.	1982737	Vi flaug til Paris, som vi blei ei veke i.
25688	Round trip or one-way?	396679	Tur-retur eller ein veg?
26230	The best way to learn English is to go to America.	1983772	Den beste måten å lære seg engelsk på, er å fara til USA.
27110	Will you give me a drink?	1981090	Kunne du gjeve meg noko å drikke?
29749	I'm listening to the radio.	1983779	Eg høyrer på radio.
32578	I'll call him later.	1984023	Eg ringjer han seinare.
33627	Throw the ball back to me.	1981330	Kast att ballen åt meg.
33982	You must not stay in bed.	1981817	Du får ikkje verte sengeliggjande.
35199	Butter is made from cream.	1980963	Smør vert laga av fløyte.
35746	In such countries as Norway and Finland, they have lots of snow in winter.	1982623	I land som Noreg og Finland har dei mykje snø om vetteren.
36852	I have no idea how long it will take.	1981822	Eg har ikkje peiling på kor lang tid det kjem til å taka.
38875	Don't be so noisy, please.	1981382	Ikkje bråk så fælt, er du snill.
38875	Don't be so noisy, please.	1981384	Ikkje bråk så fælt, er de snille.
39048	The door was opened by a tall man.	1983421	Døra vart opna av ein høg mann.
40255	Will you teach me how to play chess?	1981261	Kan du lære meg korleis eg speler sjakk?
41486	Don't walk so fast.	1981807	Ikkje gå så kjapt.
41781	I don't know how to put it in Japanese.	1980971	Eg veit ikkje korleis eg kan seia det på japansk.
42944	How did you see that?	1981255	Kva syntest du om det?
43331	The old woman has no one to wait on her.	1982736	Den gamle kona har ingen til å vente på seg.
43350	The old man had a noble countenance.	3014178	Den gamle mannen hadde et edelt ansikt.
43899	Give me the book.	1982519	Gjev meg boka.
44203	The room was littered with scraps of paper.	1981788	Rommet var fullt av papirstrimlar.
46435	The girl began to cry at the sight of the big dog.	1981373	Jenta byrja å gråte då ho såg den store hunden.
48088	His misspelling of that word eliminated him from the contest.	1981365	Av di han stava det ordet gale, vart han send ut av tevlinga.
50165	The load of the truck was in excess of three tons.	1980946	Det var tre tonn overvekt på lastebillasset.
54451	Please feel free to link to my page.	1981412	Legg gjerne att peikarar hit på andre sider.
57673	It's wasteful to leave the land lying idle.	1981797	Det er bortkasta å lata jorda liggje uutvunnen.
58170	The trains are running in this snow.	1981111	Toga held fram sjølv med all denne snøen.
59766	This rule applies to you, too.	396864	Denne regelen gjeld deg òg.
61223	This camera is less expensive than that one.	1981430	Dette kameraet er rimelegare enn det der.
62300	A button has come off my coat.	1981015	Den eine knappen har losna frå frakken.
62449	Ken learned many Japanese songs by heart.	1981252	Ken lærte seg mange japanske songar utanåt.
62478	Ken is happy.	1982738	Ken er glad.
62641	I need some sugar to make a cake.	1981771	Eg treng litt sukker til kakebakinga.
65106	I did nothing out of the ordinary.	1981112	Eg gjorde ikkje noko utanom det vanlege.
66629	The most careful man sometimes makes mistakes.	1981110	Sjølv den varsamste tek somme tider gale.
67034	That is his house.	1981075	Det er huset hans.
67546	The United States borders Canada.	396868	Dei sameinte statane grensar opp til Canada.
70304	Do you have a hobby - for example, painting?	396662	Har du ein hobby – måling, til dømes?
71579	It is not necessary for you to quit the job.	396830	Du treng ikkje seie opp jobben.
72341	See you a little before 7.	1984020	Vi sest like føre sju.
73835	"Who is it?" "It's me."	1982618	"Kven er det?" "Det er meg."
238151	The police held him in custody.	1981804	Politiet pågreip han.
238906	Ken is the youngest of the four.	1983771	Ken er yngst av alle fire.
241471	The United Nations Charter was signed in 1945.	1981447	SN-pakta vart skriven under i 1945.
244616	My uncle dropped in on me yesterday.	1981395	Farbror kom innom i går.
244616	My uncle dropped in on me yesterday.	1981396	Morbror kom innom i går.
245067	Have you ever seen a bear in the mountain?	2977289	Har du noen gang sett en bjørn på fjellet?
246602	There are many words with meanings I don't know.	1981835	Det finst mange ord som tydingar eg ikkje veit om.
248069	We painted the house green.	1984058	Vi måla huset grønt.
248130	We named the boat the Half Moon.	1982614	Vi døypte båten "Halvmånen".
248229	We enjoyed ourselves very much.	1981832	Vi hadde det kjempemorosamt.
251953	My daughter is fast asleep.	1982566	Dotter mi søv djupt.
252578	I have been studying English for four years.	1981057	Eg har lært engelsk i fire år.
253660	I'll remember this incident for good.	1980499	Eg kjem til å hugse denne hendinga for alltid.
254547	I met the man, who showed me the way.	1981437	Eg møtte mannen som synte meg vegen.
255756	I have another friend in China.	1981363	Eg har ein ven til i Kina.
255845	Each time I tried, I failed.	1982735	Kvar gong eg prøvde, mislukkast eg.
256066	I walked in the woods by myself.	1982617	Eg gjekk i skogen åleine.
256713	I am accustomed to cold weather.	1982615	Eg er vand til kaldt vêr.
259673	I'm from Tokyo.	1981443	Eg kjem frå Tokyo.
260532	I interpreted what he said in French into Japanese.	1981422	Eg tolka det ho sa på fransk til japansk.
264098	Now and then I think of divorcing him.	1981362	Stundom vurderer eg å skilja meg frå han.
265251	As it is, I am awake.	1981037	Det har seg sånn at eg er vaken.
265519	Could you open the car window?	1981432	Kunne du opna bilvindauga?
265769	Young people usually have more energy than the old.	1980998	Unge har som oftast meir ork enn gamle.
268732	Don't eat for at least three hours.	1981254	Ikkje et på minst tre timar.
272679	The goods ordered from England last month have not arrived yet.	1981421	Varene som vi tinga frå England førre måned er ikkje komne enno.
272985	The teacher listened attentively to my explanation.	1981777	Læraren høyrde merksamt etter på forklåringa mi.
274294	You will soon come up with him if you run.	396859	Du tek han snart igjen viss du lauper.
274388	Your son must be quite tall by now.	1982734	Son din må vera vorten nokså høg no.
275803	The traffic was interrupted by the heavy snow.	1981418	Trafikken vart råka av det kraftige snøvêret.
281669	People often say that Japanese is a difficult language.	396862	Folk seier ofte at japansk er eit vanskeleg språk.
283448	He had hardly left home when it began to rain.	1981431	Han hadde så vidt faren heimantil då regnet byrja.
285020	In case you see him, please say hello to him for me.	1980928	Hels om de skulle møtast.
286170	I don't know how to interpret his words.	339217	Eg veit ikkje korleis eg skal tolke orda hans.
286692	He writes correct English.	1981820	Han skriv rett engelsk.
288913	You can trust him to some degree but not wholly.	396858	Du kan lite på han til ein viss grad, men ikkje heilt.
292447	He came here all the way from London.	1981399	Han er komen heilt frå London.
293414	He kicked me on purpose.	1981341	Han sparka til meg med vilje.
295812	People say he never dies.	396866	Folk seier at han aldri døyr.
300542	He put his finger to his lips as a sign to be quiet.	1981360	Han heldt fingeren opp mot leppa for å bede om togn.
301163	He tried to reduce his weight.	1981427	Han prøvde å gå ned.
301163	He tried to reduce his weight.	1981428	Han prøvde å gå ned i vekt.
