1434	I love you.	3341960	سنی سویورم.
312636	She is a good swimmer.	3306427	أو اى بر يوزكوج در.
1014480	I want a bottle of Coca-Cola.	3626458	بر شیشه کوکا کولا ایستیورم.
1764488	He has wine.	3648950	شرابى وار.
2686464	Children are the flowers of our lives.	2760884	چوجقلر حياتمزڭ چيچكلرى در.
3100447	The man is strong.	3154317	آدم قوتلو در.
3153415	It is a bird.	3154362	او بر قوش در.
3153417	It is a chair.	3154353	او بر صندالیه در.
3294529	This is a donkey.	3294531	بو بر أشك در.
3648944	I have bread.	3648945	اكمكم وار.
3648947	You have meat.	3648948	اتك وار.
3648960	We have fruit.	3648961	ميوه‌مز وار.
3648965	You have water.	3648966	صويڭز وار.
3648970	They have sugar.	3648971	شكرلرى وار.
3649255	Give me fire.	3649257	بڭا آتش ویرڭز.
3663249	There are islands in the sea.	3718843	دڭزده آطه‌لر وار.
3417355	Tom is lucky, isn't he?	3778795	توم شانسلو در، دکل می؟
3734851	I want to come in.	3804545	گیرمك ایسته‌يورم.
3734851	I want to come in.	3804546	گیرمك ایستیورم.
1209941	Where's the money?	4066345	پاره نره‌ده؟
237713	It's up to you.	4068294	او سڭا قالمش.
237713	It's up to you.	4068297	او سزه قالمش.
3731205	Who knows what could happen?	4068300	نه اولاجغنی كیم بیلر؟
266731	A ripe apple dropped from the tree.	4068305	اولگون بر ألما آغاچدن دوشدی.
4068162	I finally found out what happened.	4068318	نه اولدیغنی نهایت اوگرندم.
2612080	I bought a T-shirt.	4068329	بر تیشورت صاتین آلدم.
4067204	The world would be lonely without you.	4068340	دنیا سنسز یالڭز اولوردی.
3932983	We Africans are excellent boxers.	4068350	بز آفریقالیلر مكمل بوقسجیلرز.
4064809	This is just my opinion.	4068363	بو ساده‌جه بنم فكرم.
4069250	Ottoman Empire didn't do that.	4069998	عثمانلی ایمپراطورلغی بونی یاپمادی.
54040	Sam, what are you doing?	4070002	سام، نه یاپیورسڭ؟
2154809	I have broken my favourite bracelet.	4096420	أڭ سودیگم بیله‌زیگمی قیردم.
4095921	Tom will make you happy.	4096423	توم سنی موتلی ایده‌جك.
2111369	They laughed.	4099351	اونلر گولدیلر.
