1564	Thank you very much!	773263	Mòran taing!
1564	Thank you very much!	773264	Taing mhòr!
1631	This is my friend Rachel. We went to high school together.	3282763	Seo mo charabaidh Rachel. Chaidh sinn dhan àrd-sgoil còmhla.
1813	It's cold.	1515925	Tha e fuar.
15909	Are you meeting someone here?	770475	Am bheil thu a' coinneamh le duine an-seo?
16145	Have you ever seen a kangaroo?	877864	Am faca tu cangarù riamh?
16145	Have you ever seen a kangaroo?	877871	Am faca sibh cangarù riamh?
16492	What are you doing?	770525	Dè tha thu a' dèanamh?
16492	What are you doing?	852104	Dè tha sibh a' dèanamh?
16669	You are fortunate for having such good friends.	1516062	Tha thu fortanach gu bheil càirdean cho math agad.
16669	You are fortunate for having such good friends.	1516064	Tha sibh fortanach gu bheil càirdean cho math agaibh.
16744	You haven't any money.	1516364	Chan eil airgead sam bith agad.
23295	We got to the station at six.	879032	Ràinig sinn an stèisean aig sia uairean.
28974	I'm from Kyoto.	1187082	'S ann à Kyoto a tha mi.
32210	Will you give me another glass of milk?	1514060	Nach toir thu dhomh glainne bainne a bharrachd?
32516	Madeira is the name of a wine.	878977	'S e ainm fìona a th' ann am "Madeira".
33141	Here is my bicycle.	1516526	Seo an rothair agam.
33926	Betty killed her.	1528310	Mharbh Betty i.
33928	Betty killed him.	1514168	Mharbh Betty e.
38387	I'm sorry.	1516324	Tha mi duilich.
39175	I'll do my homework after I watch television.	1516657	Nì mi m' obair-dachaigh às dèidh dhomh coimhead air an telebhisean.
44327	The ice is very thick.	770508	Tha an t-éigh glè thiugh.
52013	It was great. I went to Kyoto.	1526243	Bha e sgoinneil. Chaidh mi a Kyoto.
52673	Where does John live?	882029	Càite bheil Iain a' fuireach?
55629	This is the house where my uncle lives.	3338295	Seo an taigh far a bheil m' uncail ri còmhnaidh.
63227	Were you at home yesterday?	852107	An robh sibh aig an taigh an-dè?
63227	Were you at home yesterday?	852108	An robh thu aig an taigh an-dè?
63650	Do they speak French in Canada?	1515509	Am bruidhinnear an Fhraingis ann an Canada?
65641	You look gloomy.	1516327	Tha coltas brònach ort.
67150	One day she met a wolf in the woods.	1516397	Aon latha, thachair i le madadh-allaidh anns a' choille.
67781	Who is that old woman?	1516303	Cò tha a' chailleach ud?
67781	Who is that old woman?	1527902	Cò tha a' chailleach sin?
68533	Look at that house.	880127	Seall air an taigh sin.
68533	Look at that house.	1516537	Seall air an taigh ud.
69047	Didn't you know that he passed away about two years ago?	1516395	Nach robh fhios agad gun do shiubhail e bho chionn mu dà bhliadhna?
69047	Didn't you know that he passed away about two years ago?	1527808	Nach robh fhios agaibh gun do shiubhail e bho chionn mu dà bhliadhna?
69215	You ought not to go out.	883328	Cha bu chòir dhuibh dol a-mach.
69215	You ought not to go out.	1516539	Cha bu chòir dhut dol a-mach.
69407	You are busy now, aren't you?	852126	Tha thu trang an-dràsda, nach eil?
69407	You are busy now, aren't you?	852127	Tha sibh trang an-dràsda, nach eil?
69874	Why are you alone?	878970	Carson a tha thu nad aonar?
69879	Can you speak German?	1516518	A bheil Gearmailtis agaibh?
70623	What is your name?	773172	Dè an t-ainm a th' ort?
71812	I have to buy one tomorrow.	1607588	Tha agam ri fear a cheannaich a-màireach.
73090	It was Janet that won first prize.	1526172	B' e Janet a bhuannaich a' chiad duais.
240413	There are a great many people in the park.	1516329	Tha an t-uabhas de dhaoine anns a' phàirc.
241566	I'm busy now.	852128	Tha mi trang an-dràsda.
241849	Are you busy now?	852131	A bheil thu trang an-dràsda?
241849	Are you busy now?	852133	A bheil sibh trang an-dràsda?
242190	It is terribly hot this morning.	3323478	Tha e uabhasach blàth madainn an-diugh.
242709	It's very cold today.	3095086	Tha e glè fhuar an-diugh.
242836	It is Monday today.	852049	’S e Diluain a tha ann an-diugh.
243603	Would you like some sugar?	1516546	A bheil thu ag iarraidh siùcar?
244533	It was Sunday yesterday.	852069	’S e Didòmhnaich a bha ann an-dè.
244533	It was Sunday yesterday.	852071	'S e Là na Sàbaid a bha ann an-dè.
244533	It was Sunday yesterday.	852073	'S e Latha na Sàbaid a bh' ann an-dè.
244607	I was free from work yesterday.	852111	Cha robh mi ag obair an-dè.
244736	I was very tired last night.	3095233	Bha mi glè sgìth a-raoir.
245691	The children were playing in the park.	770518	Bha na cloinn a' cluich anns a' phàirc.
246595	The boy I love doesn't love me.	1514151	Chan eil gràdh orm aig a' bhalach is tha gaol agam air.
251883	What did you do with my book?	1516071	Dè rinn thu leis an leabhar agam?
251921	My sister is famous.	885830	Tha mo phiuthar ainmeil.
252193	I'm very tired.	3094967	Tha mi glè sgìth.
253848	I have a computer.	3254454	Tha coimpiutair agam.
254241	I could not sleep because of the noise.	1514187	Cha b' urrainn dhomh cadal air sgàth na fuaim.
255050	I have a book about fishing.	3282769	Tha leabhar mun t-iasgach agam.
255347	I have a cat and a dog. The cat is black and the dog is white.	1526225	Tha cat is cù agam. Tha an cat dubh agus tha an cù geal.
256329	I talked about music.	1514141	Bhruidhinn air ceòl.
256358	I want to drink something.	1793439	Tha mi ag iarraidh rudeigin òl.
257058	I agree with you.	1182033	Tha mi ag aontachadh ribh.
257266	I have lost my key.	1515926	Tha mi air an iuchair agam a chall.
257447	I am busy now and can't play with you.	852143	Tha mi trang an-dràsda, agus chan urrain dhomh a chluich còmhla riut.
257810	I wasn't busy yesterday.	1516375	Cha robh mi trang an-dè.
257934	I am from Shikoku.	878347	Tha mi à Siakoku.
259335	I was born in Osaka.	1516347	Rugadh mi ann an Osaka.
261418	I was very tired.	3095232	Bha mi glè sgìth.
263683	My car was badly damaged in the accident.	1514032	Chaidh cron mòr a dhèanamh air a' chàr agam san tubaist.
268174	Tell me what you did in Shounan.	880296	Innis dhomh dè ni thu ann an Shounan.
269174	I need a new bicycle.	1607597	Tha feum agam air rothair ùir.
272178	I used to drink beer.	879067	B' àbhaist dhomh leann òl.
275177	Taro died two years ago.	878387	Chaochail Taro o chionn dà bhliadhna.
276028	Tell me the name of the ninth month.	1514061	Innis dhomh an t-ainm a tha air an naoidheamh mìos.
276028	Tell me the name of the ninth month.	1514062	Innisibh dhomh an t-ainm a tha air an naoidheamh mìos.
276835	Is it a boy or a girl?	1516311	An e balach no nighean a th' ann?
276875	He stopped by Tom's chair.	879552	Stad e faisg air cathair Thòmais.
276875	He stopped by Tom's chair.	879554	Stad e ri taobh cathair Thòmais.
278160	The birds are singing.	3047423	Tha na h-eòin a' seinn.
278873	The weather is as fine as can be.	877771	Tha an aimsir cho math sa ghabhas.
279713	Do you know where Tokyo Tower is?	1515927	A bheil fios agad càite bheil tùr Tokyo?
280749	Nara is as old as Kyoto.	1515924	Tha Nara cho sean ri Kyoto.
284775	He has two brothers, one lives in Osaka and the other in Kobe.	878809	Tha dà bhrathair aige. Tha fear dhiubh a' fuireach ann an Osaka agus am fear eile ann an Kobe.
287057	His son is in college now.	1525328	Tha a mhac aig a' cholaiste a-nis.
287882	His speech was suitable for the occasion.	901225	Bha a chainnt iomchaidh san t-suidheachadh.
288509	He went abroad two years ago.	1516517	Chaidh e thall thairis bho chionn dà bhliadhna.
288540	He will return within 3 hours.	1525329	Tillidh e ro cheann trì uair a thìde.
288977	He comes from England.	1516066	'S ann à Sasainn a tha e.
288982	How old is he?	773170	Dè an aois a tha e?
296902	He died yesterday.	877993	Chaochail e an-dè.
296940	He was working at the office yesterday evening.	852110	Bha e ag obair anns an oifis a-raoir.
