1277	I have to go to sleep.	736570	吾要去困觉了。
1304	I'll do my best not to disturb your studying.	900136	我会得尽量不打扰侬复习个。
1320	It is unfortunately true.	900138	可惜搿是真个。
1327	Then there is a problem...	900139	搿就表示有问题了...
1329	Hurry up.	900142	快点!
1339	I'm so fat.	900148	我老胖个喏。
1340	So what?	613420	哏末呢？
1340	So what?	613421	哏末哪能呢？
1340	So what?	706632	搿又哪能？
1348	That's because you're a girl.	900150	搿是因为侬是女生。
1359	I'd be unhappy, but I wouldn't kill myself.	900153	我会得勿高兴，但我不会得自杀。
1360	Back in high school, I got up at 6 a.m. every morning.	900157	读高中个辰光，我每天早浪向六点钟起来。
1368	Why do you ask?	900158	侬问搿个做啥？
1373	How long did you stay?	900159	侬蹲了多少辰光？
1383	I didn't know where it came from.	900160	我勿晓得伊是从阿里搭来个。
1395	I have to go to bed.	736570	吾要去困觉了。
1434	I love you.	340141	我爱侬。
1539	How do you spell "pretty"?	488160	侬哪能拼“pretty”？
1543	"Why aren't you going?" "Because I don't want to."	780111	「侬做啥勿去啊？」「因为我勿想去。」
1553	Oh, my white pants! And they were new.	900184	哦，我个白裤子！伊是新个。
1633	All that which is invented, is true.	900167	所有被发明个侪是真个。
1636	To be perfect she lacked just one defect.	900174	要变得十全十美，伊就是少了一个缺点。
1638	We don't see things as they are, but as we are.	900177	阿拉看物事勿是看伊拉个实质，而是以阿拉个主观意识来看伊拉个。
1665	Is it bad?	488406	严重𠲎？
1668	Love is never wasted.	900180	从来就呒没白白里个爱情。
1705	I'm tired.	481542	我老吃力个。
1712	I have a headache.	485698	我头痛。
1777	Rome wasn't built in a day.	900181	罗马勿是一天造好个。
1897	Close the door when you leave.	902111	出去个辰光拿门关上。
2024	I won't lose!	609486	我勿会得输个喔！
2077	"Thank you." "You're welcome."	382150	"谢暇侬。" "覅暇。"
2201	If you do not have this program, you can download it now.	481512	假使侬呒没搿只程序，侬现在就可以去下载。
2344	Better late than never.	488462	晏做总比勿做好。
2367	Do you want fruit juice?	489048	侬想要杯果汁𠲎？
2368	He's a good person.	484584	伊是个好人。
2423	Did you leave a tip?	777095	侬拨了小费伐？
2426	The situation is worse than we believed.	481549	情况比阿拉想象个要糟。
2456	It seems to me that the train is late.	750165	火车好象脱班了。
2466	"Can somebody help me?" "I will."	772397	「啥人好来帮我忙伐？」「我来帮侬忙。」
6133	I can't believe my eyes.	485691	我呒没办法相信自家个眼睛。
14204	Did you fall in love with her at first sight?	755828	侬是勿是对伊一见钟情？
15877	You work too hard.	488497	侬工作忒卖力了。
16076	You may laugh at me.	1260611	侬可以笑我个。
16196	I suppose you're hungry.	477681	我猜想侬饿了。
16244	You must be mindful of your family responsibilities.	485356	侬该晓得侬对家庭个责任。
