1434	I love you.	742851	Rada te imam.
1482	I don't speak Japanese.	3667528	Ne govorim japonsko.
1860	I don't want to go to school.	3633428	Nočem iti v šolo.
1860	I don't want to go to school.	3633430	Nočem v šolo.
2168	Where are you?	742853	Kje si?
2249	I need your advice.	949384	Jaz rabim vaš nasvet!
2249	I need your advice.	1543777	Potrebujem tvoj nasvet.
5994	Maria has long hair.	3005211	Maria ima dolge lase.
17082	Give me a lift in your car.	948568	Daj mi dvigalo v vašem avtu.
19320	Have you been to Kyoto?	3005153	Ali si bil v Kjoto?
24600	When are you going on summer vacation?	3667390	Kdaj greste na poletne počitnice?
25227	What is missing?	3011942	Kaj manjka?
26170	Can you speak English?	564093	Znaš angleško?
29846	The lion is the king of the jungle.	2788473	Lev je kralj džungle.
30070	Have a good weekend!	3005148	Prijeten konec tedna!
30316	Hi! How are you?	2775143	Živijo! Kako ste?
30316	Hi! How are you?	2775144	Živijo! Kako si?
31337	Have you finished yet?	3005207	Ali še nisi končal?
33604	I caught up with the others.	3476150	Dohitel sem ostale.
34436	There is little milk left in the bottle.	3476166	V steklenici je ostalo še nekaj mleka.
35564	Yes, my name is Karen Smith.	2501127	Da, ime mi je Karen Smith.
38104	Where do you want to go?	3005139	Kam želita iti?
39056	The door won't close.	3011914	Vrata se ne zaprejo.
39122	The door won't open.	3011915	Vrata se ne odprejo.
39549	Please speak as clearly as possible.	3005173	Prosim, govorite razločno.
39596	The calculator on the table is mine.	1566904	Kalkulator na mizi je moj.
42348	It's a waste of time.	1566903	To je izguba časa.
43215	That comes in handy.	3667464	To je priročno.
46725	You must not speak Japanese during the class.	3476160	Med poukom ne smeš govoriti japonsko.
47104	The accident occurred yesterday morning.	3493371	Nesreča se je zgodila včeraj zjutraj.
50677	The virus cut down many elephants in Africa.	3667397	Virus je pokosil mnogo slonov v Afriki.
53810	Jane grew taller than her mother.	1543696	Jane je prerasla svojo mati.
54308	Do you have a reservation?	3298886	Ali imate rezervacijo?
55892	This smells like cheese.	2151976	To diši kot sir.
56205	This is my car.	3005129	To je moj avto.
56788	The eternal silence of these infinite spaces terrifies me.	2681486	Večna tišina teh neskončnih prostorov me straši.
56890	It is easy to read this book.	2202446	Lahko je brati to knjigo.
57355	There are ten people in this room.	2202445	V tej sobi je deset ljudi.
57371	The table takes up a lot of space in this room.	3481155	Miza v tej sobi zavzame veliko prostora.
57676	This land is my property.	2155118	Ta zemljišča je moja lastnina.
58221	The payment of this bill is due today.	3667441	Plačilo zapade z današnjim dnem.
63681	Once they were very useful.	3475237	Nekoč so bili zelo uporabni.
63957	Is your mother at home?	2330611	Je tvoja mama doma?
64579	I have a lot of money.	3011862	Imam veliko denarja.
64651	How was your holiday?	3005171	Kako ste se imeli na dopustu?
64710	Please hurry up!	949381	Prosim, pohiti!
67761	They have had no rain in Africa for more than a month.	3667532	V Afriki ni deževalo že več kot en mesec.
68180	What happened to him?	3005194	Kaj se mu je zgodilo?
68788	I love you with all my heart.	3667387	Ljubim te z vsem srcem.
138749	Do you have difficulty understanding what women or small children say to you?	2655812	Ali imate težave razumeti, kaj vam ženske ali majhni otroci govorijo?
237930	Several people were standing in front of the notice.	3667470	Več ljudi je stalo pred obvestilom.
239271	When we looked down, we saw many buildings.	3667463	Ko smo pogledali dol, smo videli mnogo stavb.
242114	Why don't we go to the mountains this weekend?	3667527	Zakaj ne bi šli v gore ta konec tedna?
242328	I don't plan to vote at the upcoming election.	2115670	Ne načrtujem glasovati na prihajajočih volitvah.
243950	You may spend a maximum of 100 dollars.	949398	Morda boste porabili največ 100 dolarjev.
246715	Stand upright when I'm talking to you.	3486109	Stoj pokonci, ko se pogovarjam s teboj.
248821	We must learn to live in harmony with nature.	949529	Moramo se naučiti živeti v sožitju z naravo.
251764	My room has two windows.	3667519	Moja soba ima dve okni.
253098	I am ready to help you.	950291	Pripravljen sem, da vam pomaga.
255413	I'm waiting for the bus.	3005151	Čakam na avtobus.
256686	I remember my school days very well.	3476156	Svojih šolskih dni se spominjam zelo dobro.
257113	I need your help.	3004533	Potrebujem vašo pomoč.
257587	I'm free today.	3493366	Danes sem prost.
259713	I went to the zoo.	3477072	Šel sem v živalski vrt.
264495	I don't have a bicycle.	3087118	Nimam kolesa.
266646	My uncle told me the story by way of a joke.	949520	Stric mi je povedal zgodbo v obliki šale.
269017	Don't worry. You can count on me.	1543733	Ne skrbi. Lahko računaš name.
272207	Kill two birds with one stone.	949369	Ubiti dve ptici na en mah.
273019	The teacher amused the pupils.	3667518	Učitelj je zabaval učence.
275550	After the heavy rains, the river overflowed its banks.	3481156	Po močnem deževju je reka poplavila bregove.
277720	Stop talking.	3005143	Nehaj govoriti.
281001	The price of meat dropped.	3582938	Cena mesa padla.
283705	He has been dead for three years.	3476151	Že tri leta je mrtev.
287994	He has been ill for the past few days.	3493365	Zadnjih nekaj dni je bil bolan.
288982	How old is he?	3005198	Koliko je star?
289614	He plays the guitar very well.	3005204	Zelo dobro igra kitaro.
292154	He is very tall.	3005124	Je zelo velik.
293022	Even with his glasses, he doesn't see very well.	3476145	Tudi z očali ne vidi dobro.
293808	He was completely tired from walking all day.	3667410	Od celodnevne hoje je bil popolnoma utrujen.
305924	They were looking for a place at which they could pitch the tent.	3667456	Iskali so prostor, kjer bi lahko postavili šotor.
306668	They asked me to join the union of the company.	949644	Oni so me vprašali, če se lahko pridružim union za kampanijo.
306687	They forced me to sing a song.	2202453	Prisilili so me, da zapojem pesem.
306687	They forced me to sing a song.	2202454	Prisilili so me, da pojem pesem.
309985	She showed the passengers how to fasten their seat belts.	3481151	Potnikom je pokazala, kako si pripeti pas.
312060	She is exceedingly sensitive to the cold.	3667393	Izjemno občutljiva je na mraz.
314856	She keeps her youth very well.	3667462	Dobro ohranja svojo mladost.
315311	She grew up to be a beautiful lady.	3486099	Odrasla je v prelepo žensko.
