1434	I love you.	400864	Мин сине яратам.
1434	I love you.	400866	Мин сине сөям.
1860	I don't want to go to school.	3633457	Мәктәпкә барасым килми.
2238	Can I pay by credit card?	463368	Мин кредит картасы аша түли аламмы?
16164	Are you happy?	449802	Sin bäxetleme?
16164	Are you happy?	449803	Сез бәхетлеме?
16333	Don't you like apples?	400884	Син алма яратмыйсыңмы?
16525	You have many books.	410918	Синең күп китабың бар.
17707	I want you.	752128	Сине өним.
18275	The sky is blue.	449840	Kük zäñgär.
18452	He works for a bank.	708943	Ул банкта эшли.
19042	I wish our classroom were air-conditioned.	3290151	Безнең сыйныф бүлмәсенә кондиционер куйсалар иде.
19560	Misfortunes never come singly.	448258	Бәла бер үзе генә килми.
19560	Misfortunes never come singly.	539751	Бәла ялгыз йөрми.
20550	I see a book on the desk.	470359	Мин өстәлдә китап күрәм.
20566	There is an apple on the desk.	400870	Өстәлдә алма бар.
20567	There is one apple on the desk.	400871	Өстәлдә бер алма бар.
20586	There is an apple under the desk.	400872	Өстәл астында алма бар.
23319	We ran all the way to the station.	910152	Станциягә кадәр юл буе чаба-чаба бардык.
1636183	Every rose has its thorns.	541054	Гөлчәчәк чәнечкесез булмас.
24893	How blue the sky is!	446960	Күк нинди зәңгәр!
26453	Did you enjoy the movies?	1340646	Фильм ошадымы?
26453	Did you enjoy the movies?	1340649	Фильмны ошаттыңмы?
27043	There are many galaxies in the universe.	1058580	Галәмдә бихисап галактикалар бар.
29040	I can understand your language.	755922	Телеңне аңлыйм.
29040	I can understand your language.	755923	Телегезне аңлыйм.
29612	I am eating an apple.	400876	Мин алма ашыйм.
29617	Do you like apples?	400880	Син алма яратасыңмы?
29617	Do you like apples?	400887	Сез алма яратасызмы?
1164076	How many apples are there?	400881	Ничә алма?
31875	Mary is a bookworm.	2804982	Мэри - "китап корты".
32223	Where is the milk tea?	470161	Сөт белән чәй кайда?
32882	You reap what you sow.	588364	Ни чәчсәң, шуны урырсың.
32964	Mike and Ken are friends.	567022	Майк белән Кен — дуслар.
32975	How are you, Mike?	425678	Хәлләр ничек, Майк?
33133	Here comes the train.	689453	Менә поезд да килә.
33926	Betty killed her.	423438	Бетти аны үтергән.
33928	Betty killed him.	423438	Бетти аны үтергән.
34821	Picasso is a famous artist.	910138	Пикассо - атаклы сәнгатьче.
35020	Have you ever been to Paris?	1006603	Синең Парижда булганың бармы?
35066	Roses smell sweet.	450132	Розалар хуш исле.
35066	Roses smell sweet.	915065	Роза чәчәкләре хуш исле.
35577	Yes, Bob helped me.	755901	Әйе, Боб миңа ярдәм итте.
36419	Why?	393486	Нәрсәдән?
37659	Eat and drink.	912578	Аша да эч.
38392	I don't get it.	475549	Аңламыйм.
38926	How are you doing?	400798	Ни хәлләр бар?
38926	How are you doing?	400799	Хәлләр ничек?
38932	Where's the restroom?	463376	Бәдрәф кайда?
39609	There is an apple on the table.	400870	Өстәлдә алма бар.
47849	The country is rich in natural resources.	465753	Илдә табигый байлыклар күп.
51144	That a boy!	539747	Егет икәнсең.
51482	Excuse me, I'm lost.	415339	Гафу итегез, мин адаштым.
51482	Excuse me, I'm lost.	415350	Гафу ит, мин адаштым.
52118	Come back soon.	400862	Тизрәк әйләнеп кайт.
55021	These are my books.	426446	Болар минем китапларым.
55330	This is an apple, too.	400895	Бу да алма.
55374	This is a green notebook.	451174	Бу - яшел куен дәфтәре.
55399	This is a book.	3624213	Бу — китап.
55473	This is the flag of Japan.	404364	Бу - Япония флагы.
55477	This is Japan.	404366	Бу - Япония.
55509	This is a map.	3624216	Бу — харита.
55517	Whose bicycle is this?	425377	Бу кемнең велосипеды?
55738	This is a dog.	3624219	Бу — эт.
55820	This is a good textbook.	475489	Бу — яхшы дәреслек.
55871	This is very good.	2897029	Бу бик яхшы.
56319	This is the biggest hotel in this city.	476412	Бу - шәһәрдә иң зур кунакханә.
57373	Don't smoke in this room.	755912	Бу бүлмәдә тәмәке тартмагыз.
58911	This watch is of great value.	449824	Bu säğät bik qıymmätle.
58911	This watch is of great value.	449825	Бу сәгать бик кыйммәтле.
60223	We must get rid of this foul garbage right away.	2788275	Без хәзер үк бу пычрак чүп-чарны ташларга тиешбез.
60349	This apple is sweet.	400900	Бу алма татлы.
60350	This apple is very red.	400848	Бу алма кып-кызыл.
60758	The knife is not sharp.	690000	Пычак үткен түгел.
61184	This class consists of forty pupils.	431787	Бу сыйныф кырык укучыдан тора.
63208	Kim and I are the same age.	1525405	Без Ким белән яшьтəшләр.
63898	I'm pleased to meet you.	426020	Мин бик шатмын.
64997	Ottawa is the capital of Canada.	669959	Оттава — Канаданың башкаласы.
65239	Where is the elevator?	463369	Лифт кайда?
65831	Do you have earphones?	471310	Колак тыңлагычың бармы?
67019	Those apples are big.	400897	Бу алмалар зур.
67092	Is that a cat?	426448	Бу мәчеме?
67124	Is that a bat?	689441	Бу ярканатмы?
67642	Every town in America has a library.	755904	Американың һәр шәһәрендә китапханә бар.
67978	Who is that boy?	425706	Бу ир бала кем?
69663	Do you like English?	755946	Син инглиз телен яратасыңмы?
69668	Are you able to swim?	3624264	Йөзә беләсеңме?
69862	Where did you see the woman?	397342	Сез ул хатынны кайда күрдегез?
70049	Do you like San Francisco?	1055847	Ошыймы Сезгә Сан-Франциско?
70219	Do you have any apples?	400899	Синең алмаларың бармы?
71124	I cannot agree with you.	755933	Синең белән килешә алмыйм.
71293	I'm glad you could come.	2843267	Kilä aluığızğa bik şatmın.
71293	I'm glad you could come.	2843268	Килә алуыгызга бик шатмын.
72321	Would 8:30 be convenient for you?	2923713	8:30 сиңа уңайлымы?
138919	Welcome.	416292	Рәхим итегез!
138919	Welcome.	416293	Рәхим ит!
138919	Welcome.	416301	Хуш киләсез!
138919	Welcome.	416302	Хуш килдегез!
238357	The police released him.	1014483	Полиция аны җибәрде.
240167	Don't look back.	400859	Борылып карама.
240421	There are many people in the park.	1067849	Паркта кеше күп.
240433	Several gardeners look after the azaleas in the park.	3290130	Берничә бакчачы парктагы азалияләр турында кайгырта.
240686	Who is your favorite singer?	463379	Яраткан җырчыгыз кем?
242881	It's hot today.	1062787	Бүген кыздыра.
251657	My father is a doctor.	392994	Минем әтием табиб.
251657	My father is a doctor.	416290	Əтием табиб.
251899	My sister is pretty.	988773	Минем сеңлем чибәр.
253219	I come from Australia.	1012726	Мин Австралиядан.
254721	I want to know the reason.	1055874	Минем сәбәбен беләсем килә.
254923	I have many books.	1055951	Минем китапларым күп.
255121	I do not watch television.	450139	Мин телевизор карамыйм.
255250	I'm lonely.	476693	Мин ялгызак.
255631	I have never been inside this classroom.	3069544	Мин бу класста беркайчан да булмадым.
255923	I don't like apples.	400901	Мин алма яратмыйм.
256182	I don't like English.	432154	Мин инглиз теле яратмыйм.
257508	I am writing a letter.	425709	Мин хат язам.
257723	I fixed the bike yesterday.	755969	Кичә мин велосипед төзәттем.
258460	I am not writing a letter.	426048	Мин хат язмыйм.
258572	I do not like spring.	3282673	Мин язны яратмыйм.
259015	I like red roses.	425271	Мин кызыл розалар яратам.
259803	I live in Japan.	426009	Мин Японияда яшим.
260754	I know him only by name.	425685	Мин аның исемен генә беләм.
264085	Do you have a timetable?	426011	Вакыт җәдвәлең бармы?
264085	Do you have a timetable?	426013	Вакыт җәдвәлегез бармы?
264404	I listened, but I heard nothing.	480639	Тыңладым да, бернәрсә ишетмәдем.
265040	Answer the question.	572277	Сорауга җавап бир.
265368	I am highly honored by the presence of the president.	910157	Президент белән бергә булуыма бик горурланам.
270238	Man has two feet.	471130	Кешенең ике аягы бар.
272285	A red rose means love.	425283	Кызыл роза – сөю билгесе.
274353	Thank you for the present.	2844043	Бүләгегез өчен рәхмәт.
279776	Tokyo is a very big city.	476557	Токио — бик зур шәһәр.
280981	Don't come again.	690200	Килмә бүтән.
281035	The rainbow has seven colors.	755896	Салават күперендә җиде төс бар.
281035	The rainbow has seven colors.	755910	Салават күпере җиде төстә.
288830	He came back from America.	576529	Ул Америкадан кайткан.
298352	He has come back from the office.	425372	Ул офистан кайтты.
298352	He has come back from the office.	425374	Ул офистан кайткан.
299408	He is in the publishing business.	910147	Ул нәшрият кәсәбәсендә мәшгуль.
301931	He graduated from Tokyo University.	425961	Ул Токио университетын тәмамлады.
306891	They fought for freedom of religion.	397293	Алар дини ирек өчен көрәште.
309610	Her elder daughter is married.	2828219	Аның өлкән кызы кияүдә инде.
310436	She always turns a deaf ear to my advice.	1297070	Ул һәрвакыт минем киңәшләрне тыңламый.
311741	She is very pretty.	400908	Ул бик чибәр.
312528	Isn't she a doctor?	426038	Ул табип түгелме?
315108	She is a reliable person.	752142	Ул ышанычлы кеше.
319657	It's blowing hard.	910145	Өреп тутыруы авыр.
323287	It will be hot tomorrow.	463362	Иртәгә эссе булыр.
323288	Will it be hot tomorrow?	463363	Иртәгә эссе булырмы?
323299	It'll snow tomorrow.	425698	Иртәгә кар явар.
326287	Lover, come back to me.	426843	Ярым, миңа кайт.
329713	Good morning!	397329	Хәерле иртә!
338182	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.	532208	Барлык кешеләр дә азат һәм үз абруйлары һәм хокуклары ягыннан тиң булып туалар. Аларга акыл һәм вөҗдан бирелгән, һәм алар бер-берсенә карата туганнарча мөнәсәбәттә булырга тиешләр.
348091	Come in.	913945	Керегез!
361350	Happy New Year!	695782	Яңа ел котлы булсын!
361350	Happy New Year!	914917	Яңа елыгыз котлы булсын!
370557	We are Arabs.	404590	Без гарәпләр.
370645	This is a house and that is a mosque.	476401	Бу — өй, ә бу — мәчет.
370706	Where is your house?	465843	Өең кайда?
372452	Do you need this book?	1013069	Сиңа бу китап кирәкме?
374444	He lives in Tokyo.	988714	Ул Токиода яши.
374827	Thank you!	397317	Рәхмәт!
376610	I do not understand.	475549	Аңламыйм.
376611	I don't understand.	475549	Аңламыйм.
376912	That experience guides my conviction that partnership between America and Islam must be based on what Islam is, not what it isn't. And I consider it part of my responsibility as President of the United States to fight against negative stereotypes of Islam wherever they appear.	3336628	Бу тәҗрибә мине шуңа инандырды: Ислам белән Америка арасындагы хезмәттәшлек, Исламның асылында булмаганнарга түгел, Ислам тәшкиләтендә булганнарга нигезләнергә тиеш. Һәм мин, Ислам турында тискәре стереотиплар кайда гына барлыкка килсә дә, алар белән көрәшүне үземнең Кушма Штатлар Президенты буларак җаваплылыгымның бер өлеше дип саныйм.
376912	That experience guides my conviction that partnership between America and Islam must be based on what Islam is, not what it isn't. And I consider it part of my responsibility as President of the United States to fight against negative stereotypes of Islam wherever they appear.	3336647	Bu täcribä mine şuña inandırdı: İslam belän Amerika arasındağı xezmättäşlek, İslamniñ asılında bulmağannarğa tügel, İslam täşkilätendä bulğannarğa nigezlänergä tieş. Häm min, İslam turında tiskäre stereоtiplar qayda ğına barlıqqa kilsä dä, alar belän köräşüne üzemneñ Quşma Ştatlar Prezidentı bularaq cawaplılığımniñ ber öleşe dip sanıym.
384559	It's raining cats and dogs.	463357	Яңгыр чиләкләп коя.
386698	Whose bike is this?	425377	Бу кемнең велосипеды?
389049	Beijing is the capital of China.	389055	Пекин — Кытай башкаласы.
393357	Please.	416292	Рәхим итегез!
