1860	I don't want to go to school.	3633450	Mekdebe gitmek islemeýärin.
273786	I have no idea.	1184293	Meniň habarym ýok.
396751	I don't have a clue.	1184293	Meniň habarym ýok.
453790	I don't want meat.	2340114	Et islemeýärin.
980457	Will you come with me to the concert?	2766109	Sen meniň bilen konserte geljekmi?
1184270	God forbid!	1184267	Alla saklasyn!
1184278	Stars twinkled in the sky.	1184273	Asmanda ýyldyzlar petreşip görünýärdi.
1184288	A quarrel between husband and wife is like a spring day's drizzle.	1184286	Är-aýalyň uruşy – ýaz gününiň ýagyşy.
1184297	Where is your honey that excites the bees, Pyragy?	1184295	Ary örüzen balyň kaýda, Pyragy?
1208455	Feel your heart beat!	3333609	Ýüreginiň uruşyny duý!
1325177	She's my wife.	2942302	Ol meniň aýalym.
1725219	I cannot make noise. The baby is sleeping.	2771698	Men galmagal edip bilemok. Çaga ýatyr.
2284091	The girl looked at him too.	2766147	Gyzjagaz hem oňa bakdy.
2317690	Do you want my heart between your teeth?	2340127	Ýüregimi dişleriniň arasynda isleýärsiňmi?
2412739	I have two cats.	2927664	Iki pişigim bar.
2247453	I was angry.	2502712	Men gazaplydym.
2248165	I'm not old.	2502703	Men garry däl.
2502584	Is she beautiful?	2502700	Ol owadanmy?
2502603	He is afraid.	2502694	Ol gorkuly.
2793249	I have a book.	2502684	Meniň kitabym bar.
2502611	Do you have the book?	2502690	Kitap sende barmy?
1194034	I'm not a doctor.	2766090	Men doktor däl.
507444	I'm angry.	2766130	Men gazaply.
2905504	I have the right to criticise.	2942327	Meniň tankyt etmäge hakym bar.
2940747	I haven't got books.	2942322	Meniň kitaplarym ýok.
3095206	However, I won't know whether he came or not.	3095209	Onuň gelenini-gelmedigini weli men bijek däl.
3138037	The horse is black.	3138588	At gara.
5257037	The horse is white.	3138587	At ak.
3141152	Can you speak Turkmen?	3141153	Türkmençe gepläp bilýäňmi?
3141154	I am a volunteer.	3141155	Men meýletinçi.
3141156	I want to drink tea.	3141157	Men çaý içmek isleýän.
3143476	The horse is not white.	3154165	At ak däl.
3260107	He didn't understand me.	3260109	Ol maňa düşünmedi.
3663249	There are islands in the sea.	3670194	Deňizde adalar bar.
2621245	There is a mistake in the sentence.	3720230	Sözlemde bir ýalňyşlyk bar.
3668669	I am boring.	3720235	Men gyzyksyz.
3621820	I think everybody should learn another language.	3720239	Mençe her bir adam başga dil öwrenmeli.
378502	I have a dog.	3720242	Meniň bir itim bar.
2648556	Do you have a cat?	3720245	Seniň pişigiň barmy?
32525	Do you have a match?	3720247	Seniň otluçöpüň barmy?
430161	Do you have paper?	3720248	Seniň kagyzyň barmy?
1886606	Where will you go?	3720275	Sen nirä gitjek?
547389	This is not a sentence.	3720392	Bu bir sözlem däl.
2615370	This is not a fish.	3720393	Bu bir balyk däl.
2507618	This is not a table.	3720395	Bu bir stol däl.
3128103	She's cooking now.	3720397	Ol häzir bişirýär.
3128100	I'm cooking now.	3720398	Men häzir bişirýärin.
3128105	They're cooking now.	3720399	Olar häzir bişirýärler.
3100447	The man is strong.	3720400	Är kişi güýçli.
757414	I'm listening to music.	3720401	Men saz diňleýärin.
54934	This is my choice.	3720525	Bu meniň saýlamam.
55617	This is my bicycle.	3720526	Bu meniň welosipedim.
370564	This is my notebook.	3720527	Bu meniň depderim.
67056	This is my dog.	3720528	Bu meniň itim.
61487	This is my cousin.	3720529	Bu meniň çykanym.
61484	This is my daughter.	3720531	Bu meniň gyzym.
1630	I have a dream.	3720691	Meniň bir arzuwym bar.
1712	I have a headache.	3720692	Meniň kelläm agyrýar.
21123	I have a chill.	3720693	Men üşeýärin.
51340	I have a cough.	3720694	Men üsgürýärin.
64954	I have a stomachache.	3720695	Meniň garnym agyrýar.
249879	I have a family.	3720696	Meniň bir maşgalam bar.
252272	I have a car.	3720697	Meniň bir awtomobilim bar.
3729034	I'm learning Turkmen.	3729037	Men Türkmençe öwrenýärin.
3740404	We're speaking English.	3740405	Biz Iňlisçe gepleýäris.
3740406	We're speaking Turkmen.	3740407	Biz Türkmençe gepleýäris.
349064	I don't know.	3740408	Men bilmeýärin.
349064	I don't know.	3740409	Men bilemok.
779886	I can't.	3740411	Men edip bilemok.
24897	I can't say.	3740412	Men diýip bilemok.
254963	I can't smoke.	3740415	Men tüsseleýip bilemok.
550246	I can't remember.	3740418	Men aňyp bilemok.
550248	I don't remember.	3740419	Aňmaýaryn.
550248	I don't remember.	3740420	Men aňmaýaryn.
258396	I want to drive.	3740877	Men sürmek isleýärin.
261906	I want to live.	3740878	Men ýaşamak isleýärin.
321870	I want to sleep.	3740879	Men uklamak isleýärin.
321870	I want to sleep.	3740880	Men uklamakçy.
452275	I want to cry.	3740882	Men eňremek isleýärin.
1872056	I'm happy.	2502696	Men şat.
3817198	How many girls are there in this picture?	3817605	Bu suratda näçe gyz bar?
3825001	I don't want to eat.	3834442	Iýmek islemeýärin.
415514	I will try.	3834461	Men synanyşjak.
437516	I will endure.	3834462	Men çydajak.
854406	I will learn.	3834465	Men öwrenjek.
1098495	I will eat.	3834466	Men iýjek.
3834331	The bird is in heaven.	3834476	Guş jennetde.
3812934	The bird is in the sky.	3834479	Guş gökde.
265505	I've been learning to drive.	3834986	Men sürmegi öwrenip ýörün.
2686464	Children are the flowers of our lives.	3836901	Çagalar durmuşymyzyň gülleridir.
408293	What's your name?	3875106	Seň adyň näme?
1399479	Burj Khalifa is currently the tallest skyscraper in the world.	3881616	Häzirki wagtda Burj Khalifa dünýäniň iň uzyn binasydyr.
3929403	I would like to ask for a translator.	3932430	Maňa terjimeçi gerek.
30530	Yes, of course.	3932444	Hawa, elbetde.
17150	Where do you come from?	3932446	Sen nireli?
259069	I am a teacher.	3932448	Men mugallym.
1853743	It's very interesting.	3932470	Örän gyzykly.
3120141	I am sorry.	3932478	Bagyşlaň.
17125	What do you do?	3932481	Käriň näme?
17125	What do you do?	3932482	Näme iş edýärsiň?
3932483	I am a graduate student.	3932485	Men aspirantura talyby.
252287	I am a student.	3932491	Men talyby.
256043	I bought a book.	3932492	Kitap satyn aldym.
1799299	I am also unemployed.	3932496	Men hem işsiz.
1119432	It was nice to meet you.	3932500	Tanşanymyza örän şat boldum.
