1276	Let's try something.	2849301	چلو کچھ نہ کچھ کرنے کی کوشش کرتے ہیں۔
1280	Today is June 18th and it is Muiriel's birthday!	2849482	آج 18 جون ہے اور یہ ماریل کی سالگرہ ہے!
1282	Muiriel is 20 now.	2849488	Muiriel اب 20 سال کی ہے.
1287	This is never going to end.	2849656	یہ کبھی ختم نہ ہوگی ۔
1288	I just don't know what to say.	2853426	مجھے ابھی نہیں پتا کیا کہنا ہے ۔
1291	Is it a recent picture?	2853449	یہ ایک حالیہ تصویر ہے؟
1292	I don't know if I have the time.	2853484	میں نہیں جانتا اگر میرے پاس وقت ہوا تو ۔
1373	How long did you stay?	2849282	کتنی دیر آپ نے قیام کیا تھا؟
1395	I have to go to bed.	2849365	میں سونے کیلئے بستر پر لیٹ چکا ہوں
1434	I love you.	510683	مجھے آپ سے پیار ہے۔
1434	I love you.	2123933	مجھے تم سے پیار ہے۔
1644	You look stupid.	1604228	تم بیواقوف لگ رہے ہو۔
1860	I don't want to go to school.	3633436	میں اسکول جانا نہیں چاہتا ہوں۔
2024	I won't lose!	2123968	میں نہیں ہاروں گا۔
2237	I would like batteries for this device.	1539345	مجھے اس آلہ کے لئیے بیٹریاں چاہیئے۔
2323	I don't care.	1473841	مجھے کوئی پڑوا نہیں ہے۔
2323	I don't care.	1473844	مجھے کوئی فرق نہیں پڑتا۔
15855	Don't you know that he passed away two years ago?	1652165	تمھیں نہیں پتہ ، اسے فوت ہوئے دو سال ہو گئے ہے۔
16028	You should try to form the habit of using your dictionaries.	2608349	تمہیں لغات کو استعمال کرنے کی عادت بنانی چائیے۔
16028	You should try to form the habit of using your dictionaries.	2608355	آپ کو لغات کو استعمال کرنے کی عادت بنانی چائیے۔
16029	Do you know how to use a dictionary?	2608358	تمہیں پتہ ہے کی لغت استعمال کیسے کرتے ہے؟
16029	Do you know how to use a dictionary?	2608363	اپ کو لغت استعمال کرنا آتی ہے؟
16486	Where were you?	487493	آپ کہاں تھے؟
16492	What are you doing?	2849375	تم کیا کر رہے ہو ؟
16520	All you have to do is to join us.	1487825	تمھیں بس اب کرنا یہ ہے کہ ہمارے ساتھ شامل ہو جانا ہے۔
16712	You had far better stay here.	1600202	بہتر ہے کہ تم یہی رک جائو۔
16793	You are a good boy.	1476656	تم ایک اچھے بچے ہو۔
17095	Will you lend me your dictionary?	2608364	کیا تم اپنی لغت ادھار دے سکتے ہو؟
17095	Will you lend me your dictionary?	2608366	کیا آپ اپنی لغت ادھار دے سکتے ہے؟
17096	May I borrow your dictionary?	2608369	کیا میں آپ کی لغت ادھار لے سکتا ہوں؟
17098	Look up the words in your dictionary.	2608375	الفاظوں کو لغت میں ڈھونڈو۔
17125	What do you do?	2849379	تم کیا کرتے ہو ؟
17470	I'll lend you my notebook.	1465749	تم میرا دجسٹر لے جانا۔
17735	I need you.	2123936	مجھے تمھاری ضرورت ہے۔
17735	I need you.	2123937	مجھے آپ کی ضرورت ہے۔
17800	I'm so glad that you succeeded.	1463898	میں بہت خوش ہوں تمھاری کامیابی پہ۔
17808	You may or may not win.	1928547	تم شاید جیتو شاید نہ جیتو۔
18309	There wasn't a cloud in the sky.	1917683	آسمان میں ایک بھی بادل نہیں تھا۔
18309	There wasn't a cloud in the sky.	1917686	آسمان میں ایک بھی بادل نہیں ہے۔
18428	How late is the bank open?	1539355	بینک کتنی دیر تک کھلا ہے؟
19321	There are many old temples in Kyoto.	1604268	کیوٹو میں کافی پرانے مندر ہے۔
19327	My brother in Kyoto became a teacher.	1526991	کیوٹو میں میرا بھائی استاد بن گیا۔
19371	I'm allergic to fish.	1652164	مجھے مچھلی سے الرجی ہے۔
19444	Compared with last year, this year's crops are much better.	1497753	پچھلے سال کے مقابلے میں اس سال کی کپاس بے مثال ہیں۔
19768	He stayed there during the vacation.	1460344	وہ چھٹیوں میں وہیں رہا۔
19819	Do you sometimes go abroad on your holidays?	1733357	تم کیا کبھی ملک سے باہر جاتے ہو چھٹیاں منانے؟
20544	The dictionary on the desk is mine.	2608383	میز کے اوپر پڑی پوئی لغت میری ہے۔
20872	Don't make a mistake.	1812373	غلطی نہ کرنا۔
20872	Don't make a mistake.	1812375	کوئی غلطی نہ کرنا۔
21380	None of the students were late for school.	1928537	کوئی بھی طلبہ سکول کے لئیے لیٹ نہیں تھا۔
