1280	Today is June 18th and it is Muiriel's birthday!	791745	Adelo binon 18id yunula e binos motedadel Muiriela!
1287	This is never going to end.	3424882	Neai ofinikos.
1434	I love you.	718878	Löfob oli.
1435	I don't like you anymore.	744955	No löfilob oli plu.
1860	I don't want to go to school.	3418054	No vilob golön lü jul.
1862	It is raining.	1394244	Reinos.
2168	Where are you?	718890	Kiöpo binol-li?
2296	I think it is good that books still exist, but they do make me sleepy.	745481	Tikob, binos gudik, das buks dabinons nog, ab ons slipöfikükons obi.
16262	What are you going to be?	732870	Kis obinol-li?
17660	Who is your teacher?	3508626	Kim binom tidel olik?
18395	It's so painful. Stop it!	3378489	Binos so dolik. Stopolöd!
18592	Gold is heavier than silver.	754416	Goldin binon vetikum ka largent.
19055	Teachers must understand children.	2099927	Tidels mutoms lelilön cilis.
19362	Fish and meat are both nourishing, but the latter is more expensive than the former.	3499783	Fit e mit binoms fids gudik, sod telid binom delidikum ka balid.
20097	You are beautiful.	2374985	Binol jönik.
20097	You are beautiful.	2374986	Binols jönik.
20124	You study English.	3494304	Studol nelijapüki.
20544	The dictionary on the desk is mine.	3623288	Vödasbuk su tab binom obik.
21938	I want to go abroad.	749067	Vilob golön ini foginän.
21938	I want to go abroad.	749069	Vilob golön foginänio.
22593	It is Tom whom I want to see.	1914634	Men keli vilob logön binom Tom.
23482	The God who gave us life, gave us liberty at the same time.	790943	God, kel ägivom obes lifi, ägivom libi otüpo.
24885	What a pity!	3385133	Spal kion!
25516	I'm playing a TV game.	3418563	Pledob televidapledi.
26207	English is difficult to learn.	3575184	Nelijapük binom fikulik al studön.
26297	English is spoken in Canada.	3391863	Linglänapük paspikon in Kanadän.
27828	Please sing a song.	721907	Kanitolös kaniti.
28842	We measured the depth of the river.	745453	Ämafobs dibi flumeda.
29079	We will have a math class tomorrow.	755977	Olabobs matematatidi odelo.
29920	I didn't hear you.	1893545	No älilob oli.
29937	I urinate involuntarily.	814700	Yurinob nevilöfo.
30754	If you have a medical certificate, bring it.	754771	Ven labol dokümi sanavik, blinolöd oni.
31602	It will get warmer soon.	3623382	Obinos vamikumo suno.
32257	We hope you enjoy the movie.	739488	Spelobs, das fredol biologamoti.
32964	Mike and Ken are friends.	2298783	Mike e Ken binoms flens.
33251	Bob and Tom are brothers.	785387	Hiel Bob e hiel Tom binoms brods.
33809	The two men sitting on the bench were Americans.	739490	Mans tel seadöl su bam äbinons lamerikänik.
33815	Benjamin shot a bear with a rifle.	753041	Benjamin jutom beri me gün.
33965	Make your bed.	734428	Leblimolöd bedi olik.
34136	I want to eat French cuisine.	2317592	Vilob fidön fidi flentik.
34769	A pick is a long handled tool used for breaking up hard ground surfaces.	3390168	Tipotacop binon stum gleipeda lunik, kel pafruton ad breikön platotis glunas düfik.
35027	Paris is the capital of France.	732037	Paris binon cifazif Fransäna.
