1712	I have a headache.	1561115	איך האָב אַ קאָפּװײטיק.
1717	I don't feel well.	1560867	איך פֿיל זיך נישט גוט.
1718	Call the police!	3464604	רוף די פאליציי!
1803	Take a book and read it.	1559043	נעם אַ בוך און לייען אים.
1803	Take a book and read it.	1559044	נעם אַ בוך און לײען עס.
1814	I'm thirsty.	848205	איך בין דאָרשטיק.
1874	Tomorrow, I'm going to study at the library.	1560578	מאָרגן װעל איך לערנען אין די ביבליאָטעק.
15811	You may make use of his library.	1560579	קענסט נוצן די ביבליאָטעק.
15811	You may make use of his library.	1560580	איר קענט נוצן די ביבליאָטעק.
16723	You've drunk three cups of coffee.	1560631	איך האָב געטרונקען דרײַ גלעזר קאַװע.
20288	I'm not feeling well.	1560867	איך פֿיל זיך נישט גוט.
20602	Several newspapers published the story.	1585540	אַ פּאָר צײַטונגען האָבן פּובליקירט די געשיכטע.
21267	Have fun.	1031314	פֿאַרגינט זיך!
21366	Students should make use of the books in the library.	1560581	סטודענטן דאַרפֿן נוצן די ביכער אין דער ביבליאָטעק.
23130	We won hands down, because the other players were weak.	3123796	מיר האבן אזוי שטארק געוואונען, ווייל די אנדערע שפילערס זענען געווען שוואך.
25113	I was conscious that something was missing.	1557743	איך האָב געװוּסט אַז עפּעס פֿעלט מיר.
26432	The image is out of focus.	2403036	דער בילד איז נישט אין פאקוס.
27257	Where's the nearest library?	1560582	װוּ איז די נאָענסטע ביבליאָטעק?
28900	Language, as we know it, is a human invention.	1583138	שפּראַך װי מיר קענען איר איז אַ מענטשלעכע צוטראַכט.
29220	I'd like to have a glass of wine.	1557299	איך װאָלט גערן געהאַט אַ גלאָז װײַן.
29226	Wine is made from grapes.	1557301	װײַן איז געמאַכט פֿון װײַנטרױבן.
29826	Please turn off the light.	1583148	זײַ אַזױ גוט און פֿאַרלעש דאָס ליכט.
34140	I have a daughter who's married to a Frenchman.	569987	איך האָב אַ טאָכטער װאָס האָט חתונה געהאַט מיט אַ פֿראַנצױז.
34727	I have a bad headache.	1561119	איך האָב אַ שטאַרקן קאָפּװײטיק.
36781	I will not do that for the life of me.	2403027	בחיי איך וועל דאס נישט טאהן.
37981	You may choose whichever you want.	3123952	דו קענסט באשלאסן, וואס אימער דו ווילסט.
43327	The old lady walked slowly up the hill.	1560576	די אַלטע דאַמע איז גגעגאַנגען פּאַמעלעך באַרגאַרױף.
43670	Leave the matter to me.	2403121	לאז עס אין מיין הענט.
43742	That gives me a headache!	1561146	עס מאַכט מיר אַ קאָפּװײטיק.
45792	The teacher found it difficult to get his meaning across to the students.	2402919	דער מלמד האט עס שווער געפונען, ווי צו מוסר זיין זיין מיינונג צו די סטודענטן.
47455	The boy complained of a headache.	1561149	דער ײִנגל האָט געקלאָגט אַז ער האָט אַ קאָפּװײטיק.
51684	Not all books are good books.	1559030	נישט אַלע ביכער זײַנען גוטע ביכער.
52450	In Switzerland, spring comes in May.	1557303	אין שװײַץ קומט דער פֿרילינג אין מײַ.
55083	These books are my books.	1559032	די ביכער זײַנען מײַנע.
55910	This is the village where the poet was born.	2402916	דאס איז דער דארף, אוואו דער פאעט איז געבוירן געווארען.
56400	Mr Gomez didn't excuse me for my mistake.	2403032	הער גאמעז האט מיר נישט געמוחלט פאר מיין טעות.
56922	This book is heavy.	1556625	דאָס בוך איז שװער.
57045	This book isn't as interesting as that book.	1559033	דאָס בוך איז נישט אַזױ אינטערעסאַנט װי יענער בוך.
60099	Can you sing this song?	2426028	קענסט דו זינגען דעם ליד?
62201	A cup of coffee relieved me of my headache.	1561150	אַ גלאָז קאַֹװע האָט גרינגער געמאַכט מײַן קאָפּװײטיק.
64906	The opera starts at seven.	1557355	די אָפּערע הײבט אָן זיבן אַ זײגער.
