1434	I love you.	4269285	Ez tora heskena.
4432246	I'm tired. I'm going to bed.	4432599	Ez a'dizyaya. Ezo şıra rakeva.
4431830	She is not jealous.	4432830	A pexil niya.
4431192	There is an apple in the boy's pocket.	4432833	Tunıka lacekid sa esta.
4430609	Don't go out because it is cold.	4432837	Meşo teber serdo.
4430364	They're not jealous.	4432838	é pexil niyé.
4430109	I saw his daughter was crying.	4432844	Mé di keynaya ey bermayé.
4430040	I don't work today.	4432850	Ez evro né gırweyena.
4429469	I heard his voice in my sleep.	4432874	Mé vengé ey hewnéxud peyhesyaya.
4429468	I heard her voice in my sleep.	4432878	Mé vengé ay hewnéxud peyhesyaya.
4429420	I don't know why I'm laughing.	4432882	Ez nézana qandé çı eza huwena.
4429030	I love this language.	4432886	No zuwanira ez heskena.
4427204	One day, we will understand.	4432905	Rojé, madé fea'mkeré
4425737	I was late for work.	4432911	Ez karéxüra berey menda.
4424564	I'm going out today.	4432917	Evro ezo şıra teber.
4424535	The cat which you found is mine.	4432921	A ké pisinga to diya a émına.
4422396	Do you have dinner plans?	4432922	Qandi şamiya şani to sered çiyı esto?
4422372	We heard.	4432930	Ma peyhesyai.
4419657	This game is not bad.	4432934	Na kay xırab niya.
4419624	Mary is my wife.	4432940	Mary ciniya ména.
4417075	We will rescue them.	4432949	Madé ina béreynı.
4405225	"Me?" "Yes, you!"	4432987	"Ez?" "E, Tı!"
4404613	If I want, they will kill you.	4432988	Ez buwaza, édé to bıkşé.
4404612	If I want, they will kill her.	4432989	Ez buwaza, édé ay bıkşé.
4403660	This is the house.	4432990	No keyeo.
4402239	Sleep well, Timmy.	4432991	Weş rakew, Timmy.
4401094	Do I look tired?	4432994	Ez a'dizyaye asena?
4401083	Go to Tom's house.	4432996	Şo ké Tomi.
4401076	I didn't sleep.	4432997	Ez né rakewta.
4401063	I like children.	4432998	Ez qeçkara heskena.
4401009	We're finished.	4432999	Ma qedina.
4398733	You don't remember?	4433002	To viri nino?
4397941	Hanni and Nanni are twins.	4433016	Hanni u Nanni Dıleté.
4397642	I have no kids.	4433017	Qeçémı çınyé.
4397633	I'm here, too.	4433019	Edzi tiyada.
4397602	It's expensive.	4433024	O vayo.
4397601	It's very cheap.	4433026	O ercano.
4397597	Let's end this.	4433027	Bé ma ney bé qediné.
4397520	We can do this.	4433031	Ma şené ney bıkeré.
4393579	Why is your mouth open?	4433032	Çıré feké to akerdeo?
5257037	The horse is white.	4433043	Istor sıpeya.
2250003	Stay and watch.	4433045	Vınd u temaşeké.
2038371	Owls are active at night.	4433046	Kundi şew vıcéné.
2354171	I'm hungry. How about you?	4433048	Ez veyşana. ya tı?
3181167	Can we talk tomorrow?	4433054	Ma meşt qısey bé kerı beno?
2260610	What's your wife's job?	4433063	Cıniya to çé kar kena?
2235901	That's not Tom.	4433084	O Tom niyo.
3200476	He didn't tell me his name.	4433091	Ey mıré name é xü né va.
4410160	Tom does not have friends.	4433106	Imbazé Tomi çınyé.
4410147	The children will be happy.	4433107	Qeçid şa bé.
4409880	She has husband and two daughters.	4433113	Mérdeyi u dı keyneyé ay esta.
4409852	Tell her I'm hungry.	4433115	Ayré vac ez veyşana.
4407634	He blinked.	4433130	Ey çım şıkıt.
4406795	It is better than yesterday.	4433142	No vızéṙa rındo.
4406792	It's better than yesterday.	4433142	No vızéṙa rındo.
4404973	Tom, don't listen to them!	4433148	Tom, goştare é ina meké!
1583725	Wait for me next to that tree.	4433157	Na dar het mé bé paw.
2261898	Here comes Tom now.	4433160	Tom'o nika yeno.
1028243	Tom only saw Mary once.	4433169	Tom fıné tenya Mary di.
810614	Few people speak my language.	4433177	Tayn merdémi zuwanémı qısey kené.
877850	My name is Maria Sara.	4433187	Name é mé Maria Saraya.
1637154	He has holes in his clothes.	4433201	Çına é eyd qulli esté.
3910505	I never saw her before today.	4433211	Bé ewro mé qe a né diya.
1397712	Mary's shoes are dirty.	4433231	Sewl é Mary limıné.
2548544	Tom was a nice man.	4434732	Tom merdémo rınd bi.
3906607	Go talk to her.	4434737	Şo aya qısey bıkı.
3860096	I think Tom and Mary like each other.	4434748	Mırékı Tom u Mary péra h'eskené.
2821460	Who did you get this from?	4434758	To no kami ra gırot?
2375795	I knew you'd come back.	4434768	Mı zanayé şıma do peyd béré.
3903779	I came here with him.	4434776	Ma piya amey tiya.
3919141	Did you buy him a dog?	4434787	To eyri kûtıké erina?
2487657	How many people still speak your language?	4434792	Çend merdémi zıwané to qısey kené?
3150589	Tom didn't buy anything.	4434798	Tom çiyé né erina?
3471967	They could not swim.	4434802	İna né şa asnaw bé keré.
1635491	What's this dog's name?	4434806	Name yé no kûtıki çı çio?
3738450	Do you like my clothes?	4434808	Çına émı weşté to şıno?
2549240	Tom isn't hungry.	4434829	Tom veyşan nio.
2892871	Who is your mother?	4434834	Ma to kama?
4017310	Come back and see us again.	4434835	Peyd bé u fına ma bıviné.
843595	She seems OK now.	4434836	Nıka a ya rınd asena.
3177985	Go to sleep now.	4434838	Şo nıka rakew.
291456	He wants to eat both of them.	4434841	O wazeno hordınazi buro.
1461892	Who is this woman?	4434842	Na ceni kama?
3918347	We'll find her.	4434849	Ma dé ay bé viné.
276106	Is somebody there?	4434852	Ujad kes esto?
897307	The dog is yours.	4434854	Kûtık é to yo.
1138355	My grandmother cannot see.	4434858	Pirıka mé néşena bé vina.
2013579	I want to grow old with Mary.	4434864	Ez wazena ké Mary a piya kal ba.
2770033	She can't love you.	4434868	A to ra né şena heskero.
2335878	What did you say? I can't hear you.	4434870	To se va? Néşena aşnaw kera.
3821882	Are you lying right now?	4434873	Tı nıka derg biyé raşt?
3917043	Wait for them.	4434875	Qandé ina bé paw.
2698777	You look tired. You must have been working too hard.	4434877	Tı yé edizyaye asené. Qey karé to gran bi.
37426	Uncle Tom is my mother's brother.	4434880	Xalo Tom béra yé ma émıno.
4409461	Do not speak for others.	4434882	Qalé é bina mek.
2764122	I want to try riding a horse.	4434883	Ez qayila dınıştışé ıstoré cerıbna.
2541944	I'll never forget what you did.	4434886	O ké to kerd ezo qet xu viri nékera.
1463505	She has green eyes.	4434889	Çımê ay kıh'oê.
293058	He will soon come back.	4434891	Nezdid o do pey béro.
4102899	Now I don't know what to do.	4434892	Nıka nézana ké ez sekera.
3918155	I want to find him.	4434893	Qayila ez ey bé vina.
38755	How did you come to hear of it?	4434897	Seni to o pey h'esiyai?
72312	Get me up at eight.	4434898	Mı h'eşt werzané.
2544572	Tom is your son, not mine.	4434908	Tom lajé to yo, é mé nio.
2254706	Who came here?	4434914	Kam ame tiya?
2245196	Come get it.	4434915	Bé ey bigi.
2249608	No one's here.	4434920	Tiyad kes çınyo.
4266736	If you don't do that, you will be a dead man.	4434922	Tı ney nékeré, tı dé bı bé merde.
4016713	It's a game for children.	4434923	Na kay qandé qeçana.
2265983	Good evening!	4269281	Şanê şima xeyr!
636998	It's been ten years since my father died.	4434928	Mergé pi é mı ra des ser'i o ravérd.
2646110	Are you doing anything?	4434930	Tı yé çi yé kené?
4426228	Are they big?	4434937	Ê gırdê?
4426339	We want to speak with Tom.	4434941	Ma qayılé Toma qısey bé keré.
3927458	Dan is my new friend.	4434944	Dan émbaz é mı no neweo.
1977697	Do you want to do this?	4434951	Tı qayılé ney bé keré?
1164323	Tom played with his kids.	4434971	Tom qeçana kay kerd.
2361880	I'm not dead, am I?	4434982	Ez merde niya, né?
328246	What? You can't do it? You coward! Chicken!	4434987	Çé? Tı néşené ey bıkeré? Tı tersoneké! kerg!
3494926	Are all of them your friends?	4434994	é péro émbazé to yé?
