3297	Je ne parle pas japonais.	1345790	Ek praat geen Japannees nie.
3381	Merci beaucoup !	401103	Baie dankie!
3494	Quel âge as-tu ?	742913	Hoe oud is jy?
3873	De quoi parles-tu ?	1974535	Waarvan praat jy?
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	382291	Een, twee, drie, vier, vyf, ses, sewe, ag, nege, tien.
4173	Je ne le connais pas.	753002	Ek ken hom nie.
6400	J'ai une voiture.	657427	Ek het 'n kar.
6567	J'ai un chien.	755341	Ek het 'n hond.
6743	Je ne vois rien.	2676709	Ek sien niks.
7089	Je ne sais pas si c'est vrai.	646233	Ek weet nie of dit waar is nie.
7405	Je suis trop fatigué pour courir.	1354228	Ek is te moeg om te hardloop.
7784	Mon frère vit à Tokyo.	1359766	My broer leef in Tokio.
7847	Ma jupe est trop longue.	1527043	My rok is te lank.
9724	Je suis un homme libre.	653445	Ek is 'n vry man.
9751	Passe-moi le sel, s'il te plaît.	2714695	Gee asseblief die sout aan.
9964	1, 3 et 5 sont des nombres impairs.	1775797	Een, drie en vyf is ongelyke getalle.
10001	Un dollar est égal à cent cents.	1810756	'n Dollar is gelyk aan 'n honderd sent.
10326	Crois-tu aux OVNIs  ?	753049	Glo jy in UFO's?
10411	As-tu une voiture ?	759037	Het jy 'n kar?
10761	Notre chat est dans la cuisine.	1345756	Ons kat is in die kombuis.
14394	Tout est bien qui finit bien.	1409680	Alles goed eindig goed.
14514	Il est fier de son fils.	876490	Hy is trots op sy seun.
14954	Je n'ai pas trop le temps maintenant.	718840	Ek het nou nie veel tyd nie.
119920	Il était très fatigué.	789094	Hy was baie moeg.
126537	Le chien est mort.	1346796	Die hond is dood.
131404	C'est un gentleman.	661807	Hy is 'n gentleman.
131841	Il habite à Kyôto.	677001	Hy woon in Kioto.
2825437	Il est fort.	1857632	Hy is sterk.
132647	Il est fainéant.	663031	Hy is lui.
139972	Vous pouvez décorer ce cocktail avec une cerise ou de l'ananas.	3435644	Jy kan die skemerkelkie versier met 'n kersie of pynappel.
181545	Il ne pouvait pas venir parce qu'il était malade.	675859	Hy kon nie kom nie, omdat hy siek was.
182197	Les arbres sont verts.	795936	Die bome is groen.
331233	Paris est la capitale de la France.	840012	Parys is die hoofstad van Frankryk.
332066	J'ai un problème avec ma voiture.	665953	Ek het 'n probleem met my motor.
332497	Mon père est occupé.	3437719	My vader is besig.
333686	Cette soupe est trop salée.	3435818	In hierdie sop is te veel sout.
338179	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.	384906	Alle menslike wesens word vry, met gelyke waardigheid en regte, gebore. Hulle het rede en gewete en behoort in die gees van broederskap teenoor mekaar op te tree.
341873	Crois-tu en Dieu ?	753055	Glo jy in God?
374826	Merci !	401102	Dankie!
378858	Il a une voiture.	817598	Hy het 'n motor.
380931	Aujourd'hui il neige.	1809722	Dit sneeu vandag.
384535	Il est le frère de Taro.	949025	Hy is Taro se broer.
385089	J'ai un chat et un chien.	755344	Ek het 'n kat en 'n hond.
399272	Il faut que tu t'en ailles.	1775791	Jy moet gaan.
400648	Hier on a passé une soirée super avec mes frères et mes amis, et le barbeuc était trop bon aussi.	1751780	Gister het ons 'n fantastiese aand met my broers en my vriende deurgebring, en die braai was ook baie goed.
401445	Mon frère est un imbécile.	661714	My broer is 'n idioot.
410160	J'ai un chat et un chien. Le chat est noir et le chien est blanc.	1349674	Ek het 'n kat en 'n hond. Die kat is swart en die hond is wit.
441828	Je cherche mon frère.	1994655	Ek soek my broer.
454100	Je ne l'aime plus.	663014	Ek is nie meer lief vir haar nie.
459842	Est-ce un stylo ou un crayon ?	1810729	Is hierdie 'n pen of 'n potlood?
464016	Cette histoire est très célèbre, chacun la connait.	1750367	Hierdie verhaal is baie bekend, almal ken hom.
470831	Comment appelez-vous ce légume en anglais ?	1772967	Wat noem julle hierdie groente in Engels?
485894	Je doute qu'elle vous aime.	1804148	Ek twyfel dat sy jou liefhet.
487897	C'est mon frère.	644930	Hy is my broer.
504871	Où est la banque ?	1054514	Waar is die bank?
534274	Mon chien est blanc.	723735	My hond is wit.
538372	C'est le bâtiment où papa travaille.	653447	Dit is die gebou waar my pa werk.
544970	Tu es l'amour de ma vie.	713357	Jy is die liefde van my lewe.
561390	C'est impossible.	753247	Dis onmoontlik.
564835	Nous devons séparer la politique de la religion.	3441408	Ons moet politiek van geloof skei.
578037	Je peux le faire si vous m'en laissez l'occasion.	1749116	Ek kan dit doen as jy my 'n kans gee.
587210	Tu es bourré !	784600	Jy is dronk!
589990	Tu es saoul !	784600	Jy is dronk!
3632357	Ma femme est végétarienne.	644850	My vrou is 'n vegetariër.
644874	Où est Jim ?	644873	Waar is Jim?
651410	J'aime ma maman.	651403	Ek is lief vir my ma.
663092	Je travaille dans une banque.	663097	Ek werk by 'n bank.
672262	Il court.	672261	Hy hardloop.
672268	Elle court.	672267	Sy hardloop.
675656	Mes parents sont tous les deux morts.	675652	My ouers is albei dood.
676032	On a posé à mon oncle le diagnostic de leucémie.	674067	My oom is gediagnoseer met bloedkanker.
676999	Elle habite à Kyoto.	677000	Sy woon in Kioto.
682888	Ma main est dans de l'eau chaude.	1496805	My hand is in warm water.
688288	Tu as quel âge ?	742913	Hoe oud is jy?
718804	Il nous faut agir vite.	718820	Ons moet vinnig optree.
753128	Je vis mon rêve.	753124	Ek leef my droom.
753311	Rome est la capitale du monde.	753322	Rome is die hoofstad van die wêreld.
754158	Sysko prévoit de racheter Microsoft.	1766527	Sysko beplan om Microsoft te koop.
755722	Je n'ai pas de temps pour toi.	753068	Ek het geen tyd vir jou nie.
755723	Je n'ai pas de temps pour vous.	755719	Ek het geen tyd vir julle nie.
755723	Je n'ai pas de temps pour vous.	755724	Ek het geen tyd vir u nie.
757940	La cause de l'incendie était inconnue.	758081	Die oorsaak van die brand was onbekend.
758079	La cause de l'incendie était connue.	758082	Die oorsaak van die brand was bekend.
758091	Avez-vous vu cet homme?	758085	Het jy hierdie man gesien?
784541	C'est mon voisin.	784543	Hy is my buurman.
788080	Combien de crayons as-tu ?	788084	Hoeveel penne het jy?
816577	C'est la plus haute montagne du monde.	1974508	Dit is die hoogste berg ter wêreld.
822095	Ma sœur est jolie.	822093	My suster is mooi.
823226	J'ai trois chiens.	823229	Ek het drie honde.
825373	Je suis un ami de Robert.	825377	Ek is 'n vriend van Robert.
3081621	Je travaille ici.	825551	Ek werk hier.
879177	Je l'ai attendue pendant vraiment longtemps.	1730369	Ek het regtig lank vir haar gewag.
882707	Le chien est dans la maison.	976066	Die hond is in die huis.
890873	Rien n'est sacré.	1759549	Niks is heilig nie.
1005595	Oscar était le chien de ma mère.	786683	Oscar was my ma se hond.
1008756	Ça coûte dans les trente euros.	1771057	Dit kos omtrent dertig Euro.
1012908	Il sentit une douleur dans son dos.	1948697	Hy het 'n pyn in sy rug gevoel.
1018296	Tom est mon ami.	788066	Tom is my vriend.
1018685	J'espère que ton voyage d'affaires en France a été fructueux.	3441412	Ek hoop die besigheidsreis na Frankryk was suksesvol.
1019874	Il ne fume pas.	753097	Hy rook nie.
1076536	J'ai une nouvelle voiture rouge.	2209146	Ek het 'n nuwe rooi kar.
1084807	Ma sœur a deux ans de plus que moi.	1084802	My suster is twee jaar ouer as ek.
1090176	Je suis très fatigué maintenant.	836000	Ek is nou baie moeg.
1090182	Pourquoi veux-tu acheter ce livre ?	758101	Waarom wil jy hierdie boek koop?
1090183	Pourquoi voulez-vous acheter ce livre ?	758101	Waarom wil jy hierdie boek koop?
1090312	J'ai des frères.	1090320	Ek het broers.
1171358	Janvier est le premier mois du calendrier.	2364273	Januarie is die eerste maand op die kalender.
1307460	Il n'est pas malade.	1307445	Hy is nie siek nie.
1309605	Berlin est la capitale de l'Allemagne.	1309615	Berlyn is die hoofstad van Duitsland.
1317822	Tu as tué mon père.	2045072	Jy het my pa doodgemaak.
1318496	Tom ne boit pas de café.	1796525	Tom drink nie koffie nie.
1346049	Je t'ai vu hier.	1345760	Ek het jou gister gesien.
1346050	Je t'ai vue hier.	1345760	Ek het jou gister gesien.
1348675	Je veux danser.	1348670	Ek wil dans.
1369598	Ce fut un bon roi.	1356348	Hy was 'n goeie koning.
1369599	Il fut un bon roi.	1356348	Hy was 'n goeie koning.
1369601	Il était un bon roi.	1356348	Hy was 'n goeie koning.
1369602	C'était un bon roi.	1356348	Hy was 'n goeie koning.
1675463	Achètes ou meurs !	3438936	Koop of vrek!
1742514	Le concert n'était pas terrible.	1742520	Die konsert was nie aaklig nie.
1825157	Sans doute !	1825167	Sonder twyfel!
4811789	Tom vit à Boston.	1758762	Tom woon in Boston.
2155024	Tu peux utiliser ma nouvelle voiture.	1819027	Jy mag my nuwe motor gebruik.
2271810	Ma maison a deux chambres à coucher.	1765234	My huis het twee slaapkamers.
2319137	Je ne sais pas si je te l'ai jamais dit mais tu as de beaux yeux.	3452801	Ek weet nie of ek jou ooit gesê het nie, maar jy het mooi oë.
2346868	C'est mon ordinateur.	2346883	Hierdie is my rekenaar.
2329195	Nous sommes arrivés un peu en retard.	2783845	Ons het 'n bietjie laat aangekom.
3652134	C'était très beau.	1422335	Dit was baie mooi.
3652136	C'était fort beau.	1422335	Dit was baie mooi.
3652137	Ce fut très beau.	1422335	Dit was baie mooi.
3652138	Ce fut fort beau.	1422335	Dit was baie mooi.
440075	Entrez !	2783902	Gaan binne.
1892080	Mon frère insista pour aller là-bas seul.	2738552	My broer het aangedring op gaan daar alleen.
958028	Je ne peux pas voler.	1862784	Ek kan nie vlieg nie.
3250	Je t'aime !	450281	Ek is lief vir jou.
2075910	Je t'aime.	450281	Ek is lief vir jou.
1183578	Veux-tu bien fermer la fenêtre ?	1783229	Maak asseblief die venster toe.
11539	Je n'ai pas d'autres questions.	1866679	Ek het geen verdere vrae.
582698	Est-ce que je le connais ?	849269	Ken ek hom?
134934	Donne-moi une bouteille de vin.	1799319	Gee vir my 'n bottel wyn.
7694	Mon fils croit toujours au Père Noël.	1422329	My seun glo nogsteeds in Kersvader.
955972	Je pourrai te voir l'année prochaine.	1862763	Ek sal jou volgende jaar kan sien.
4652600	Ce n'était pas ma faute.	4639492	Dit was nie my skuld nie.
1117348	Elle est forte.	1117480	Sy is sterk.
330693	Il portait un costume élimé.	1622508	Hy het 'n afgeleefde pak aangehad.
4767624	Le ping-pong est aussi appelé tennis de table.	3451776	Ping pong word ook tafeltennis genoem.
570509	Qu'avez-vous fait hier ?	1809738	Wat het jy gister gemaak?
2310538	Les enfants dorment.	1903975	Die kinders slaap.
445406	Pouvons-nous utiliser le laboratoire de langues ?	3451769	Mag ons die taal laboratorium gebruik?
4894009	Le vent souffle fort.	5443485	Die wind waai sterk.
486208	Je doute qu'elle t'aime.	1804148	Ek twyfel dat sy jou liefhet.
3935497	La Grèce est un vieux pays.	3935492	Griekeland is 'n ou land.
132272	Ce n'est pas mon cousin.	3189749	Hy is nie my neef nie.
4739343	Il n'est pas mon cousin.	3189749	Hy is nie my neef nie.
684480	Nous sommes ses fils.	1796544	Ons is sy seuns.
571261	Que veut dire cette phrase ?	5934332	Wat beteken hierdie sin?
832033	As-tu mis du sel ?	5934330	Het jy sout in gegooi?
1196966	Tu peux passer la nuit chez nous.	5982730	Jy kan by ons oornag.
5975730	Je vais à la plage.	5975755	Ek gaan strand toe.
3662057	Voulez-vous louer votre maison ?	5987253	Wil u u huis verhuur?
1005546	C'est un bon plan.	1785555	Dit is 'n goeie plan.
3526933	De quel pays viens-tu ?	384996	Van watse land is jy?
1450495	De quel pays tu viens ?	384996	Van watse land is jy?
873769	Les pétales de la rose sont très doux.	5660050	Roosblare is baie sag.
4219	La nuit tous les chats sont gris.	1259062	Snags is alle katte grou.
573994	Je ne peux pas jauger les distances.	5738978	Ek kan nie afstand skat nie.
2384889	Je m'attendais à ça.	1765273	Ek het dit verwag.
6703543	Si je vais à la fête, j'apporterai quelques bouteilles de vin.	1597518	As ek na die partytjie toe gaan, sal ek 'n paar bottels wyn saamvat.
180876	C'est le dictionnaire que j'utilise tous les jours.	1915479	Hierdie is die woordebook wat ek elke dag gebruik.
2075910	Je t'aime.	1735106	Ek hou van jou.
2712350	Où est-ce que tu les as enfermés ?	1956505	Waar het jy hulle weggesluit?
3250	Je t'aime !	1735106	Ek hou van jou.
749356	J'aime ma patrie.	5671406	Ek is lief vir my tuisland.
