338179	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.	382091	Të gjithë njerëzit lindin të lirë dhe të barabartë në dinjitet dhe në të drejta. Ata kanë arsye dhe ndërgjegje dhe duhet të sillen ndaj njëri tjetrit me frymë vëllazërimi.
374826	Merci !	380437	Faleminderit!
482211	Il a beaucoup d'argent.	879931	Ka shume para.
2761994	Un gâteau est sous la table.	2760527	Një biskotë është nën tryezë.
3122728	Je ne suis pas quelqu'un de mauvais.	3100589	Nuk jam një njeri i keq.
3122729	Je ne suis pas quelqu'un de bien.	3100588	Nuk jam një njeri i mirë.
3122730	Je ne suis pas enseignant.	3100585	Nuk jam mësues.
3122732	Je viendrais à cinq heures.	3102220	Unë do të vij në orën pesë.
3122734	Elle a vingt enfants.	3100702	Ajo ka njëzet fëmijë.
3307637	L'Espéranto, langue officielle de l'Union européenne, maintenant !	3307660	Esperanto, gjuhë zyrtare e Bashkimit Evropian, tani!
551913	Nous apprenons le chinois.	3521458	Ne po mësojmë gjuhën kineze.
4679454	Ce livre n'est pas écrit en anglais.	3520622	Ky libër nuk është i shkruar në anglisht.
4679461	Ce livre est écrit en albanais.	3519531	Ky libër është i shkruar në shqip.
4679467	C'est la raison pour laquelle je t'aime bien.	3519512	Kjo është arsyeja pse unë të pëlqej ty.
4679474	Millie mange une banane.	3518993	Millie po ha një banane.
4679478	Elle a une fleure rouge.	3518986	Ajo ka lule të kuqe.
4679486	Mon frère a un compte Twitter.	3518967	Vëllai im ka një llogari në Twitter.
4679501	La neige a duré quatre jours.	3518797	Bora zgjati katër ditë.
1813332	La société est divisée.	4731175	Shoqëria është e ndarë.
3082631	Bonne Journée internationale des femmes !	4960469	Gëzuar Ditën Ndërkombëtare të Gruas!
6834661	Va-t-il encore pleuvoir aujourd'hui ?	6297064	A do të bie shi sot akoma?
6834662	Non, ça ne me plait pas tant que ça.	5250513	Jo, nuk më pëlqen aq shumë.
910567	La France est une république.	6982084	Franca është republikë.
5659457	Ne me faites pas souffrir.	6986524	Mos më bëj të vuaj.
1834073	La seule chose à craindre, c'est la crainte elle-même.	6988853	E vetmja gjë nga e cila duhet të kemi frikë është vetë frika.
3846393	Pourquoi étais-tu en prison ?	7003917	Pse ishe në burg?
3846393	Pourquoi étais-tu en prison ?	7003919	Përse ishe në burg?
1600701	Ils semblent tous deux méfiants.	7003929	Të dy duken të dyshimtë.
131871	Bien qu'il soit riche, il n'est pas heureux.	7005433	Edhe pse është i pasur, ai nuk është i lumtur.
1545236	Pensez à votre avenir.	7005456	Mendoni për të ardhmen tuaj.
6465452	Parles-tu français tous les jours ?	7005468	Flet frëngjisht çdo ditë?
3346093	Je suis Ricardo.	6824266	Unë jam Ricardo.
13436	Au revoir !	9726970	Mirëupafshim!
