128824	Barrez les mots incorrects.	2581529	شطّب على الكلمات اللّي ماشي صحاح.
136662	Ils devinrent d'autant plus amis après être entrés dans la même université.	2442174	ولاَّو صحاب كتر كي دخلو لجامِعا وحدا
138848	Elle dit qu'elle t'appellera plus tard.	2581614	قالت راهي رايحة تعيّط لك من بعد.
389802	Grand-mère aime beaucoup regarder la télévision.	2453034	جدّاتي تحب تشوف بزّاف اتّيليفيزيون.
389992	Elle a refusé de faire ce qu'ils demandaient.	2581644	ما قبلتش تدير واش طلبو منها.
393608	J'aimerais voir ce film.	2441448	حبّيت نشوف هاد الفيلم.
431399	Son père est mort du cancer, il y a dix ans.	2581584	باباه مات من مرض السرطان عندو عشر سنين.
487926	Ma mère et moi nous étions dans le jardin.	2581547	أنا و يمّا كّنا في الجنان.
526070	J'ai eu froid en sortant.	2447235	كيخرجت حكمني البرد.
551000	Ne maltraite pas les outils.	2445156	حادر على دوازن.
660699	Le singe est tombé de l'arbre.	2446509	الشادي طاح مسّجرا
691647	Évidemment j'ai accepté.	2581677	باين قبلت.
843396	Il y a trop de sucre dans le café.	2581590	هاد القهوة فيها بزّاف سكّر.
919140	J'ai besoin d'un couteau.	2582081	سحثقّيت موس.
1031417	Je n'aime pas plus que ça le café.	2441445	ما عندي حاجة في القهوة.
1055037	Tu es libre de partir si ça ne te convient pas !	2581654	تقدر تروح إدا ما عجبكش الحال.
1055037	Tu es libre de partir si ça ne te convient pas !	2581655	تقدري تروحي إدا ما عجبكش الحال.
1117615	Regarde sur la gauche, en bas: Mariette est à la fenêtre ?	2581930	شوف على اليسرة، لتحتا، ماريات راهي عند التّاقة.
1117615	Regarde sur la gauche, en bas: Mariette est à la fenêtre ?	2581932	شوفي على اليسرة، لتحتا، ماريات راهي عند التّاقة.
1133225	Fermez toutes les portes et fenêtres !	2581929	اغلقو قع البيبان و التواقي.
1133226	Ferme toutes les portes et fenêtres !	2581924	اغلق قع البيبان و التوقي.
1133226	Ferme toutes les portes et fenêtres !	2581925	اغلقي قع البيبان و التوقي.
1141324	Tu dois prendre conscience que je ne peux pas t'aider.	2581680	لازم يكون في علمك بلّي ما نقدرش نعاونك.
1146983	C'est précisément à cette fenêtre qu'il a brisé la vitre.	2581921	هادي هي التاقة اللّي كسّرلها الزجاج.
1151535	Auriez-vous l'amabilité de fermer la fenêtre ?	2581915	ماعليهش تغّلقو التّاقة؟
1151537	Aurais-tu l'amabilité de fermer la fenêtre ?	2581912	ماعليهش تغلق التّاقة؟
1156515	L'avocat a parlé sans s'arrêter.	2581550	هاداك البوقاطو تكلّم بلا ما يحبس.
1159335	L'as-tu mis quelque part ?	2899446	درتو في كاش مضرب؟
1159335	L'as-tu mis quelque part ?	2899447	حطيتو في كاش مضرب؟
1170473	S'il vous plait, mettez les chaises près de la fenêtre.	2581916	من فضلكم، حطّو الكراسى قدّام التّاقة.
1183575	Voulez-vous bien fermer la fenêtre ?	2581915	ماعليهش تغّلقو التّاقة؟
1183578	Veux-tu bien fermer la fenêtre ?	2581912	ماعليهش تغلق التّاقة؟
1183578	Veux-tu bien fermer la fenêtre ?	2581913	ماعليهش تغلقي التّاقة؟
1194275	La fille a brisé la fenêtre.	2581909	هاديك الطّفلة كسّرت التّاقة.
1199418	Il est très difficile de le comprendre.	2445120	صعيب بش تفهمو.
1199418	Il est très difficile de le comprendre.	2445121	واعر بش تفهمو.
1229337	Voudriez-vous fermer la fenêtre, je vous prie ?	2581879	تقدر تغلق التّاقة من فضلك؟
1229337	Voudriez-vous fermer la fenêtre, je vous prie ?	2581907	تقدري تغّلقي التّاقة من فضلك؟
1229338	Peux-tu fermer la fenêtre, je te prie ?	2581879	تقدر تغلق التّاقة من فضلك؟
1229339	Pouvez-vous fermer la fenêtre, je vous prie ?	2581879	تقدر تغلق التّاقة من فضلك؟
1229339	Pouvez-vous fermer la fenêtre, je vous prie ?	2581902	تقدري تغلقي التّاقة من فضلك؟
1232090	Ouvre un peu la fenêtre ! Ça sent le renfermé, ici.	2581900	افتح شويّا التّاقة. راهي الحالة مغمومة هنايا.
1238047	C'était la fenêtre que Jack avait cassée la veille.	2581894	هادي هي التّاقة اللي كسّرها جاك البارح.
1238064	Il a laissé la fenêtre fermée.	2581896	خلاّ التّاقة مغلوقة.
1238222	Il garda la fenêtre fermée.	2581896	خلاّ التّاقة مغلوقة.
