332414	Le soleil se lève.	2735407	Ὁ ἥλιος ἀνατέλλει.
970665	Tout ce que je sais, c'est que je ne sais rien.	2393710	Ἓν οἶδα ὅτι ουδὲν οἶδα.
2425971	Notre Père, qui es aux cieux, Que ton nom soit sanctifié, Que ton règne vienne, Que ta volonté soit faite sur la terre comme au ciel. Donne-nous aujourd'hui notre pain de ce jour. Pardonne-nous nos offenses Comme nous pardonnons aussi à ceux qui nous ont offensés. Et ne nous soumets pas à la tentation, mais délivre-nous du mal.	3314475	Πάτερ ἡμῶν ὁ ἐν τοῖς οὐρανοῖς· ἁγιασθήτω τὸ ὄνομά σου· ἐλθέτω ἡ βασιλεία σου· γενηθήτω τὸ θέλημά σου, ὡς ἐν οὐρανῷ καὶ ἐπὶ τῆς γῆς· τὸν ἄρτον ἡμῶν τὸν ἐπιούσιον δὸς ἡμῖν σήμερον· καὶ ἄφες ἡμῖν τὰ ὀφειλήματα ἡμῶν, ὡς καὶ ἡμεῖς ἀφίεμεν τοῖς ὀφειλέταις ἡμῶν· καὶ μὴ εἰσενέγκῃς ἡμᾶς εἰς πειρασμόν, ἀλλὰ ῥῦσαι ἡμᾶς ἀπὸ τοῦ πονηροῦ.
1019191	Ne faites pas de bruit.	2757779	Μὴ θορυβεῖτε.
3063150	J'ai des amis.	2739975	Ἔχω φίλους.
3063152	J'ai un ami.	2739961	Ἔχω φίλον.
3063153	Cela n'est pas possible!	2735409	Οὐ δυνατόν ἐστιν!
1180344	Connais-toi toi-même.	3103812	γνῶθι σεαυτόν.
3218733	Diviser pour régner.	3218735	Διαίρει καὶ βασίλευε.
2446133	Tom enseigne.	4089843	Ὁ Θωμᾶς παιδεύει.
4449355	Moi, je suis le bon berger et je connais mes brebis et mes brebis me connaissent.	4313953	ἐγὼ δέ εἰμι ὁ ποιμὴν ὁ καλὸς καὶ γινώσκω τὰ πρόβατά μου καὶ γινώσκουσί με τὰ πρόβατά μου.
4640922	Donc tu ne l'as pas vue hier, par hasard?	4239722	Ἆρα οὔκ εἶδες αὐτὴν κατὰ τύχην χθές;
4640936	Toi aussi, enfant.	3218740	Καὶ σὺ τέκνον.
4909475	Le champ est certes petit, mais grande est la tâche.	2732935	Μικρὸς γάρ ἐστιν ὁ αγρός, μακρὸς δὲ ὁ πόνος.
4909501	La nature ne fait pas de bonds.	3103822	ἡ φύσις οὐδὲν ποιεῖ ἅλματα.
4909558	C'est dur, la vie.	2458175	Χαλεπός ἐστιν ὁ βίος.
4909562	Et toi, que fais-tu ?	2735397	Σὺ δὲ τί ποιεῖς;
3250	Je t'aime !	2632788	Ἀγαπῶ σε.
426865	Le sort en est jeté.	3103806	ἀνερρίφθω κύβος.
4909619	Salut, l'ami !	2679162	Χαῖρε, ὦ φίλε!
1342135	Je t'appelle.	2735390	Ἐγὼ καλῶ σε.
4909649	Tout coule et rien ne demeure.	4909640	Πάντα ῥεῖ καὶ οὐδὲν μένει.
2815267	Médecin, guéris-toi toi-même.	3103825	ἰατρέ, θεράπευσον σεαυτόν.
4909670	Hâte-toi avec lenteur.	3103855	Σπεῦδε βραδέως.
3250	Je t'aime !	2652886	Ἀγαπῶ σε!
4983859	Tom écrit bien.	6207681	Ὁ Θωμᾶς καλῶς γράφει.
2982659	J'ai deux chats.	2927674	Δύο αἰλούρους ἔχω.
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	5285785	Εἴς, δύο, τρεῖς, τέσσαρες, πέντε, ἕξ, ἑπτά, ὀκτώ, ἐννέα, δέκα.
1326608	Il est diligent.	7796573	Ἄοκνός ἐστιν.
837708	Où est le garçon ?	7847063	ποῦ ἐστιν ὁ παῖς;
2195656	Où est le garçon ?	7847063	ποῦ ἐστιν ὁ παῖς;
5304410	Mon épée est ma vie.	5304407	Τὸ ἐμοῦ ξίφος είναι τὸ ζωή μου.
