3100	Je ne sais pas.	439384	Չգիտեմ:
3113	Ça ne changera rien.	439385	Դա ոչինչ չի փոխի:
3384	C'est une surprise.	439376	Դա սյուրպրիզ է:
1291938	Est-ce que ça va, si je m'assois ici ?	2883794	Նոռմալ կլինի՞, եթե նստեմ այստեղ:
1339380	C'est un homme sur qui tu peux compter.	2883807	Նա մի մարդ է, ում վրա դու կարող ես ապավինել:
1360852	Elle ne voulait pas qu'il joue au poker.	2894183	Նա չէր ցանկանում, որ նա պոկեր խաղար:
2654901	Avez-vous un dictionnaire ?	2883827	Դուք բառարան ունե՞ք:
119971	Combien de langues sais-tu parler ?	4229628	Քանի՞ լեզու եք խոսում:
4867693	J'habite à Erevan.	2782871	Ես ապրում եմ Երևանում:
4870552	Je suis Arménien.	4867787	Ես հայ եմ։
4870553	Je suis Arménienne.	4867787	Ես հայ եմ։
8415190	La réponse va te surprendre.	4875022	Պատասխանը քեզ կզարմացնի:
