3093	Qu'est-ce que tu fais ?	496463	Zertan ari zara?
3094	Qu'est-ce que c'est ?	496465	Zer da hori?
3096	Joyeux anniversaire Muiriel !	496467	Zorionak Muiriel!
3097	Muiriel a 20 ans maintenant.	496468	Muirielek orain 20 urte ditu.
3099	Je serai bientôt de retour.	496473	Laister itzuliko naiz.
3100	Je ne sais pas.	412593	Nik ez dakit.
3100	Je ne sais pas.	496474	Ez dakit.
3105	J'étais dans les montagnes.	496477	Mendian nenbilen.
3107	Je ne sais pas si j'ai le temps.	496480	Ez dakit denborarik daukadan.
3113	Ça ne changera rien.	412595	Horrek ez du ezer aldatuko.
3118	Ça n'arrivera pas.	496481	Hori ez da gertatuko.
3119	Parfois il peut être un gars bizarre.	496483	Batzuetan mutiko arraro bat izan daiteke.
3123	Ne t'inquiète pas.	412597	Ez zaitu arduratzen.
3123	Ne t'inquiète pas.	496486	Ez zaitez kezkatu.
3124	Tu me manques.	496488	Fatan botatzen zaitut.
3237	Personne ne saura.	412599	Inork ez du jakingo.
3299	Personne ne me comprend.	412601	Inork ez nau ulertzen.
3687	J'avais prévu d'aller à la plage aujourd'hui, mais il a commencé à pleuvoir.	967642	Egun, hondartzarat joateko asmoz ibili naiz bainan joatekotan euria hasi zuen.
3738	Mon apathie pour le vote vient de mon aversion pour la politique.	967625	Politikaz higuin naizenetik bozkatzerako nekea sortu zait.
3740	Sarah était assez perspicace pour se rendre compte que ses amis essayaient de lui faire une farce.	967549	Sarah aski argi zen bere lagunak berekin jostatzekotan zirela ohartzeko.
3752	Si vous ne nous écoutez pas, il nous faudra avoir recours à la coercition.	967594	Ez bagaituzue behatzen, gu aditu arte bermatzeko egin beharretan izanen gaituzue.
3906	Je peux placer la paume des mains sur le sol sans plier les genoux.	967524	Esku mazela lurrera pausa dezaket belaunak plegatu gabe.
4208	Péché avoué est à moitié pardonné.	976824	Hutsa aitortua erdiz barkatua.
6262	Je n'ai jamais rien dessiné dans ma vie.	976833	Bizi osoz, ez dut ezer inoiz marraztu.
