1279	Je ne supporte pas ce type.	762362	Не мога да го понасям тоя.
3093	Qu'est-ce que tu fais ?	437140	Какво правиш?
3094	Qu'est-ce que c'est ?	437141	Що е то?
3100	Je ne sais pas.	437142	Не зная.
3124	Tu me manques.	528232	Липсваш ми.
3250	Je t'aime !	433087	Обичам те.
3313	Arrête de me considérer comme quelqu'un de « normal » !	760588	Недей повече да ме възприемаш като "нормален човек"!
3346	Allen est un poète.	787894	Алън е поет.
3528	Je ne comprends pas.	433839	Не разбирам.
3530	L'addition s'il vous plaît.	433842	Сметката, моля.
3531	Et qu'est-ce que nous allons faire ?	433845	И какво ще правим?
3599	Qui ne dit mot consent.	760743	Мълчанието означава съгласие.
3827	J'ai rêvé de toi.	760746	Сънувах те.
3830	J'étais en retard à l'école.	760747	Закъснях за училище.
4023	Bonne nuit. Fais de beaux rêves.	369386	Лека нощ! Сладки сънища!
4044	Les sept questions que doit se poser un ingénieur sont : qui, quoi, quand, où, pourquoi, comment et combien.	760742	Седемте въпроса, които трябва да си зададе един инженер, са: кой, какво, кога, къде, защо, как и колко.
6507	J'ai attrapé un rhume.	372801	Сега имам настинка.
6524	Je suis arrivé à Nagoya tôt ce matin.	3298086	Пристигнах в Нагоя, днес, рано сутринта.
6875	Je devrai étudier plus intensivement.	3669208	Трябва да уча по-интензивно.
7080	J'ai acheté ça pour 10 dollars.	760592	Купих го за 10 долара.
7698	Mon grand-père est né en 1920.	760758	Дядо ми е роден през 1920.
7923	Je n'ai rien à dire.	791358	Нямам нищо за казване.
8095	Je m'appelle Edgar Degas.	429477	Казвам се Едгар Дега.
8118	Je saigne facilement quand je me coupe.	760632	Когато се порежа, кървта ми потича веднага.
8325	Au départ, tout le monde fut convaincu de son innocence.	369404	Още в началото всички се убедиха в неговата простодушност.
8687	Ne parle pas des gens derrière leurs dos.	833957	Не говори за хората зад гърба им.
9864	Je t'aimerai toujours.	433101	Винаги ще те обичам.
10410	Comment avez-vous passé votre temps libre ?	3669207	Как прекарахте свободното си време?
11043	Je vais chez le médecin, cet après-midi.	760694	Днес следобед ще ходя на лекар.
11542	Christophe Colomb croyait que la terre était ronde.	369473	Колумб е вярвал, че Земята е кръгла.
11864	Je serai de retour dans une minute.	3472009	Ще се върна след една минута.
11864	Je serai de retour dans une minute.	3472010	Връщам се след минута.
12068	Ne me regarde pas de cette façon.	369346	Не ме гледай така!
12411	Je l'ai eu pour 10 dollars.	760592	Купих го за 10 долара.
12559	Il va probablement neiger demain.	760885	Вероятно утре ще вали сняг.
12591	Le fromage et le beurre sont faits à partir du lait.	3694646	Сиренето и маслото са млечни изделия.
12825	S'il te plaît, parle moins vite.	760659	Говори по-бавно, ако обичаш.
13378	Bob ne pouvait pas contrôler ses colères.	3699622	Боб не успя да сдържи гнева си.
13474	Mayuko va à l'école à vélo.	1466744	Майоко ходи до училище с колело.
13648	As-tu déjà nettoyé ta chambre ?	818172	Изчисти ли си стаята вече?
14550	Elle est susceptible.	382179	Тя е сприхава.
14634	Beaucoup de pays ont aboli la peine de mort.	760738	Много страни вече са премахнали смъртната присъда.
14871	Je m'appelle Hisashi.	429557	Казвам се Хисаши.
15091	Mon frère est devenu ingénieur.	830785	Брат ми стана инженер.
15624	Elle est fière de son fils.	1467768	Тя е горда с сина си.
15691	Mon père vit et, donc, travaille à Tokyo.	369428	Баща ми е в Токио и там работи.
