3093	Qu'est-ce que tu fais ?	3289532	Pyth esos ta ow kul?
3100	Je ne sais pas.	3003012	Ny wonn.
3211	Je dois aller au lit.	3018979	Res yw dhymm mos dhe’n gweli.
3250	Je t'aime !	3034043	My a’th kar!
3250	Je t'aime !	3034052	My a’th kar.
3475	Tu viens d'où ?	3326113	A ble’th os ta devedhys?
3476	Comment est-ce que tu t'appelles ?	3303495	Pyth yw dha hanow?
3494	Quel âge as-tu ?	3290419	Pes bloodh os ta?
3525	Je suis fatigué !	3280883	Skwith ov.
3636	J'ai soif.	1979993	Yma sehes dhymm.
3636	J'ai soif.	2981134	Yma seghes dhymm.
3686	Il pleut.	3289805	Yma ow kul glaw.
3686	Il pleut.	3289806	Glaw a wra.
3724	Mon petit frère regarde la télé.	3289991	Yma ow broder byghan ow mires orth an bellwolok.
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	3018772	Onen, dew, tri, peswar, pymp, whegh, seyth, eth, naw, deg.
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	3018773	Onan, dew, tri, peswar, pymp, hwegh, seyth, eth, naw, deg.
3989	Où es-tu ?	3277187	Ple’th esos ta?
4167	D'où viens-tu ?	3326113	A ble’th os ta devedhys?
4329	Comme tu es belle !	3113595	Ass os ta teg!
5952	Quel temps fait-il ?	1979985	Fatel yw an gewer?
6118	Il faut que j'écrive une lettre. Est-ce que tu as du papier ?	3278303	Res yw dhymm skrifa lyther. Eus genes paper?
6145	Où habites-tu ?	3075166	Ple’th os ta trigys?
6353	Je vais écrire une lettre.	2980450	My a vynn skrifa lyther.
6353	Je vais écrire une lettre.	2980451	Y fynnav skrifa lyther.
6444	Je cherche du travail.	3280774	Yth esov vy ow hwilas hwel dhe wul.
6547	J'ai un chien noir et blanc.	3280868	Yma dhymm ki gwynn ha du.
6556	Je suis heureux.	2997807	Lowen ov vy.
6556	Je suis heureux.	2997808	Lowen ov.
6556	Je suis heureux.	2997809	Yth ov vy lowen.
6692	Je suis étudiant.	3018808	Studhyer ov.
6802	Je sais nager.	3298195	My a wor neuvya.
6948	Je suis boulanger.	3278319	Peber ov.
6954	J'ai oublié mon parapluie dans un bus.	3289516	My a gollas ow glawlen yn kyttrin.
6975	J'ai trouvé Tony.	3290492	My a gavas Tony.
7232	J'ai un ordinateur.	3290425	Yma jynn-amontya dhymm.
7232	J'ai un ordinateur.	3290426	My a’m beus jynn-amontya.
7782	Mon chien a une longue queue.	2980737	Yma lost hir dhe’m ki.
7873	Mon père a beaucoup de livres.	3323193	Yma lies lyver dhe’m tas.
7898	Donne-moi un verre de lait.	3339305	Ro dhymm gwedrennas a leth.
7945	J'ai deux frères et une sœur.	3290431	Yma dhymm dew vroder hag unn hwor.
8422	Il fait très froid aujourd'hui.	3289802	Pur yeyn yw hi hedhyw.
8742	Comment vas-tu ?	1979970	Fatla genes?
9442	Je l'ai vu.	3018882	My re welas henna.
9442	Je l'ai vu.	3018883	My a’n gwelas.
