3100	Je ne sais pas.	1100756	Ne znam.
3142	Est-ce que tu es sûr ?	548794	Jesi li ti siguran?
3163	Ça me prendrait l'éternité pour tout expliquer.	960600	Trajat će cijelu vječnost da sve objasnim.
3250	Je t'aime !	567186	Volim te.
3299	Personne ne me comprend.	655428	Nitko me ne razumije.
3337	S'il te plaît, ne pleure pas.	1554934	Molim te, ne plači.
3464	Je m'appelle Jack.	466255	Zovem se Jack.
3467	Comment est-ce qu'on dit ça en italien ?	478232	Kako se kaže to na talijanskom?
3476	Comment est-ce que tu t'appelles ?	468409	Kako se ti zoveš?
3560	Quand vous essayez de prouver quelque chose, ça aide de savoir que c'est vrai.	1048063	Kada nešto pokušavate dokazati, pomaže spoznaja da je to istina.
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	534049	Jedan, dva, tri, četiri, pet, šest, sedam, osam, devet, deset.
4034	Quand tu parles aux autres, tu le fais avec les bras croisés.	2220586	Kada razgovaraš s drugima, činiš to složenima rukama.
6641	Je suis professeur.	478979	Ja sam profesor.
6692	Je suis étudiant.	466221	Ja sam student.
6820	Je ne suis jamais allé en Amérique.	945032	Nikad nisam bio u Americi.
7658	Mon mari part habituellement pour son travail à 8 heures.	1047875	Moj suprug obično ide u 8 na posao.
7694	Mon fils croit toujours au Père Noël.	1048014	Moj sin još uvijek vjeruje u Djeda Božićnjaka.
8528	Je suis au travail maintenant, aussi je vous appellerai plus tard.	1041565	Radim sada, nazvat ću te poslije.
8903	Mon frère est engagé dans la recherche contre le cancer.	1047969	Moj brat je uključen u istraživanje protiv raka.
8949	As-tu ta propre chambre ?	2220584	Imaš li svoju sobu?
9040	Le vert te va bien.	995981	Pristaje ti zeleno.
9040	Le vert te va bien.	995982	Stoji ti zeleno.
9372	Ce qui est facilement gagné est facilement perdu.	658946	Kako došlo, tako prošlo.
9826	Je ne sais pas parler anglais, et encore moins espagnol.	933874	Ne znam engleski, još manje španjolski.
10121	Un angle de 90 degrés est appelé un angle droit.	950839	Kut od 90 stupnjeva se zove pravi kut.
10391	Es-tu étudiant ?	478636	Jesi li ti student?
10770	Bien. Et toi ?	476819	Dobro. A ti?
11527	Apprenez ces noms par cœur.	1047871	Nauči ta imena napamet.
13307	Paula doit aider son père dans la cuisine.	1051512	Paula mora pomoći svome ocu u kuhinji.
14405	L'homme est un animal social.	960315	Čovjek je društvena životinja.
15374	Il était attiré par cette femme.	1048056	Bio je privučen tom ženom.
119773	As-tu entendu les nouvelles à la radio ?	1040930	Jesi li čuo vijesti na radiju?
119811	Salut, Tom.	466209	Bok, Tom.
127728	J'étais convaincu par son explication.	944997	Njegovo objašnjenje me je uvjerilo.
129155	Pouvez-vous parler plus fort je ne peux pas vous entendre.	1041564	Možeš li govoriti glasnije? Ne mogu te čuti?
129755	Des tremblements de terre touchent fréquemment le Japon.	935228	Potresi često pogađaju Japan.
129761	Comment dit-on « merci » en japonais ?	478222	Kako se kaže "Hvala" na japanskom?
130446	Son nom est Tomoyuki Ogura.	468598	Zove se Tomojuki Ogura.
130693	Il est Américain.	481659	On je Amerikanac.
130899	Il joue au golf.	656242	On igra golf.
131527	Il habitait ici autrefois.	950029	Prije je živio ovdje.
132332	Il est mon ami.	490780	On je moj prijatelj.
132382	Il échoua à son examen.	1048080	Pao je ispit.
132794	Il présentera un livre à son professeur.	945157	On želi pokloniti knjigu učitelju.
