1441	Pour une fois dans ma vie je fais un bon geste... Et ça ne sert à rien.	382062	Doe ik ook eens een keer een goede daad... haalt het niks uit.
3091	Essayons quelque chose !	5972	Laten we iets proberen!
3091	Essayons quelque chose !	2244317	Laat ons iets proberen.
3093	Qu'est-ce que tu fais ?	5971	Wat doe je?
3093	Qu'est-ce que tu fais ?	376070	Wat ben je aan het doen?
3094	Qu'est-ce que c'est ?	5970	Wat is dat?
3095	Aujourd'hui nous sommes le 18 juin et c'est l'anniversaire de Muiriel !	5969	Vandaag is het 18 juni en het is de verjaardag van Muiriel!
3096	Joyeux anniversaire Muiriel !	5968	Gelukkige verjaardag Muiriel!
3096	Joyeux anniversaire Muiriel !	377843	Gefeliciteerd met je verjaardag, Muiriel!
3097	Muiriel a 20 ans maintenant.	5962	Muiriel is nu 20 jaar oud.
3098	Le mot de passe est « Muiriel ».	5985	Het wachtwoord is "Muiriel".
3099	Je serai bientôt de retour.	5984	Ik ben zo terug.
3100	Je ne sais pas.	5963	Ik weet het niet.
3101	J'en perds mes mots.	5983	Ik heb er geen woorden voor.
3102	Ça ne va jamais finir.	5982	Hier komt nooit een eind aan.
3103	Je ne sais simplement pas quoi dire...	398172	Ik weet gewoon niet wat ik moet zeggen...
3103	Je ne sais simplement pas quoi dire...	635091	Ik weet gewoon niet wat zeggen.
3103	Je ne sais simplement pas quoi dire...	699816	Ik weet gewoonweg niet wat te zeggen...
3104	C’était un méchant lapin.	5980	Dat was een slecht konijn.
3105	J'étais dans les montagnes.	5979	Ik was in de bergen.
3106	Est-ce que c'est une photo récente ?	5990	Is dit een recente foto?
3107	Je ne sais pas si j'ai le temps.	5989	Ik weet niet of ik tijd heb.
3108	Pour une certaine raison le microphone ne marchait pas tout à l'heure.	5988	Om de een of andere reden werkte de microfoon daarnet niet.
3108	Pour une certaine raison le microphone ne marchait pas tout à l'heure.	379025	Om de één of andere reden werkte de microfoon tot nu toe niet.
3109	Tout le monde doit apprendre par soi-même en fin de compte.	5987	Tenslotte moet iedereen zelf leren.
3110	L'éducation dans ce monde me déçoit.	5986	Het onderwijs in deze wereld valt me tegen.
3111	L'apprentissage ne devrait pas être forcé. L'apprentissage devrait être encouragé.	379555	Men moet niet dwingen te leren. Leren moet men aanmoedigen.
