130345	Son nouveau roman sortira le mois prochain.	621666	Tema uus romaan ilmub järgmisel kuul.
338179	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.	344644	Kõik inimesed sünnivad vabadena ja võrdsetena oma väärikuselt ja õigustelt. Neile on antud mõistus ja südametunnistus ja nende suhtumist üksteisesse peab kandma vendluse vaim.
379268	Elles savent pêcher.	621653	Nad oskavad kala püüda.
858356	Joyeuses Pâques !	2348705	Rõõmsaid Ülestõusmispühi!
1357983	Qui est cette femme-là?	956272	Kes see naine on?
2804787	L'Afrique est le berceau de l'humanité.	2804797	Aafrika on inimkonna häll.
3308725	Le soleil brille pour tous.	3480444	Päike särab kõigile.
2228711	Tu es fort curieux.	4223223	Sa oled väga uudishimulik.
3559789	Qui vit sans la folie n'est pas aussi sage qu'il croit.	4428997	Kes elab ilma rumalusteta, pole päris nii tark nagu ta arvab.
3346093	Je suis Ricardo.	6824272	Ma olen Ricardo.
6572568	Ces voitures sont fabriquées au Japon.	3254435	Need autod on valmistatud Jaapanis.
9545	Mon nom est Hopkins.	2551348	Minu nimi on Hopkins.
7499463	Je m'appelle Hopkins.	2551348	Minu nimi on Hopkins.
2046401	J'aurais dû t'écouter.	4430553	Oleksin pidanud sind kuulama.
1070335	Je veux devenir médecin.	3858753	Ma tahan saada arstiks.
135097	Les abeilles volent de fleur en fleur.	2710747	Mesilased lendavad lillelt lillele.
5251307	Ils ne savaient pas.	3858841	Nad ei teadnud.
5251308	Elles ne savaient pas.	3858841	Nad ei teadnud.
1693121	Tom est un socialiste.	3855911	Tom on sotsialist.
3777608	Où étaient-ils ?	3858777	Kus nad olid?
3777609	Où étaient-elles ?	3858777	Kus nad olid?
1194879	Le chat a deux oreilles.	1253783	Kassil on kaks kõrva.
8317241	C'est un bonhomme de neige.	8687611	See on lumememm.
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	949026	Üks, kaks, kolm, neli, viis, kuus, seitse, kaheksa, üheksa, kümme.
1180235	Les feuilles du bouleau ont déjà jauni.	475998	Kaselehed on juba kollaseks läinud.
821565	Il est vieux.	9072132	Ta on vana.
7411723	Où est mon vélo ?	9003372	Kus mu ratas on?
6048188	Nous allons à l'église.	8972300	Me lähme kirikusse.
6072909	Ils me détestent.	8972288	Nad vihkavad mind.
3094	Qu'est-ce que c'est ?	8972279	Mis see on?
6038739	Nous vivons en France.	9072142	Me elame Prantsusmaal.
439165	Combien de livres as-tu ?	9003368	Mitu raamatut sul on?
3642092	Ma maison est petite.	8972331	Minu maja on väike.
1744579	C'est ton chien. Où est le mien ?	8972311	See on sinu koer. Kus on minu oma?
431265	L'amour est aveugle.	8916805	Armastus on pime.
355825	Où est ton père ?	8916768	Kus on sinu isa?
478060	Tu ne comprends pas.	9289555	Sa ei saa aru.
180696	Je veux étudier à l'étranger.	9189218	Ma tahan välismaal õppida.
6473186	Nous pouvons parler dans le train.	9189107	Me saame rongis rääkida.
1240089	Je suis né en Chine.	9189098	Ma sündisin Hiinas.
4618521	Je suis née en Chine.	9189098	Ma sündisin Hiinas.
1505441	Le soleil se cache derrière les nuages.	9126042	Päike on pilvede taga peidus.
856464	L'anglais est ma langue maternelle.	9112782	Inglise keel on mu emakeel.
2043308	L'Italien est ma langue maternelle.	2700132	Itaalia keel on minu emakeel.
1449298	Le roi est mort, vive le roi !	9113016	Kuningas on surnud, elagu kuningas!
7695162	Je suis irlandais, mais je ne parle pas irlandais.	9114178	Ma olen iirlane, aga ma ei räägi iiri keelt.
9159649	Tom n'écrit pas.	9114096	Tom ei kirjuta.
4889173	Nous ne sommes pas des ennemis.	9114042	Me pole vaenlased.
8157	Les enfants ont besoin d'amour.	4340284	Lapsed vajavad armastust.
