1279	Je ne supporte pas ce type.	1318653	Non aturo ese tipo.
1441	Pour une fois dans ma vie je fais un bon geste... Et ça ne sert à rien.	1318656	Por unha vez na miña vida fago unha boa acción... e non vale pra nada.
3093	Qu'est-ce que tu fais ?	1318662	Que fas?
3093	Qu'est-ce que tu fais ?	1318664	Que estás facendo?
3096	Joyeux anniversaire Muiriel !	1318687	Feliz aniversario, Muiriel!
3097	Muiriel a 20 ans maintenant.	1318686	Muiriel ten agora 20 anos.
3100	Je ne sais pas.	1318681	Non sei.
3102	Ça ne va jamais finir.	1318676	Isto non rematará nunca.
3102	Ça ne va jamais finir.	1318678	Isto nunca vai rematar.
3103	Je ne sais simplement pas quoi dire...	1318668	Simplemente non sei que dicir...
3106	Est-ce que c'est une photo récente ?	1318725	É unha foto recente?
3107	Je ne sais pas si j'ai le temps.	1318724	Non sei se dispoño de tempo.
3110	L'éducation dans ce monde me déçoit.	1318721	A educación neste mundo decepcióname.
3111	L'apprentissage ne devrait pas être forcé. L'apprentissage devrait être encouragé.	1318703	A aprendizaxe non debe ser forzada. A aprendizaxe ha de ser esporeada.
3112	C'est une tâche difficile, choisir ce qui est "bon" ou "mauvais", mais il faut le faire.	1318695	É unha tarefa difícil, escoller que é bo ou malo, mais é preciso facelo.
3113	Ça ne changera rien.	1318691	Iso non ha cambiar nada.
3475	Tu viens d'où ?	857431	De onde es?
3475	Tu viens d'où ?	966285	De onde vés?
3648	J'accepte, mais à une condition.	965827	Eu acepto, mais só baixo unha condición.
7504	Je n'ai aucun stylo.	1339497	Non teño ningún bolígrafo.
8504	Actuellement, je me trouve à l’aéroport de Narita.	1267602	Neste momento, estou no aeroporto de Narita.
8734	N'ouvrez pas votre parapluie dans le hall.	1339474	Non abras o teu paraugas no vestíbulo.
10146	J'ai faim !	1332501	Eu teño fame.
13195	Bill vit près de la mer.	956198	Bill vive preto do mar.
15044	Non, non et non !	1445671	Non, non e non!
15346	Il est parti pour New York il y a une semaine.	1727439	El partiu para Nova York hai unha semana.
15735	J'étudie à l'étranger.	854295	Estudo no estranxeiro.
127851	J'étais trop fatigué pour continuer à travailler.	585326	Eu estaba demasiado canso para continuar traballando.
127878	Je dors dans ma chambre.	639186	Eu durmo na miña habitación.
128202	Elle ne pensait pas que ses rêves pourraient se réaliser.	1416951	Ela non cría que os seus soños puideran realizarse.
128559	J'ai peu d'appétit.	1339504	Teño pouco apetito.
128710	L'homme est le seul animal qui parle.	956368	O home é o único animal que pode falar.
130293	Il est professeur d'anglais.	625316	El é profesor de inglés.
3307504	Il est étudiant.	1340014	El é estudante.
181548	Si tu vas pêcher demain, j'irai aussi.	1628324	Se vas mañá pescar, eu tamén hei ir.
334715	Nous avons été incapables de les joindre jusqu'à ce qu'il soit trop tard.	854327	Non puidemos contactar con eles ata que xa era demasiado tarde.
373157	Tu devrais au moins dire « merci ».	1727595	Deberías de dicir cando menos "grazas".
380864	Nous avons célébré son anniversaire.	585309	Celebramos o seu aniversario.
384205	Je déteste mes voisins.	1471245	Aborrezo os meus veciños.
391291	Tu aimes les éléphants.	965969	Gústanche os elefantes.
453982	Tu aimes l'anglais, n'est-ce pas ?	625400	Gústache o inglés, non?
453982	Tu aimes l'anglais, n'est-ce pas ?	625403	Gústache o inglés, non é certo?.
468643	Que cherches-tu ?	1339516	Que andas a buscar?
468643	Que cherches-tu ?	1339517	Que buscas?
470446	Oh ! Aujourd'hui c'est mon jour.	956426	Ó! Hoxe é o meu día.
486491	Il dit toujours la vérité.	1429647	El sempre di a verdade.
536079	J'ai arrêté de fumer.	862531	Deixei de fumar.
662873	La capitale de l'Ukraine est Kiev.	1339521	A capital da Ucraína é Kiev.
696081	Aujourd'hui c'est le 18 juin, et c'est l'anniversaire de Muiriel.	1318689	Hoxe é 18 de xuño, e é o aniversario de Muiriel.
750630	Pourquoi les abeilles meurent-elles après avoir piqué ?	1108072	Por que morren as abellas despois de picar?
755669	Il n'a pas peur de mourir.	1318761	El non teme a morte.
781324	J'ai deux frères et trois sœurs.	625440	Teño dous irmáns e tres irmás.
788683	Les termites mangent volontiers du bois.	956220	Os térmites voluntariamente comen madeira.
832405	Il se concentra sur l'apprentissage des prépositions.	1578889	Concentrábase na aprendizaxe de preposicións.
833905	Il advint qu'il aperçut un papillon rare.	2794073	Acontece que el vira unha bolboreta rara.
890787	L'univers est sans doute infini.	856065	Sen dúbida o universo é infinito.
921256	Les hommes sont en train de déjeuner.	956338	Os homes están almorzando.
930491	Il a été condamné par contumace.	1339469	El foi condenado en rebeldía.
959837	Elle est dans le couloir de la mort.	960497	Ela está no corredor da morte.
1015176	Aujourd'hui, je suis venu au travail en voiture.	1339511	Hoxe vin ao traballo en coche.
1043623	Ferme la putain de porte !	1339482	Pecha o carallo da porta!
1090312	J'ai des frères.	1862416	Teño irmáns.
1173630	Je déteste la politique.	1846528	Aborrezo a política.
1198731	Le temps est venu que nos chemins se séparent.	1578809	Chegou a hora de nos separarmos.
1286691	Il n'était pas dans notre intention de l'agresser.	1339475	Non tiñamos a idea de agredilo.
1407138	Elle l'adore.	1446304	Ela adórao.
1417644	J’aimerais aller un jour aux États-Unis.	1417035	Gustaríame ir ós Estados Unidos un día.
1417672	Elle habite dans le trou du cul du monde.	855380	Ela vive no cu do mundo.
1417774	Je vous suis très reconnaissant pour votre lettre du 7 janvier.	666240	Agradézolle moito a súa carta do 7 de xaneiro.
