3163	Ça me prendrait l'éternité pour tout expliquer.	473404	Það mun taka heila eilífð að útskýra það allt saman.
3163	Ça me prendrait l'éternité pour tout expliquer.	475192	Ég þyrfti heila eilífð til að útskýra alltsaman.
3219	Merci pour ton explication.	763068	Takk fyrir útskýringuna.
3250	Je t'aime !	382267	Ég elska þig.
3297	Je ne parle pas japonais.	399287	Ég tala ekki japönsku.
3346	Allen est un poète.	385228	Allen er skáld.
3464	Je m'appelle Jack.	395870	Ég heiti Jack.
3543	Joyeux Noël !	473056	Gleðileg jól!
3819	Un petit feu de forêt peut facilement se répandre et rapidement devenir un grand incendie.	384717	Lítill skógareldur getur auðveldlega breiðst út og fljótlega orðið að stóru báli.
3867	Il n'est jamais trop tard pour apprendre.	482336	Það er aldrei of seint að læra.
4290	J'ai mangé du caviar.	428008	Ég borðaði kavíar.
6543	Je n'ai pas envie de sortir maintenant.	852814	Ég er ekki í skapi til að fara út akkúrat núna.
8383	Je n'ai pas envie de sortir cette nuit.	852816	Ég er ekki í skapi til að fara út í kvöld.
8384	Je n'ai pas envie de bière ce soir.	852812	Ég er ekki í skapi til að drekka bjór í kvöld.
8422	Il fait très froid aujourd'hui.	385151	Það er mjög kalt í dag.
8529	Je n'ai pas envie de manger maintenant.	852817	Ég er ekki í skapi til að borða núna.
9371	J'ai couru pour être à l'heure.	391481	Til að vera á réttum tíma hljóp ég.
9371	J'ai couru pour être à l'heure.	391482	Ég hljóp til að vera á réttum tíma.
10405	M'aimes-tu ?	428085	Elskarðu mig?
11790	John Lennon est né en 1940.	745050	John Lennon fæddist árið 1940.
12759	N'ouvre pas la porte.	427752	Ekki opna hurðina.
13232	Madame Brown a écrit un livre sur la politique.	785212	Frú Brown skrifaði bók um stjórnmál.
13461	Madère est le nom d'un vin.	383522	Madeira er nafn á víni.
13855	J'écrirai une lettre à Judy.	664748	Mig langar að skrifa Judy bréf.
14888	Mon père est professeur d'anglais.	386796	Pabbi minn er enskukennari.
15579	Elle a beaucoup d'argent.	669555	Hún á mikið af peningum.
120017	Les étés sont très chauds à Kyoto.	385866	Sumur í Kíótó eru mjög heit.
127489	J'ai mangé un hot-dog au déjeuner.	1979794	Ég borðaði pylsu í hádegismat.
127782	Je sais qu'elle est belle.	389574	Ég veit að hún er falleg.
128225	Réponds à la question.	763491	Svaraðu spurningunni.
128710	L'homme est le seul animal qui parle.	465366	Maðurinn er eina dýrið sem getur talað.
131422	Il est fier d'être musicien.	677872	Hann er stoltur af því að vera tónlistarmaður.
131530	Il est moins gros qu'il n'était.	382343	Hann er ekki eins feitur og hann var.
131770	Il va à l'école en bus.	383490	Hann fer í skólann með rútu.
