3374	T'es un ange !	884227	Tu esas anjelo!
6470	J'ai décidé l'année dernière de venir au Japon.	896086	Me decidis venar a Japonia lasta-yare.
7688	Mes pieds sont plus petits que les tiens.	885706	Mea pedi esas plu mikra kam le tua.
8273	Hier, j'ai acheté un livre.	971816	Hiere me kompris libro.
11902	Pourrais-je avoir une cuillère ?	1431847	Ka me darfus havar kuliero?
13232	Madame Brown a écrit un livre sur la politique.	983107	Siorino Brown skribis libro pri politiko.
119955	Le printemps vient après l'hiver.	1010385	La printempo venas pos la vintro.
129995	Il est le chef de mon département.	898446	Il esas la chefo di mea departmento.
130718	Il est allé deux fois en Angleterre.	938252	Il esis dufoye en Anglia.
132532	Il tenait un stylo dans la main.	899189	Ilu tenis plumo en sua manuo.
134542	Elle aime les jupes courtes.	1216007	El amas kurta jupi.
139923	Que se passerait-il s'il devait échouer ?	903603	Quo eventos se il falios?
333315	Je suis enceinte.	937013	Me esas gravida.
353224	Tu étudies l'anglais.	894441	Tu studias l'Angla.
367230	Chez moi le jardin est petit.	1310511	Che me la gardeno es mikra.
373996	Ne remets pas à demain ce que tu peux faire aujourd’hui.	964896	Ne lasez por morge to quon tu povas facar hodie.
430396	Tu travailles dur.	1101158	Tu laboras multe.
432216	L'erreur est humaine.	973422	Erorar esas homala.
433750	Le chat dort sur la chaise.	884977	La kato dormas sur la stulo.
435778	« Avez-vous un stylo ? » « J'en ai un. »	1111133	"Ka vu havas plumo?" - "Me havas un."
439841	Je suis allé patiner sur le lac.	963343	Me iris sketar sur la lago.
458882	C'est un très fameux haïku de Basho.	895752	Esas un tre konocata haiku da Basho.
461330	J'utilise Twitter.	939785	Me uzas Twitter.
470425	C'est le bâtiment où mon père travaille.	993376	To esas la edifico ube mea patro laboras.
481411	Vous connaîtrez la vérité, un jour.	973549	Uldie tu savos la vereso.
481550	Le château est beau.	1218379	La kastelo esas bela.
481798	Pas de problème !	1431848	Nula problemo!
507987	Il est le meilleur de nous tous.	1032171	Ilu esas la maxim bona ek ni omna.
524456	Elle est l'épouse d'Alain.	892041	El esas la spozino di Alain.
536375	Cette terre est ma propriété.	960200	Ca agro esas mea proprietajo.
547200	Tatoeba : des phrases, des phrases, et encore des phrases.	939918	Tatoeba: frazi, frazi e plusa frazi.
551933	Il y avait un vent frais.	993375	Ventis fresha vento.
590280	Je te montrerai le chemin.	963387	Me montros a tu la voyo.
606843	Demain je viendrai à Téhéran.	1106082	Morge me iros a Teheran.
607965	J'aime ma femme.	1215998	Me amas mea spozino.
611808	Change le drapeau, s'il te plait.	1310849	Voluntez chanjar la flago.
611809	Changez le drapeau, s'il vous plait.	1310849	Voluntez chanjar la flago.
634706	Quand est-ce que tu pars pour la Lune ? Nous avons tous besoin de toi.	1424466	Kande tu departas por la Luno? Ni omna bezonas tu!
664134	Il apprend vite.	1215886	Il lernas rapide.
747136	Je suis certain que nous allons trouver une solution.	938285	Me esas certa, ke ni trovos solvuro.
753311	Rome est la capitale du monde.	1070314	Roma esas la chefurbo dil mondo.
753476	En Australie, on parle l'anglais.	1313137	En Australia, on parolas la Angla.
785666	Vous pouvez écrire dans la langue que vous voulez. Sur Tatoeba, toutes les langues sont égales.	871258	Vu darfas skribar per irga linguo. Che Tatoeba, omna lingui egalesas.
832409	Il s'adonna entièrement à l'étude de la littérature.	997859	Li dedikis su komplete al studiado di la literaturo.
864945	Ce bois ne veut pas brûler.	873283	Ta ligno ne brulas.
872826	C'est une femme égoïste.	943981	El esas egoista muliero.
937065	Es-tu enceinte ?	937015	Ka tu esas gravida?
946940	J'aime les montres.	947048	Me amas horloji.
967179	Ne mens pas.	967245	Ne mentiez.
985635	Berlin est une ville allemande.	985810	Berlin esas germana urbo.
990073	En cas d'incendie, veuillez utiliser les escaliers.	997871	Kaze di incendio, uzez la skalero.
1008656	Excusez-moi, j'ai une question.	1129227	Pardonez a me, me havas questiono.
1077327	Le destin m'a souri.	1436925	La destino ridetis a me.
1082590	Il fait du sport deux fois par semaine.	1436752	Il sportas dufoye po semano.
1090312	J'ai des frères.	985832	Me havas fratuli.
1121013	Je veux lui faire l'amour.	2764571	Me volas facar l'amoro kun lu.
1121013	Je veux lui faire l'amour.	2764575	Me volas facar l'amoro kun il.
1121013	Je veux lui faire l'amour.	2764577	Me volas facar l'amoro kun el.
1151888	J'attendrai pendant une semaine.	1504432	Me vartos un semano.
1153544	C'est ma maison.	955220	To esas mea domo.
1170534	C'est ma maison pour l'hiver.	901397	Ica esas mea domo dum la vintro.
1201327	Elle ne se comporte pas comme une fille normale.	1201616	El ne kondutas quale normala puerino.
1201584	Appelle-moi ce soir.	1201601	Telefonez a me ta vespere.
1309574	Il y a de nombreux animaux sauvages dans cette zone.	1308478	Esas multa sovaja bestii en ita regiono.
1313644	Donne-le-lui.	884969	Donez ol ad il.
1318052	J'ai tué Dieu.	2346489	Me mortigis Deo.
1356924	Nous l’appelons Mike.	1356928	Ni nomas il Mike.
1424467	J'adore la poésie et la musique.	1424456	Me amegas la poezio e la muziko.
1464803	Elle a les yeux verts.	1493482	Elu havas verda okuli.
1493439	Il a les yeux verts.	1493481	Ilu havas verda okuli.
1502821	Es-tu bouddhiste ?	2469058	Ka tu esas budisto?
1502821	Es-tu bouddhiste ?	2469059	Ka tu esas buddhisto?
1650286	Il se rendit à Londres en passant par Paris.	883224	Il iris a London tra Paris.
1675585	J'ai tué un dieu.	2346492	Me mortigis deo.
1797901	Je suis Finlandais.	1014559	Me esas Finlandano.
2328759	Nous avons tendu un piège.	3452932	Ni instalis kaptilo.
2364410	La femme est presque sourde.	983148	La muliero esas preske surda.
2364411	Il a salué la femme.	983114	Il salutis la muliero.
2364471	Deux billets pour San Diego, s'il vous plaît.	939686	Du bilieti a San Diego, me pregas.
2509017	Il avait l'impression d'être un génie.	2177986	Il iluzionis ke il esas genioza.
