3250	Je t'aime !	367205	Saya cinta kamu.
3961	La vie en prison est pire que la vie d'un animal.	1034312	Hidup di penjara lebih buruk dibanding hidupnya seekor binatang.
4053	Le temps est passé très rapidement.	1019479	Waktu berlalu begitu cepat.
4207	Tel père, tel fils.	776022	Seperti ayah, seperti anak.
7504	Je n'ai aucun stylo.	1209980	Saya tidak punya pen.
9318	Un reporter est en train d'interviewer Docteur Patterson à propos de Koko, un gorille parlant.	1034576	Seorang wartawan sedang mewawancarai Dr. Patterson mengenai koko, gorila yang bisa bicara.
9780	Puis-je changer des yens contre des dollars ici ?	1061582	Apa di sini saya bisa tukar yen ke dolar?
10804	L'Australie est plus petite que l'Amérique du Sud.	1509235	Australia lebih kecil daripada Amerika Selatan.
13188	Bill a arrêté de fumer.	774983	Bill sudah berhenti merokok.
119777	Où est Paris ?	2079645	Kota Paris di mana?
130222	Son bureau est très proche du mien.	774980	Kantornya dekat dengan kantor saya.
131023	Il a été le premier homme avec qui j'ai eu un entretien d'embauche.	1034580	Dia pria pertama yang saya wawancarai untuk pekerjaan.
131182	Il s'est arrêté pour avoir une cigarette.	1101408	Dia telah berhenti merokok.
133417	Il sera chez lui demain.	366431	Besok dia di rumah.
133982	Elle désirait se marier immédiatement.	3046333	Dia ingin menikah segera.
138943	Après avoir donné une conférence, il a eu une interview avec quelques étudiants.	1034582	Setelah memberikan kuliah, dia mengadakan wawancara dengan beberapa murid.
139573	Ouaip ! j'arrête la cigarette.	1101409	Yup! Aku akan berhenti merokok.
140128	Le projet est discuté en ce moment.	924017	Rencana itu sedang didiskusikan.
180391	Je ne la verrai plus.	1209969	Saya tidak ingin bertemu lagi dengannya.
180599	La voiture est cassée.	367571	Mobil tersebut rusak.
180893	Le médecin l'a averti des dangers de la cigarette.	1101411	Dokter memperingatkan padanya bahaya merokok.
180964	J'ai eu du mal à la convaincre des dangers de la cigarette.	1101413	Aku sulit menyakinkan dirinya tentang bahaya merokok.
181516	Je préfère le poisson à la viande.	1505005	Saya lebih suka ikan dibandingkan daging.
181706	Je suis déçu qu'il ne soit pas là.	367218	Saya mengecewakan karena dia (laki-laki) tidak hadir
332333	Veuillez attendre votre tour.	366429	Mohon tunggu giliran Anda.
337343	Dieu est mauvais.	337341	Tuhan adalah kejahatan
338343	Je voudrais avoir une tasse de café.	331490	Aku ingin minum kopi.
338900	Il t'attendra.	3327034	Dia akan menunggu kamu.
355140	Mon fils est entré au lycée.	366435	Putraku telah masuk sekolah menengah.
359108	Donne-moi ton argent.	786701	Berikan uangmu.
367209	Ma maison est à la campagne.	331398	Rumahku di kampung.
367212	À côté de chez moi il y a quelques magasins.	331423	Di dekat rumahku ada beberapa toko.
367213	Ma maison est de l'autre côté de ce pont.	331399	Rumahku di seberang jembatan itu.
367215	J'ai regardé par la fenêtre du garage, ce que j'ai vu m'a surpris.	366515	Aku melihat dari jendela garasi, terkejut pada apa yang aku lihat.
367221	Grâce aux avions, on peut aller n'importe où dans le monde en 2, 3 jours.	331561	Berkat pesawat, kita dapat mengelilingi dunia dalam 2, 3 hari.
367223	Il y avait un potager dans le jardin de mon ancienne maison.	331406	Di halaman rumahku dulu ada kebun sayur.
367224	Dans ma maison, il y a vraiment un fantôme.	331435	Di rumahku memang ada hantunya.
367225	À côté de chez moi, il y a un super parc.	331425	Di dekat rumahku ada taman bagus.
367227	Où irons-nous après la mort ?	366343	Kemanakah kita pergi setelah kita mati ?
367228	Ma maison a brûlé.	331380	Rumahku kebakaran.
367229	Maman fait à manger dans la cuisine.	331310	Ibu sedang masak di dapur.
367230	Chez moi le jardin est petit.	331432	Di rumahku cuma ada halaman kecil.
367231	Cette île a été française.	331333	Pulau itu pernah diperintah Prancis.
367232	Prépare-toi tout de suite.	337176	Menyiapkannya sekaligus.
367234	Je n'arrive pas à voir la fin.	366304	Saya tidak dapat melihat akhir.
367235	Sois plus gentil avec ton propre enfant !	366434	Bersikap lebih baiklah terhadap anak sendiri!
367236	Grâce à l'aviation, le trajet Osaka-Tokyo se fait en une heure.	331559	Berkat pesawat, perjalanan dari Osaka ke Tokyo dapat ditempuh dalam 1 jam.
367237	Un peu de café ?	331494	Ingin minum kopi?
367238	Marie a encore échoué. Cela dit, elle est encore jeune.	331317	Mary gagal lagi. Meski begitu, dia masih muda.
368337	Un amour sincère est un amour sans contrainte.	366342	Cinta yang tulus adalah cinta yang tanpa paksaan.
368338	Devant ma maison il y a un lac.	331405	Di depan rumahku ada danau.
368339	Comme d'habitude, Tom est en retard pour l'école.	365980	Seperti biasa, Tom terlambat datang ke kelas.
368341	L'avion n'est déjà plus visible.	331557	Pesawat itu sudah tak tampak.
368347	Cette île se trouve à trois kilomètres des côtes.	331330	Pulau itu terletak dua mil dari pantai.
368356	Ma maison est très proche d'un parc.	331374	Rumahku dekat sekali dengan taman.
368357	La personne qui veut te parler est déjà arrivée en bas.	331456	Orang yang ingin berbicara denganmu sudah datang di bawah.
387945	Ma passion c'est la musique.	331526	Hobiku mendengarkan musik.
387946	Les beaux mariages sont ceux remplis de tendresse et d'amour sincère.	366345	Pernikahan yang indah adalah pernikahan yang didasari oleh kasih sayang dan cinta yang tulus.
387947	En 2020, la population de cette ville aura doublé.	331335	Pada tahun 2020, populasi kota ini akan dua kali lipat.
387948	Si tu veux venir chez moi, appelle d'abord s'il te plaît.	331428	Kalau mau datang ke rumahku tolong telepon dulu.
389618	Avez-vous le nouvel album de Stevie Wonder ?	1033738	Apakah kamu punya album terbaru Stevie Wonder?
389710	As-tu le nouvel album de Stevie Wonder ?	1033738	Apakah kamu punya album terbaru Stevie Wonder?
389851	À cause de cela, il n'est pas allé étudier à l'étranger.	365964	Karena itulah dia tidak pergi belajar ke luar negeri.
389852	Je suis ravi de vous rencontrer.	331470	Senang bertemu denganmu.
428649	Cette machine a un problème.	1019557	Mesin ini bermasalah.
429023	Chaque partie de l'île a été explorée.	331329	Setiap jengkal pulau telah dijelajahi.
437648	Nous partons demain après-midi.	366000	Kami berangkat besok siang.
449806	Pourquoi ne quittes-tu pas ton manteau ?	331504	Kenapa tidak kau lepas jasmu?
449807	Ma maison est à côté du grand arbre.	331372	Rumahku di samping pohon tinggi.
449814	Je ne peux pas approuver ce projet. Il y a encore beaucoup de points qui ne sont pas satisfaisants.	366419	Saya tidak bisa menyetujui proyek ini. Masih banyak hal yang tidak memuaskan.
449830	Si vous prenez l'avion c'est plus cher !	331575	Kalau naik pesawat lebih mahal lho!
449831	À côté de chez moi, il n'y a pas de magasins.	331424	Di dekat rumahku tidak ada toko.
449833	Le Jugement dernier est proche.	337204	Kiamat sudah dekat.
449835	Je suis honoré de faire votre rencontre.	331464	Saya merasa terhormat bisa berjumpa dengan anda.
450541	La température minimale s'est élevée aujourd'hui à 3°C.	1509224	Suhu terendah hari ini adalah 3 °C.
450754	Ma maison est un duplex.	331401	Rumahku berlantai 2.
450756	Lire la musique, écouter la fiction.	337350	Baca musiknya, dengar fiksinya.
450760	Mon passe-temps, c'est le golf.	331527	Hobiku golf.
450762	Je ne connais pas le sens de ce mot.	397138	Saya tidak tahu apa arti kata ini.
457458	Quel est l'horaire d'arrivée prévu du vol ?	1216043	Jam berapa rencana kedatangan pesawat?
458686	Veux-tu y aller ?	774779	Kamu ingin pergi?
533680	Notre pays est riche en produits de la mer.	3045267	Negara kita kaya akan hasil laut.
566599	Toutes vos accusations sont sans fondement, elle est innocente et nous le prouverons !	1019537	Semua tuduhan Anda tidak berdasar, dia tidak bersalah dan kami akan membuktikannya!
657672	À chaque fois qu'un poids lourd passe à côté de ma maison, celle-ci tremble.	331391	Rumahku selalu bergetar saat truk lewat.
660499	Il est comme un père pour moi.	1513418	Dia seperti seorang ayah bagiku.
755812	Les choses ne se sont pas déroulées comme prévu.	1504998	Hal-hal ini tidak berjalan sesuai yang direncanakan.
795868	Il y a aujourd'hui quelques nuages de plus qu'hier.	1019477	Hari ini lebih berawan dari kemarin.
892019	Je veux mourir avec Getter Jaani.	1036799	Aku ingin mati bersama Getter Jaani.
892444	Napoléon Bonaparte est né en Corse.	1019525	Napoleon Bonaparte lahir di Korsika.
969323	Toute la nourriture avait disparu.	1509267	Semua makanan sudah tidak ada.
970393	Le monde est-il devenu fou ?	1584498	Apa dunia sudah menggila?
989978	J'ai arrêté la cigarette.	1019518	Saya berhenti merokok.
1116696	Personne ne sait où Bill est allé.	808751	Tidak ada yang tahu ke mana Bill pergi.
1139278	Je ne l'ai jamais entendu parler anglais.	1338259	Saya tidak pernah mendengarnya berbahasa Inggeris.
1194464	J'habite ici depuis longtemps.	940432	Saya tinggal di sini sejak lama.
1236991	Cette pièce est trop petite pour nous.	1257154	Ruangan ini terlalu sempit untuk kita.
1291940	Ce siège est-il libre ?	1372407	Apakah kursi itu kosong?
900601	C'est tout ce que j'ai.	1372427	Ini semua yang saya punya.
1401140	As-tu déjà diné ?	1372425	Kamu sudah makan malam?
1401141	Chaque fois qu'ils se rencontrent, ils se disputent.	1372423	Setiap kali bertemu, mereka bertengkar.
442125	Ce drapeau est très beau.	1372420	Bendera ini sangat indah.
1401143	Cette guerre n'éclate pas par hasard.	1372419	Perang itu pecah bukan karena kebetulan.
1401144	Papa s'assure que toutes les lampes sont déjà éteintes avant d'aller dormir.	1372418	Ayah memastikan semua lampu telah padam sebelum pergi tidur.
1401145	Il a tout perdu.	1372415	Dia kehilangan semuanya.
1401149	Ce bébé ne peut pas encore marcher.	1325021	Bayi itu belum bisa berjalan.
1401150	Pourquoi a-t-il si peur?	1325009	Kenapa dia begitu khawatir ya?
1401152	Mon livre ne doit pas être touché par des mains sales.	1324929	Bukuku tidak boleh dipegang tangan yang kotor.
1401153	Seule ma mère me comprend.	1324917	Hanya ibuku yang mengerti aku.
1401155	Il n'a pas pu dire cela.	1019438	Ia tidak mungkin mengatakan hal itu.
1401156	Prenons le métro.	940030	Mari naik kereta bawah tanah.
1401158	La rue qui mène à l'hôtel est étroite.	1062447	Jalan yang menuju arah hotel itu sempit.
1402604	Traversons ici.	1372426	Mari menyeberang di sini.
1402605	Combien d'entre eux survécurent, on ne le sait.	1372424	Seberapa banyak yang bertahan hidup, tidak diketahui.
1402606	Marie est une fille avec qui il est agréable de parler.	331312	Mary adalah gadis yang enak diajak bicara.
1402607	Marie décida de ne plus le revoir.	331313	Mary memutuskan untuk tidak akan menemuinya lagi.
1402611	L'île a été frappée par le typhon.	331326	Pulau itu dihantam topan.
1402613	L'île est facilement accessible en bateau.	331327	Pulau itu mudah dijangkau dengan perahu.
1402622	J'aime tous les films réalisés par Juzo Itami.	371734	Saya suka semua film yang disutradarai Juzo Itami.
1402629	Son père mange là-bas deux fois par semaine.	397142	Ayahnya makan di sana dua kali seminggu.
1402655	Ce chien est dressé pour aboyer après les étrangers.	863481	Anjing itu dibuat agar menggonggong kepada orang asing.
1402850	J'ai entendu qu'étudier le matin était plus efficace. Étudier une heure le matin est aussi bien que d'étudier trois heures le soir.	625962	Saya dengar bahwa belajar di pagi hari lebih efektif. Belajar satu jam di pagi hari sama baiknya dengan belajar tiga jam di malam hari.
1402852	La ligne du Tokaido s'arrête à Tokyo.	625963	Jalur Tokaido berhenti di Tokyo
1402856	Nous souhaitons que vous veniez à notre fête.	638759	Kami ingin Anda datang ke pesta kami.
1402868	Il a un vif désir de travailler comme traducteur.	638766	Dia memiliki keinginan yang kuat untuk bekerja sebagai seorang penerjemah.
1402870	Il a un vif désir de travailler comme interprète.	638766	Dia memiliki keinginan yang kuat untuk bekerja sebagai seorang penerjemah.
1402880	L'intervieweur présente le sujet de l'interview.	1034558	Pewawancara memperkenalkan topik dari wawancara.
1402881	Comment s'est passée votre interview?	1034561	Bagaimana dengan wawancara anda?
1402887	Cet après-midi nous allons donner une interview.	1034569	Sore ini kami akan memberikan wawancara.
1402892	Ton discours était loin d'être satisfaisant.	997270	Pidatomu jauh dari memuaskan.
1402895	Tes parents approuvent-ils que tu deviennes hôtesse de l'air?	997274	Apakah orang tuamu setuju kamu menjadi pramugari?
1402948	Il est mort brulé dans cet incendie.	1019568	Ia mati terbakar pada kebakaran itu.
1402950	Vous êtes trop jeune pour vous marier.	1019624	Anda terlalu muda untuk menikah.
1402954	Ma maison fait face à la mer.	1019637	Rumahku menghadap ke laut.
1402962	Avez-vous fini vos devoirs d'anglais?	1019674	Apakah anda sudah menyelesaikan pekerjaan rumah bahasa Inggris?
1402969	Je ne sais pas quand il va revenir.	1019911	Saya tidak tahu kapan dia akan kembali.
1402980	Ce magasin est ouvert toute l'année.	940424	Toko ini buka sepanjang tahun.
1402985	Tu peux deviner ce qui s'est passé.	940427	Kamu bisa menebak apa yang terjadi.
1402986	Il est toujours ici entre 5 et 6.	940428	Dia selalu di sini antara pukul 5 dan 6.
1403000	Cette rivière est sortie de son lit rapidement à cause des fortes pluies.	940430	Sungai itu meluap dengan cepat karena hujan deras.
1403003	J'ai besoin d'un médicament pour atténuer la douleur.	940431	Saya perlu obat untuk mengurangi rasa sakit.
1403008	Je ne peux entendre une histoire comme celle-ci sans pleurer.	940434	Saya tidak bisa mendengar cerita semacam itu tanpa menangis.
1403025	Marie est la plus paresseuse de ses camarades de classe.	954905	Mary adalah yang paling malas diantara teman-teman sekolahnya.
1403051	Je ne peux vivre sans toi.	986164	Aku tak dapat hidup tanpamu.
1403055	Ne lis pas dans cette chambre.	1257103	Jangan membaca di kamar ini.
1403064	Cet homme ne parle pas seulement anglais mais aussi allemand.	365959	Pria itu bukan hanya bisa berbahasa Inggris tapi juga Bahasa Jerman.
1404378	Seule une femme peut être candidate.	928974	Hanya wanita yang diperbolehkan sebagai pelamar.
1404379	Je ne veux pas rater l'avion.	331567	Saya tak ingin tertinggal pesawat.
1404381	La collecte des déchets s'effectue trois fois par semaine.	929097	Pengambilan sampah dilakukan tiga kali sepekan.
1404382	Plusieurs élèves sont venus à la bibliothèque.	894569	Beberapa murid datang ke perpustakaan.
1404383	Cet événement l'a rendu célèbre.	1104773	Kejadian itu membuat dia terkenal.
1404385	J'ai été pris dans un embouteillage.	1032862	Aku terjebak dalam kemacetan lalu lintas.
1404386	Il n'est pas conscient de son erreur.	782349	Dia tidak menyadari kesalahannya.
1404387	Ce vieux livre vaut cinquante mille yens.	366394	Buku tua ini bernilai 50.000 yen.
1404388	Il y a plus de voitures sur la route en été qu'en hiver.	1033010	Ada lebih banyak mobil di jalan saat musim panas dari pada di musim dingin.
1404389	Nous nous opposons à son projet de construire une nouvelle route.	1058944	Kami bertentangan denga rencananya membangun jalan baru.
1404390	Devant ma maison il y a un bureau de poste.	331407	Di depan rumahku ada kantor pos.
1404391	Cet accident provoqua un embouteillage.	1032858	Kecelakaan itu mengakibatkan kemacetan.
1404396	De combien est le loyer de cette pièce?	1257124	Berapa biaya sewa untuk ruangan ini?
1404397	Un chauffeur dormait dans la voiture.	1063790	Seorang sopir tidur didalam mobil.
1404398	Je t'appellerai demain matin.	751392	Saya akan menelponmu besok pagi.
1404894	D'accord. Combien ?	808749	Baiklah. Berapa banyak?
1406703	Près de ma maison il y a un parc.	331421	Di dekat rumahku ada taman.
1406707	Il a été trouvé étendu inconscient sur le sol de la cuisine.	751415	Dia ditemukan terbaring tidak sadar di lantai dapur.
1558617	Ne me traite pas avec condescendance.	1558626	Jangan merendahkanku.
1528578	Écoutez-moi !	2703329	Dengarkan aku!
2990767	Tom et Marie ont passé leur lune de miel à l’étranger.	3046580	Tom dan Marie menghabiskan bulan madu mereka di luar negeri.
2991281	Pourquoi as-tu besoin de ce cure-dents ?	3046571	Mengapa kamu membutuhkan tusuk gigi ini ?
2991482	Nous avons raté le dernier train.	3046566	Kita ketinggalan kereta terakhir.
2999408	Je suis venu trois fois cette semaine.	3046551	Saya datang tiga kali minggu ini.
2999452	Son mari est riche.	3046550	Suaminya kaya.
2999483	Il n'est plus motivé.	3046549	Dia tidak bersemangat lagi.
3000273	Quand je suis arrivé ici, je ne connaissais personne.	3046548	Ketika saya datang ke sini, saya tidak kenal siapa pun.
3000442	Ils se disputent assez souvent.	3046543	Mereka bertengkar cukup sering.
3007448	Malheureusement, il refusa de venir.	3046535	Sayangnya, dia menolak datang.
3007565	Vous devez l'aider.	3046534	Anda harus membantunya.
3008423	Elle sait ou j'habite.	3046532	Dia tahu di mana saya tinggal.
3009316	Les deux affaires ne sont pas liées.	3046531	Dua perkara tidak terkait.
529827	Elle vit à la campagne.	3046530	Dia hidup di pedesaan.
9333	Es-tu fou ?	3046529	Apakah kamu gila ?
1291350	Êtes-vous fou ?	3046528	Apakah Anda gila ?
3011485	Vous êtes locataire ou propriétaire ?	3046527	Anda penyewa atau pemilik ?
3011647	Ils ont menotté Tom.	3046526	Mereka memborgol Tom.
3015336	Ils ne sont pas encore revenus à la maison.	3046525	Mereka belum pulang ke rumah.
3017684	Je n'ai plus de lave-linge.	3046522	Saya tidak punya mesin cuci lagi.
3019092	Aujourd'hui j'ai reçu ma fiche de paie.	3046471	Hari ini saya menerima slip gaji saya.
3025594	Voulez-vous manger ici ?	3046428	Apakah Anda mau makan di sini ?
3025677	Le pneu arrière de mon vélo est à plat.	3046426	Ban belakang sepeda saya kempes.
3028585	Vous en avez besoin.	3046395	Anda membutuhkannya.
3028588	Ils en ont besoin.	3046394	Mereka membutuhkannya
3035559	Il est mort hier.	3046372	Dia meninggal kemaren.
3037662	Je t'attendrai ici.	3046360	Saya akan menunggu kamu di sini.
3039307	Demain, je pourrai me reposer.	3046359	Besok, saya akan bisa istirahat.
3039337	Marc vendra la voiture.	3046358	Marc akan menjual mobil.
3039588	Je lirai le journal après avoir mangé.	3046357	Saya akan membaca koran setelah makan.
3039614	J'accepte votre offre.	3046356	Saya menerima tawaran Anda.
3042463	Nous avons pris un bac pour traverser la rivière.	3046352	Kita naik pelayangan untuk menyebrang sungai.
3043387	Je ne pourrai pas venir demain.	3046348	Saya tidak akan bisa datang besok.
3043985	La mort est inévitable.	3046344	Kematian tidak bisa dihindari.
3044422	Il me regarda et sourit.	2932396	Dia melihatku dan tersenyum.
531303	Elle me regarda et sourit.	2932396	Dia melihatku dan tersenyum.
3045070	J'ai lu environ une centaine de livres jusqu'à maintenant.	3046339	Saya sudah membaca seratusan buku sampai sekarang.
3045966	Hier j'ai reçu sa lettre.	3046337	Kemaren saya menerima suratnya.
3045967	Hier je reçus votre lettre.	3046335	Kemaren saya menerima surat Anda.
3046071	J'aime sa robe. Puis-je l'essayer ?	1503839	Saya suka gaunnya. Bolehkah saya coba?
3047136	Devant ma maison il y a un grand arbre.	331410	Di depan rumahku ada pohon besar.
