3370	Oh, mon pantalon blanc ! Il était neuf.	2558893	O, mi blanc pantalon! It esset nov.
7847	Ma jupe est trop longue.	952839	Mi jup es tro long.
14218	Attention !	3298112	Atention!
119955	Le printemps vient après l'hiver.	1010386	Li verne veni pos li hiverne.
132206	Il nous connaît très bien.	1010363	Il conosse nos tre bon.
134542	Elle aime les jupes courtes.	952829	Ella ama curt jupes.
181231	Demain, il jouera au football.	988497	Deman il va luder football.
336721	C'est l'idée.	3615585	To es li idé.
352369	Est-ce que tes menstruations sont normales ?	984757	Esque tui menstruation es normal?
373764	L’Irlande est réputée pour sa dentelle.	2562431	Irland es famosi por su dentelle.
451527	Tes règles sont-elles normales ?	984757	Esque tui menstruation es normal?
508006	Tout l'argent est perdu.	1005188	Li tot moné es perdit.
704365	Tu es ma princesse.	952848	Tu es mi princessa.
751752	Je parle interlingua.	984517	Yo parla Interlingua.
753311	Rome est la capitale du monde.	1070312	Roma es li cité capital del munde.
795950	Je ne suis pas une sorcière.	1067990	Yo ne es un sorciera.
823769	Elle porte une jolie robe.	2493156	Ella porta un bell robe.
939781	La femme est nue.	952835	Li fémina es nud.
940890	Je lave toujours mes soutiens-gorge à la main.	2562380	Yo lava mi sinushalteres sempre per li manu.
986424	Elle lave sa jupe.	985934	Ella lava su jup.
995577	Le pays cessa d'exister.	995579	Li land cessat exister.
999094	Elle parle russe.	3286531	Ella parla russ.
1141508	Je veux apprendre à danser.	2766323	Yo vole aprender dansar.
1148880	C'est très désagréable.	2472672	To es tre desagreabil.
1151888	J'attendrai pendant une semaine.	1504430	Yo va atender un semane.
1194199	Ma femme porte une robe bleue.	2493172	Mi marita porta un blu robe,
1217944	Ton idée est très intéressante.	2410282	Tui idé es tre interessant.
1262400	Il pense que c'est normal.	2384309	Il pensa que to es normal.
1263859	Je vais traiter ce problème.	2384306	Yo va tractar ti problema.
1317369	C'est vraiment un problème.	2466446	To es vermen un problema.
1654784	Il est fou.	3140116	Il es alienat.
1818813	Tu commences à apprendre.	2417900	Tu comensa aprender.
1892968	Je ne les comprends pas.	2366181	Yo ne comprende les.
1998103	Nous voulons un avocat.	2398908	Noi vole un avocate.
1998110	Il veut un avocat.	2398907	Il vole un avocate.
1998115	Vous voulez un avocat.	2398912	Vu vole un avocate,
2129151	Il aimait ce jeu.	2554120	Il amat ti lude.
2129155	Elle aimait ce jeu.	2554099	Ella amat ti lude.
2129278	Il aime ce jeu.	2554100	Il ama ti lude.
2199990	Je dansais.	2795690	Yo dansat.
2200013	J'écrivais.	2795665	Yo scrit.
2200075	Je jouais.	2795666	Yo ludet.
2286376	Elles ont regardé la télévision hier.	3613768	Ellas ha regardat li television yer.
2313130	Tu parles vite.	3105246	Tu parla rapidmen.
2365069	J’adore le cinéma.	2365091	Yo adora li cinemá.
2475876	Marie est très sympathique.	2475912	Marie es tre simpatic.
2475881	C'est difficile de comprendre le dialecte d'Osaka.	2475965	It es desfacil comprender li dialecte de Osaka.
2491682	Tom est orphelin.	2377074	Tom es un orfan.
2753034	Il acheta une nouvelle robe à sa fille.	952846	Il comprat un nov robe por su filia.
2753040	C'est une prostituée.	2555473	Ella es un prostituta.
2753043	Est-ce que tu me comprends ?	985932	Esque tu comprende me?
669693	J'espère que tu vas bien.	2488166	Yo espera, que tu standa bon.
2753051	Je n'ai pas de maillot de bain.	2472659	Yo ne have un costume de balne.
1435145	Reste avec nous.	2741053	Resta con noi.
2753064	Tom est mon cousin.	2668487	Tom es mi cusino.
2753065	C'est une option à considérer.	2668484	To es un option por considerar.
2753066	Je veux plus d'argent.	2668481	Yo vole plu moné.
383955	Personne ne parle avec moi.	2592493	Nequí parla con me.
1043828	Je veux me marier avec elle.	2562414	Yo vole maritar la.
11756	Je dois repasser ma chemise.	2562412	Yo deve ferroglattar mi camise.
2753073	Sa chaussette a un trou.	2562408	Su strumpe have un fore.
2753077	Elle portait une culotte et un soutien-gorge rose.	2562381	Ella portat un calsonette e un rosi sinushalter.
2753086	Tom et Maria ne parlaient pas français.	2562379	Tom e Maria ne parlat francesi.
8438	Il fait froid aujourd'hui.	2562375	It es frigid hodie!
2562276	Je suis en danger.	2562373	Yo es in dangere.
2753089	La capitale de Serbie est Belgrade.	2562367	Li cité capital de Serbia es Beograd.
2753090	Tom n'écoute jamais.	2561440	Tom nequande escuta.
2753091	Tom avait besoin d'attention.	2561436	Tom besonat atention.
1706539	Elle est innocente.	2561431	Ella es ínnocent.
2753093	J'aime cette ville.	2561407	Yo ama ti cité.
2163936	Le livre est sur la table.	2558940	Li libre es sur li table.
2753096	Je suis complètement nu.	2558930	Yo es completmen nud.
139385	Il a bon cœur.	2558921	Il have un bon cordie.
2753102	Oui, aujourd'hui c'est vendredi.	2558911	Yes, hodie es venerdí.
2753103	Je ne le nie pas.	2558906	Yo ne nega it.
2753107	C'était trop doux !	2558904	To esset tro dulci!
2069627	Je ne sens rien.	2558896	Yo senti nequó.
2753111	Je ne deviens pas jaloux.	2558895	Yo ne deveni jalusi.
2753112	Je ne sais pas quand.	2558890	Yo ne save quande.
2753114	Je n'aime pas les surprises.	2558888	Yo ne ama surprises.
2753115	Je ne sais pas tout.	2558885	Yo ne save omnicos.
2753116	Tu me dois un baiser !	2558851	Tu debi mi un besa!
2753117	Elle voulut embrasser l'arbre.	2558847	Ella volet inbrassar li árbor.
2753118	Il y avait des fleurs partout.	2558823	Partú esset flores.
2753119	Il aida ma mère et mes sœurs.	2558818	Il auxiliat mi matre e mi sestras.
2753120	C'est remarquable.	2556821	To es remarcabil.
2753121	Mon nom n'est pas Tom.	2556818	Mi nómine ne es Tom.
2753122	Je ne m'appelle pas Tom.	2556818	Mi nómine ne es Tom.
2753124	Je ne mens pas.	2556813	Yo ne menti.
2753125	Aujourd'hui j'ai vu une étoile.	2556808	Hodie yo ha videt un stelle.
2753127	Je commençais à pleurer.	2555517	Yo comensat plorar.
1891846	La prostitution est légale en Allemagne.	2555429	Li prostitution es legal in Germania.
2753131	Est-ce qu'il a plu à Londres ?	2555408	Esque it esset pluviosi in London?
2753132	Je suis un client.	2554285	Yo es un client.
2753134	Je ne rirai pas.	2554155	Yo ne va rider.
2753137	Nous ne pouvons pas protéger Tom.	2554141	Noi ne posse protecter Tom.
2753138	J'écouterai.	2554134	Yo va escutar.
2753142	Tom ne parle pas à Mary.	2554116	Tom ne parla con Mary.
2753143	Je dois le voir.	2554111	Yo deve vider it.
132951	Il a écrit beaucoup de livres sur la Chine.	2554106	Il ha scrit mult libres pri China.
2753147	Mais je ne peux pas le croire !	2554093	Ma yo ne posse creder it!
2048104	A-t-elle oublié son argent ?	2554087	Esque ella obliviat su moné?
2753150	Je vis un chien.	2524284	Yo videt un cane.
2753151	Tes filles sont belles.	2524279	Tui filias es bell.
2758386	Ma vieille robe est bleue.	2493175	Mi old robe es blu.
2205953	Où est la femme ?	2384326	U es li fémina?
2368002	Où commençons-nous ?	2367875	U noi comensa?
2758434	Est-ce que tu sais si elle parle anglais ?	2369185	Esque tu save ca ella parla anglesi?
2758435	Ne touche pas !	2369190	Ne tucha!
2758436	Mary n'était pas jalouse.	2369192	Mary ne esset jalusi.
2758437	Travailles-tu ?	2369196	Esque tu labora?
2758438	Est-ce que tu travailles ?	2369196	Esque tu labora?
2758439	L'Estonie a son propre hymne.	2369215	Estonia have su propri himne.
2758440	Tallinn est la capitale de l'Estonie.	2369222	Talllinn es li cité capital de Estonia.
2814403	Qui achète ?	2463178	Qui compra?
2814405	Je suis sage.	2463185	Yo es sagi.
2814406	Tom est jeune.	2463188	Tom es yun.
2814407	Tom mange.	2463191	Tom manjat.
2323595	Marie a dormi dans le train.	2463192	Marie ha dormit in li tren.
2814409	Nous sommes jeunes.	2463195	Noi es yun.
2814411	Tom accéléra.	2463196	Tom accelerat.
547374	Alice sourit.	2463200	Alice subridet.
2814418	Alice est ma mère.	2463204	Alice es mi matre.
2814424	Jean voyage moins qu'Alice.	2463208	Jean viagea min quam Alice.
2508842	Je viens de France.	2466424	Yo es de Francia.
2814428	Tom et Mary se détestent l'un l'autre.	2466432	Tom e Mary odiat unaltru.
2814432	L'espéranto, l'ido, l'interlingua, le klingon, le lojban, le na'vi et le volapük sont des langues construites.	2472488	Esperanto, Ido, Interlingua, Klingon, Lojban, Na'vi e Volapük es constructet lingues.
