3525	Je suis fatigué !	625541	Tá tuirse orm.
538591	C’est trop petit.	626949	Tá sé ró-bheag.
1751020	Tomás est mon frère.	873167	Mo dheartháir is é Tomás.
2256526	Je mange souvent des pommes.	1467586	Ithim úlla go minic.
2256698	Je vais au cinéma une fois par semaine.	752743	Téim go dtí an phictiúrlann uair amháin sa seachtain.
3307637	L'Espéranto, langue officielle de l'Union européenne, maintenant !	3356884	An Esperanto, teanga oifigiúil an Aontais Eorpach, anois!
3100	Je ne sais pas.	3559831	Níl fhios agam.
3662052	L'anglais est la langue mondiale.	3391345	Is teanga an domhain é an Béarla.
3662054	Est-ce que c'est ton livre ?	3391348	An é seo do leabhar?
3934122	Là on vend des fleurs.	874844	Díoltar bláthanna ansin.
3666212	Ferme cette porte !	4001495	Dún an doras seo!
1046770	Tom regarde toujours la télévision.	4638731	Bíonn Tomás ag amharc ar an teilifís i gcónaí
972074	Où est le métro le plus proche ?	4646727	Cén áit a bhfuil an stáisiún meitreo is gaire dúinn?
4987794	Elle ne répond pas au téléphone non plus.	4987790	Níl sí ag freagairt an fón ach oiread.
338494	Il y a un joli parc dans le centre de la ville.	5015987	Tá páirc álainn i lár an bhaile.
336986	Qu'en penses-tu ?	5154996	Cad a gceapann tú as?
3797629	Il commet des erreurs, comme tous les autres.	5155024	Déanann sé botúin mar a dhéanann gach duine eile.
791216	Je n'ai jamais été aussi humiliée de ma vie.	5167955	Ní raibh mé comh náirithe i mo shaol riamh.
1146990	Tom n'accepterait pas.	5167973	Ní ghlachfadh Tom é sin.
2019774	Cela fait dix minutes qu'il se cure le nez, apparemment sans succès.	6319212	Tá sé ag piocadh a shróine le deich nóiméad, agus is cosúil nár éirigh sé leis.
2019775	Je veux que tu me promettes quelque chose.	6319213	Ba mhaith liom thú rud éigin a ghealladh dom.
2019783	Le jour suivant, nous eûmes tous de terribles gueules de bois.	6319232	Bhí tinnis phóite uafásacha againn ar fad an lá ina dhiaidh.
11362	Savez-vous à quelle divinité ce temple est dédié ?	6319540	An bhfuil a fhios agat cén dia a bhfuil an teampall seo tiomnaithe dó?
11364	Je voudrais échanger cette montre contre une autre moins chère.	6319543	Ba mhaith liom an t-uaireadóir seo a mhalartú ar cheann nach bhfuil chomh daor leis.
11365	Huile cette bicyclette.	6319544	Cuir ola ar an rothar seo.
11366	Puis-je utiliser ce vélo ?	6319545	An féidir liom an rothar seo a úsáid?
11367	Je ne peux pas le faire sans ce dictionnaire.	6319547	Ní féidir liom é a dhéanamh gan an foclóir seo.
11369	Tous les mots de ce dictionnaire sont importants.	6319549	Tá tábhacht le gach uile focal san fhoclóir seo.
11370	Peux-tu répondre à cette question ?	6319550	An féidir leat an cheist seo a fhreagairt?
