14185	Bonne année !	437411	Жаңа жылыңызбен!
373296	Bienvenue !	437434	Қош келдіңіздер!
426162	Pour un débutant, tu joues déjà plutôt bien au tennis.	1550011	Жаңа ойнайшыларына қарай, сен жақсы теннисшысың.
437444	Peuple d'Almaty, créons une ville qui soit accueillante pour les enfants !	437352	Алматылықтар, балалар үшін мейірімді қала жасайық!
437474	Tu veux travailler à METRO ? !	437426	Сен МЕТРО-да жұмыс істегің келе ме?!
509819	Salut !	509821	Сәлем.
590803	Elle parle bien espagnol.	2839179	Ол испанша жақсы сөйледі.
752227	Tiens.	509821	Сәлем.
1342138	J'ai une guitare électrique.	1519727	Менде электрогитара бар.
2659631	Il était au septième ciel.	1534058	Оның төбесі көкке жетті.
3307637	L'Espéranto, langue officielle de l'Union européenne, maintenant !	3307644	Эсперанто – Еуропалық Одақтың ресми тілі, қазірден бастап!
3594330	Merci beaucoup.	3594303	Рахмет!
459496	Il aime beaucoup son école.	9868534	Ол өз мектебін өте жақсы көреді.
