3563	Si vous ne comprenez pas quelque chose, c'est parce que vous n'êtes pas conscient de son contexte.	2323418	Ede va koncoba me gildal, lecen va orka me gestil.
3672	Je suis à l'hôpital. J'ai été frappé par la foudre.	2279662	Koe ropexe tigí. Al zo glebá.
4291	Il a beaucoup changé depuis la dernière fois.	2747248	In malion daretomon al betaweper.
6285	J'aperçus la fille dans la foule.	2798032	Va yikya vanmiae tari kozwiyí.
6290	Je connais la vérité.	2106415	Va ageltuca grupé.
6505	Je n'ai rien de particulier à dire maintenant.	2279875	Va meka pilkovaca re rokalí.
6789	Je lis l'anglais mais je ne le parle pas.	2372316	Va Englava grusuté volse grupulví.
6852	Je suis un coureur.	2747235	Tí pabusik.
8128	On construit un nouveau musée dans le centre-ville.	2460526	Warzafo tcilaxo koe widavistexo zo vegedur.
8245	Un jeune homme a cambriolé ma maison la nuit dernière.	2209706	Yikye va jinafa mona daremielon al rakler.
10337	Vous intéressez-vous à la musique classique ?	2279640	Kas va pulukalexa dulapel ?
11223	Il fait très chaud ici.	2279896	Batlize idulapar.
11271	Cette cravate va bien avec le costume, je trouve.	2747227	Bat bagalt va aboz dojeniackar, efe.
11694	Mais je n'avais pas peur.	2279639	Vexe me vudeyé.
11743	La voiture de Jack est un modèle récent.	2794948	Direm ke Jack tir ke noeltafa teza.
11777	George a épousé ma sœur.	2279581	George va jinafa berikya kureyer.
11777	George a épousé ma sœur.	2279582	George va jinafa berikya yerumayar.
12367	C'est une bonne nouvelle pour moi.	2747226	Batcoba tir warzotany mu jin.
13449	Je pense que je serai bientôt de retour.	2230000	Tce fure dimlanití.
13718	Une bonne paire de lunettes vous aidera à lire.	2460570	Wezocko pomatar enide di robelitil.
14001	Je dois rester au lit toute la journée.	2372230	Koe ilava vielcekon gotigí.
14201	Pourriez-vous m'indiquer comment aller à la gare ?	2372207	Kas robazel lizo ko golda laní ?
15401	Il a inventé une histoire au sujet du Roi.	2747243	In va rupa va Gazik ganduyur.
15574	Elle se pencha sur l'enfant.	2460564	In van rumeik xowayar.
15785	Quel beau jardin.	2229974	Mana listafa matela !
127930	Je me brosse les dents après les repas.	2279654	Moi estura va talgeem sonujná.
128425	Peux-tu l'écrire s'il te plait ?	2280009	Va batcoba rosutel, vay ?
128779	Je me suis endormi pendant le cours de mathématiques.	2794909	Bak tavera va solokseropa al komodé.
128804	Je veux à tout prix le voir.	2794935	Va in en djuwí !
129752	Le Japon fait face au Pacifique par l'est.	2323532	Nipona talteon tir lente Pacifika welfa.
129807	Enlevez vos vêtements mouillés.	2279675	Va abdaf vageeem tioltel !
130235	Sa mémoire s'est détériorée à cause de l'âge.	2829558	Inafi nami golde klaa al lamewer.
130494	Son histoire a l'air vraie.	2229983	Inafa rupa nutir ageltafa.
130839	Il est sûr de son succès.	2225774	In tir lanaf gu jupekara.
131862	Il m'a donné le numéro de téléphone de son bureau et son adresse.	2794907	In va intafe mane isu spv- otuk ke bazaxo al zilir.
131888	Il avait beaucoup d'argent en banque.	2797185	In va erbapa koe omelt digiyir.
132984	Il est bon perdant.	2345834	In tir tazdasikany.
133385	Il regarde la télévision tous les jours.	2213304	In kotvielon sumewir.
133386	Il m'a appelé presque chaque jour.	2213307	In va jin riwe kotvielon rozayar.
133387	Il boit beaucoup de lait chaque jour.	2213309	In va jontik vrod kotvielon ulir.
133388	Il va nager dans le fleuve tous les jours.	2213312	In koe bost kotvielon pujer.
133390	Il écrit absolument tous les mois à sa mère.	2213315	In pu gadikya kotaksaton en suter.
133391	Il va à Karuizawa chaque année.	2213316	In ko Karuizawa kotilanon lapir.
133392	Il skie à Hokkaido tous les hivers.	2213319	In koe Hokkaido ewala kotfentugalon lorespur.
133393	Il posa la tête sur l'oreiller.	2213321	In mo takak takaykayar.
133394	Il est encore parti en voyage.	2213322	In gire tir koyas.
133395	Il est le bébé de la famille.	2213326	In tir pintik ke yasa.
133397	Il a une envie secrète de jouer.	2213329	In birgon djuvefar.
133400	Il n'est qu'un rêveur.	2213333	In anton tir klokesik.
133401	Il a de rudes manières.	2213338	In figon gilinular.
133402	Il a feint l'ignorance, ce qui m'a mise encore plus en colère.	2213341	In nujimegrupeyer batdume loeke zideyé.
133404	Il m'a obligé à faire ce discours.	2213360	Gan in batinde zo govedewitcayá.
133405	Il envoya des fruits et des légumes à sa fille.	2213365	In va yon ilt isu rostela pu nazbeikya stakseyer.
133406	Il était en colère contre sa fille.	2213369	In tove nazbeikya zideyer.
133407	Il a marié sa fille à un homme riche.	2213374	In va nazbeikya pu kulikye kureyer.
133407	Il a marié sa fille à un homme riche.	2213375	In va nazbeikya pu kulikye yerumayar.
133408	Il a marié sa fille à un avocat.	2213381	In va nazbeikya pu aluteik kureyer.
133408	Il a marié sa fille à un avocat.	2213383	In va nazbeikya pu aluteik yerumayar.
133409	Il n'est président que de nom.	2213385	In tir taneagadesik, vox anton dem yolt.
133410	C'est un bon docteur.	2213387	In tir kurmanyik.
133413	Il était visiblement embarrassé.	2213389	In winon zo tokteyer.
133414	Il jouera au tennis demain.	2213390	In eldeon blenutiutur.
133415	Il viendra me voir demain après-midi.	2213395	In eldekielon lanitir enide va jin witir.
133416	Il arrivera à Paris demain.	2213396	In ko Paris eldeon artlapitir.
133417	Il sera chez lui demain.	2213400	In eldeon deneon tigitir.
133418	Il part pour le Pérou demain, n'est-ce pas ?	2213413	In ko Perua eldeon mallapitir, mex ?
133419	Il arrivera à Kyoto demain.	2213416	In ko Kyoto eldeon artlapitir.
133422	Il va à Paris en avion demain.	2213424	In ko Paris kan severo eldeon lapitir.
134124	Tout est fini avec elle.	2279637	Kotcoba tove inya mea tir.
135254	Raconte-moi une histoire vraie.	2180911	Va ageltafa rupa pu jin pwadel.
135256	J'étudie pour devenir traducteur ou interprète.	2180912	Vayá enide tití remsutesik ik rempulvisik.
135265	Ma sœur a un travail.	2180917	Berikya tir unekirafa.
