3369	C'était pas moi, commissaire !	841651	Ik weer dat nich, Kommissar!
3422	Je ne peux pas vivre sans télé.	820271	Ik kann ahn Feernsehn nich leven.
3447	J'ai un rêve.	1037110	Ik heff en Droom.
3717	J'ai besoin de plus de temps.	824025	Ik bruuk mehr Tied.
3941	J'ai hâte de partir en vacances.	888155	Ik kann dat gornich aftöven, in de Feern to föhren.
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	799781	Een, twee, dree, veer, fiev, söss, söven, acht, negen, teihn.
4173	Je ne le connais pas.	810856	Ik kenn em nich.
4232	Je n'attends rien de ta part.	951725	Ik verwacht nix von di.
4305	Ils ne savent même pas pourquoi.	985022	Se weet nich maal worüm.
5945	Voulez-vous une tasse de café ?	694807	Wult ji en Köpken Kofi?
6632	Je vais à la banque.	1012802	Ik gah na de Bank.
7438	Je suis plus vieux que ton frère.	1034064	Ik bün öller as dien Broder.
7750	Ma sœur est mariée.	835309	Mien Süster is verheiraadt.
7945	J'ai deux frères et une sœur.	845255	Ik heff twee Bröder un een Süster.
8157	Les enfants ont besoin d'amour.	827068	Kinner bruukt Leevd.
9132	L'or est plus lourd que le fer.	811155	Gold is sworer as Iesen.
9535	Notre équipe a gagné le match.	800702	Uns Team hett den Weddstried wunnen.
9688	Avez-vous des questions ?	978243	Hebbt ji Fragen?
10079	Quarante ans ont passés.	861360	Veertig Johr sünd rümgahn.
10097	Il sera revenu avant 5 heures.	810896	He schall woll vör Klock fiev trügg wesen.
10100	Six mois, c'est long à attendre.	799518	Söss Maand to töven is en lange Tied.
10146	J'ai faim !	905107	Ik heff Hunger.
10405	M'aimes-tu ?	694909	Häs du mi laiw?
10559	Les États-Unis bordent le Canada.	828400	De Vereenigten Staten grenzt an Kanada.
10571	Les Étatsuniens mangent beaucoup de viande.	1034098	Amerikaners eet veel Fleesch.
11499	Voici mon numéro de téléphone.	941754	Hier is mien Telefoonnummer.
12200	J'ai vu le garçon en chaussures marron.	799330	Ik heff den Jung mit brune Schoh sehn.
12886	J'ai si faim que je pourrais manger un cheval.	877743	Ik bün so hungerig, dat ik en Peerd eten kunn.
12903	Mangez et buvez.	651661	Ät un drinkt.
13068	Fermez la porte derrière vous.	723607	Maak de door tau achter di.
13167	J'ai un violent mal de dents.	679737	Ick häb dulle Tanpine.
13292	La Belgique n'est pas aussi grande que la France.	868095	Belgien is nich so groot as Frankriek.
13307	Paula doit aider son père dans la cuisine.	857429	Paula mutt ehren Vader in ’e Köök helpen.
13436	Au revoir !	762873	Tschüss!
13445	Je ne sais rien.	3542321	Ik weet nix.
13641	As-tu déjà pris ton déjeuner ?	750302	Häs du aal Meddag gieden?
13915	Je ne le referai plus.	1071316	Ik do ’t nich wedder.
14218	Attention !	828270	Wohrschau!
14716	J'ai une fille.	679727	Ick häb en Dochter.
14807	J'entends quelque chose.	1217193	Ik höör wat.
14812	Je ne veux pas vivre seul.	842558	Ik will nich alleen leven.
15216	Cherchez ce mot dans le dictionnaire.	1012778	Kiek dat Woord in ’t Wöörbook na.
15279	Ce garçon est intelligent.	804928	Disse Jung is plietsch.
15307	J'ai pris le bus 61.	1018299	Ik heff Bus 61 nahmen.
15425	Il n'est pas aussi bête qu'il en a l'air.	742491	He is nich sau dum, äs he uutsüt.
15447	C'est un poète.	1016463	He is en Dichter.
15460	Il m'a téléphoné à minuit.	839408	He hett mi üm Middernacht anropen.
15470	Il est entré par la fenêtre.	939092	He keem dör ’t Finster rin.
