3873	De quoi parles-tu ?	2883750	Apa yang kamu cakapkan ini?
6491	Je viens de Saitama.	1021705	Saya berasal dari Saitama.
7665	J'étais dans le bain quand le téléphone sonna.	963238	Saya sedang berada di bilik air ketika telefon itu berdering.
7874	Appelle-moi s'il te plaît.	961154	Sila hubungi saya.
9970	Commençons par la leçon 10.	349443	Biarlah kita mula dari pelajaran 10.
9986	Entre mille huit cent vingt et mille neuf cent soixante-treize les États-Unis ont accueillis plus de quarante six millions d'immigrants.	961948	Antara 1820 dan 1973, Amerika Syarikat telah menerima lebih daripada 46 juta pendatang.
13138	Le pain est fait à partir de la farine.	1254680	Roti dibuat daripada tepung.
14555	Elle n'aime pas le football.	1230162	Dia tidak suka bola sepak.
128076	Le papier est confectionné à partir de bois.	1254681	Kertas dibuat daripada kayu.
131568	Il a porté six boîtes à la fois.	1230195	Dia mengangkat enam kotak sekaligus.
236080	Combien y a-t-il de personnes dans cette pièce ?	983967	Ada berapa banyak orang dalam bilik ini?
330223	Il y a très, très longtemps vivait un vieux roi sur une petite île.	1476505	Suatu masa yang lama-lama dahulu, tinggal seorang raja tua di sebuah pulau kecil.
331834	Il est financièrement dépendant de sa femme.	342107	Dia bergantung pada isterinya dalam keadaan kewangan.
332650	Il deviendra docteur quand il sera grand.	1014493	Dia ingin menjadi doktor apabila dia besar.
338179	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.	342048	Semua manusia dilahirkan bebas dan samarata dari segi kemuliaan dan hak-hak. Mereka mempunyai pemikiran dan perasaan hati dan hendaklah bertindak di antara satu sama lain dengan semangat persaudaraan.
390498	Nancy est allée à Londres de même qu'à Paris.	983973	Nancy telah pergi ke London, begitu juga ke Paris.
392583	Elle transporte toujours la Sainte Bible avec elle.	1838960	Dia sentiasa membawa kitab Bible bersamanya.
407305	La vie est très courte.	1230110	Hidup ini sungguh pendek.
416963	Il n'a aucun talent pour être acteur.	984005	Dia tiada sebarang bakat untuk menjadi pelakon.
