331817	Elle prend soin de sa mère malade.	2879396	Тудо черле аважым онча.
383907	Nous ne savons pas s'il viendra ou pas.	2886103	Ме огына пале, толеш тудо але уке.
414150	J'ai aidé une vieille femme à traverser.	2909784	Мый шоҥго ковайлан корным вончаш полшышым.
495881	J'ai beaucoup de choses à faire aujourd'hui.	2903412	Таче мылам эше шуко мом ышташ кӱлеш.
519223	J'en ai ras-le-bol !	2910193	Мый тидын дене лач темынам!
562682	Ton souhait se réalisera dans un proche avenir.	2886097	Тыйын шонымет лишыл жапыште шукталтеш.
567017	Les ressources énergétiques de notre pays s'épuisent.	2877106	Мемнан эллан энергоресурс ок сите.
628966	Il connaît beaucoup de gens.	2910323	Тудо шуко еҥым палла.
763485	Ne regardez pas la télévision.	2910216	Телевизорым ида ончо.
815620	Tom vit à Chicago depuis un an.	2886090	Том ик ийышкен Чикагошто ила.
898054	C'est de la viande de poulet.	2918524	Тиде чыве шыл.
962160	Combien de livres as-tu déjà lu selon ton estimation ?	2911446	Кузе тый шонет, мыняр книгам тымарте лудын сеҥенат?
962547	J'en veux davantage.	2906140	Мылам эше кӱлеш.
10238	Puis-je te parler ?	2906180	Лиеш мо тый денет ойласаш?
1115695	Es-tu pour ou contre ce projet ?	2910292	Тый проект верч але тудын ваштареш?
1130650	Ça a été un plaisir de parler avec vous.	2889978	Тендан дене кумылло ыле ойласаш.
1328750	Elle a été embrassée par lui.	2920404	Тудо ӱдырым шупшале.
1461624	Nous avons pris un taxi pour ne pas être en retard.	2879491	Ме таксийым нална, вараш коддымашлык.
1461709	Dois-je y aller ?	2889985	Мылам каяш?
1470854	Il est rare qu'il se mette en colère.	2903406	Тудо шагал годым сыра.
1737988	Appelle-moi demain.	2910239	Йыҥгырте мылам эрла.
1801945	Il me rend chèvre.	2910236	Туддеч ушем кая.
1842911	Je sais ce que nous pouvons faire.	2909857	Мый палем, мом ме ыштен кертына.
2840638	Aujourd'hui, c'est mon anniversaire.	2840632	Мыйын таче - шочмо кече.
2842284	C’est le destin.	2842281	Туге пӱрен.
1337408	Aujourd'hui, je travaille chez moi.	4740875	Таче мый мӧҥгыштӧ пашам ыштем.
1719845	J'habite dans une vieille maison.	2869550	Мый тошто пöртыштö илем.
