3893	J’ai passé douze heures dans le train.	396883	Eg var på toget i tolv timer.
133704	Elle n'a pas d'ennemis.	396881	Ho har ingen fiendar.
336983	Aller-retour ou aller simple ?	396679	Tur-retur eller ein veg?
339514	Je suis désolé. J'en suis partiellement responsable.	396675	Eg ber om orsak. Eg er delvis skuld i det.
453066	J'étais dans le train pendant 12 heures.	396883	Eg var på toget i tolv timer.
523334	La famille Van Horn était riche.	1984284	Van Horn-familien var rik.
668570	J'ai été dans le train pendant douze heures.	396883	Eg var på toget i tolv timer.
669740	J'étais dans le train pendant douze heures.	396883	Eg var på toget i tolv timer.
1846255	Ne soyez pas fâchée !	1984068	Ikkje ver lei deg!
2001068	Mes parents t'adorent.	4110614	Foreldra mine elskar deg.
6507	J'ai attrapé un rhume.	4110644	Eg er blitt forkjøla.
338044	Il est probable qu'elle vienne.	4110656	Det er sannsynleg at ho kjem.
1135262	Vous n'aviez rien à lui raconter?	4110659	Har du ingenting å fortelje han?
495443	Ne pouvez-vous pas parler l'anglais ?	5007558	Kan du ikkje snakka engelsk?
3539	C'est trop cher !	5926202	Det er for dyrt!
4278	Je croyais que c'était vrai.	5926868	Eg trudde det var sant.
7240	Je n'ai pas lu tous ces livres.	5926993	Eg har ikkje lese alle desse bøkene.
8327	Je ne le croyais pas au début.	5926875	Eg trudde ikkje på han i byrjinga.
9356	Il a l'air pâle.	5924581	Han ser bleik ut.
9868	Tous ces films sont ennuyeux.	5926156	Alle desse filmane er keisame.
11168	J'ai mal ici.	5926523	Eg har vondt her.
11168	J'ai mal ici.	5926524	Det gjer vondt her.
11845	Mange ta soupe pendant qu'elle est chaude.	6017608	Et suppa di mens ho er varm.
12399	Je veux le faire moi-même.	5928391	Eg vil gjera det sjølv.
13849	Je suis à la maison.	5924600	Eg er heime.
14861	Je me suis levé tôt, comme d'habitude.	5929853	Eg stod opp tidleg, som vanleg.
15600	Elle a trois fois plus de dictionnaires que toi.	6015861	Ho har tre gonger så mange ordbøker som deg.
127682	J'ai trois fois plus de livres que lui.	6015863	Eg har tre gonger so mange bøker som han.
127701	Je n'ai rien compris de ce qu'il a dit.	5929797	Eg forstod ingenting av det han sa.
130954	Il a déjà dit oui.	5927959	Han har allereie sagt ja.
132645	Il est en train de manger.	5929439	Han et.
135379	S'il pleut demain, je ne viens pas.	6013461	Dersom det regnar i morgon, kjem eg ikkje.
181060	Je croyais que tu devais te lever à 7h30.	5926912	Eg trudde du måtte stå opp 7.30 (halv åtte).
181097	Il a deux fois plus de livres que moi.	6015868	Han har dobbelt so mange bøker som meg.
236573	C'est plus facile que je le croyais.	5926906	Det er enklare enn eg trudde.
330335	De quoi as-tu besoin ?	5928731	Kva treng du?
332291	Est-il en train de dormir ?	5929423	Søv han?
378891	Je m'ennuie.	5926109	Eg keiar meg.
400519	Il faut faire quelque chose !	5925976	Noko må gjerast!
421788	Je peux le faire moi-même !	5928395	Eg kan gjera det sjølv!
429094	J'ai ouvert la boîte, elle était vide.	6015414	Eg opna eska - ho var tom.
443654	Nous avons vu le match de football à la télévision.	5934091	Vi såg fotballkampen på TV.
457318	Je ne bois pas de café.	5927923	Eg drikk ikkje kaffi.
496688	Je compte jusqu'à dix.	5926310	Eg tel til ti.
525129	Je veux que vous restiez avec moi.	6014607	Eg vil at de skal bli hos meg.
537973	Nous verrons.	5931038	Me får sjå.
545808	J'ai déjà dit non.	5927967	Eg har allereie sagt nei.
602088	Laisse-moi entrer.	6014682	Slepp meg inn.
617968	La prochaine fois, je le ferai moi-même.	5928417	Neste gong gjer eg det sjølv.
686331	Cela ne va pas faire mal.	5926359	Det kjem ikkje til å gjera vondt.
704660	Il est venu dans l'espoir de te voir.	5924598	Han kom i vona om å få sjå deg.
741042	Compte jusqu'à trente.	5926297	Tel til tretti.
746301	J'ai mal aux yeux.	5926563	Eg har vondt i augo.
764427	« Et ça c'est quoi ? » « Ce sont vos photos. »	5928354	"Og kva er det?" "Det er bileta dykkar."
764427	« Et ça c'est quoi ? » « Ce sont vos photos. »	5928358	"Og kva er det?" "Det er bileta dine."
822444	J'ai mal au pied.	5926570	Eg har vondt i foten.
882364	Où est la sortie ?	5928871	Kvar er utgangen?
899475	J'ai mal à l'épaule.	5926597	Eg har vondt i skuldra.
911904	C'est tellement ennuyeux.	5926144	Det er så keisamt.
936523	Les enfants jouent derrière la maison.	5926969	Barna leiker bakanfor huset.
942097	Combien de temps un ours dort-il ?	5924567	Kor lenge søv ein bjørn?
942113	Un oiseau peut voler.	6014537	Ein fugl kan flyge.
955113	As-tu dit quelque chose ?	5925576	Sa du noko?
1070936	Notre poubelle a été volée.	6014549	Søppedunken vår har vorte stolen.
1102636	J'ai mal au bras.	5926572	Eg har vondt i armen.
1137846	La symétrie est ennuyeuse.	5926148	Symmetri er keisamt.
1158373	Est-ce qu'il dort ?	5929423	Søv han?
1165256	De quoi ai-je besoin ?	5928746	Kva treng eg?
1196954	Cherchez-vous quelque chose ?	5925587	Leitar du etter noko?
1196954	Cherchez-vous quelque chose ?	5925589	Ser du etter noko?
1314134	J'ai besoin de papier.	5928753	Eg treng papir.
1349291	À qui donneras-tu le livre ?	5924590	Kven skal du gjeva boka til?
1402969	Je ne sais pas quand il va revenir.	5928853	Eg veit ikkje når han kjem tilbake.
1670235	Ils sont juste derrière moi.	5926961	Dei er rett bak meg.
1670236	Elles sont juste derrière moi.	5926961	Dei er rett bak meg.
1670237	Ils sont juste derrière vous.	5926960	Dei er rett bak dykk.
1670238	Ils sont juste derrière toi.	5926962	Dei er rett bak deg.
1670239	Elles sont juste derrière vous.	5926960	Dei er rett bak dykk.
1670239	Elles sont juste derrière vous.	5926962	Dei er rett bak deg.
1670250	Il est juste derrière toi.	5926963	Han er rett bak deg.
1670254	Elle est juste derrière toi.	5926964	Ho er rett bak deg.
1670257	Je suis juste derrière elle.	5926965	Eg er rett bak ho.
1671856	J'ai besoin de café.	5928758	Eg treng kaffi.
1672958	Je suis juste derrière lui.	5926966	Eg er rett bak han.
1672961	Je suis juste derrière toi.	5926967	Eg er rett bak deg.
1675407	On écrit l'arabe de droite à gauche.	5926067	Man skriv arabisk frå høgre mot venstre.
1675407	On écrit l'arabe de droite à gauche.	5926068	Arabisk skrivast frå høgre mot venstre.
1675580	Nous avons besoin de règles !	5928761	Me treng reglar!
1777933	Je n'aurais pas dû faire ça. C'était mal.	5926434	Eg skulle ikkje ha gjort det. Det var feil.
1902911	C'est incroyablement ennuyeux.	5926150	Det er utruleg keisamt.
1927383	Je pense à toi tout le temps.	5926172	Eg tenkjer på deg heile tida.
1978222	Il faut faire quelque chose.	5925976	Noko må gjerast!
1988120	La cravate est trop chère.	5926204	Slipset er for dyrt.
2039952	Pourquoi es-tu sous la table ?	5934325	Kvifor er du under bordet?
2046401	J'aurais dû t'écouter.	6009681	Eg skulle ha høyrt på deg.
2302857	J'ai mal lu.	5926552	Eg las feil.
2383378	J'ai perdu le pari.	6019379	Eg tapte veddemålet.
2383379	Je perdis le pari.	6019379	Eg tapte veddemålet.
2721166	Je nage dans l'océan.	5926199	Eg sym i havet.
3214679	Attends jusqu'à demain.	5926304	Vent til i morgon.
3217371	Il compta jusqu'à cent.	5926335	Han talde til hundre.
3393759	Trois ans, c'est long, à mon avis.	5928212	Eg synest tre år er lenge.
3427884	Tom cherche quelque chose.	5925602	Tom leitar etter noko.
3463675	L'été est derrière nous.	5926968	Sommaren ligg bak oss.
3483441	Il faut que tu te caches.	5926971	Du må gøyme deg.
3529564	On verra.	5931038	Me får sjå.
3609711	J’ai mal aux pieds.	5926510	Eg har vondt i føtene.
3627487	Où te caches-tu ?	5926970	Kvar gøymer du deg?
3634851	J'ai mal aux épaules.	5926579	Eg har vondt i skuldrene.
3669218	Je suis ennuyeuse.	5926131	Eg er keisam.
3782257	Je cherche quelque chose.	5925833	Eg leitar etter noko.
4080928	Savez-vous écrire ?	5926619	Kan du skriva?
4092952	Tu t'ennuies ?	5926136	Keiar du deg?
4117125	J’aurais dû prendre un parapluie.	6009700	Eg skulle ha teke med meg ein paraply.
4189523	Je suis ennuyeux.	5926131	Eg er keisam.
4563209	J'ai déjà dit oui.	5927969	Eg har allereie sagt ja.
4579593	T'ennuies-tu, ici ?	5926153	Keiar du deg her?
4598292	Entends-tu quelque chose ?	5925897	Høyrer du noko?
4599051	Il mange.	5929439	Han et.
4602613	Chut ! Il dort !	5924563	Hysj! Han søv!
4670188	Le film est ennuyeux.	5926154	Filmen er keisam.
4901027	Ça fait mal ici.	5926524	Det gjer vondt her.
4901051	Ça ne fera pas mal.	5926359	Det kjem ikkje til å gjera vondt.
5049990	Mange quelque chose !	5925477	Et noko!
5066846	Nous nous ennuyions.	5926141	Me keia oss.
5150036	Bois quelque chose.	5925488	Drikk noko.
5197520	Je m'ennuie déjà.	5926155	Eg keiar meg allereie.
5256591	Je fais ça moi-même.	5928390	Eg gjer det sjølv.
5801856	Ça a dû faire mal.	5926349	Det må ha gjort vondt!
5926076	L'arabe s'écrit de droite à gauche.	5926068	Arabisk skrivast frå høgre mot venstre.
5926977	J'ai lu quelques-uns de ces livres.	5926978	Eg har lese nokon av desse bøkene.
2146329	On a moins de neige que normalement.	6160708	Vi har mindre snø enn vanleg.
6672758	Je hais l'hiver.	6672766	Eg hatar vinter.
130874	Il a bu une tasse de café.	6837649	Han drakk ein kopp kaffi.
2695290	Je m'appelle Sally.	1983344	Eg heiter Sally.
1569372	Le lion mange de la viande.	1983389	Løva et kjøtt.
2723492	Je mange du pain.	4866449	Eg et brød.
4256136	Bienvenue sur Wikipédia.	4256195	Velkomen til Wikipedia.
1187521	Le garçon et l'homme boivent de l'eau.	1983281	Guten og mannen drikk vatn.
6465581	Est-ce bleu ?	5408957	Er det blått?
3578	Je suis mariée et j'ai deux enfants.	4110743	Eg er gift og har to born.
129589	J'ai mal à la tête.	1982530	Eg har vondt i hovudet.
598462	Je suis marié et ai deux enfants.	4110743	Eg er gift og har to born.
1044087	Je suis marié et j'ai deux enfants.	4110743	Eg er gift og har to born.
1939460	Je croyais que Tom avait un chien.	1982743	Eg trudde Tom hadde hund.
373631	Je m'appelle Ichiro Tanaka.	1983354	Eg heiter Ichiro Tanaka.
2982659	J'ai deux chats.	3081365	Eg har to katter.
2982659	J'ai deux chats.	3081366	Eg har to kattar.
410160	J'ai un chat et un chien. Le chat est noir et le chien est blanc.	1981127	Eg har ein katt og ein hund. Katten er svart og hunden er kvit.
338485	Bob est mon ami.	1980627	Bob er venen min.
569861	Oui ou non ?	1980635	Ja eller nei?
1077505	Je bois du café.	5409006	Eg drikk kaffi.
1314481	C'est vraiment triste.	4110539	Det er verkeleg trist.
14296	Je pense à vous tout le temps.	5926172	Eg tenkjer på deg heile tida.
7398	Je ne bois pas beaucoup de vin.	4110745	Eg drikk ikkje mykje vin.
6468737	Je veux une pomme.	5408999	Eg vil ha eit eple.
964663	Je vois un livre.	8127141	Eg ser ei bok.
6995755	Le Portugal est une république.	6996256	Portugal er ein republikk.
6804338	Tom travaille de 9h à 17h.	1984046	Tom arbeider frå ni til fem.
