9368	N'ayez pas peur de vous tromper.	547333	Нє боитє сѧ грѣшити.
13139	Le pain est fait avec de la farine, de l'eau et de la levure.	1114915	Хлѣбъ сѧ дѣѥть мѫкоѭ водоѭ дрождıами.
15212	Je n'oublierai jamais votre gentillesse.	603606	Николи жє нє забѫдѫ твоѥѣ добротъı.
131093	Il voulait acheter le livre.	603609	Хотѣлъ крити кънигъı.
131093	Il voulait acheter le livre.	603611	Хотѣлъ кѹпити кънигъı.
180426	Il y a beaucoup de poissons dans le lac.	2654772	Въ озерѣ сѫть мъногъı ръıбъı.
373750	Le Rhin coule entre la France et l’Allemagne.	615760	Ринъ тєчєть мєжю фрѧгъı и нѣмьци.
373908	Je dois aller dormir.	3093437	Ити ми съпатъ.
373908	Je dois aller dormir.	3093439	Надобѣ ми ити съпатъ.
378853	Ma voiture est allemande.	2637443	Мои возъ нѣмьчьскъ.
378853	Ma voiture est allemande.	2637444	Моıа кола нѣмьчьска.
400842	Il faisait sombre sous le pont.	637868	Бѣ тьмьно подъ мостъмь.
478842	C'est à moi que tu parles ?	558375	Къ мънѣ ли рєчєши?
487897	C'est mon frère.	511797	Сє братъ мои.
497092	Je suis déjà vieux et je ne peux guère gérer toutes les affaires.	497078	А єсмь ѹжє старъ а вьсѣхъ рѧдъ нє могѫ ѹжє рѧдити.
497095	Que Dieu t'aide, mon frère, puisque tu nous aidas aussi nous deux.	497083	Богъ ти помози братє ѡжє на єси тако помоглъ.
497102	Voici, nous conçûmes une grande campagne.	497087	Сє єсмъı пѫть замъıслили вєликъ.
504896	Le véritable ami est un oiseau rare.	504895	Вѣрьнъ дрѹгъ ѥсть рѣдъка пътъка.
508564	J'ai promis de leur donner cent hrivnas par an.	508563	Ѹрєклъ єсмь имъ на годъ съто гривьнъ въдати.
532536	L’église est de l’autre côté de la rue.	2658985	Цьркъı на ономь боцѣ оулицѣ.
532536	L’église est de l’autre côté de la rue.	2658986	Цьркъı на онои сторонѣ оулицѣ.
563757	N'importe lequel d'entre vous peut la faire.	2654739	Комоу любо васъ мога ѭ оучинити.
575784	Tu es belle.	622148	Єси красьна.
646448	Tous ceux qui prendront l'épée périront par l'épée.	646430	Вьси приємъшии ножь, ножьмь погъıбнѫть.
680017	Dans cette foi je veux vivre et mourir.	3208088	Въ сеи вѣрѣ хочѭ жити и померети.
845868	J'attends une réponse à mes questions.	2658959	Жьдѫ ѿвѣта своимъ въпросомъ.
890099	Ne le réveille pas.	2658999	Не боуди и.
1126851	Répondez-moi, s'il vous plaît.	1116326	Отъвѣтите ми добро сътворѧ.
1350060	Quand viens-tu à la maison ?	1557523	Коли приидєши домови?
1350060	Quand viens-tu à la maison ?	1557524	Къгда приходиши домови?
1566167	On ne voit bien qu'avec le cœur. L'essentiel est invisible aux yeux.	3239697	Одино сьрдьцьмь добро єсть видѣти · Сѫть не видима очима ·
1934325	Je ne leur teins pas les cheveux.	2666157	Не крашѭ имъ волосъ.
2048008	Il n'a pas oublié son argent.	2661230	Не забъıлъ своихъ коунъ.
549142	Le chat dort sur la table.	2659008	Котъка съпить на столѣ.
2682921	Cinq plus trois font huit.	2703147	Пѧть и триѥ єста осмь.
2737180	Viens à Nice, on va se baigner à poil !	2737184	Прииди въ Никеѭ · хочевѣ плавати нага!
2102956	Elles n'adorent pas les idoles.	4809203	Не обожаѭть коумиры.
