3129	Je leur ai dit de m'envoyer un autre ticket.	2566559	من به آنها گفتم بلیط دیگری برای من بفرستند.
6340	J'habite avec mon oncle.	3186918	من با عمویم زندگی می کنم.
7212	Je l'ai recherché dans le supermarché.	554432	در سوپرمارکت به دنبال او گشتم.
7791	Mon frère aîné vit dans un petit village.	2128110	برادرم در یک روستای کوچک زندگی می کند.
8006	Il pense qu'il y a un espion parmi nous.	612527	او فکر می کند که یک جاسوس در میان ما وجود دارد.
8345	Un récent sondage montre que le nombre de fumeurs diminue.	1401435	یک تحقیق اخیر نشان میدهد که تعدادسیگازیها رو به کاهش است
8352	J'habite à des kilomètres de la gare la plus proche.	1583123	من چندین مایل دورتر از نزدیکترین ایستگاه زندگی می کنم.
9212	Kyoto est visitée par beaucoup de gens chaque année.	2566556	هر سال افراد زیادی از کیوتو دیدن می کنند.
10179	As-tu du temps libre après-demain ?	1401852	آیا پس فردا وقت آزاد داری؟
11069	Du café lait et sucre, s'il vous plaît !	1047289	قهوه با خامه و شكر ،لطفا
11088	Keisuke est plus grand que moi.	2128111	کیسوک از من بلندتر است.
11408	La chasse est interdite dans cette zone.	1485444	شکار در این منطقه ممنوع است
11421	Je suis d'accord avec vous sur ce point.	731118	در این موضوع با شما هم‌عقیده هستم.
11579	J'apprécie votre coopération.	1480073	از همکاری شما قدردانی می کنم.
11626	Une équipe de football comporte 11 joueurs.	1485684	یک تیم فوتبال متشکل از 11 بازیکن است
13534	L'espagnol est parlé au Mexique.	1567958	در مکزیک به زبان اسپانیایی تکلم می شود.
13957	J'ai reçu ta lettre avant-hier.	671335	نامه شما را پریروز دریافت کردم.
14712	J'ai fabriqué un bureau en bois.	1406743	یک نیمکت چوبی ساختم.
14746	J'ai vu un cheval tirant une carriole.	915338	من اسبی را دیدم که یک درشکه را می کشید.
15601	Elle est heureuse.	612387	او خوشحال است.
39762	Deux petits lapins, un lapin blanc, et un lapin noir, vivaient dans une grande forêt.	1480109	دو خرگوش، یک خرگوش سفید و یک خرگوش سیاه، در یک جنگل بزرگ زندگی می کردند.
51993	Il a secouru l'enfant de la maison en feu.	739803	او بچه را از خانه‌ی آتش گرفته نجات داد.
126518	Précisons ce qui est vrai et ce qui est faux.	907885	روشن کنیم که کدام درست است و کدام نادرست.
127848	« Je ne suis pas fatigué. » « Moi non plus. »	1872379	من خسته نیستم. من هم نیستم.
128228	Je voudrais poser deux questions.	634911	می خواهم دو مساله را مورد بررسی قرار دهم.
128315	N'oublie pas de mettre un timbre à ta lettre.	554368	فراموش نکن که یک تمبر روی نامه‌ات بچسبانی.
128845	Avez-vous déjà mangé du poisson cru ?	1956445	تا به حال ماهی خام خورده ای؟
128912	Montrez-moi votre langue.	1485418	زبانت رو به من نشان بده.
129129	Se sentant malade, il est resté au lit.	1438090	با احساس مریض بودن او در رختخواب ماند
129330	Désolé d'être en retard.	753908	متأسفم که دیر کردم.
130455	J'ai oublié son nom.	756328	نام او را فراموش کردم.
130734	Comme il avait travaillé plus longtemps que d'habitude, il se sentait fatigué.	1438091	ازانجاییکه مدت بیشتری نسبت به حالت معمول کارکرد احساس خستگی کرد
130827	Il avait un appareil photo.	915337	او یک دوربین داشت.
131733	Il me dit toujours "Bonjour" quand je le vois.	2566552	هر وقت او را می بینم به من سلام می کند.
132279	Il a accepté mon cadeau.	1477516	او هدیه مرا قبول کرد.
133015	Il a essayé de retenir sa colère.	922287	او سعی کرد عصبانیتش را کنترل کند.
133815	Sa beauté l'a capturé.	758657	زیبائی او، او را به دام انداخت.
134679	Elle s'exerce tous les jours au piano.	1438114	او هرروز پیانو تمرین می کند
134730	Ne soyez pas si sensible à la critique.	2566564	اینقدر به انتقاد حساس نباش.
134933	Un repas sans vin est comme une journée sans soleil.	2566536	غذا بدون شراب مانند روز بدون نور است.
135133	Connais-tu mon frère Masao ?	731105	برادرم ماسائو را می‌شناسید؟
181272	À chaque fois que je vois cette photo, je pense à mon père.	634898	هر زمان این تصویر را می بینم، به یادر پدرم می افتم.
181334	Laissez-moi faire ça.	511249	اجازه بدهيد من اين كار را انجام بدهم.
237218	Je suis resté au lit toute la journée au lieu d'aller travailler.	730899	من تمام روز را در تخت خواب ماندم، به جای رفتن به سر کار.
333549	D'accord, mais dînons d'abord.	922300	باشد. ولی اول شام بخوریم.
334011	Elle me dit que sa mère l'avait acheté pour elle.	1873244	او به من گفت که مادرش آن را برای او خریده بود.
334377	Nous avons à peine le temps de prendre notre petit déjeuner.	915335	ما به ندرت وقتی برای خوردن صبحانه داشتیم.
338081	La France est en Europe occidentale.	717604	فرانسه در اروپای غربی واقع است.
338095	Ces pays appartenaient à la France.	773847	این کشورها متعلق به فرانسه بوده‌اند.
338179	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.	506110	تمام افراد بشر آزاد زاده می‌شوند و از لحاظ حيثيت و كرامت و حقوق با هم برابراند. همگی دارای عقل و وجدان هستند و بايد با يكديگر با روحيه ای برادرانه رفتار كنند.
339360	Il loge près de l'école.	1401472	او در نزدیکی مدرسه زندگی میکند.
339513	Vous êtes responsable des résultats.	505638	شما مسئول نتیجه اش هستید.
339594	La rentrée scolaire a lieu demain.	3186921	مدرسه فردا شروع می شود.
341481	Pardonnez-moi, qui est à l'appareil ?	1401816	کی صحبت میکنه؟لطفا!
372129	Il jouit souvent en retard.	907850	او غالباً دیر می‌رسد.
373345	Bonjour !	523325	صبح بخیر.
377298	Je dois ouvrir la fenêtre.	739815	باید پنجره را باز کنم.
389660	Il a acheté beaucoup de farine et d'huile.	1480095	او مقدار زیادی آرد و روغن خرید.
390087	L'amour est le miracle de la civilisation.	753566	عشق معجزه تمدن است.
406097	Il y avait jusqu'à 500 personnes présentes.	907852	بالغ بر 500 نفر حضور داشتند.
410590	Pluie du matin n'arrête pas le pèlerin !	511250	باران صبحگاهي مسافر را متوقف نكرد.
428656	C'est nécessaire.	724607	آن حتمی است.
428747	On a tous des défauts.	1480107	همه ما دارای عیوبی هستیم.
429713	Tout le monde m'appelait Tony à l'époque.	1416057	آن روزها همه مرا تونی صدا میکردند.
431188	Il s'entraîne à jouer de la guitare jusque tard dans la nuit.	1406720	او تا دیروقت در شب تمرین گیتار میکند.
431305	Je suis tombé sur un vieil ami devant la gare.	554434	جلوی ایستگاه به یک دوست قدیمی برخورد کردم.
453993	Les étudiants interprétèrent Hamlet.	1438224	دانشجویان هملت را اجرا کردند.
455518	Nous y arriverons en moins d'une heure.	1480098	ما ظرف یک ساعت به آنجا خواهیم رسید.
457173	Ce chant me réjouit.	1438088	این آهنگ مرا شاد میکند.
457416	Quand est-ce que son train arrive à Kyoto ?	3186920	کی قطار او به کیوتو می رسد؟
457434	Je me sens de nouveau très bien car j'ai dormi profondément.	1956444	یک خواب راحت احساس بهتری به من داد.
461780	Il y a un livre sur la table.	2834130	ُيک کتاب روی ميز است
461780	Il y a un livre sur la table.	2834133	يک کتاب روی ميز است
461783	Quelle langue parle-t-on en Égypte ?	2834134	در مصر به چه زبانی سخن می گويند؟
464825	Je vais à présent te présenter mes parents.	3186917	الان من والدینم را به شما معرفی می کنم؟
465309	Quelque livre que tu lises, lis-le avec attention.	634899	هر کتابی را که می خوانی، با دقت بخوان.
474824	Tout ce que tu dois faire, c'est attendre.	915336	تنها چیزی که باید انجام دهی، این است که باید منتظر بمانی.
475770	Un plus deux égale trois.	739771	یک به علاوه‌ی دو مساوی است با سه.
477117	Je lui pardonnerai en vertu de la considération que je vous porte.	739752	محض خاطر تو او را خواهم بخشید.
477118	Je vais te trouver un bon toubib.	739755	برایت پزشک خوبی پیدا خواهم کرد.
477119	Je vous trouverai un bon médecin.	739755	برایت پزشک خوبی پیدا خواهم کرد.
477121	Votre idée mérite vraiment réflexion.	739762	ایده‌ی شما واقعاً شایسته‌ی تفکر است.
477122	Ton idée mérite vraiment réflexion.	739763	ایده‌ی تو واقعاً شایسته‌ی تفکر است.
478160	L'air est pollué dans les grandes villes.	1401166	هوا در شهرهای بزرگ آلوده است
489514	Le chapeau est le vôtre.	869621	کلاه مال شما است.
495892	Oublie.	1480091	فراموشش کن.
497607	Je n'apprécie pas le café.	773840	از قهوه خوشم نمی‌آید.
499558	Son apparence m'a trompé.	1485583	ظاهرش مرا فریب داد
502349	Merci pour les souvenirs.	773845	برای خاطره‌ها متشکرم.
518227	Pour éviter que son idée originale soit copiée, Henry se fit silencieux.	554398	هانری برای اینکه ایده‌ی اصیلش کپی‌برداری نشود، به خاموشی فرو رفت.
533678	Notre pays est tombé dans la crise.	2566553	کشور ما در بحران است.
541755	Dans sa lettre, Pascal s'oppose aux positions des jésuites.	907847	پاسکال در نامه‌اش با نظرات یسوعیان مخالفت کرده است.
549802	C'est pour un de mes amis.	922284	این برای یکی از دوستانم است.
554716	N'oubliez pas votre argent.	798615	پول‌تان را فراموش نکنید.
561393	Je contracte toujours des rhumes en hiver.	561475	من همیشه زمستان ها سرما می خورم.
566249	Le Japon doit maintenant reprendre ce rôle.	1480080	ژاپن اکنون باید آن نقش را بر عهده بگیرد.
572178	Cette image me rappelle mon enfance.	731240	این تصویر مرا به یاد کودکی‌ام می‌اندازد.
588930	La balle l'atteignit au côté gauche de la tête.	2566543	توپ به سمت چپ سر او خورد.
594844	La moutarde pique vraiment la langue.	773656	این خردل واقعاً زبان را می‌سوزاند.
602113	Trier le papier est très important.	1477511	بازیافت کاغذ بسیار مهم است.
622610	Mieux vaut avec calme que précipitamment et en se trompant.	1486352	بهتر است وقت بیشتری صرف کنی تا اینکه عجله کنی و اشتباه کنی.
